ID;LuchthavensCaribischNederland;Perioden;Vliegtuigbewegingen_1;TotaalPassagiersvervoer_2;AangekomenPassagiers_3;VertrokkenPassagiers_4
124;Totaal Caribisch Nederland;2019 mei;2080;37600;17830;19770
125;Totaal Caribisch Nederland;2019 juni;1920;36440;18490;17950
126;Totaal Caribisch Nederland;2019 2e kwartaal;5960;112710;55880;56830
127;Totaal Caribisch Nederland;2019 juli;2250;39100;19190;19900
128;Totaal Caribisch Nederland;2019 augustus;2230;38180;18930;19250
129;Totaal Caribisch Nederland;2019 september;2090;30510;15430;15080
130;Totaal Caribisch Nederland;2019 3e kwartaal;6570;107790;53550;54240
131;Totaal Caribisch Nederland;2019 oktober;2310;35960;18290;17670
132;Totaal Caribisch Nederland;2019 november;2300;38660;19560;19100
133;Totaal Caribisch Nederland;2019 december;2290;41420;19700;21720
134;Totaal Caribisch Nederland;2019 4e kwartaal;6900;116030;57560;58480
135;Totaal Caribisch Nederland;2019;25600;457250;227950;229300
136;Totaal Caribisch Nederland;2020 januari;2200;41260;21460;19800
137;Totaal Caribisch Nederland;2020 februari;2050;42480;21140;21330
138;Totaal Caribisch Nederland;2020 maart;1360;25400;10450;14960
139;Totaal Caribisch Nederland;2020 1e kwartaal;5620;109150;53050;56090
140;Totaal Caribisch Nederland;2020 april;240;330;150;190
141;Totaal Caribisch Nederland;2020 mei;300;640;330;310
142;Totaal Caribisch Nederland;2020 juni;680;3950;1950;2000
143;Totaal Caribisch Nederland;2020 2e kwartaal;1220;4930;2420;2500
144;Totaal Caribisch Nederland;2020 juli;1380;14840;7910;6930
145;Totaal Caribisch Nederland;2020 augustus;1330;16330;8150;8190
146;Totaal Caribisch Nederland;2020 september;660;7580;3660;3920
147;Totaal Caribisch Nederland;2020 3e kwartaal;3370;38750;19720;19030
148;Totaal Caribisch Nederland;2020 oktober;620;4710;2370;2340
149;Totaal Caribisch Nederland;2020 november;750;9320;5190;4140
150;Totaal Caribisch Nederland;2020 december;1020;15830;8340;7490
151;Totaal Caribisch Nederland;2020 4e kwartaal;2380;29870;15900;13970
152;Totaal Caribisch Nederland;2020;12590;182690;91100;91590
153;Totaal Caribisch Nederland;2021 januari;1000;11630;5360;6270
154;Totaal Caribisch Nederland;2021 februari;1040;11680;6010;5670
155;Totaal Caribisch Nederland;2021 maart;1040;10200;4620;5590
156;Totaal Caribisch Nederland;2021 1e kwartaal;3080;33520;15980;17530
157;Totaal Caribisch Nederland;2021 april;990;8980;4870;4110
158;Totaal Caribisch Nederland;2021 mei;1230;14890;7250;7640
159;Totaal Caribisch Nederland;2021 juni;1530;23740;12330;11420
160;Totaal Caribisch Nederland;2021 2e kwartaal;3750;47610;24440;23170
161;Totaal Caribisch Nederland;2021 juli;1930;36630;18630;18000
162;Totaal Caribisch Nederland;2021 augustus;1770;35650;17210;18450
163;Totaal Caribisch Nederland;2021 september;1530;26590;13570;13030
164;Totaal Caribisch Nederland;2021 3e kwartaal;5220;98870;49400;49470
165;Totaal Caribisch Nederland;2021 oktober;1670;35390;18210;17180
166;Totaal Caribisch Nederland;2021 november;1800;35260;17670;17590
167;Totaal Caribisch Nederland;2021 december;1890;39730;19630;20100
168;Totaal Caribisch Nederland;2021 4e kwartaal;5370;110380;55510;54870
169;Totaal Caribisch Nederland;2021;17420;290380;145340;145040
170;Totaal Caribisch Nederland;2022 januari;1510;34380;17090;17290
171;Totaal Caribisch Nederland;2022 februari;1410;33300;16710;16580
172;Totaal Caribisch Nederland;2022 maart;1690;41760;20700;21060
173;Totaal Caribisch Nederland;2022 1e kwartaal ;4610;109430;54500;54930
174;Totaal Caribisch Nederland;2022 april;1620;42610;21280;21320
175;Totaal Caribisch Nederland;2022 mei;1700;39810;18590;21220
176;Totaal Caribisch Nederland;2022 juni;1700;36770;17750;19010
177;Totaal Caribisch Nederland;2022 2e kwartaal;5020;119180;57620;61560
178;Totaal Caribisch Nederland;2022 juli;1730;45030;22230;22810
179;Totaal Caribisch Nederland;2022 augustus;1660;40170;19460;20710
180;Totaal Caribisch Nederland;2022 september;1600;34310;17100;17210
181;Totaal Caribisch Nederland;2022 3e kwartaal;4990;119510;58780;60730
182;Totaal Caribisch Nederland;2022 oktober;1710;41170;20700;20470
183;Totaal Caribisch Nederland;2022 november;1670;41330;20810;20510
184;Totaal Caribisch Nederland;2022 december;1830;45030;22500;22530
185;Totaal Caribisch Nederland;2022 4e kwartaal;5210;127530;64020;63510
186;Totaal Caribisch Nederland;2022;19830;475650;234920;240730
