ID;Regions;Periods;TotalProducedByWaterCompanies_1;TotalDrinkingWater_2;ActualGroundwater_3;DuneWater_4;SurfaceWaterDirectlyProcessed_5;InfiltrationWater_6;SurfaceWaterSemiFiltrate_7;ProducedByOthers_8;Use_9
0;The Netherlands;2000 January;102.68;97.179;61.413;1.795;17.991;15.98;5.501;0.847;103.527
1;The Netherlands;2000 February;97.208;91.698;58.118;1.025;15.851;16.704;5.51;0.785;97.993
2;The Netherlands;2000 March;105.291;99.335;62.703;1.703;18.057;16.872;5.956;1.013;106.304
3;The Netherlands;2000 April;104.528;98.917;63.309;1.593;17.282;16.733;5.611;0.849;105.377
4;The Netherlands;2000 May;111.278;105.328;66.58;1.383;18.281;19.084;5.95;0.937;112.215
5;The Netherlands;2000 June;110.113;103.755;65.121;1.224;18.963;18.447;6.358;0.923;111.036
6;The Netherlands;2000 July;104.969;98.397;60.603;0.971;18.701;18.122;6.572;0.732;105.701
7;The Netherlands;2000 August;108.018;101.427;62.938;1.234;19.473;17.782;6.591;0.931;108.949
8;The Netherlands;2000 September;103.875;97.737;61.181;1.501;18.6;16.455;6.138;0.755;104.63
9;The Netherlands;2000 October;105.357;99.15;61.32;1.345;19.066;17.419;6.207;1.019;106.376
10;The Netherlands;2000 November;102.659;96.919;60.64;2.822;18.969;14.488;5.74;0.914;103.573
11;The Netherlands;2000 December;102.893;97.395;61.195;1.82;18.554;15.826;5.498;0.878;103.771
12;The Netherlands;2000;1258.869;1187.237;745.121;18.416;219.788;203.912;71.632;10.583;1269.452
13;The Netherlands;2001 January;103.548;97.664;61.152;2.46;18.389;15.663;5.884;0.972;104.52
14;The Netherlands;2001 February;94.093;88.693;55.416;1.988;16.586;14.703;5.4;0.939;95.032
15;The Netherlands;2001 March;104.319;98.562;62.098;2.076;18.066;16.322;5.757;1.011;105.33
16;The Netherlands;2001 April;103.432;97.696;61.054;1.441;18.101;17.1;5.736;1.003;104.435
17;The Netherlands;2001 May;112.957;107.098;67.72;1.438;19.582;18.358;5.859;0.961;113.918
18;The Netherlands;2001 June;110.203;103.837;64.699;1.161;19.346;18.631;6.366;0.826;111.029
19;The Netherlands;2001 July;110.282;103.157;63.634;1.264;19.668;18.591;7.125;0.972;111.254
20;The Netherlands;2001 August;107.534;100.511;63.019;1.227;18.464;17.801;7.023;0.957;108.491
21;The Netherlands;2001 September;101.956;95.793;59.967;1.64;17.981;16.205;6.163;0.936;102.892
22;The Netherlands;2001 October;105.413;99.254;61.832;1.597;18.732;17.093;6.159;1.016;106.429
23;The Netherlands;2001 November;101.625;95.672;59.906;2.682;17.865;15.219;5.953;1.193;102.818
24;The Netherlands;2001 December;101.893;96.406;60.197;1.979;18.143;16.087;5.487;1.066;102.959
25;The Netherlands;2001;1257.255;1184.343;740.694;20.953;220.923;201.773;72.912;11.852;1269.107
26;The Netherlands;2002 January;102.847;97.102;60.937;2.65;19.601;13.914;5.745;0.849;103.696
27;The Netherlands;2002 February;92.239;87.051;53.986;0.976;18.121;13.968;5.188;0.85;93.089
28;The Netherlands;2002 March;105.845;99.72;62.264;2.296;20.449;14.711;6.125;1.401;107.246
29;The Netherlands;2002 April;104.225;98.807;61.414;1.397;20.188;15.808;5.418;1.412;105.637
30;The Netherlands;2002 May;107.345;101.794;63.402;1.115;21.013;16.264;5.551;1.918;109.263
31;The Netherlands;2002 June;107.073;100.393;62.015;1.128;20.664;16.586;6.68;0.997;108.07
32;The Netherlands;2002 July;104.6;98.237;59.807;1.097;21.207;16.126;6.363;1.101;105.701
33;The Netherlands;2002 August;106.43;99.94;61.669;1.259;20.62;16.392;6.49;1.072;107.502
34;The Netherlands;2002 September;103.792;97.094;59.286;1.045;20.3;16.463;6.698;0.652;104.444
35;The Netherlands;2002 October;104.344;98.235;60.626;1.415;20.096;16.098;6.109;0.889;105.233
36;The Netherlands;2002 November;103.119;97.142;59.49;1.828;20.008;15.816;5.977;0.956;104.075
37;The Netherlands;2002 December;101.536;96.083;58.731;0.841;19.983;16.528;5.453;1.036;102.572
38;The Netherlands;2002;1243.395;1171.598;723.627;17.047;242.25;188.674;71.797;13.133;1256.528
39;The Netherlands;2003 January;103.257;97.223;60.61;2.374;20.033;14.206;6.034;1.032;104.289
40;The Netherlands;2003 February;95.607;90.043;55.055;1.621;17.845;15.522;5.564;0.836;96.443
41;The Netherlands;2003 March;105.468;99.181;61.353;1.428;19.466;16.934;6.287;0.973;106.441
42;The Netherlands;2003 April;108.423;102.576;63.276;1.718;20.116;17.466;5.847;0.904;109.327
43;The Netherlands;2003 May;107.001;101.024;62.34;0.988;20.515;17.181;5.977;0.908;107.909
44;The Netherlands;2003 June;111.861;105.009;64.907;0.989;21.084;18.029;6.852;1.127;112.988
45;The Netherlands;2003 July;111.327;104.428;64.905;0.956;21.089;17.478;6.899;1.098;112.425
46;The Netherlands;2003 August;122.669;115.341;72.884;1.318;22.556;18.583;7.328;1.033;123.702
47;The Netherlands;2003 September;102.941;96.224;59.04;0.75;19.265;17.169;6.717;0.923;103.864
48;The Netherlands;2003 October;104.028;97.578;60.491;1.247;20.154;15.686;6.45;0.827;104.855
49;The Netherlands;2003 November;100.125;94.058;58.517;0.815;19.493;15.233;6.067;0.826;100.951
50;The Netherlands;2003 December;99.861;93.834;57.459;1.491;19.597;15.287;6.027;0.935;100.796
51;The Netherlands;2003;1272.568;1196.519;740.837;15.695;241.213;198.774;76.049;11.422;1283.99
52;North-Netherlands;2000 January;11.424;10.248;9.666;0.038;0.282;0.262;1.176;0.0;11.274
53;North-Netherlands;2000 February;10.758;9.734;9.244;0.033;0.211;0.246;1.024;0.0;10.758
54;North-Netherlands;2000 March;11.601;10.597;10.042;0.042;0.251;0.262;1.004;0.0;11.449
55;North-Netherlands;2000 April;11.164;10.554;9.99;0.052;0.279;0.233;0.61;0.0;11.014
56;North-Netherlands;2000 May;11.681;11.015;10.401;0.071;0.303;0.24;0.666;0.0;11.527
57;North-Netherlands;2000 June;11.237;10.537;9.938;0.071;0.296;0.232;0.7;0.0;11.086
58;North-Netherlands;2000 July;11.255;10.556;9.911;0.088;0.317;0.24;0.699;0.0;11.105
59;North-Netherlands;2000 August;10.92;10.23;9.569;0.096;0.325;0.24;0.69;0.0;10.776
60;North-Netherlands;2000 September;10.772;10.116;9.61;0.04;0.224;0.242;0.656;0.0;10.625
61;North-Netherlands;2000 October;10.99;10.33;9.886;0.044;0.16;0.24;0.66;0.0;10.838
62;North-Netherlands;2000 November;10.935;10.136;9.598;0.037;0.269;0.232;0.799;0.0;10.791
63;North-Netherlands;2000 December;11.048;10.334;9.732;0.041;0.321;0.24;0.714;0.0;10.899
64;North-Netherlands;2000;133.785;124.387;117.587;0.653;3.238;2.909;9.398;0.0;132.142
65;North-Netherlands;2001 January;11.489;10.313;9.702;0.036;0.298;0.277;1.176;0.0;11.338
66;North-Netherlands;2001 February;10.438;9.427;8.859;0.03;0.279;0.259;1.011;0.0;10.438
67;North-Netherlands;2001 March;11.483;10.457;9.872;0.044;0.281;0.26;1.026;0.0;11.334
68;North-Netherlands;2001 April;11.09;10.483;9.943;0.054;0.247;0.239;0.607;0.0;10.94
69;North-Netherlands;2001 May;11.86;11.194;10.581;0.066;0.307;0.24;0.666;0.0;11.699
70;North-Netherlands;2001 June;11.148;10.448;9.806;0.069;0.341;0.232;0.7;0.0;11.009
71;North-Netherlands;2001 July;11.438;10.735;10.083;0.098;0.33;0.224;0.703;0.0;11.282
72;North-Netherlands;2001 August;11.349;10.659;9.975;0.095;0.349;0.24;0.69;0.0;11.193
73;North-Netherlands;2001 September;10.663;10.062;9.42;0.054;0.344;0.244;0.601;0.0;10.516
74;North-Netherlands;2001 October;11.242;10.642;10.039;0.055;0.308;0.24;0.6;0.0;11.088
75;North-Netherlands;2001 November;10.882;10.097;9.622;0.035;0.208;0.232;0.785;0.0;10.725
76;North-Netherlands;2001 December;10.677;9.988;9.414;0.04;0.302;0.232;0.689;0.0;10.526
77;North-Netherlands;2001;133.759;124.505;117.316;0.676;3.594;2.919;9.254;0.0;132.088
78;North-Netherlands;2002 January;11.17;10.082;9.493;0.034;0.315;0.24;1.088;0.0;11.015
79;North-Netherlands;2002 February;10.082;9.154;8.621;0.035;0.282;0.216;0.928;0.0;10.082
80;North-Netherlands;2002 March;11.586;10.507;9.888;0.046;0.335;0.238;1.079;0.0;11.439
81;North-Netherlands;2002 April;11.08;10.481;9.857;0.05;0.343;0.231;0.599;0.0;10.928
82;North-Netherlands;2002 May;11.241;10.59;9.95;0.069;0.347;0.224;0.651;0.0;11.085
83;North-Netherlands;2002 June;11.019;10.339;9.696;0.071;0.364;0.208;0.68;0.0;10.868
84;North-Netherlands;2002 July;10.8;10.111;9.387;0.096;0.388;0.24;0.689;0.0;10.649
85;North-Netherlands;2002 August;11.524;10.882;10.179;0.096;0.368;0.239;0.642;0.0;11.353
86;North-Netherlands;2002 September;10.934;10.302;9.676;0.055;0.339;0.232;0.632;0.0;10.78
87;North-Netherlands;2002 October;11.133;10.558;9.909;0.056;0.351;0.242;0.575;0.0;10.97
88;North-Netherlands;2002 November;10.902;10.117;9.637;0.028;0.331;0.121;0.785;0.0;10.74
89;North-Netherlands;2002 December;10.99;10.299;9.685;0.041;0.324;0.249;0.691;0.0;10.828
90;North-Netherlands;2002;132.461;123.422;115.978;0.677;4.087;2.68;9.039;0.0;130.737
91;North-Netherlands;2003 January;11.429;10.362;10.184;0.041;0.068;0.069;1.067;0.0;11.268
92;North-Netherlands;2003 February;10.17;9.283;9.087;0.034;0.053;0.109;0.887;0.0;10.028
93;North-Netherlands;2003 March;11.729;10.628;10.403;0.044;0.08;0.101;1.101;0.0;11.569
94;North-Netherlands;2003 April;11.559;10.95;10.364;0.051;0.294;0.241;0.609;0.0;11.395
