ID;WoonlandVanGasten;RegioS;Perioden;Gasten_1;Overnachtingen_2
0;Totaal landen;Nederland;2012 januari;1299.0;2099.0
1;Totaal landen;Nederland;2012 februari;1332.0;2174.0
2;Totaal landen;Nederland;2012 maart;1624.0;2691.0
3;Totaal landen;Nederland;2012 1e kwartaal;4255.0;6964.0
4;Totaal landen;Nederland;2012 april;1943.0;3474.0
5;Totaal landen;Nederland;2012 mei;2013.0;3556.0
6;Totaal landen;Nederland;2012 juni;1934.0;3389.0
7;Totaal landen;Nederland;2012 2e kwartaal;5890.0;10419.0
8;Totaal landen;Nederland;2012 juli;1958.0;3690.0
9;Totaal landen;Nederland;2012 augustus;2090.0;4001.0
10;Totaal landen;Nederland;2012 september;1955.0;3379.0
11;Totaal landen;Nederland;2012 3e kwartaal;6003.0;11070.0
12;Totaal landen;Nederland;2012 oktober;1866.0;3150.0
13;Totaal landen;Nederland;2012 november;1602.0;2591.0
14;Totaal landen;Nederland;2012 december;1397.0;2342.0
15;Totaal landen;Nederland;2012 4e kwartaal;4866.0;8082.0
16;Totaal landen;Nederland;2012;21014.0;36536.0
17;Totaal landen;Nederland;2013 januari;1274.0;2091.0
18;Totaal landen;Nederland;2013 februari;1311.0;2151.0
19;Totaal landen;Nederland;2013 maart;1666.0;2814.0
20;Totaal landen;Nederland;2013 1e kwartaal;4251.0;7055.0
21;Totaal landen;Nederland;2013 april;1878.0;3273.0
22;Totaal landen;Nederland;2013 mei;2091.0;3685.0
23;Totaal landen;Nederland;2013 juni;2010.0;3472.0
24;Totaal landen;Nederland;2013 2e kwartaal;5980.0;10431.0
25;Totaal landen;Nederland;2013 juli;2056.0;3845.0
26;Totaal landen;Nederland;2013 augustus;2179.0;4166.0
27;Totaal landen;Nederland;2013 september;1970.0;3387.0
28;Totaal landen;Nederland;2013 3e kwartaal;6205.0;11398.0
29;Totaal landen;Nederland;2013 oktober;1936.0;3309.0
30;Totaal landen;Nederland;2013 november;1672.0;2720.0
31;Totaal landen;Nederland;2013 december;1478.0;2477.0
32;Totaal landen;Nederland;2013 4e kwartaal;5086.0;8506.0
33;Totaal landen;Nederland;2013;21521.0;37390.0
34;Totaal landen;Nederland;2014 januari;1376.0;2214.0
35;Totaal landen;Nederland;2014 februari;1433.0;2313.0
36;Totaal landen;Nederland;2014 maart;1810.0;3005.0
37;Totaal landen;Nederland;2014 1e kwartaal;4618.0;7532.0
38;Totaal landen;Nederland;2014 april;2029.0;3556.0
39;Totaal landen;Nederland;2014 mei;2202.0;3831.0
40;Totaal landen;Nederland;2014 juni;2136.0;3742.0
41;Totaal landen;Nederland;2014 2e kwartaal;6367.0;11129.0
42;Totaal landen;Nederland;2014 juli;2177.0;3985.0
43;Totaal landen;Nederland;2014 augustus;2337.0;4389.0
44;Totaal landen;Nederland;2014 september;2130.0;3683.0
45;Totaal landen;Nederland;2014 3e kwartaal;6644.0;12057.0
46;Totaal landen;Nederland;2014 oktober;2100.0;3551.0
47;Totaal landen;Nederland;2014 november;1784.0;2910.0
48;Totaal landen;Nederland;2014 december;1609.0;2685.0
49;Totaal landen;Nederland;2014 4e kwartaal;5493.0;9146.0
50;Totaal landen;Nederland;2014;23122.0;39864.0
51;Totaal landen;Nederland;2015 januari;1436.0;2383.0
52;Totaal landen;Nederland;2015 februari;1549.0;2553.0
53;Totaal landen;Nederland;2015 maart;1777.0;2946.0
54;Totaal landen;Nederland;2015 1e kwartaal;4763.0;7882.0
55;Totaal landen;Nederland;2015 april;2152.0;3773.0
56;Totaal landen;Nederland;2015 mei;2299.0;4027.0
57;Totaal landen;Nederland;2015 juni;2199.0;3771.0
58;Totaal landen;Nederland;2015 2e kwartaal;6650.0;11571.0
59;Totaal landen;Nederland;2015 juli;2335.0;4261.0
60;Totaal landen;Nederland;2015 augustus;2445.0;4563.0
61;Totaal landen;Nederland;2015 september;2182.0;3736.0
62;Totaal landen;Nederland;2015 3e kwartaal;6961.0;12560.0
63;Totaal landen;Nederland;2015 oktober;2200.0;3704.0
