ID;Regions;Periods;MixedIncomeNet_1;TotalCompensationOfEmployees_2;TotalPropertyIncome_3;TotalPropertyIncome_4;PrimaryIncomeNet_5;PrimaryIncomeNet_6;TotalSocialBenefits_7;TotalOtherCurrentTransfers_8;TotalCurrentTaxesOnIncomeAndWealth_9;TotalSocialContributions_10;TotalOtherCurrentTransfers_11;DisposableIncomeNet_12;MixedIncomeNet_13;TotalCompensationOfEmployees_14;TotalPropertyIncome_15;TotalPropertyIncome_16;PrimaryIncomeNet_17;PrimaryIncomeNet_18;TotalSocialBenefits_19;TotalOtherCurrentTransfers_20;TotalCurrentTaxesOnIncomeAndWealth_21;TotalSocialContributions_22;TotalOtherCurrentTransfers_23;DisposableIncomeNet_24
0;Nederland;2015;44713;324905;55837;8373;417082;417082;122730;15404;61480;165266;18294;310176;2640;19180;3296;494;24621;24621;7245;909;3629;9756;1080;18310
1;Nederland;2016;49774;336082;55401;7027;434230;434230;125148;15569;58891;174793;18545;322718;2923;19734;3253;413;25497;25497;7349;914;3458;10264;1089;18950
2;Nederland;2017;55872;347248;54393;7772;449741;449741;128228;15599;67710;175718;19022;331118;3261;20270;3175;454;26253;26253;7485;911;3952;10257;1110;19328
3;Nederland;2018;61923;364769;56568;9233;474027;474027;130989;15540;67426;185168;18904;349058;3594;21169;3283;536;27509;27509;7602;902;3913;10746;1097;20257
4;Nederland;2019;63992;384348;63823;6554;505609;505609;135873;15261;73657;196689;19338;367059;3689;22159;3680;378;29150;29150;7834;880;4247;11340;1115;21162
5;Nederland;2020;61836;397812;56768;4578;511838;511838;143581;17352;76677;196243;18817;381034;3545;22808;3255;262;29346;29346;8232;995;4396;11251;1079;21846
6;Nederland;2021;70063;414812;56275;4827;536323;536323;148045;17124;80103;198375;18943;404071;3996;23659;3210;275;30589;30589;8444;977;4569;11314;1080;23046
7;Nederland;2022;81971;444475;65382;15450;576378;576378;154521;21728;83366;213891;18167;437203;4631;25110;3694;873;32562;32562;8730;1228;4710;12084;1026;24699
8;Noord-Nederland (LD);2015;5409;27492;4858;822;37032;37032;12801;1581;4712;15065;1739;29820;3147;15997;2827;478;21548;21548;7449;920;2742;8766;1012;17352
9;Noord-Nederland (LD);2016;5988;28341;4775;667;38513;38513;13034;1597;4563;15827;1753;30964;3481;16474;2776;388;22387;22387;7577;928;2652;9200;1019;17999
