ID;InstellingenProvinciesGemeentegrootte;Perioden;InstellingenKunstzinnigeVorming_1;TotaalLeerlingenEnCursisten_2;Jeugd_3;Volwassenen_4;MuziekleerlingenEnCursisten_5;DansleerlingenEnCursisten_6;LeerlingenEnCursistenBeeldendeKunst_7;LeerlingenEnCursistenOverigeKunst_8;GemiddeldPerInstelling_9;TotaalLeerlingen_10;Jeugd_11;Volwassenen_12;TotaalMuziekleerlingen_13;Jeugd_14;Volwassenen_15;TotaalDansleerlingen_16;Jeugd_17;Volwassenen_18;TotaalLeerlingenBeeldend_19;Jeugd_20;Volwassenen_21;TotaalLeerlingenOverig_22;Jeugd_23;Volwassenen_24;GemiddeldPerInstelling_25;TotaalCursisten_26;Jeugd_27;Volwassenen_28;TotaalMuziekcursisten_29;Jeugd_30;Volwassenen_31;TotaalDanscursisten_32;Jeugd_33;Volwassenen_34;TotaalCursistenBeeldendeKunst_35;Jeugd_36;Volwassenen_37;TotaalCursistenOverig_38;Jeugd_39;Volwassenen_40;GemiddeldPerInstelling_41;TotaalWerkzamePersonen_42;OnderwijzendPersoneel_43;OnderwijsondersteunendPersoneel_44;Steunfuncties_45;TotaalMensjarenPersoneel_46;MensjarenPersoneelInLoondienst_47;OnderwijzendPersoneel_48;OnderwijsondersteunendPersoneel_49;Steunfuncties_50;TotaalBaten_51;GemeentelijkeSubsidies_52;ProvincialeSubsidies_53;LesEnCursusgelden_54;OverigeBaten_55;TotaalLasten_56;Personeelskosten_57;Huisvestingskosten_58;OverigeLasten_59
0;Totaal alle instellingen;1993;262.0;390.0;63.0;37.0;66.0;8.0;17.0;9.0;1489.0;332.0;68.0;32.0;242.0;80.0;20.0;27.0;71.0;29.0;49.0;15.0;85.0;14.0;44.0;56.0;1269.0;58.0;38.0;62.0;15.0;49.0;51.0;3.0;36.0;64.0;19.0;18.0;82.0;21.0;48.0;52.0;220.0;11.0;85.0;15.0;0.0;4550.0;;75.0;23.0;2.0;189.6;67.0;2.0;28.0;3.0;189.9;54.0;11.0;35.0
1;Totaal alle instellingen;1995;250.0;380.0;65.0;35.0;67.0;8.0;15.0;10.0;1519.0;309.0;72.0;28.0;232.0;82.0;18.0;27.0;75.0;25.0;36.0;17.0;83.0;14.0;36.0;64.0;1235.0;71.0;38.0;62.0;22.0;43.0;57.0;3.0;7.0;93.0;22.0;11.0;89.0;24.0;17.0;83.0;284.0;;;;;4276.0;;70.0;;;183.3;67.0;2.0;28.0;3.0;189.2;76.0;10.0;14.0
2;Totaal alle instellingen;1997;244.0;379.0;65.0;35.0;66.0;8.0;16.0;10.0;1554.0;307.0;72.0;28.0;227.0;81.0;19.0;28.0;73.0;27.0;38.0;23.0;77.0;13.0;44.0;56.0;1258.0;72.0;38.0;62.0;24.0;54.0;46.0;4.0;28.0;72.0;22.0;12.0;88.0;23.0;46.0;54.0;297.0;11.3;81.0;16.0;3.0;4375.0;4095.0;70.0;27.0;3.0;202.7;66.0;1.0;28.0;5.0;202.9;75.0;11.0;14.0
3;Totaal alle instellingen;1999;240.0;384.0;66.0;34.0;66.0;9.0;14.0;11.0;1600.0;295.0;69.0;31.0;213.0;81.0;19.0;27.0;72.0;28.0;35.0;16.0;84.0;15.0;54.0;46.0;1229.0;93.0;49.0;51.0;39.0;64.0;36.0;7.0;55.0;45.0;20.0;13.0;87.0;28.0;36.0;64.0;371.0;12.0;81.0;18.0;1.0;4407.0;4140.0;70.0;29.0;1.0;212.0;66.0;1.0;28.0;5.0;212.0;74.0;10.0;16.0
4;Totaal alle instellingen;2001;235.0;412.0;61.0;39.0;59.0;10.0;18.0;13.0;1754.0;300.0;67.0;33.0;210.0;77.0;23.0;31.0;70.0;30.0;41.0;15.0;85.0;16.0;55.0;45.0;1275.0;112.0;46.0;54.0;38.0;61.0;39.0;9.0;49.0;51.0;32.0;25.0;75.0;32.0;51.0;49.0;478.0;12.5;80.0;16.0;4.0;4499.0;4134.0;68.0;28.0;4.0;241.5;62.0;2.0;28.0;8.0;241.5;71.0;10.0;19.0
5;Totaal alle instellingen;2003;235.0;430.0;61.0;39.0;63.0;10.0;16.0;11.0;1830.0;308.0;67.0;33.0;217.0;76.0;24.0;33.0;70.0;30.0;39.0;15.0;85.0;19.0;56.0;44.0;1309.0;123.0;43.0;57.0;50.0;58.0;42.0;10.0;58.0;42.0;30.0;26.0;74.0;34.0;28.0;72.0;521.0;12.3;79.0;19.0;2.0;4606.0;4366.0;67.0;29.0;4.0;266.1;59.0;3.0;28.0;10.0;266.1;73.0;11.0;16.0
6;Totaal alle instellingen;2005;237.0;448.0;65.0;35.0;63.0;10.0;14.0;13.0;1890.0;315.0;70.0;30.0;223.0;78.0;22.0;34.0;73.0;27.0;36.0;25.0;75.0;22.0;60.0;40.0;1329.0;133.0;51.0;49.0;61.0;62.0;38.0;10.0;53.0;47.0;27.0;25.0;75.0;35.0;40.0;60.0;561.0;13.2;80.0;17.0;3.0;4579.0;4330.0;61.0;35.0;4.0;295.8;61.0;3.0;27.0;9.0;295.8;72.0;12.0;16.0
7;Totaal alle instellingen;2007;245.0;476.0;63.0;37.0;59.0;12.0;14.0;15.0;1941.0;323.0;68.0;32.0;221.0;75.0;25.0;39.0;68.0;32.0;38.0;33.0;66.0;24.0;70.0;30.0;1317.0;153.0;48.0;52.0;60.0;63.0;37.0;16.0;49.0;51.0;30.0;25.0;75.0;47.0;41.0;59.0;624.0;12.8;79.0;18.0;3.0;4676.0;4456.0;63.0;34.0;3.0;309.1;61.0;3.0;27.0;9.0;309.1;71.0;13.0;16.0
8;Muziekscholen;1993;150.0;194.0;80.0;20.0;94.0;5.0;;;1295.0;185.0;82.0;18.0;;;;;;;;;;;;;1234.0;9.0;44.0;56.0;;;;;;;;;;;;;61.0;5.5;87.0;13.0;0.0;2595.0;;82.0;17.0;1.0;99.6;69.0;1.0;29.0;1.0;100.2;65.0;9.0;26.0
9;Muziekscholen;1995;140.0;187.0;81.0;19.0;95.0;5.0;;;1338.0;174.0;84.0;16.0;;;;;;;;;;;;;1241.0;14.0;47.0;53.0;;;;;;;;;;;;;97.0;;;;;2275.0;;79.0;;;99.1;68.0;1.0;29.0;2.0;99.4;80.0;9.0;11.0
