ID;PolitiekeGroeperingen;TotaalGeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;TotaalMannenEnVrouwen_3;TotaalMannenEnVrouwenRelatief_4;Mannen_5;Vrouwen_6
0;1;5667303;100.0;25;100;20;5
1;2;2017743;35.6;10;40;8;2
2;3;97343;1.7;0;0;0;0
3;4;511967;9.0;2;8;1;1
4;5;62610;1.1;0;0;0;0
5;6;24903;0.4;0;0;0;0
6;7;97243;1.7;0;0;0;0
7;8;1722240;30.4;9;36;7;2
8;9;92055;1.6;0;0;0;0
9;10;126412;2.2;0;0;0;0
10;11;914787;16.1;4;16;4;0
