ID;ExpenditureCategories;Periods;HICP_1;HICPCT_2;MonthOnMonthChangeHICP_3;MonthOnMonthChangeHICPCT_4;YearOnYearChangeHICP_5;YearOnYearChangeHICPCT_6;WeightingCoefficient_7
0;000000 All items;1996 January;67.94;;;;;;100000
1;000000 All items;1996 February;68.29;;0.5;;;;100000
2;000000 All items;1996 March;69.11;;1.2;;;;100000
3;000000 All items;1996 April;69.32;;0.3;;;;100000
4;000000 All items;1996 May;69.04;;-0.4;;;;100000
5;000000 All items;1996 June;68.7;;-0.5;;;;100000
6;000000 All items;1996 July;68.49;;-0.3;;;;100000
7;000000 All items;1996 August;68.36;;-0.2;;;;100000
8;000000 All items;1996 September;69.11;;1.1;;;;100000
9;000000 All items;1996 October;69.32;;0.3;;;;100000
10;000000 All items;1996 November;69.18;;-0.2;;;;100000
11;000000 All items;1996 December;69.11;;-0.1;;;;100000
12;000000 All items;1996;68.83;;;;;;100000
13;000000 All items;1997 January;69.11;;0.0;;1.7;;100000
14;000000 All items;1997 February;69.25;;0.2;;1.4;;100000
15;000000 All items;1997 March;69.94;;1.0;;1.2;;100000
16;000000 All items;1997 April;70.01;;0.1;;1.0;;100000
17;000000 All items;1997 May;70.15;;0.2;;1.6;;100000
18;000000 All items;1997 June;69.73;;-0.6;;1.5;;100000
19;000000 All items;1997 July;69.8;;0.1;;1.9;;100000
20;000000 All items;1997 August;70.08;;0.4;;2.5;;100000
21;000000 All items;1997 September;70.83;;1.1;;2.5;;100000
22;000000 All items;1997 October;70.9;;0.1;;2.3;;100000
23;000000 All items;1997 November;70.9;;0.0;;2.5;;100000
24;000000 All items;1997 December;70.63;;-0.4;;2.2;;100000
25;000000 All items;1997;70.11;;;;1.9;;100000
26;000000 All items;1998 January;70.21;;-0.6;;1.6;;100000
27;000000 All items;1998 February;70.7;;0.7;;2.1;;100000
28;000000 All items;1998 March;71.45;;1.1;;2.2;;100000
29;000000 All items;1998 April;71.73;;0.4;;2.5;;100000
30;000000 All items;1998 May;71.59;;-0.2;;2.1;;100000
31;000000 All items;1998 June;71.25;;-0.5;;2.2;;100000
32;000000 All items;1998 July;71.04;;-0.3;;1.8;;100000
33;000000 All items;1998 August;71.04;;0.0;;1.4;;100000
34;000000 All items;1998 September;71.73;;1.0;;1.3;;100000
35;000000 All items;1998 October;71.94;;0.3;;1.5;;100000
36;000000 All items;1998 November;71.94;;0.0;;1.5;;100000
37;000000 All items;1998 December;71.66;;-0.4;;1.5;;100000
38;000000 All items;1998;71.36;;;;1.8;;100000
39;000000 All items;1999 January;71.66;;0.0;;2.1;;100000
40;000000 All items;1999 February;72.14;;0.7;;2.0;;100000
41;000000 All items;1999 March;72.9;;1.1;;2.0;;100000
42;000000 All items;1999 April;73.11;;0.3;;1.9;;100000
43;000000 All items;1999 May;73.11;;0.0;;2.1;;100000
44;000000 All items;1999 June;72.76;;-0.5;;2.1;;100000
