ID;RegioS;Geslacht;Leeftijd;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal mannen en vrouwen;Totaal leeftijd;10752.8;17.8
1;Nederland;Totaal mannen en vrouwen;15 tot 25 jaar;1017.6;9.1
2;Nederland;Totaal mannen en vrouwen;25 tot 45 jaar;4033.7;18.4
3;Nederland;Totaal mannen en vrouwen;45 tot 65 jaar;3454.2;20.5
4;Nederland;Totaal mannen en vrouwen;65 jaar en ouder;2247.2;16.3
5;Nederland;Man;Totaal leeftijd;5655.7;21.3
6;Nederland;Man;15 tot 25 jaar;518.7;9.5
7;Nederland;Man;25 tot 45 jaar;2169.6;21.4
8;Nederland;Man;45 tot 65 jaar;2010.0;24.9
9;Nederland;Man;65 jaar en ouder;957.4;20.0
10;Nederland;Vrouw;Totaal leeftijd;5097.1;13.8
11;Nederland;Vrouw;15 tot 25 jaar;498.9;8.6
12;Nederland;Vrouw;25 tot 45 jaar;1864.1;14.9
13;Nederland;Vrouw;45 tot 65 jaar;1444.2;14.4
14;Nederland;Vrouw;65 jaar en ouder;1289.8;13.5
15;Noord-Nederland (LD);Totaal mannen en vrouwen;Totaal leeftijd;1124.0;16.4
16;Noord-Nederland (LD);Totaal mannen en vrouwen;15 tot 25 jaar;105.7;8.7
17;Noord-Nederland (LD);Totaal mannen en vrouwen;25 tot 45 jaar;401.6;16.7
18;Noord-Nederland (LD);Totaal mannen en vrouwen;45 tot 65 jaar;363.2;18.9
19;Noord-Nederland (LD);Totaal mannen en vrouwen;65 jaar en ouder;253.5;15.3
20;Noord-Nederland (LD);Man;Totaal leeftijd;600.0;19.4
21;Noord-Nederland (LD);Man;15 tot 25 jaar;54.2;9.3
22;Noord-Nederland (LD);Man;25 tot 45 jaar;219.1;19.3
23;Noord-Nederland (LD);Man;45 tot 65 jaar;217.4;22.5
24;Noord-Nederland (LD);Man;65 jaar en ouder;109.3;18.7
25;Noord-Nederland (LD);Vrouw;Totaal leeftijd;524.0;12.9
26;Noord-Nederland (LD);Vrouw;15 tot 25 jaar;51.4;8.1
27;Noord-Nederland (LD);Vrouw;25 tot 45 jaar;182.5;13.7
28;Noord-Nederland (LD);Vrouw;45 tot 65 jaar;145.8;13.6
29;Noord-Nederland (LD);Vrouw;65 jaar en ouder;144.2;12.8
30;Oost-Nederland (LD);Totaal mannen en vrouwen;Totaal leeftijd;2251.1;17.1
31;Oost-Nederland (LD);Totaal mannen en vrouwen;15 tot 25 jaar;226.3;9.0
32;Oost-Nederland (LD);Totaal mannen en vrouwen;25 tot 45 jaar;850.0;17.7
33;Oost-Nederland (LD);Totaal mannen en vrouwen;45 tot 65 jaar;715.2;19.8
34;Oost-Nederland (LD);Totaal mannen en vrouwen;65 jaar en ouder;459.6;15.9
35;Oost-Nederland (LD);Man;Totaal leeftijd;1198.9;20.7
36;Oost-Nederland (LD);Man;15 tot 25 jaar;116.8;9.6
37;Oost-Nederland (LD);Man;25 tot 45 jaar;463.0;20.9
38;Oost-Nederland (LD);Man;45 tot 65 jaar;422.6;24.1
39;Oost-Nederland (LD);Man;65 jaar en ouder;196.5;19.6
40;Oost-Nederland (LD);Vrouw;Totaal leeftijd;1052.1;13.1
41;Oost-Nederland (LD);Vrouw;15 tot 25 jaar;109.6;8.5
42;Oost-Nederland (LD);Vrouw;25 tot 45 jaar;387.0;13.9
43;Oost-Nederland (LD);Vrouw;45 tot 65 jaar;292.6;13.7
44;Oost-Nederland (LD);Vrouw;65 jaar en ouder;263.1;13.2
45;West-Nederland (LD);Totaal mannen en vrouwen;Totaal leeftijd;5001.1;18.6
46;West-Nederland (LD);Totaal mannen en vrouwen;15 tot 25 jaar;464.1;9.3
47;West-Nederland (LD);Totaal mannen en vrouwen;25 tot 45 jaar;1917.3;19.3
48;West-Nederland (LD);Totaal mannen en vrouwen;45 tot 65 jaar;1592.9;21.4
49;West-Nederland (LD);Totaal mannen en vrouwen;65 jaar en ouder;1026.7;16.9
50;West-Nederland (LD);Man;Totaal leeftijd;2587.5;22.3
51;West-Nederland (LD);Man;15 tot 25 jaar;233.3;9.7
52;West-Nederland (LD);Man;25 tot 45 jaar;1018.1;22.3
53;West-Nederland (LD);Man;45 tot 65 jaar;904.4;26.1
54;West-Nederland (LD);Man;65 jaar en ouder;431.6;20.9
55;West-Nederland (LD);Vrouw;Totaal leeftijd;2413.6;14.6
56;West-Nederland (LD);Vrouw;15 tot 25 jaar;230.8;8.9
57;West-Nederland (LD);Vrouw;25 tot 45 jaar;899.2;15.9
58;West-Nederland (LD);Vrouw;45 tot 65 jaar;688.5;15.3
59;West-Nederland (LD);Vrouw;65 jaar en ouder;595.1;14.1
60;Zuid-Nederland (LD);Totaal mannen en vrouwen;Totaal leeftijd;2376.7;17.3
61;Zuid-Nederland (LD);Totaal mannen en vrouwen;15 tot 25 jaar;221.5;8.7
62;Zuid-Nederland (LD);Totaal mannen en vrouwen;25 tot 45 jaar;864.8;17.9
63;Zuid-Nederland (LD);Totaal mannen en vrouwen;45 tot 65 jaar;782.9;20.0
64;Zuid-Nederland (LD);Totaal mannen en vrouwen;65 jaar en ouder;507.4;15.8
65;Zuid-Nederland (LD);Man;Totaal leeftijd;1269.2;20.9
66;Zuid-Nederland (LD);Man;15 tot 25 jaar;114.4;9.2
67;Zuid-Nederland (LD);Man;25 tot 45 jaar;469.3;21.1
68;Zuid-Nederland (LD);Man;45 tot 65 jaar;465.6;24.4
69;Zuid-Nederland (LD);Man;65 jaar en ouder;220.0;19.4
70;Zuid-Nederland (LD);Vrouw;Totaal leeftijd;1107.4;13.1
71;Zuid-Nederland (LD);Vrouw;15 tot 25 jaar;107.1;8.3
72;Zuid-Nederland (LD);Vrouw;25 tot 45 jaar;395.5;14.1
73;Zuid-Nederland (LD);Vrouw;45 tot 65 jaar;317.3;13.5
74;Zuid-Nederland (LD);Vrouw;65 jaar en ouder;287.5;13.1
75;Groningen (PV);Totaal mannen en vrouwen;Totaal leeftijd;380.0;16.2
76;Groningen (PV);Totaal mannen en vrouwen;15 tot 25 jaar;38.6;8.6
77;Groningen (PV);Totaal mannen en vrouwen;25 tot 45 jaar;138.9;16.8
78;Groningen (PV);Totaal mannen en vrouwen;45 tot 65 jaar;120.0;18.9
79;Groningen (PV);Totaal mannen en vrouwen;65 jaar en ouder;82.6;15.0
80;Groningen (PV);Man;Totaal leeftijd;201.0;18.9
81;Groningen (PV);Man;15 tot 25 jaar;19.2;9.0
82;Groningen (PV);Man;25 tot 45 jaar;75.5;18.9
83;Groningen (PV);Man;45 tot 65 jaar;71.4;22.1
84;Groningen (PV);Man;65 jaar en ouder;34.9;18.1
85;Groningen (PV);Vrouw;Totaal leeftijd;179.1;13.2
86;Groningen (PV);Vrouw;15 tot 25 jaar;19.4;8.1
87;Groningen (PV);Vrouw;25 tot 45 jaar;63.4;14.3
