ID;SBI93;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3;Wegingsfactoren_4
0;Keuring en controle;2006 1e kwartaal;100.2;;;100
1;Keuring en controle;2006 2e kwartaal;99.6;-0.6;;100
2;Keuring en controle;2006 3e kwartaal;99.7;0.1;;100
3;Keuring en controle;2006 4e kwartaal;100.5;0.8;;100
4;Keuring en controle;2006 jaargemiddelde;100.0;;;100
5;Keuring en controle;2007 1e kwartaal;101.2;0.7;1.0;100
6;Keuring en controle;2007 2e kwartaal;101.2;0.0;1.6;100
7;Keuring en controle;2007 3e kwartaal;101.1;-0.1;1.4;100
8;Keuring en controle;2007 4e kwartaal;100.3;-0.8;-0.2;100
9;Keuring en controle;2007 jaargemiddelde;101.0;;1.0;100
10;Keuring en controle;2008 1e kwartaal;100.7;0.4;-0.5;100
