ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;OnderdelenEnAccessoires_28;BandenVoorAutoSEnMotorfietsen_29;OverigeHandelsactiviteiten_30;ReparatiesInclGebruikteOnderdelen_31;OverigeDienstverlening_32;OntvangstenVoorUitleenEnSubsidie_33;TotaalPersoneelskosten_34;BrutoLonenEnSalarissen_35;SocialeLasten_36;Pensioenpremies_37;KostenUitzendkrachten_38;KostenIngeleendPersoneel_39;OverigePersoneelskosten_40;TotaalOverigeBedrijfslasten_41;TotaalHuisvestingskosten_42;BetaaldeHurenPachtenEDVanLeasing_43;OnroerendeZaakbelastingMilieuheffing_44;Energiekosten_45;ReparatieEnOnderhoudskosten_46;Verzekeringen_47;OverigeHuisvestingskosten_48;TotaalInventarisEnMachinekosten_49;BetaaldeHurenEnKostenVanOperLease_50;Onderhoudskosten_51;OverigeInventarisEnMachinekosten_52;TotaalAutokosten_53;BetaaldeHurenEnKostenVanOperLease_54;Brandstof_55;OverigeAutokosten_56;TotaalVerkoopkosten_57;ReclameEnAdvertentiekosten_58;ReisVerblijfsEnRepresentatiekosten_59;OverigeVerkoopkosten_60;TotaalAndereKosten_61;AccountantsEnAdviesdiensten_62;KantoorbenodigdhDrukwerkVakliteratuur_63;OverigeVerzekeringen_64;OverigeKostprijsverhogendeBelastingen_65;Communicatiekosten_66;Beheerskosten_67;OverigeAutomatiseringskosten_68;NogNietEerderGenoemdeBedrijfskosten_69;TotaalAantalWerkzamePersonen_70;WerknemersOpDeLoonlijst_71;WerknemersNietOpLoonlijst_72;OverigPersoneel_73;AantalVte_74;TotaalInvesteringen_75;TotaalMaterieleVasteActiva_76;Bedrijfsruimten_77;Vervoermiddelen_78;Computers_79;OverigeMachinesApparatenED_80;OverigeMaterieleVasteActiva_81;TotaalImmaterieleVasteActiva_82
0;Totaal SBI 50303;1996;3.9;229;226;3;223;3;213;67.7;14.2;3.2;14.9;32;14;1;2;8;7;17;-3;14;36.2;6.4;6.2;3.3;119.4;20.7;226;76.6;2.0;20.2;0.6;0.6;0.8;30;84.3;6.6;2.8;0.4;0.0;6.8;32;14;78.7;2.5;11.8;2.1;1.2;3.7;1;4.7;24.7;70.6;2;17.6;27.5;54.8;8;67.8;3.8;28.3;7;20.9;8.7;9.0;0.1;17.0;14.7;7.2;22.3;23;81.7;18.3;0.0;19;8;99.7;40.4;24.4;4.1;10.3;20.5;0.3
1;Totaal SBI 50303;1997;4.2;236;232;4;228;4;219;67.3;14.5;3.0;15.1;33;15;1;2;8;7;17;-4;13;36.3;6.2;5.6;5.5;118.1;21.0;232;74.9;1.8;21.7;0.9;0.7;1.5;32;84.9;6.3;2.3;0.4;0.3;7.3;33;15;75.0;2.7;12.1;5.3;1.4;3.5;1;3.5;31.1;65.4;2;15.3;28.6;56.1;8;66.8;4.3;28.8;7;21.9;9.0;9.6;0.9;17.9;9.0;8.4;23.5;25;82.4;17.5;0.0;20;13;100.0;37.6;18.3;4.5;5.9;33.6;0.0
2;Totaal SBI 50303;1998;4.2;239;233;5;228;6;223;67.2;15.0;3.0;14.8;33;14;1;2;10;6;16;-2;14;35.8;5.8;6.0;3.6;;;233;74.8;0.5;22.6;1.2;0.9;1.0;33;82.5;10.1;1.5;0.5;0.2;6.2;33;14;;;;;;;1;;;;2;;;;10;;;;6;;;;;;;;;23;83.6;16.3;0.1;18;9;99.9;38.2;15.7;5.5;10.6;29.9;0.1
3;Totaal SBI 50303;1999;3.9;244;239;5;234;5;227;66.4;15.5;2.9;15.2;35;15;1;2;11;6;17;-2;15;37.1;6.2;6.3;3.4;;;239;72.3;0.6;25.0;1.3;0.0;1.0;35;81.5;10.6;1.6;0.2;0.2;7.0;35;15;;;;;;;1;;;;2;;;;11;;;;6;;;;;;;;;24;84.2;15.8;0.0;18;8;94.3;14.6;16.0;29.2;7.2;27.4;5.7
4;Tot 500 000 euro;1996;2.9;42;42;2;39;0;36;68.4;10.3;4.5;16.8;6;2;0;1;1;2;6;-1;5;40.4;12.1;12.1;2.9;81.6;23.3;42;89.0;2.3;3.1;2.7;2.9;2.5;4;89.8;8.2;1.5;0.4;0.0;2.5;6;2;68.1;2.8;16.1;4.1;4.4;4.4;0;10.5;45.5;44.0;1;9.6;41.0;49.4;1;79.1;7.8;13.1;2;34.1;8.8;6.2;0.3;16.6;0.9;2.4;30.7;5;37.0;63.0;0.0;5;1;99.4;17.7;23.4;4.3;37.4;16.6;0.6
5;Tot 500 000 euro;1997;3.2;52;51;3;49;1;46;66.3;12.5;3.6;17.5;8;3;0;1;2;2;6;-1;5;40.3;9.1;9.1;5.1;77.9;20.0;51;90.5;1.8;2.6;4.0;1.1;2.9;6;83.8;7.9;3.1;0.1;0.1;7.8;8;3;66.6;3.4;15.3;6.4;4.0;4.4;0;4.4;66.6;29.0;1;6.2;43.7;50.1;2;60.7;6.5;32.7;2;31.3;10.6;7.4;0.3;16.5;0.8;2.8;30.5;8;52.7;47.3;0.0;7;3;100.0;18.3;50.1;2.2;19.6;9.8;0.0
6;Tot 500 000 euro;1998;3.1;43;43;2;41;0;37;68.2;9.8;3.8;18.1;7;2;0;1;1;2;6;0;6;41.1;12.7;12.8;4.2;;;43;90.4;1.7;2.9;3.8;1.1;3.0;4;83.3;11.0;1.4;1.6;0.0;5.7;7;2;;;;;;;0;;;;1;;;;1;;;;2;;;;;;;;;5;43.1;56.9;0.0;5;2;100.0;48.6;25.8;1.6;4.0;20.0;0.0
7;Tot 500 000 euro;1999;2.9;42;41;1;40;1;36;68.9;10.4;2.9;17.8;6;2;0;1;1;2;6;0;6;40.9;13.5;13.6;3.4;;;41;90.3;1.7;4.7;2.1;0.0;1.4;4;84.3;11.9;0.8;0.0;0.0;4.4;6;2;;;;;;;0;;;;1;;;;1;;;;2;;;;;;;;;5;45.9;54.1;0.0;4;1;100.0;0.6;40.8;7.6;7.5;43.5;0.0
8;500 000 tot 1 000 000 euro;1996;0.7;55;55;0;55;0;50;66.8;14.3;3.4;15.4;8;2;0;1;2;2;5;-1;4;38.5;7.6;7.7;5.1;126.7;19.5;55;87.7;5.6;6.5;0.1;0.1;0.5;7;83.0;6.9;2.9;0.3;0.1;7.3;8;2;73.8;1.9;15.0;3.1;1.1;5.0;0;3.0;40.5;56.5;1;3.9;28.6;67.4;2;62.8;2.6;34.6;2;16.2;10.2;8.8;0.0;12.5;22.9;1.6;27.8;5;87.6;12.4;0.0;4;3;100.0;46.3;31.9;1.7;6.0;14.0;0.0
9;500 000 tot 1 000 000 euro;1997;0.6;38;38;1;36;0;35;64.5;16.2;3.2;16.1;6;2;0;0;2;1;3;0;3;40.6;8.0;8.6;12.6;133.8;24.2;38;88.3;0.3;8.6;0.0;2.8;2.4;6;88.4;6.1;2.6;0.0;0.0;5.2;6;2;66.3;2.7;14.0;10.2;1.8;5.1;0;0.0;28.7;71.3;0;3.4;24.4;72.1;2;64.9;4.3;30.8;1;22.4;11.7;7.6;3.5;14.6;2.1;5.3;32.8;4;87.9;12.1;0.0;3;5;100.0;69.6;17.3;0.8;1.4;10.9;0.0
