ID;EnvironmentalDomains;IndustriesSIC2008;Periods;LabourInputOfEmployedPersons_1;OutputAtBasicPrices_2;GrossValueAddedAtBasicPrices_3;ExportAtBasicPrices_4
0;Environmental domains, total;A-U All economic activities;2001;117.1;18261.0;7906.0;
1;Environmental domains, total;A-U All economic activities;2002;119.2;19295.0;8333.0;
2;Environmental domains, total;A-U All economic activities;2003;118.1;19798.0;8655.0;
3;Environmental domains, total;A-U All economic activities;2004;114.1;20140.0;8820.0;
4;Environmental domains, total;A-U All economic activities;2005;110.5;20553.0;9071.0;
5;Environmental domains, total;A-U All economic activities;2006;117.1;22066.0;10016.0;
6;Environmental domains, total;A-U All economic activities;2007;119.0;23533.0;10652.0;
7;Environmental domains, total;A-U All economic activities;2008;119.7;25952.0;11712.0;
8;Environmental domains, total;A-U All economic activities;2009;123.8;25534.0;11471.0;
9;Environmental domains, total;A-U All economic activities;2010;129.4;27957.0;12416.0;
10;Environmental domains, total;A-U All economic activities;2011;135.2;31805.0;13220.0;
11;Environmental domains, total;A-U All economic activities;2012;130.5;32961.0;13028.0;
12;Environmental domains, total;A-U All economic activities;2013;133.5;34214.0;13570.0;
13;Environmental domains, total;A-U All economic activities;2014;134.0;35311.0;14647.0;8114.0
14;Environmental domains, total;A-U All economic activities;2015;135.1;35719.0;15287.0;8379.0
15;Environmental domains, total;A-U All economic activities;2016;143.1;37332.0;16108.0;8467.0
16;Environmental domains, total;A-U All economic activities;2017;151.6;40499.0;17439.0;7842.0
17;Environmental domains, total;A-U All economic activities;2018;160.2;42499.0;18145.0;8096.0
18;Environmental domains, total;A-U All economic activities;2019;172.0;45620.0;19881.0;8723.0
19;Environmental domains, total;A-U All economic activities;2020;184.5;47292.0;20829.0;8314.0
20;Environmental domains, total;A-U All economic activities;2021;188.3;52109.0;22062.0;10371.0
21;Environmental domains, total;A Agriculture, forestry and fishing;2001;1.8;367.0;157.0;
22;Environmental domains, total;A Agriculture, forestry and fishing;2002;1.9;395.0;164.0;
23;Environmental domains, total;A Agriculture, forestry and fishing;2003;2.1;403.0;172.0;
24;Environmental domains, total;A Agriculture, forestry and fishing;2004;2.1;417.0;179.0;
25;Environmental domains, total;A Agriculture, forestry and fishing;2005;2.2;448.0;206.0;
26;Environmental domains, total;A Agriculture, forestry and fishing;2006;2.3;502.0;238.0;
27;Environmental domains, total;A Agriculture, forestry and fishing;2007;2.2;559.0;259.0;
28;Environmental domains, total;A Agriculture, forestry and fishing;2008;2.3;623.0;282.0;
29;Environmental domains, total;A Agriculture, forestry and fishing;2009;2.5;617.0;284.0;
30;Environmental domains, total;A Agriculture, forestry and fishing;2010;3.4;974.0;427.0;
31;Environmental domains, total;A Agriculture, forestry and fishing;2011;3.9;1020.0;401.0;
32;Environmental domains, total;A Agriculture, forestry and fishing;2012;4.0;1093.0;420.0;
33;Environmental domains, total;A Agriculture, forestry and fishing;2013;4.2;1181.0;476.0;
34;Environmental domains, total;A Agriculture, forestry and fishing;2014;4.2;1213.0;515.0;123.0
35;Environmental domains, total;A Agriculture, forestry and fishing;2015;3.9;1242.0;540.0;123.0
36;Environmental domains, total;A Agriculture, forestry and fishing;2016;3.6;1022.0;480.0;134.0
37;Environmental domains, total;A Agriculture, forestry and fishing;2017;4.1;1188.0;568.0;163.0
38;Environmental domains, total;A Agriculture, forestry and fishing;2018;4.6;1243.0;574.0;164.0
39;Environmental domains, total;A Agriculture, forestry and fishing;2019;4.9;1430.0;699.0;182.0
40;Environmental domains, total;A Agriculture, forestry and fishing;2020;5.1;1506.0;746.0;183.0
41;Environmental domains, total;A Agriculture, forestry and fishing;2021;5.4;1744.0;844.0;215.0
42;Environmental domains, total;B-E Industry (no construction), energy;2001;;;;
43;Environmental domains, total;B-E Industry (no construction), energy;2002;;;;
44;Environmental domains, total;B-E Industry (no construction), energy;2003;;;;
45;Environmental domains, total;B-E Industry (no construction), energy;2004;;;;
46;Environmental domains, total;B-E Industry (no construction), energy;2005;;;;
47;Environmental domains, total;B-E Industry (no construction), energy;2006;;;;
48;Environmental domains, total;B-E Industry (no construction), energy;2007;;;;
49;Environmental domains, total;B-E Industry (no construction), energy;2008;;;;
50;Environmental domains, total;B-E Industry (no construction), energy;2009;;;;
51;Environmental domains, total;B-E Industry (no construction), energy;2010;;;;
52;Environmental domains, total;B-E Industry (no construction), energy;2011;;;;
53;Environmental domains, total;B-E Industry (no construction), energy;2012;;;;
54;Environmental domains, total;B-E Industry (no construction), energy;2013;;;;
55;Environmental domains, total;B-E Industry (no construction), energy;2014;;;;
56;Environmental domains, total;B-E Industry (no construction), energy;2015;;;;
57;Environmental domains, total;B-E Industry (no construction), energy;2016;;;;
58;Environmental domains, total;B-E Industry (no construction), energy;2017;;;;
59;Environmental domains, total;B-E Industry (no construction), energy;2018;;;;
60;Environmental domains, total;B-E Industry (no construction), energy;2019;;;;
61;Environmental domains, total;B-E Industry (no construction), energy;2020;;;;
62;Environmental domains, total;B-E Industry (no construction), energy;2021;;;;
63;Environmental domains, total;B Mining and quarrying;2001;;;;
64;Environmental domains, total;B Mining and quarrying;2002;;;;
65;Environmental domains, total;B Mining and quarrying;2003;;;;
66;Environmental domains, total;B Mining and quarrying;2004;;;;
67;Environmental domains, total;B Mining and quarrying;2005;;;;
68;Environmental domains, total;B Mining and quarrying;2006;;;;
69;Environmental domains, total;B Mining and quarrying;2007;;;;
70;Environmental domains, total;B Mining and quarrying;2008;;;;
71;Environmental domains, total;B Mining and quarrying;2009;;;;
72;Environmental domains, total;B Mining and quarrying;2010;;;;
73;Environmental domains, total;B Mining and quarrying;2011;;;;
74;Environmental domains, total;B Mining and quarrying;2012;;;;
75;Environmental domains, total;B Mining and quarrying;2013;;;;
76;Environmental domains, total;B Mining and quarrying;2014;;;;
77;Environmental domains, total;B Mining and quarrying;2015;;;;
78;Environmental domains, total;B Mining and quarrying;2016;;;;
79;Environmental domains, total;B Mining and quarrying;2017;;;;
80;Environmental domains, total;B Mining and quarrying;2018;;;;
81;Environmental domains, total;B Mining and quarrying;2019;;;;
82;Environmental domains, total;B Mining and quarrying;2020;;;;
83;Environmental domains, total;B Mining and quarrying;2021;;;;
84;Environmental domains, total;C Manufacturing;2001;9.4;2697.0;752.0;
85;Environmental domains, total;C Manufacturing;2002;10.1;3023.0;807.0;
86;Environmental domains, total;C Manufacturing;2003;9.6;3108.0;797.0;
87;Environmental domains, total;C Manufacturing;2004;9.4;2931.0;794.0;
88;Environmental domains, total;C Manufacturing;2005;9.0;2943.0;756.0;
89;Environmental domains, total;C Manufacturing;2006;9.7;3082.0;833.0;
90;Environmental domains, total;C Manufacturing;2007;10.5;3521.0;912.0;
91;Environmental domains, total;C Manufacturing;2008;11.2;3941.0;994.0;
92;Environmental domains, total;C Manufacturing;2009;11.1;3399.0;895.0;
93;Environmental domains, total;C Manufacturing;2010;11.5;3698.0;936.0;
94;Environmental domains, total;C Manufacturing;2011;12.3;5221.0;1111.0;
95;Environmental domains, total;C Manufacturing;2012;11.4;6571.0;950.0;
96;Environmental domains, total;C Manufacturing;2013;11.4;7280.0;1059.0;
97;Environmental domains, total;C Manufacturing;2014;11.2;6884.0;1497.0;3918.0
98;Environmental domains, total;C Manufacturing;2015;11.3;6865.0;1607.0;4180.0
99;Environmental domains, total;C Manufacturing;2016;11.6;6227.0;1746.0;4234.0
100;Environmental domains, total;C Manufacturing;2017;12.1;7041.0;1917.0;4456.0
101;Environmental domains, total;C Manufacturing;2018;12.5;7393.0;1905.0;4494.0
102;Environmental domains, total;C Manufacturing;2019;13.1;7709.0;2010.0;4669.0
103;Environmental domains, total;C Manufacturing;2020;13.4;7586.0;2119.0;4504.0
104;Environmental domains, total;C Manufacturing;2021;13.2;10035.0;2539.0;5733.0
105;Environmental domains, total;D Energy supply;2001;0.2;82.0;33.0;
106;Environmental domains, total;D Energy supply;2002;0.2;113.0;55.0;
107;Environmental domains, total;D Energy supply;2003;0.3;139.0;65.0;
108;Environmental domains, total;D Energy supply;2004;0.3;308.0;205.0;
109;Environmental domains, total;D Energy supply;2005;0.4;657.0;507.0;
110;Environmental domains, total;D Energy supply;2006;0.5;732.0;563.0;
111;Environmental domains, total;D Energy supply;2007;0.5;678.0;500.0;
112;Environmental domains, total;D Energy supply;2008;0.6;938.0;699.0;
113;Environmental domains, total;D Energy supply;2009;0.7;1108.0;772.0;
114;Environmental domains, total;D Energy supply;2010;0.9;1086.0;725.0;
115;Environmental domains, total;D Energy supply;2011;1.0;1674.0;815.0;
116;Environmental domains, total;D Energy supply;2012;1.0;1187.0;818.0;
117;Environmental domains, total;D Energy supply;2013;1.1;1180.0;863.0;
118;Environmental domains, total;D Energy supply;2014;1.2;1093.0;844.0;1.0
119;Environmental domains, total;D Energy supply;2015;1.6;1319.0;954.0;2.0
120;Environmental domains, total;D Energy supply;2016;1.8;1395.0;981.0;3.0
121;Environmental domains, total;D Energy supply;2017;1.8;1698.0;1213.0;3.0
122;Environmental domains, total;D Energy supply;2018;2.3;1865.0;1333.0;4.0
123;Environmental domains, total;D Energy supply;2019;2.9;2432.0;1926.0;8.0
124;Environmental domains, total;D Energy supply;2020;4.2;2963.0;2198.0;25.0
