ID;EnergySourcesTechniques;EnergyApplication;Periods;AvoidedEnergy_1;AvoidedEnergyRelative_2;AvoidedEmission_3;AvoidedEmissionRelative_4
0;Total energy sources;Total energy applications;1990;16708.0;0.59;1051.0;0.64
1;Total energy sources;Total energy applications;1991;18291.0;0.62;1142.0;0.67
2;Total energy sources;Total energy applications;1992;19060.0;0.65;1181.0;0.69
3;Total energy sources;Total energy applications;1993;20182.0;0.67;1255.0;0.73
4;Total energy sources;Total energy applications;1994;20875.0;0.7;1322.0;0.75
5;Total energy sources;Total energy applications;1995;22579.0;0.73;1452.0;0.84
6;Total energy sources;Total energy applications;1996;26629.0;0.82;1721.0;0.94
7;Total energy sources;Total energy applications;1997;29603.0;0.94;1932.0;1.1
8;Total energy sources;Total energy applications;1998;31685.0;1.01;2071.0;1.17
9;Total energy sources;Total energy applications;1999;34480.0;1.11;2243.0;1.31
10;Total energy sources;Total energy applications;2000;37811.0;1.21;2521.0;1.46
11;Total energy sources;Total energy applications;2001;42342.0;1.32;2920.0;1.65
12;Total energy sources;Total energy applications;2002;49790.0;1.54;3508.0;1.99
13;Total energy sources;Total energy applications;2003;51012.0;1.53;;
14;Total energy sources;Total energy applications;2004;62982.0;1.86;;
15;Total energy sources;Total energy applications;2005;83761.0;2.5;;
16;Total energy sources;Total energy applications;2006;91560.0;2.78;;
17;Total energy sources;Total energy applications;2007;97307.0;2.95;;
18;Total energy sources;Total energy applications;2008;114329.0;3.5;;
19;Total energy sources;Total energy applications;2009;131753.0;4.07;8930.0;5.24
20;Total energy sources;Total energy applications;2010;133191.0;3.84;9310.0;5.1
21;Total energy sources;Total energy applications;2011;140106.0;4.33;9733.0;5.75
22;Total energy sources;Total energy applications;2012;148316.0;4.57;10543.0;6.35
23;Total energy sources;Total energy applications;2013;144697.0;4.55;10207.0;6.15
24;Total energy sources;Total energy applications;2014;150280.0;4.94;10357.0;6.52
25;Total energy sources;Total energy applications;2015;166920.0;5.36;11802.0;7.07
26;Total energy sources;Total energy applications;2016;180367.0;5.72;12513.0;7.49
27;Total energy sources;Total energy applications;2017;197281.0;6.22;13534.0;8.21
28;Total energy sources;Total energy applications;2018;218590.0;7.01;14743.0;9.18
29;Total energy sources;Total energy applications;2019;255419.0;8.32;16581.0;10.8
30;Total energy sources;Total energy applications;2020;331791.0;11.16;20713.0;15.0
31;Total energy sources;Total energy applications;2021;415724.0;13.47;27960.0;19.36
32;Total energy sources;Total energy applications;2022;465398.0;15.72;30771.0;21.93
33;Total energy sources;Total energy applications;2023;524438.0;18.15;32089.0;24.92
34;Total energy sources;Electricity;1990;6946.0;0.24;497.0;0.3
35;Total energy sources;Electricity;1991;8075.0;0.27;562.0;0.33
36;Total energy sources;Electricity;1992;8441.0;0.29;577.0;0.34
37;Total energy sources;Electricity;1993;9414.0;0.31;643.0;0.37
38;Total energy sources;Electricity;1994;10450.0;0.35;730.0;0.42
39;Total energy sources;Electricity;1995;11808.0;0.38;840.0;0.48
40;Total energy sources;Electricity;1996;14988.0;0.46;1060.0;0.58
41;Total energy sources;Electricity;1997;15750.0;0.5;1145.0;0.65
42;Total energy sources;Electricity;1998;17441.0;0.55;1261.0;0.71
43;Total energy sources;Electricity;1999;19784.0;0.64;1408.0;0.82
44;Total energy sources;Electricity;2000;22919.0;0.73;1675.0;0.97
45;Total energy sources;Electricity;2001;27489.0;0.86;2074.0;1.17
46;Total energy sources;Electricity;2002;33741.0;1.05;2588.0;1.47
47;Total energy sources;Electricity;2003;34135.0;1.02;2571.0;1.43
48;Total energy sources;Electricity;2004;43743.0;1.29;3258.0;1.79
49;Total energy sources;Electricity;2005;62926.0;1.88;4620.0;2.6
50;Total energy sources;Electricity;2006;66523.0;2.02;4816.0;2.78
51;Total energy sources;Electricity;2007;59825.0;1.81;4485.0;2.59
52;Total energy sources;Electricity;2008;76498.0;2.34;5639.0;3.21
53;Total energy sources;Electricity;2009;87862.0;2.72;6575.0;3.86
54;Total energy sources;Electricity;2010;94376.0;2.72;7100.0;3.89
55;Total energy sources;Electricity;2011;95063.0;2.94;7137.0;4.21
56;Total energy sources;Electricity;2012;101516.0;3.13;7820.0;4.71
57;Total energy sources;Electricity;2013;94988.0;2.99;7312.0;4.4
58;Total energy sources;Electricity;2014;95167.0;3.13;7163.0;4.51
59;Total energy sources;Electricity;2015;108126.0;3.47;8501.0;5.09
60;Total energy sources;Electricity;2016;123788.0;3.92;9315.0;5.58
61;Total energy sources;Electricity;2017;133164.0;4.2;9829.0;5.96
62;Total energy sources;Electricity;2018;144227.0;4.63;10318.0;6.42
63;Total energy sources;Electricity;2019;166362.0;5.42;11080.0;7.21
64;Total energy sources;Electricity;2020;239373.0;8.05;14985.0;10.85
65;Total energy sources;Electricity;2021;317860.0;10.3;21744.0;15.06
66;Total energy sources;Electricity;2022;373519.0;12.62;25024.0;17.84
67;Total energy sources;Electricity;2023;429434.0;14.87;26047.0;20.23
68;Total energy sources;Heat;1990;9762.0;0.34;555.0;0.34
69;Total energy sources;Heat;1991;10216.0;0.35;580.0;0.34
70;Total energy sources;Heat;1992;10619.0;0.36;603.0;0.35
71;Total energy sources;Heat;1993;10768.0;0.36;612.0;0.36
72;Total energy sources;Heat;1994;10425.0;0.35;592.0;0.34
73;Total energy sources;Heat;1995;10771.0;0.35;612.0;0.35
74;Total energy sources;Heat;1996;11641.0;0.36;662.0;0.36
75;Total energy sources;Heat;1997;13854.0;0.44;787.0;0.45
76;Total energy sources;Heat;1998;14244.0;0.45;810.0;0.46
77;Total energy sources;Heat;1999;14696.0;0.47;835.0;0.49
78;Total energy sources;Heat;2000;14892.0;0.48;846.0;0.49
79;Total energy sources;Heat;2001;14853.0;0.46;846.0;0.48
80;Total energy sources;Heat;2002;16049.0;0.5;920.0;0.52
81;Total energy sources;Heat;2003;16742.0;0.5;;
82;Total energy sources;Heat;2004;19105.0;0.56;;
83;Total energy sources;Heat;2005;20734.0;0.62;;
84;Total energy sources;Heat;2006;23271.0;0.71;;
85;Total energy sources;Heat;2007;24451.0;0.74;;
86;Total energy sources;Heat;2008;25783.0;0.79;;
87;Total energy sources;Heat;2009;28286.0;0.87;1625.0;0.95
88;Total energy sources;Heat;2010;29237.0;0.84;1692.0;0.93
89;Total energy sources;Heat;2011;31253.0;0.97;1784.0;1.05
90;Total energy sources;Heat;2012;33923.0;1.04;1916.0;1.15
91;Total energy sources;Heat;2013;37276.0;1.17;2080.0;1.25
92;Total energy sources;Heat;2014;40733.0;1.34;2248.0;1.42
93;Total energy sources;Heat;2015;46218.0;1.48;2508.0;1.5
94;Total energy sources;Heat;2016;46672.0;1.48;2545.0;1.52
95;Total energy sources;Heat;2017;51414.0;1.62;2832.0;1.72
96;Total energy sources;Heat;2018;53100.0;1.7;2942.0;1.83
97;Total energy sources;Heat;2019;62398.0;2.03;3558.0;2.32
98;Total energy sources;Heat;2020;68762.0;2.31;4042.0;2.93
99;Total energy sources;Heat;2021;71193.0;2.31;4114.0;2.85
100;Total energy sources;Heat;2022;66236.0;2.24;3750.0;2.67
101;Total energy sources;Heat;2023;67884.0;2.35;3918.0;3.04
102;Total energy sources;Transport;1990;0.0;0.0;0.0;0.0
103;Total energy sources;Transport;1991;0.0;0.0;0.0;0.0
104;Total energy sources;Transport;1992;0.0;0.0;0.0;0.0
105;Total energy sources;Transport;1993;0.0;0.0;0.0;0.0
106;Total energy sources;Transport;1994;0.0;0.0;0.0;0.0
107;Total energy sources;Transport;1995;0.0;0.0;0.0;0.0
108;Total energy sources;Transport;1996;0.0;0.0;0.0;0.0
109;Total energy sources;Transport;1997;0.0;0.0;0.0;0.0
110;Total energy sources;Transport;1998;0.0;0.0;0.0;0.0
111;Total energy sources;Transport;1999;0.0;0.0;0.0;0.0
112;Total energy sources;Transport;2000;0.0;0.0;0.0;0.0
113;Total energy sources;Transport;2001;0.0;0.0;0.0;0.0
114;Total energy sources;Transport;2002;0.0;0.0;0.0;0.0
115;Total energy sources;Transport;2003;134.0;0.0;;
116;Total energy sources;Transport;2004;134.0;0.0;;
117;Total energy sources;Transport;2005;101.0;0.0;;
118;Total energy sources;Transport;2006;1766.0;0.05;;
119;Total energy sources;Transport;2007;13031.0;0.4;;
120;Total energy sources;Transport;2008;12048.0;0.37;;
121;Total energy sources;Transport;2009;15606.0;0.48;730.0;0.43
122;Total energy sources;Transport;2010;9577.0;0.28;518.0;0.28
123;Total energy sources;Transport;2011;13790.0;0.43;812.0;0.48
124;Total energy sources;Transport;2012;12877.0;0.4;807.0;0.49
125;Total energy sources;Transport;2013;12433.0;0.39;815.0;0.49
126;Total energy sources;Transport;2014;14380.0;0.47;947.0;0.6
127;Total energy sources;Transport;2015;12576.0;0.4;793.0;0.48
128;Total energy sources;Transport;2016;9907.0;0.31;652.0;0.39
129;Total energy sources;Transport;2017;12703.0;0.4;874.0;0.53
130;Total energy sources;Transport;2018;21262.0;0.68;1482.0;0.92
131;Total energy sources;Transport;2019;26658.0;0.87;1943.0;1.27
132;Total energy sources;Transport;2020;23656.0;0.8;1685.0;1.22
133;Total energy sources;Transport;2021;26671.0;0.86;2101.0;1.46
134;Total energy sources;Transport;2022;25643.0;0.87;1997.0;1.42
135;Total energy sources;Transport;2023;27121.0;0.94;2123.0;1.65
136;Hydro power;Total energy applications;1990;818.0;0.03;59.0;0.04
137;Hydro power;Total energy applications;1991;910.0;0.03;63.0;0.04
138;Hydro power;Total energy applications;1992;994.0;0.03;68.0;0.04
