ID;BeroepsEnEigenVervoer;Vervoerstromen;Goederensoort;Perioden;VervoerdGewicht_1
0;Beroeps- en eigen vervoer;0;Totaal;1975;
1;Beroeps- en eigen vervoer;0;Totaal;1976;
2;Beroeps- en eigen vervoer;0;Totaal;1977;
3;Beroeps- en eigen vervoer;0;Totaal;1978;
4;Beroeps- en eigen vervoer;0;Totaal;1979;
5;Beroeps- en eigen vervoer;0;Totaal;1980;
6;Beroeps- en eigen vervoer;0;Totaal;1981;
7;Beroeps- en eigen vervoer;0;Totaal;1982;
8;Beroeps- en eigen vervoer;0;Totaal;1983;
9;Beroeps- en eigen vervoer;0;Totaal;1984;
10;Beroeps- en eigen vervoer;0;Totaal;1985;
11;Beroeps- en eigen vervoer;0;Totaal;1986;
12;Beroeps- en eigen vervoer;0;Totaal;1987;
13;Beroeps- en eigen vervoer;0;Totaal;1988;
14;Beroeps- en eigen vervoer;0;Totaal;1989;
15;Beroeps- en eigen vervoer;0;Totaal;1990;
16;Beroeps- en eigen vervoer;0;Totaal;1991;
17;Beroeps- en eigen vervoer;0;Totaal;1992;
18;Beroeps- en eigen vervoer;0;Totaal;1993;
19;Beroeps- en eigen vervoer;0;Totaal;1994;
20;Beroeps- en eigen vervoer;0;Totaal;1995;
21;Beroeps- en eigen vervoer;0;Totaal;1996;
22;Beroeps- en eigen vervoer;0;Totaal;1997;532645.0
23;Beroeps- en eigen vervoer;0;Totaal;1998;545663.0
24;Beroeps- en eigen vervoer;0;Totaal;1999;608419.0
25;Beroeps- en eigen vervoer;0;Totaal;2000;584595.0
26;Beroeps- en eigen vervoer;0;Totaal;2001;593388.0
27;Beroeps- en eigen vervoer;0;Totaal;2002;569825.0
28;Beroeps- en eigen vervoer;0;Totaal;2003;622322.0
29;Beroeps- en eigen vervoer;0;Totaal;2004;614860.0
30;Beroeps- en eigen vervoer;0;Totaal;2005;615798.0
31;Beroeps- en eigen vervoer;0;Totaal;2006;620498.0
32;Beroeps- en eigen vervoer;0;Totaal;2007;638902.0
33;Beroeps- en eigen vervoer;0;Totaal;2008;622601.0
34;Beroeps- en eigen vervoer;0;Totaal;2009;616915.0
35;Beroeps- en eigen vervoer;0;Totaal;2010;564790.0
36;Beroeps- en eigen vervoer;0;Totaal;2011;560998.0
37;Beroeps- en eigen vervoer;0;Totaal;2012;538418.0
38;Beroeps- en eigen vervoer;0;0 Landbouwproducten en levende dieren;1975;
39;Beroeps- en eigen vervoer;0;0 Landbouwproducten en levende dieren;1976;
40;Beroeps- en eigen vervoer;0;0 Landbouwproducten en levende dieren;1977;
