ID;Donorregistratie;RegioS;Perioden;DonorregisterVastgelegdeKeuze_1;DonorregisterVastgelegdeKeuze_2
0;Totaal wel of niet geregistreerd;Nederland;2014;14591.0;100.0
1;Totaal wel of niet geregistreerd;Nederland;2015;14685.1;100.0
2;Totaal wel of niet geregistreerd;Nederland;2016;14782.6;100.0
3;Totaal wel of niet geregistreerd;Nederland;2017;14895.2;100.0
4;Totaal wel of niet geregistreerd;Nederland;2018;15005.8;100.0
5;Totaal wel of niet geregistreerd;Nederland;2019;15117.6;100.0
6;Totaal wel of niet geregistreerd;Noord-Nederland (LD);2014;1498.4;100.0
7;Totaal wel of niet geregistreerd;Noord-Nederland (LD);2015;1503.2;100.0
8;Totaal wel of niet geregistreerd;Noord-Nederland (LD);2016;1507.1;100.0
9;Totaal wel of niet geregistreerd;Noord-Nederland (LD);2017;1513.1;100.0
10;Totaal wel of niet geregistreerd;Noord-Nederland (LD);2018;1516.0;100.0
11;Totaal wel of niet geregistreerd;Noord-Nederland (LD);2019;1520.6;100.0
12;Totaal wel of niet geregistreerd;Oost-Nederland (LD);2014;3063.0;100.0
13;Totaal wel of niet geregistreerd;Oost-Nederland (LD);2015;3081.1;100.0
14;Totaal wel of niet geregistreerd;Oost-Nederland (LD);2016;3102.9;100.0
15;Totaal wel of niet geregistreerd;Oost-Nederland (LD);2017;3127.1;100.0
16;Totaal wel of niet geregistreerd;Oost-Nederland (LD);2018;3150.3;100.0
17;Totaal wel of niet geregistreerd;Oost-Nederland (LD);2019;3176.0;100.0
18;Totaal wel of niet geregistreerd;West-Nederland (LD);2014;6868.2;100.0
19;Totaal wel of niet geregistreerd;West-Nederland (LD);2015;6925.8;100.0
20;Totaal wel of niet geregistreerd;West-Nederland (LD);2016;6983.2;100.0
21;Totaal wel of niet geregistreerd;West-Nederland (LD);2017;7047.6;100.0
22;Totaal wel of niet geregistreerd;West-Nederland (LD);2018;7114.7;100.0
23;Totaal wel of niet geregistreerd;West-Nederland (LD);2019;7178.4;100.0
24;Totaal wel of niet geregistreerd;Zuid-Nederland (LD);2014;3161.3;100.0
25;Totaal wel of niet geregistreerd;Zuid-Nederland (LD);2015;3175.1;100.0
26;Totaal wel of niet geregistreerd;Zuid-Nederland (LD);2016;3189.4;100.0
27;Totaal wel of niet geregistreerd;Zuid-Nederland (LD);2017;3207.4;100.0
28;Totaal wel of niet geregistreerd;Zuid-Nederland (LD);2018;3224.8;100.0
29;Totaal wel of niet geregistreerd;Zuid-Nederland (LD);2019;3242.5;100.0
30;Totaal wel of niet geregistreerd;Groningen (PV);2014;513.8;100.0
31;Totaal wel of niet geregistreerd;Groningen (PV);2015;515.9;100.0
32;Totaal wel of niet geregistreerd;Groningen (PV);2016;516.9;100.0
33;Totaal wel of niet geregistreerd;Groningen (PV);2017;517.3;100.0
34;Totaal wel of niet geregistreerd;Groningen (PV);2018;517.5;100.0
35;Totaal wel of niet geregistreerd;Groningen (PV);2019;519.3;100.0
36;Totaal wel of niet geregistreerd;Friesland (PV);2014;558.8;100.0
37;Totaal wel of niet geregistreerd;Friesland (PV);2015;560.5;100.0
38;Totaal wel of niet geregistreerd;Friesland (PV);2016;562.1;100.0
39;Totaal wel of niet geregistreerd;Friesland (PV);2017;564.3;100.0
40;Totaal wel of niet geregistreerd;Friesland (PV);2018;565.7;100.0
41;Totaal wel of niet geregistreerd;Friesland (PV);2019;567.3;100.0
42;Totaal wel of niet geregistreerd;Drenthe (PV);2014;425.7;100.0
43;Totaal wel of niet geregistreerd;Drenthe (PV);2015;426.8;100.0
44;Totaal wel of niet geregistreerd;Drenthe (PV);2016;428.1;100.0
45;Totaal wel of niet geregistreerd;Drenthe (PV);2017;431.5;100.0
46;Totaal wel of niet geregistreerd;Drenthe (PV);2018;432.8;100.0
47;Totaal wel of niet geregistreerd;Drenthe (PV);2019;434.0;100.0
48;Totaal wel of niet geregistreerd;Overijssel (PV);2014;976.9;100.0
49;Totaal wel of niet geregistreerd;Overijssel (PV);2015;980.8;100.0
50;Totaal wel of niet geregistreerd;Overijssel (PV);2016;987.3;100.0
51;Totaal wel of niet geregistreerd;Overijssel (PV);2017;992.8;100.0
52;Totaal wel of niet geregistreerd;Overijssel (PV);2018;998.7;100.0
53;Totaal wel of niet geregistreerd;Overijssel (PV);2019;1005.8;100.0
54;Totaal wel of niet geregistreerd;Flevoland (PV);2014;335.4;100.0
55;Totaal wel of niet geregistreerd;Flevoland (PV);2015;338.2;100.0
56;Totaal wel of niet geregistreerd;Flevoland (PV);2016;341.3;100.0
57;Totaal wel of niet geregistreerd;Flevoland (PV);2017;345.4;100.0
58;Totaal wel of niet geregistreerd;Flevoland (PV);2018;349.4;100.0
59;Totaal wel of niet geregistreerd;Flevoland (PV);2019;354.3;100.0
60;Totaal wel of niet geregistreerd;Gelderland (PV);2014;1750.7;100.0
61;Totaal wel of niet geregistreerd;Gelderland (PV);2015;1762.1;100.0
62;Totaal wel of niet geregistreerd;Gelderland (PV);2016;1774.3;100.0
63;Totaal wel of niet geregistreerd;Gelderland (PV);2017;1789.0;100.0
64;Totaal wel of niet geregistreerd;Gelderland (PV);2018;1802.2;100.0
65;Totaal wel of niet geregistreerd;Gelderland (PV);2019;1815.9;100.0
66;Totaal wel of niet geregistreerd;Utrecht (PV);2014;1070.7;100.0
67;Totaal wel of niet geregistreerd;Utrecht (PV);2015;1081.6;100.0
68;Totaal wel of niet geregistreerd;Utrecht (PV);2016;1092.6;100.0
69;Totaal wel of niet geregistreerd;Utrecht (PV);2017;1104.1;100.0
70;Totaal wel of niet geregistreerd;Utrecht (PV);2018;1115.1;100.0
71;Totaal wel of niet geregistreerd;Utrecht (PV);2019;1127.2;100.0
72;Totaal wel of niet geregistreerd;Noord-Holland (PV);2014;2376.1;100.0
73;Totaal wel of niet geregistreerd;Noord-Holland (PV);2015;2398.8;100.0
74;Totaal wel of niet geregistreerd;Noord-Holland (PV);2016;2421.9;100.0
75;Totaal wel of niet geregistreerd;Noord-Holland (PV);2017;2447.2;100.0
76;Totaal wel of niet geregistreerd;Noord-Holland (PV);2018;2472.1;100.0
77;Totaal wel of niet geregistreerd;Noord-Holland (PV);2019;2494.8;100.0
78;Totaal wel of niet geregistreerd;Zuid-Holland (PV);2014;3088.8;100.0
79;Totaal wel of niet geregistreerd;Zuid-Holland (PV);2015;3111.9;100.0
80;Totaal wel of niet geregistreerd;Zuid-Holland (PV);2016;3134.1;100.0
81;Totaal wel of niet geregistreerd;Zuid-Holland (PV);2017;3161.0;100.0
82;Totaal wel of niet geregistreerd;Zuid-Holland (PV);2018;3191.2;100.0
83;Totaal wel of niet geregistreerd;Zuid-Holland (PV);2019;3219.1;100.0
84;Totaal wel of niet geregistreerd;Zeeland (PV);2014;332.7;100.0
85;Totaal wel of niet geregistreerd;Zeeland (PV);2015;333.5;100.0
86;Totaal wel of niet geregistreerd;Zeeland (PV);2016;334.5;100.0
87;Totaal wel of niet geregistreerd;Zeeland (PV);2017;335.3;100.0
88;Totaal wel of niet geregistreerd;Zeeland (PV);2018;336.3;100.0
89;Totaal wel of niet geregistreerd;Zeeland (PV);2019;337.3;100.0
90;Totaal wel of niet geregistreerd;Noord-Brabant (PV);2014;2161.9;100.0
91;Totaal wel of niet geregistreerd;Noord-Brabant (PV);2015;2175.4;100.0
92;Totaal wel of niet geregistreerd;Noord-Brabant (PV);2016;2189.3;100.0
93;Totaal wel of niet geregistreerd;Noord-Brabant (PV);2017;2204.8;100.0
94;Totaal wel of niet geregistreerd;Noord-Brabant (PV);2018;2221.9;100.0
95;Totaal wel of niet geregistreerd;Noord-Brabant (PV);2019;2239.7;100.0
96;Totaal wel of niet geregistreerd;Limburg (PV);2014;999.4;100.0
97;Totaal wel of niet geregistreerd;Limburg (PV);2015;999.7;100.0
98;Totaal wel of niet geregistreerd;Limburg (PV);2016;1000.1;100.0
99;Totaal wel of niet geregistreerd;Limburg (PV);2017;1002.6;100.0
100;Totaal wel of niet geregistreerd;Limburg (PV);2018;1002.9;100.0
101;Totaal wel of niet geregistreerd;Limburg (PV);2019;1002.8;100.0
102;Totaal wel of niet geregistreerd;Oost-Groningen (CR);2014;120.4;100.0
103;Totaal wel of niet geregistreerd;Oost-Groningen (CR);2015;120.8;100.0
104;Totaal wel of niet geregistreerd;Oost-Groningen (CR);2016;120.8;100.0
105;Totaal wel of niet geregistreerd;Oost-Groningen (CR);2017;120.0;100.0
106;Totaal wel of niet geregistreerd;Oost-Groningen (CR);2018;119.7;100.0
107;Totaal wel of niet geregistreerd;Oost-Groningen (CR);2019;119.9;100.0
108;Totaal wel of niet geregistreerd;Delfzijl en omgeving (CR);2014;42.2;100.0
109;Totaal wel of niet geregistreerd;Delfzijl en omgeving (CR);2015;42.0;100.0
110;Totaal wel of niet geregistreerd;Delfzijl en omgeving (CR);2016;41.7;100.0
111;Totaal wel of niet geregistreerd;Delfzijl en omgeving (CR);2017;41.5;100.0
112;Totaal wel of niet geregistreerd;Delfzijl en omgeving (CR);2018;41.1;100.0
113;Totaal wel of niet geregistreerd;Delfzijl en omgeving (CR);2019;40.9;100.0
114;Totaal wel of niet geregistreerd;Overig Groningen (CR);2014;351.1;100.0
115;Totaal wel of niet geregistreerd;Overig Groningen (CR);2015;353.1;100.0
116;Totaal wel of niet geregistreerd;Overig Groningen (CR);2016;354.4;100.0
117;Totaal wel of niet geregistreerd;Overig Groningen (CR);2017;355.9;100.0
118;Totaal wel of niet geregistreerd;Overig Groningen (CR);2018;356.7;100.0
119;Totaal wel of niet geregistreerd;Overig Groningen (CR);2019;358.5;100.0
120;Totaal wel of niet geregistreerd;Noord-Friesland (CR);2014;275.9;100.0
121;Totaal wel of niet geregistreerd;Noord-Friesland (CR);2015;276.5;100.0
122;Totaal wel of niet geregistreerd;Noord-Friesland (CR);2016;277.3;100.0
123;Totaal wel of niet geregistreerd;Noord-Friesland (CR);2017;278.3;100.0
124;Totaal wel of niet geregistreerd;Noord-Friesland (CR);2018;278.7;100.0
125;Totaal wel of niet geregistreerd;Noord-Friesland (CR);2019;279.5;100.0
126;Totaal wel of niet geregistreerd;Zuidwest-Friesland (CR);2014;121.4;100.0
127;Totaal wel of niet geregistreerd;Zuidwest-Friesland (CR);2015;121.7;100.0
128;Totaal wel of niet geregistreerd;Zuidwest-Friesland (CR);2016;122.1;100.0
129;Totaal wel of niet geregistreerd;Zuidwest-Friesland (CR);2017;122.8;100.0
130;Totaal wel of niet geregistreerd;Zuidwest-Friesland (CR);2018;123.3;100.0
131;Totaal wel of niet geregistreerd;Zuidwest-Friesland (CR);2019;123.6;100.0
132;Totaal wel of niet geregistreerd;Zuidoost-Friesland (CR);2014;161.5;100.0
133;Totaal wel of niet geregistreerd;Zuidoost-Friesland (CR);2015;162.4;100.0
134;Totaal wel of niet geregistreerd;Zuidoost-Friesland (CR);2016;162.7;100.0
135;Totaal wel of niet geregistreerd;Zuidoost-Friesland (CR);2017;163.2;100.0
136;Totaal wel of niet geregistreerd;Zuidoost-Friesland (CR);2018;163.8;100.0
137;Totaal wel of niet geregistreerd;Zuidoost-Friesland (CR);2019;164.2;100.0
138;Totaal wel of niet geregistreerd;Noord-Drenthe (CR);2014;164.7;100.0
139;Totaal wel of niet geregistreerd;Noord-Drenthe (CR);2015;165.1;100.0
140;Totaal wel of niet geregistreerd;Noord-Drenthe (CR);2016;165.8;100.0
141;Totaal wel of niet geregistreerd;Noord-Drenthe (CR);2017;168.2;100.0
142;Totaal wel of niet geregistreerd;Noord-Drenthe (CR);2018;168.5;100.0
143;Totaal wel of niet geregistreerd;Noord-Drenthe (CR);2019;168.6;100.0
