ID;RegioS;Inkomensverdeling;AantalHuishoudensAbsoluut_1;AantalHuishoudens_2
0;Nederland;Totaal particulier huishouden;6705.2;100.0
1;Nederland;"1e 10%-groep; minder dan 12 400 euro";670.5;10.0
2;Nederland;"2e 10%-groep; 12 400 tot 15 600 euro";670.5;10.0
3;Nederland;"3e 10%-groep; 15 600 tot 18 700 euro";670.5;10.0
4;Nederland;"4e 10%-groep; 18 700 tot 22 000 euro";670.5;10.0
5;Nederland;"5e 10%-groep; 22 000 tot 25 700 euro";670.5;10.0
6;Nederland;"6e 10%-groep; 25 700 tot 29 800 euro";670.5;10.0
7;Nederland;"7e 10%-groep; 29 800 tot 34 300 euro";670.5;10.0
8;Nederland;"8e 10%-groep; 34 300 tot 40 100 euro";670.5;10.0
9;Nederland;"9e 10%-groep; 40 100 tot 49 800 euro";670.5;10.0
10;Nederland;"10e 10%-groep; meer dan 49 800  euro";670.5;10.0
11;Nederland;"1e 10%-groep; minder dan 12 400 euro";670.5;10.0
12;Nederland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";2011.6;30.0
13;Nederland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";2682.1;40.0
14;Nederland;"9e-10e 10%-groep; meer dan 40 100 euro";1341.0;20.0
15;Noord-Nederland;Totaal particulier huishouden;696.4;100.0
16;Noord-Nederland;"1e 10%-groep; minder dan 12 400 euro";73.9;11.0
17;Noord-Nederland;"2e 10%-groep; 12 400 tot 15 600 euro";77.9;11.0
18;Noord-Nederland;"3e 10%-groep; 15 600 tot 18 700 euro";76.2;11.0
19;Noord-Nederland;"4e 10%-groep; 18 700 tot 22 000 euro";75.5;11.0
20;Noord-Nederland;"5e 10%-groep; 22 000 tot 25 700 euro";75.1;11.0
21;Noord-Nederland;"6e 10%-groep; 25 700 tot 29 800 euro";74.7;11.0
22;Noord-Nederland;"7e 10%-groep; 29 800 tot 34 300 euro";70.4;10.0
23;Noord-Nederland;"8e 10%-groep; 34 300 tot 40 100 euro";65.4;9.0
24;Noord-Nederland;"9e 10%-groep; 40 100 tot 49 800 euro";58.7;8.0
25;Noord-Nederland;"10e 10%-groep; meer dan 49 800  euro";48.5;7.0
26;Noord-Nederland;"1e 10%-groep; minder dan 12 400 euro";73.9;11.0
27;Noord-Nederland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";229.7;33.0
28;Noord-Nederland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";285.6;41.0
29;Noord-Nederland;"9e-10e 10%-groep; meer dan 40 100 euro";107.3;15.0
30;Oost-Nederland;Totaal particulier huishouden;1342.2;100.0
31;Oost-Nederland;"1e 10%-groep; minder dan 12 400 euro";122.1;9.0
32;Oost-Nederland;"2e 10%-groep; 12 400 tot 15 600 euro";130.2;10.0
33;Oost-Nederland;"3e 10%-groep; 15 600 tot 18 700 euro";131.1;10.0
34;Oost-Nederland;"4e 10%-groep; 18 700 tot 22 000 euro";133.8;10.0
35;Oost-Nederland;"5e 10%-groep; 22 000 tot 25 700 euro";138.2;10.0
36;Oost-Nederland;"6e 10%-groep; 25 700 tot 29 800 euro";143.3;11.0
37;Oost-Nederland;"7e 10%-groep; 29 800 tot 34 300 euro";143.3;11.0
38;Oost-Nederland;"8e 10%-groep; 34 300 tot 40 100 euro";139.6;10.0
39;Oost-Nederland;"9e 10%-groep; 40 100 tot 49 800 euro";135.2;10.0
40;Oost-Nederland;"10e 10%-groep; meer dan 49 800  euro";125.4;9.0
41;Oost-Nederland;"1e 10%-groep; minder dan 12 400 euro";122.1;9.0
42;Oost-Nederland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";395.1;29.0
43;Oost-Nederland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";564.3;42.0
44;Oost-Nederland;"9e-10e 10%-groep; meer dan 40 100 euro";260.6;19.0
45;West-Nederland;Totaal particulier huishouden;3230.7;100.0
46;West-Nederland;"1e 10%-groep; minder dan 12 400 euro";346.7;11.0
47;West-Nederland;"2e 10%-groep; 12 400 tot 15 600 euro";324.0;10.0
48;West-Nederland;"3e 10%-groep; 15 600 tot 18 700 euro";323.3;10.0
49;West-Nederland;"4e 10%-groep; 18 700 tot 22 000 euro";320.7;10.0
50;West-Nederland;"5e 10%-groep; 22 000 tot 25 700 euro";312.7;10.0
51;West-Nederland;"6e 10%-groep; 25 700 tot 29 800 euro";304.1;9.0
52;West-Nederland;"7e 10%-groep; 29 800 tot 34 300 euro";305.5;9.0
53;West-Nederland;"8e 10%-groep; 34 300 tot 40 100 euro";312.8;10.0
54;West-Nederland;"9e 10%-groep; 40 100 tot 49 800 euro";325.0;10.0
55;West-Nederland;"10e 10%-groep; meer dan 49 800  euro";355.9;11.0
56;West-Nederland;"1e 10%-groep; minder dan 12 400 euro";346.7;11.0
57;West-Nederland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";968.0;30.0
58;West-Nederland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";1235.1;38.0
59;West-Nederland;"9e-10e 10%-groep; meer dan 40 100 euro";680.9;21.0
60;Zuid-Nederland;Totaal particulier huishouden;1435.8;100.0
61;Zuid-Nederland;"1e 10%-groep; minder dan 12 400 euro";127.8;9.0
62;Zuid-Nederland;"2e 10%-groep; 12 400 tot 15 600 euro";138.4;10.0
63;Zuid-Nederland;"3e 10%-groep; 15 600 tot 18 700 euro";139.8;10.0
64;Zuid-Nederland;"4e 10%-groep; 18 700 tot 22 000 euro";140.5;10.0
65;Zuid-Nederland;"5e 10%-groep; 22 000 tot 25 700 euro";144.5;10.0
66;Zuid-Nederland;"6e 10%-groep; 25 700 tot 29 800 euro";148.5;10.0
67;Zuid-Nederland;"7e 10%-groep; 29 800 tot 34 300 euro";151.4;11.0
68;Zuid-Nederland;"8e 10%-groep; 34 300 tot 40 100 euro";152.7;11.0
69;Zuid-Nederland;"9e 10%-groep; 40 100 tot 49 800 euro";151.5;11.0
70;Zuid-Nederland;"10e 10%-groep; meer dan 49 800  euro";140.7;10.0
71;Zuid-Nederland;"1e 10%-groep; minder dan 12 400 euro";127.8;9.0
72;Zuid-Nederland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";418.7;29.0
73;Zuid-Nederland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";597.0;42.0
74;Zuid-Nederland;"9e-10e 10%-groep; meer dan 40 100 euro";292.2;20.0
75;Groningen;Totaal particulier huishouden;239.7;100.0
76;Groningen;"1e 10%-groep; minder dan 12 400 euro";28.6;12.0
77;Groningen;"2e 10%-groep; 12 400 tot 15 600 euro";29.3;12.0
78;Groningen;"3e 10%-groep; 15 600 tot 18 700 euro";27.5;11.0
79;Groningen;"4e 10%-groep; 18 700 tot 22 000 euro";26.7;11.0
80;Groningen;"5e 10%-groep; 22 000 tot 25 700 euro";25.3;11.0
81;Groningen;"6e 10%-groep; 25 700 tot 29 800 euro";24.4;10.0
82;Groningen;"7e 10%-groep; 29 800 tot 34 300 euro";23.0;10.0
83;Groningen;"8e 10%-groep; 34 300 tot 40 100 euro";20.6;9.0
84;Groningen;"9e 10%-groep; 40 100 tot 49 800 euro";18.7;8.0
85;Groningen;"10e 10%-groep; meer dan 49 800  euro";15.7;7.0
86;Groningen;"1e 10%-groep; minder dan 12 400 euro";28.6;12.0
87;Groningen;"2e-4e 10%-groep; 12 400 tot 22 000 euro";83.4;35.0
88;Groningen;"5e-8e 10%-groep; 22 000 tot 40 100 euro";93.3;39.0
89;Groningen;"9e-10e 10%-groep; meer dan 40 100 euro";34.4;14.0
90;Friesland;Totaal particulier huishouden;261.3;100.0
91;Friesland;"1e 10%-groep; minder dan 12 400 euro";28.1;11.0
92;Friesland;"2e 10%-groep; 12 400 tot 15 600 euro";28.6;11.0
93;Friesland;"3e 10%-groep; 15 600 tot 18 700 euro";28.2;11.0
94;Friesland;"4e 10%-groep; 18 700 tot 22 000 euro";28.3;11.0
95;Friesland;"5e 10%-groep; 22 000 tot 25 700 euro";29.0;11.0
96;Friesland;"6e 10%-groep; 25 700 tot 29 800 euro";28.8;11.0
97;Friesland;"7e 10%-groep; 29 800 tot 34 300 euro";26.4;10.0
98;Friesland;"8e 10%-groep; 34 300 tot 40 100 euro";24.8;9.0
99;Friesland;"9e 10%-groep; 40 100 tot 49 800 euro";21.6;8.0
100;Friesland;"10e 10%-groep; meer dan 49 800  euro";17.6;7.0
101;Friesland;"1e 10%-groep; minder dan 12 400 euro";28.1;11.0
102;Friesland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";85.1;33.0
103;Friesland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";109.0;42.0
104;Friesland;"9e-10e 10%-groep; meer dan 40 100 euro";39.2;15.0
105;Drenthe;Totaal particulier huishouden;195.5;100.0
106;Drenthe;"1e 10%-groep; minder dan 12 400 euro";17.2;9.0
107;Drenthe;"2e 10%-groep; 12 400 tot 15 600 euro";20.0;10.0
108;Drenthe;"3e 10%-groep; 15 600 tot 18 700 euro";20.6;11.0
109;Drenthe;"4e 10%-groep; 18 700 tot 22 000 euro";20.6;11.0
110;Drenthe;"5e 10%-groep; 22 000 tot 25 700 euro";20.9;11.0
111;Drenthe;"6e 10%-groep; 25 700 tot 29 800 euro";21.5;11.0
112;Drenthe;"7e 10%-groep; 29 800 tot 34 300 euro";21.0;11.0
113;Drenthe;"8e 10%-groep; 34 300 tot 40 100 euro";20.1;10.0
114;Drenthe;"9e 10%-groep; 40 100 tot 49 800 euro";18.5;9.0
115;Drenthe;"10e 10%-groep; meer dan 49 800  euro";15.3;8.0
116;Drenthe;"1e 10%-groep; minder dan 12 400 euro";17.2;9.0
117;Drenthe;"2e-4e 10%-groep; 12 400 tot 22 000 euro";61.2;31.0
118;Drenthe;"5e-8e 10%-groep; 22 000 tot 40 100 euro";83.4;43.0
119;Drenthe;"9e-10e 10%-groep; meer dan 40 100 euro";33.7;17.0
120;Overijssel;Totaal particulier huishouden;430.8;100.0
121;Overijssel;"1e 10%-groep; minder dan 12 400 euro";39.9;9.0
122;Overijssel;"2e 10%-groep; 12 400 tot 15 600 euro";44.6;10.0
123;Overijssel;"3e 10%-groep; 15 600 tot 18 700 euro";44.3;10.0
124;Overijssel;"4e 10%-groep; 18 700 tot 22 000 euro";44.4;10.0
125;Overijssel;"5e 10%-groep; 22 000 tot 25 700 euro";45.7;11.0
126;Overijssel;"6e 10%-groep; 25 700 tot 29 800 euro";46.8;11.0
127;Overijssel;"7e 10%-groep; 29 800 tot 34 300 euro";45.9;11.0
128;Overijssel;"8e 10%-groep; 34 300 tot 40 100 euro";43.0;10.0
129;Overijssel;"9e 10%-groep; 40 100 tot 49 800 euro";41.1;10.0
130;Overijssel;"10e 10%-groep; meer dan 49 800  euro";35.1;8.0
131;Overijssel;"1e 10%-groep; minder dan 12 400 euro";39.9;9.0
132;Overijssel;"2e-4e 10%-groep; 12 400 tot 22 000 euro";133.4;31.0
133;Overijssel;"5e-8e 10%-groep; 22 000 tot 40 100 euro";181.5;42.0
134;Overijssel;"9e-10e 10%-groep; meer dan 40 100 euro";76.2;18.0
135;Flevoland;Totaal particulier huishouden;135.2;100.0
136;Flevoland;"1e 10%-groep; minder dan 12 400 euro";11.3;8.0
137;Flevoland;"2e 10%-groep; 12 400 tot 15 600 euro";12.0;9.0
138;Flevoland;"3e 10%-groep; 15 600 tot 18 700 euro";12.5;9.0
139;Flevoland;"4e 10%-groep; 18 700 tot 22 000 euro";13.6;10.0
140;Flevoland;"5e 10%-groep; 22 000 tot 25 700 euro";14.1;10.0
141;Flevoland;"6e 10%-groep; 25 700 tot 29 800 euro";14.9;11.0
142;Flevoland;"7e 10%-groep; 29 800 tot 34 300 euro";14.9;11.0
143;Flevoland;"8e 10%-groep; 34 300 tot 40 100 euro";15.0;11.0
144;Flevoland;"9e 10%-groep; 40 100 tot 49 800 euro";14.2;11.0
145;Flevoland;"10e 10%-groep; meer dan 49 800  euro";12.6;9.0
146;Flevoland;"1e 10%-groep; minder dan 12 400 euro";11.3;8.0
147;Flevoland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";38.1;28.0
148;Flevoland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";58.9;44.0
149;Flevoland;"9e-10e 10%-groep; meer dan 40 100 euro";26.8;20.0
150;Gelderland;Totaal particulier huishouden;776.2;100.0
151;Gelderland;"1e 10%-groep; minder dan 12 400 euro";70.9;9.0
152;Gelderland;"2e 10%-groep; 12 400 tot 15 600 euro";73.5;9.0
153;Gelderland;"3e 10%-groep; 15 600 tot 18 700 euro";74.4;10.0
154;Gelderland;"4e 10%-groep; 18 700 tot 22 000 euro";75.8;10.0
155;Gelderland;"5e 10%-groep; 22 000 tot 25 700 euro";78.4;10.0
156;Gelderland;"6e 10%-groep; 25 700 tot 29 800 euro";81.6;11.0
157;Gelderland;"7e 10%-groep; 29 800 tot 34 300 euro";82.4;11.0
158;Gelderland;"8e 10%-groep; 34 300 tot 40 100 euro";81.6;11.0
159;Gelderland;"9e 10%-groep; 40 100 tot 49 800 euro";79.9;10.0
160;Gelderland;"10e 10%-groep; meer dan 49 800  euro";77.7;10.0
161;Gelderland;"1e 10%-groep; minder dan 12 400 euro";70.9;9.0
162;Gelderland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";223.7;29.0
163;Gelderland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";324.0;42.0
164;Gelderland;"9e-10e 10%-groep; meer dan 40 100 euro";157.6;20.0
165;Utrecht;Totaal particulier huishouden;471.1;100.0
166;Utrecht;"1e 10%-groep; minder dan 12 400 euro";39.4;8.0
167;Utrecht;"2e 10%-groep; 12 400 tot 15 600 euro";40.1;9.0
168;Utrecht;"3e 10%-groep; 15 600 tot 18 700 euro";43.1;9.0
169;Utrecht;"4e 10%-groep; 18 700 tot 22 000 euro";44.0;9.0
170;Utrecht;"5e 10%-groep; 22 000 tot 25 700 euro";44.5;9.0
171;Utrecht;"6e 10%-groep; 25 700 tot 29 800 euro";44.8;10.0
172;Utrecht;"7e 10%-groep; 29 800 tot 34 300 euro";47.1;10.0
173;Utrecht;"8e 10%-groep; 34 300 tot 40 100 euro";49.4;10.0
174;Utrecht;"9e 10%-groep; 40 100 tot 49 800 euro";54.2;12.0
175;Utrecht;"10e 10%-groep; meer dan 49 800  euro";64.4;14.0
176;Utrecht;"1e 10%-groep; minder dan 12 400 euro";39.4;8.0
177;Utrecht;"2e-4e 10%-groep; 12 400 tot 22 000 euro";127.2;27.0
178;Utrecht;"5e-8e 10%-groep; 22 000 tot 40 100 euro";185.9;39.0
179;Utrecht;"9e-10e 10%-groep; meer dan 40 100 euro";118.6;25.0
180;Noord-Holland;Totaal particulier huishouden;1140.3;100.0
181;Noord-Holland;"1e 10%-groep; minder dan 12 400 euro";135.2;12.0
182;Noord-Holland;"2e 10%-groep; 12 400 tot 15 600 euro";114.8;10.0
183;Noord-Holland;"3e 10%-groep; 15 600 tot 18 700 euro";116.4;10.0
184;Noord-Holland;"4e 10%-groep; 18 700 tot 22 000 euro";112.4;10.0
185;Noord-Holland;"5e 10%-groep; 22 000 tot 25 700 euro";111.2;10.0
