ID;Perioden;Volumemutaties_1
0;2005 januari;-0.8
1;2005 februari;-3.5
2;2005 maart;-4.8
3;2005 april;0.5
4;2005 mei;3.1
5;2005 juni;4.7
6;2005 juli;4.0
7;2005 augustus;8.9
8;2005 september;9.7
9;2005 oktober;4.3
10;2005 november;4.3
11;2005 december;2.1
12;2006 januari;6.2
13;2006 februari;6.7
14;2006 maart;9.4
15;2006 april;4.0
16;2006 mei;9.9
17;2006 juni;4.9
18;2006 juli;6.0
19;2006 augustus;7.4
20;2006 september;6.4
21;2006 oktober;11.4
22;2006 november;9.4
23;2006 december;9.0
24;2007 januari;9.3
25;2007 februari;12.3
26;2007 maart;10.3
27;2007 april;10.0
28;2007 mei;7.3
29;2007 juni;8.5
30;2007 juli;8.8
31;2007 augustus;8.9
32;2007 september;4.4
33;2007 oktober;6.2
34;2007 november;3.5
35;2007 december;1.8
36;2008 januari;7.3
37;2008 februari;8.0
38;2008 maart;1.3
39;2008 april;6.2
40;2008 mei;3.2
41;2008 juni;4.4
42;2008 juli;2.6
43;2008 augustus;3.4
44;2008 september;8.0
45;2008 oktober;1.2
46;2008 november;-0.8
47;2008 december;-1.2
48;2009 januari;-7.7
49;2009 februari;-12.8
50;2009 maart;-4.6
51;2009 april;-14.2
52;2009 mei;-12.6
53;2009 juni;-16.6
54;2009 juli;-13.7
55;2009 augustus;-22.1
56;2009 september;-21.9
57;2009 oktober;-22.9
58;2009 november;-18.7
59;2009 december;-15.9
60;2010 januari;-22.1
61;2010 februari;-22.5
62;2010 maart;-13.5
63;2010 april;-7.4
64;2010 mei;-11.7
65;2010 juni;-6.8
66;2010 juli;-7.2
67;2010 augustus;-6.4
68;2010 september;-9.6
69;2010 oktober;-5.7
70;2010 november;-0.8
71;2010 december;-4.6
72;2011 januari;10.8
73;2011 februari;16.6
74;2011 maart;8.5
75;2011 april;7.1
76;2011 mei;16.1
77;2011 juni;0.4
78;2011 juli;2.3
79;2011 augustus;8.9
80;2011 september;11.3
81;2011 oktober;4.4
82;2011 november;6.4
83;2011 december;12.9
84;2012 januari;0.9
85;2012 februari;-5.6
86;2012 maart;-5.5
87;2012 april;-4.1
88;2012 mei;-6.2
89;2012 juni;3.3
90;2012 juli;-2.1
91;2012 augustus;-3.2
92;2012 september;-11.3
93;2012 oktober;-4.0
94;2012 november;-7.6
95;2012 december;-13.2
96;2013 januari;-14.7
97;2013 februari;-13.2
98;2013 maart;-14.0
99;2013 april;-8.0
100;2013 mei;-10.0
101;2013 juni;-14.8
102;2013 juli;-5.8
103;2013 augustus;-3.8
104;2013 september;-2.7
105;2013 oktober;5.7
106;2013 november;4.4
107;2013 december;21.1
108;2014 januari;9.4
109;2014 februari;11.8
110;2014 maart;3.9
111;2014 april;5.8
