ID;GemeentelijkeHeffingenVanaf2017;Regiokenmerken;Perioden;GemeentelijkeHeffingenInMlnEuro_1;GemeentelijkeHeffingenEuroInwoner_2
0;Totaal onroerendezaakbelasting;Nederland;2004;3356.0;207.0
1;Totaal onroerendezaakbelasting;Nederland;2005;3489.0;214.0
2;Totaal onroerendezaakbelasting;Nederland;2006;2563.0;157.0
3;Totaal onroerendezaakbelasting;Nederland;2007;2635.0;161.0
4;Totaal onroerendezaakbelasting;Nederland;2008;2739.0;167.0
5;Totaal onroerendezaakbelasting;Nederland;2009;2868.0;174.0
6;Totaal onroerendezaakbelasting;Nederland;2010;2961.0;179.0
7;Totaal onroerendezaakbelasting;Nederland;2011;3065.0;184.0
8;Totaal onroerendezaakbelasting;Nederland;2012;3233.0;193.0
9;Totaal onroerendezaakbelasting;Nederland;2013;3407.0;203.0
10;Totaal onroerendezaakbelasting;Nederland;2014;3535.0;210.0
11;Totaal onroerendezaakbelasting;Nederland;2015;3652.0;216.0
12;Totaal onroerendezaakbelasting;Nederland;2016;3759.0;221.0
13;Totaal onroerendezaakbelasting;Nederland;2017;3854.0;225.0
14;Totaal onroerendezaakbelasting;Nederland;2018;3949.0;230.0
15;Totaal onroerendezaakbelasting;Nederland;2019;4109.0;238.0
16;Totaal onroerendezaakbelasting;Nederland;2020;4309.0;248.0
17;Totaal onroerendezaakbelasting;Nederland;2021;4557.0;261.0
18;Totaal onroerendezaakbelasting;Nederland;2022;4756.0;270.0
19;Totaal onroerendezaakbelasting;Nederland;2023;5109.0;287.0
20;Totaal onroerendezaakbelasting;Nederland;2024;5492.0;306.0
21;Totaal onroerendezaakbelasting;Nederland;2025;5962.0;330.0
22;Totaal onroerendezaakbelasting;Noord-Nederland (LD);2004;336.0;198.0
23;Totaal onroerendezaakbelasting;Noord-Nederland (LD);2005;357.0;210.0
24;Totaal onroerendezaakbelasting;Noord-Nederland (LD);2006;260.0;153.0
25;Totaal onroerendezaakbelasting;Noord-Nederland (LD);2007;257.0;151.0
26;Totaal onroerendezaakbelasting;Noord-Nederland (LD);2008;271.0;159.0
27;Totaal onroerendezaakbelasting;Noord-Nederland (LD);2009;287.0;168.0
28;Totaal onroerendezaakbelasting;Noord-Nederland (LD);2010;298.0;174.0
