ID;Afzetgebieden;AlleProdComCoderingen;Perioden;ProducentenprijsindexPPI_1;MaandmutatiePPI_2;JaarmutatiePPI_3
61;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 oktober;135.0;0.3;25.7
62;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 november;132.2;-2.1;21.1
63;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 december ;129.1;-2.3;17.3
64;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022;128.3;;28.3
65;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 januari;130.6;1.1;13.5
66;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 februari;130.1;-0.4;11.8
67;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 maart;127.9;-1.7;4.5
68;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 april;125.4;-1.9;-1.8
69;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 mei;123.1;-1.9;-4.0
70;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 juni;122.7;-0.3;-5.9
71;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 juli;121.2;-1.2;-9.0
72;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 augustus;122.5;1.1;-9.2
73;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 september;124.4;1.6;-7.5
74;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 oktober;123.0;-1.1;-8.9
75;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 november;122.6;-0.4;-7.3
76;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 december;121.0;-1.3;-6.3
77;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023;124.6;;-2.9
78;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024 januari;120.7;-0.3;-7.6
79;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024 februari;120.8;0.1;-7.2
80;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024 maart;121.6;0.7;-4.9
81;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024 april;122.2;0.5;-2.6
82;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024 mei;121.2;-0.8;-1.5
83;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024  juni;121.6;0.3;-0.9
84;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024 juli;121.5;-0.1;0.2
85;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024 augustus;120.5;-0.8;-1.7
86;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024 september;119.9;-0.5;-3.6
87;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024 oktober;120.2;0.2;-2.3
88;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024 november;121.3;0.9;-1.0
89;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024 december;121.8;0.4;0.6
90;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2024;121.1;;-2.8
91;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2025 januari;123.6;1.5;2.4
92;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2025 februari;124.2;0.5;2.9
93;Totaal afzetprijzen;B Winning van delfstoffen;2018 januari;78.2;;
94;Totaal afzetprijzen;B Winning van delfstoffen;2018 februari;74.9;-4.1;
95;Totaal afzetprijzen;B Winning van delfstoffen;2018 maart;75.9;1.3;
96;Totaal afzetprijzen;B Winning van delfstoffen;2018 april;75.2;-1.0;
97;Totaal afzetprijzen;B Winning van delfstoffen;2018 mei;78.1;3.8;
98;Totaal afzetprijzen;B Winning van delfstoffen;2018 juni;81.8;4.8;
99;Totaal afzetprijzen;B Winning van delfstoffen;2018 juli;83.2;1.7;
100;Totaal afzetprijzen;B Winning van delfstoffen;2018 augustus;83.6;0.5;
101;Totaal afzetprijzen;B Winning van delfstoffen;2018 september;87.1;4.3;
102;Totaal afzetprijzen;B Winning van delfstoffen;2018 oktober;93.3;7.1;
103;Totaal afzetprijzen;B Winning van delfstoffen;2018 november;88.0;-5.7;
104;Totaal afzetprijzen;B Winning van delfstoffen;2018 december;84.7;-3.7;
105;Totaal afzetprijzen;B Winning van delfstoffen;2018;82.0;;
106;Totaal afzetprijzen;B Winning van delfstoffen;2019 januari;84.2;-0.6;7.7
107;Totaal afzetprijzen;B Winning van delfstoffen;2019 februari;84.6;0.6;12.9
108;Totaal afzetprijzen;B Winning van delfstoffen;2019 maart;76.1;-10.0;0.3
109;Totaal afzetprijzen;B Winning van delfstoffen;2019 april;73.7;-3.2;-2.0
110;Totaal afzetprijzen;B Winning van delfstoffen;2019 mei;73.5;-0.2;-5.9
111;Totaal afzetprijzen;B Winning van delfstoffen;2019 juni;68.8;-6.4;-15.9
112;Totaal afzetprijzen;B Winning van delfstoffen;2019 juli;65.8;-4.3;-20.8
113;Totaal afzetprijzen;B Winning van delfstoffen;2019 augustus;65.1;-1.2;-22.2
114;Totaal afzetprijzen;B Winning van delfstoffen;2019 september;66.3;1.9;-24.0
115;Totaal afzetprijzen;B Winning van delfstoffen;2019 oktober;71.4;7.7;-23.5
116;Totaal afzetprijzen;B Winning van delfstoffen;2019 november;72.0;0.9;-18.1
117;Totaal afzetprijzen;B Winning van delfstoffen;2019 december;74.1;2.9;-12.5
118;Totaal afzetprijzen;B Winning van delfstoffen;2019;73.0;;-11.0
119;Totaal afzetprijzen;B Winning van delfstoffen;2020 januari;73.6;-0.7;-12.5
120;Totaal afzetprijzen;B Winning van delfstoffen;2020 februari;68.7;-6.7;-18.9
121;Totaal afzetprijzen;B Winning van delfstoffen;2020 maart;61.1;-11.0;-19.7
122;Totaal afzetprijzen;B Winning van delfstoffen;2020 april;57.6;-5.7;-21.8
123;Totaal afzetprijzen;B Winning van delfstoffen;2020 mei;55.4;-3.8;-24.6
124;Totaal afzetprijzen;B Winning van delfstoffen;2020 juni;54.2;-2.2;-21.2
125;Totaal afzetprijzen;B Winning van delfstoffen;2020 juli;52.7;-2.7;-19.9
126;Totaal afzetprijzen;B Winning van delfstoffen;2020 augustus;53.2;0.8;-18.3
127;Totaal afzetprijzen;B Winning van delfstoffen;2020 september;58.3;9.6;-12.0
128;Totaal afzetprijzen;B Winning van delfstoffen;2020 oktober;60.5;3.9;-15.2
129;Totaal afzetprijzen;B Winning van delfstoffen;2020 november;64.3;6.2;-10.7
130;Totaal afzetprijzen;B Winning van delfstoffen;2020 december;64.6;0.5;-12.8
131;Totaal afzetprijzen;B Winning van delfstoffen;2020;60.3;;-17.3
132;Totaal afzetprijzen;B Winning van delfstoffen;2021 januari;68.5;6.0;-7.0
133;Totaal afzetprijzen;B Winning van delfstoffen;2021 februari;74.3;8.5;8.2
134;Totaal afzetprijzen;B Winning van delfstoffen;2021 maart;71.8;-3.4;17.4
135;Totaal afzetprijzen;B Winning van delfstoffen;2021 april;71.7;-0.1;24.4
136;Totaal afzetprijzen;B Winning van delfstoffen;2021 mei;78.4;9.4;41.5
137;Totaal afzetprijzen;B Winning van delfstoffen;2021 juni;85.5;9.0;57.7
138;Totaal afzetprijzen;B Winning van delfstoffen;2021 juli;95.0;11.1;80.1
139;Totaal afzetprijzen;B Winning van delfstoffen;2021 augustus;105.9;11.5;99.2
140;Totaal afzetprijzen;B Winning van delfstoffen;2021 september;115.3;8.9;97.9
141;Totaal afzetprijzen;B Winning van delfstoffen;2021 oktober;134.2;16.4;121.7
142;Totaal afzetprijzen;B Winning van delfstoffen;2021 november;150.4;12.0;133.8
143;Totaal afzetprijzen;B Winning van delfstoffen;2021 december;149.2;-0.8;130.9
144;Totaal afzetprijzen;B Winning van delfstoffen;2021;100.0;;65.7
145;Totaal afzetprijzen;B Winning van delfstoffen;2022 januari;171.9;15.2;151.0
146;Totaal afzetprijzen;B Winning van delfstoffen;2022 februari;158.7;-7.7;113.6
147;Totaal afzetprijzen;B Winning van delfstoffen;2022 maart;163.2;2.8;127.4
148;Totaal afzetprijzen;B Winning van delfstoffen;2022 april;202.2;23.9;182.2
149;Totaal afzetprijzen;B Winning van delfstoffen;2022 mei;181.4;-10.3;131.5
150;Totaal afzetprijzen;B Winning van delfstoffen;2022 juni;181.7;0.1;112.6
151;Totaal afzetprijzen;B Winning van delfstoffen;2022 juli;203.9;12.2;114.7
152;Totaal afzetprijzen;B Winning van delfstoffen;2022 augustus;270.8;32.8;155.8
153;Totaal afzetprijzen;B Winning van delfstoffen;2022 september;334.2;23.4;189.8
154;Totaal afzetprijzen;B Winning van delfstoffen;2022 oktober;335.7;0.4;150.1
155;Totaal afzetprijzen;B Winning van delfstoffen;2022 november;306.8;-8.6;104.0
156;Totaal afzetprijzen;B Winning van delfstoffen;2022 december ;263.6;-14.1;76.6
157;Totaal afzetprijzen;B Winning van delfstoffen;2022;231.2;;131.2
158;Totaal afzetprijzen;B Winning van delfstoffen;2023 januari;245.2;-7.0;42.6
159;Totaal afzetprijzen;B Winning van delfstoffen;2023 februari;245.8;0.3;54.9
160;Totaal afzetprijzen;B Winning van delfstoffen;2023 maart;219.1;-10.9;34.3
161;Totaal afzetprijzen;B Winning van delfstoffen;2023 april;182.8;-16.6;-9.6
162;Totaal afzetprijzen;B Winning van delfstoffen;2023 mei;166.8;-8.7;-8.0
163;Totaal afzetprijzen;B Winning van delfstoffen;2023 juni;167.9;0.7;-7.6
164;Totaal afzetprijzen;B Winning van delfstoffen;2023 juli;163.7;-2.5;-19.7
165;Totaal afzetprijzen;B Winning van delfstoffen;2023 augustus;160.7;-1.8;-40.7
166;Totaal afzetprijzen;B Winning van delfstoffen;2023 september;173.4;7.9;-48.1
167;Totaal afzetprijzen;B Winning van delfstoffen;2023 oktober;162.5;-6.3;-51.6
168;Totaal afzetprijzen;B Winning van delfstoffen;2023 november;178.5;9.9;-41.8
169;Totaal afzetprijzen;B Winning van delfstoffen;2023 december;184.7;3.5;-29.9
170;Totaal afzetprijzen;B Winning van delfstoffen;2023;187.6;;-18.9
171;Totaal afzetprijzen;B Winning van delfstoffen;2024 januari;161.7;-12.5;-34.1
172;Totaal afzetprijzen;B Winning van delfstoffen;2024 februari;141.1;-12.7;-42.6
173;Totaal afzetprijzen;B Winning van delfstoffen;2024 maart;150.9;7.0;-31.1
174;Totaal afzetprijzen;B Winning van delfstoffen;2024 april;149.9;-0.7;-18.0
175;Totaal afzetprijzen;B Winning van delfstoffen;2024 mei;150.8;0.6;-9.6
176;Totaal afzetprijzen;B Winning van delfstoffen;2024  juni;161.1;6.9;-4.1
177;Totaal afzetprijzen;B Winning van delfstoffen;2024 juli;170.7;5.9;4.3
178;Totaal afzetprijzen;B Winning van delfstoffen;2024 augustus;154.5;-9.5;-3.9
179;Totaal afzetprijzen;B Winning van delfstoffen;2024 september;163.4;5.8;-5.8
180;Totaal afzetprijzen;B Winning van delfstoffen;2024 oktober;151.2;-7.5;-6.9
181;Totaal afzetprijzen;B Winning van delfstoffen;2024 november;158.9;5.1;-11.0
182;Totaal afzetprijzen;B Winning van delfstoffen;2024 december;167.0;5.1;-9.6
183;Totaal afzetprijzen;B Winning van delfstoffen;2024;156.8;;-16.4
184;Totaal afzetprijzen;B Winning van delfstoffen;2025 januari;168.6;1.0;4.3
185;Totaal afzetprijzen;B Winning van delfstoffen;2025 februari;173.6;2.9;23.0
186;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 januari;;;
187;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 februari;;;
188;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 maart;;;
189;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 april;;;
190;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 mei;;;
191;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 juni;;;
192;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 juli;;;
193;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 augustus;;;
194;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 september;;;
195;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 oktober;;;
196;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 november;;;
197;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 december;;;
198;Totaal afzetprijzen;05 Steenkool en bruinkool;2018;;;
199;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 januari;;;
200;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 februari;;;
201;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 maart;;;
202;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 april;;;
203;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 mei;;;
204;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 juni;;;
205;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 juli;;;
206;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 augustus;;;
207;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 september;;;
208;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 oktober;;;
209;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 november;;;
210;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 december;;;
211;Totaal afzetprijzen;05 Steenkool en bruinkool;2019;;;
212;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 januari;;;
213;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 februari;;;
214;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 maart;;;
215;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 april;;;
216;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 mei;;;
217;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 juni;;;
