ID;AfzetInvoerEnVerbruik;ProductenPRODCOM;Perioden;ProducentenprijsindexPPI_1;OntwikkelingTOVEenJaarEerder_2;OntwikkelingTOVEenMaandEerder_3
0;Totaal afzetprijzen;B Winning van delfstoffen;2005 januari;68.1;20.9;8.5
1;Totaal afzetprijzen;B Winning van delfstoffen;2005 februari;68.4;20.6;0.4
2;Totaal afzetprijzen;B Winning van delfstoffen;2005 maart;68.9;22.1;0.7
3;Totaal afzetprijzen;B Winning van delfstoffen;2005 april;72.1;29.9;4.6
4;Totaal afzetprijzen;B Winning van delfstoffen;2005 mei;71.8;30.6;-0.4
5;Totaal afzetprijzen;B Winning van delfstoffen;2005 juni;73.5;32.6;2.4
6;Totaal afzetprijzen;B Winning van delfstoffen;2005 juli;76.8;36.1;4.4
7;Totaal afzetprijzen;B Winning van delfstoffen;2005 augustus;79.1;40.9;3.0
8;Totaal afzetprijzen;B Winning van delfstoffen;2005 september;80.7;41.5;2.0
9;Totaal afzetprijzen;B Winning van delfstoffen;2005 oktober;86.8;41.3;7.6
10;Totaal afzetprijzen;B Winning van delfstoffen;2005 november;87.2;39.3;0.4
11;Totaal afzetprijzen;B Winning van delfstoffen;2005 december;92.3;47.0;5.9
12;Totaal afzetprijzen;B Winning van delfstoffen;2005;77.1;33.8;
13;Totaal afzetprijzen;B Winning van delfstoffen;2006 januari;96.1;41.0;4.1
14;Totaal afzetprijzen;B Winning van delfstoffen;2006 februari;96.2;40.6;0.1
15;Totaal afzetprijzen;B Winning van delfstoffen;2006 maart;97.2;41.2;1.1
16;Totaal afzetprijzen;B Winning van delfstoffen;2006 april;100.3;39.2;3.2
17;Totaal afzetprijzen;B Winning van delfstoffen;2006 mei;104.5;45.5;4.2
18;Totaal afzetprijzen;B Winning van delfstoffen;2006 juni;104.2;41.8;-0.2
19;Totaal afzetprijzen;B Winning van delfstoffen;2006 juli;103.5;34.8;-0.7
20;Totaal afzetprijzen;B Winning van delfstoffen;2006 augustus;103.5;30.9;0.0
21;Totaal afzetprijzen;B Winning van delfstoffen;2006 september;104.5;29.5;0.9
22;Totaal afzetprijzen;B Winning van delfstoffen;2006 oktober;103.9;19.7;-0.6
23;Totaal afzetprijzen;B Winning van delfstoffen;2006 november;102.9;18.0;-1.0
24;Totaal afzetprijzen;B Winning van delfstoffen;2006 december;103.2;11.8;0.3
25;Totaal afzetprijzen;B Winning van delfstoffen;2006;101.7;31.8;
26;Totaal afzetprijzen;B Winning van delfstoffen;2007 januari;104.3;8.6;1.1
27;Totaal afzetprijzen;B Winning van delfstoffen;2007 februari;102.5;6.6;-1.7
28;Totaal afzetprijzen;B Winning van delfstoffen;2007 maart;103.0;5.9;0.5
29;Totaal afzetprijzen;B Winning van delfstoffen;2007 april;102.3;2.0;-0.7
30;Totaal afzetprijzen;B Winning van delfstoffen;2007 mei;100.8;-3.5;-1.5
