ID;Vervoerstromen;Landen;Goederensoort;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometer_2;VervoerdeContainers_3
0;Aanvoer;Totaal;Totaal;2012;66659.0;8850.0;957.0
1;Aanvoer;Totaal;Totaal;2013;63452.0;8475.0;901.0
2;Aanvoer;Totaal;Totaal;2014;64332.0;8672.0;937.0
3;Aanvoer;Totaal;Totaal;2015;63216.0;8405.0;927.0
4;Aanvoer;Totaal;Totaal;2016;65455.0;8706.0;856.0
5;Aanvoer;Totaal;Totaal;2017;68231.0;9074.0;913.0
6;Aanvoer;Totaal;Totaal;2018;64695.0;8632.0;833.0
7;Aanvoer;Totaal;Totaal;2019;66334.0;8743.0;772.0
8;Aanvoer;Totaal;Totaal;2020;66215.0;8716.0;778.0
9;Aanvoer;Totaal;Totaal;2021;67501.0;8843.0;782.0
10;Aanvoer;Totaal;Totaal;2022;60828.0;8003.0;706.0
11;Aanvoer;Totaal;Totaal;2023;60717.0;7963.0;634.0
12;Aanvoer;Totaal;01 Producten van de landbouw, jacht e...;2012;5319.0;699.0;
13;Aanvoer;Totaal;01 Producten van de landbouw, jacht e...;2013;4706.0;602.0;
14;Aanvoer;Totaal;01 Producten van de landbouw, jacht e...;2014;4497.0;585.0;
15;Aanvoer;Totaal;01 Producten van de landbouw, jacht e...;2015;4217.0;542.0;
16;Aanvoer;Totaal;01 Producten van de landbouw, jacht e...;2016;3969.0;527.0;
17;Aanvoer;Totaal;01 Producten van de landbouw, jacht e...;2017;3982.0;519.0;
18;Aanvoer;Totaal;01 Producten van de landbouw, jacht e...;2018;3980.0;529.0;
19;Aanvoer;Totaal;01 Producten van de landbouw, jacht e...;2019;3424.0;461.0;
20;Aanvoer;Totaal;01 Producten van de landbouw, jacht e...;2020;3639.0;479.0;
21;Aanvoer;Totaal;01 Producten van de landbouw, jacht e...;2021;4232.0;560.0;
22;Aanvoer;Totaal;01 Producten van de landbouw, jacht e...;2022;3894.0;513.0;
23;Aanvoer;Totaal;01 Producten van de landbouw, jacht e...;2023;3258.0;401.0;
24;Aanvoer;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2012;1228.0;163.0;
25;Aanvoer;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2013;1298.0;169.0;
26;Aanvoer;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2014;867.0;119.0;
27;Aanvoer;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2015;617.0;86.0;
28;Aanvoer;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2016;973.0;137.0;
29;Aanvoer;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2017;1009.0;142.0;
30;Aanvoer;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2018;1016.0;125.0;
31;Aanvoer;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2019;988.0;106.0;
32;Aanvoer;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2020;559.0;61.0;
33;Aanvoer;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2021;665.0;62.0;
34;Aanvoer;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2022;859.0;85.0;
35;Aanvoer;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2023;689.0;65.0;
36;Aanvoer;Totaal;03 Metaalertsen en andere delfstoffen...;2012;17721.0;2304.0;
37;Aanvoer;Totaal;03 Metaalertsen en andere delfstoffen...;2013;15345.0;2086.0;
38;Aanvoer;Totaal;03 Metaalertsen en andere delfstoffen...;2014;14834.0;2062.0;
39;Aanvoer;Totaal;03 Metaalertsen en andere delfstoffen...;2015;15406.0;2111.0;
40;Aanvoer;Totaal;03 Metaalertsen en andere delfstoffen...;2016;15679.0;2109.0;
41;Aanvoer;Totaal;03 Metaalertsen en andere delfstoffen...;2017;16413.0;2261.0;
42;Aanvoer;Totaal;03 Metaalertsen en andere delfstoffen...;2018;15365.0;2103.0;
