ID;Persoonskenmerken;Leeftijd;Geslacht;Perioden;UitkeringenBeginVanHetJaar_1;Instroom_2;Uitstroom_3;UitkeringenEindeVanHetJaar_4
0;Burgerlijke staat totaal;Leeftijd totaal;Mannen en vrouwen;2000;380550.0;109100.0;135890.0;353640.0
1;Burgerlijke staat totaal;Leeftijd totaal;Mannen en vrouwen;2001;353640.0;100920.0;112110.0;342250.0
2;Burgerlijke staat totaal;Leeftijd totaal;Mannen en vrouwen;2002;342250.0;101830.0;102580.0;341490.0
3;Burgerlijke staat totaal;Leeftijd totaal;Mannen en vrouwen;2003;341490.0;113980.0;96780.0;358690.0
4;Burgerlijke staat totaal;Leeftijd totaal;Mannen en vrouwen;2004;358690.0;113320.0;109060.0;362950.0
5;Burgerlijke staat totaal;Leeftijd totaal;Mannen;2000;165270.0;54270.0;70530.0;148930.0
6;Burgerlijke staat totaal;Leeftijd totaal;Mannen;2001;148930.0;51400.0;56770.0;143380.0
7;Burgerlijke staat totaal;Leeftijd totaal;Mannen;2002;143380.0;53020.0;51920.0;144460.0
8;Burgerlijke staat totaal;Leeftijd totaal;Mannen;2003;144460.0;61520.0;50230.0;155680.0
9;Burgerlijke staat totaal;Leeftijd totaal;Mannen;2004;155680.0;61010.0;57860.0;158810.0
10;Burgerlijke staat totaal;Leeftijd totaal;Vrouwen;2000;215210.0;54770.0;65330.0;204640.0
11;Burgerlijke staat totaal;Leeftijd totaal;Vrouwen;2001;204640.0;49490.0;55290.0;198850.0
12;Burgerlijke staat totaal;Leeftijd totaal;Vrouwen;2002;198850.0;48810.0;50670.0;197020.0
13;Burgerlijke staat totaal;Leeftijd totaal;Vrouwen;2003;197020.0;52460.0;46550.0;203000.0
14;Burgerlijke staat totaal;Leeftijd totaal;Vrouwen;2004;203000.0;52310.0;51200.0;204140.0
15;Burgerlijke staat totaal;Jonger dan 65 jaar;Mannen en vrouwen;2000;363190.0;105250.0;132200.0;334990.0
16;Burgerlijke staat totaal;Jonger dan 65 jaar;Mannen en vrouwen;2001;334990.0;97200.0;108750.0;322080.0
17;Burgerlijke staat totaal;Jonger dan 65 jaar;Mannen en vrouwen;2002;322080.0;98360.0;99050.0;320100.0
18;Burgerlijke staat totaal;Jonger dan 65 jaar;Mannen en vrouwen;2003;320100.0;110290.0;93200.0;335700.0
19;Burgerlijke staat totaal;Jonger dan 65 jaar;Mannen en vrouwen;2004;335700.0;109590.0;105070.0;338580.0
20;Burgerlijke staat totaal;Jonger dan 65 jaar;Mannen;2000;157850.0;52320.0;68820.0;140750.0
21;Burgerlijke staat totaal;Jonger dan 65 jaar;Mannen;2001;140750.0;49430.0;55000.0;134430.0
22;Burgerlijke staat totaal;Jonger dan 65 jaar;Mannen;2002;134430.0;51120.0;50000.0;134850.0
23;Burgerlijke staat totaal;Jonger dan 65 jaar;Mannen;2003;134850.0;59470.0;48380.0;145080.0
24;Burgerlijke staat totaal;Jonger dan 65 jaar;Mannen;2004;145080.0;58980.0;55660.0;147520.0
25;Burgerlijke staat totaal;Jonger dan 65 jaar;Vrouwen;2000;205290.0;52880.0;63360.0;194170.0
26;Burgerlijke staat totaal;Jonger dan 65 jaar;Vrouwen;2001;194170.0;47740.0;53710.0;187640.0
27;Burgerlijke staat totaal;Jonger dan 65 jaar;Vrouwen;2002;187640.0;47240.0;49050.0;185240.0
28;Burgerlijke staat totaal;Jonger dan 65 jaar;Vrouwen;2003;185240.0;50820.0;44810.0;190620.0
29;Burgerlijke staat totaal;Jonger dan 65 jaar;Vrouwen;2004;190620.0;50610.0;49400.0;191060.0
30;Burgerlijke staat totaal;Jonger dan 25 jaar;Mannen en vrouwen;2000;29960.0;25810.0;24200.0;26300.0
31;Burgerlijke staat totaal;Jonger dan 25 jaar;Mannen en vrouwen;2001;26300.0;24030.0;19710.0;25990.0
32;Burgerlijke staat totaal;Jonger dan 25 jaar;Mannen en vrouwen;2002;25990.0;25340.0;18360.0;28180.0
33;Burgerlijke staat totaal;Jonger dan 25 jaar;Mannen en vrouwen;2003;28180.0;29830.0;19930.0;32840.0
34;Burgerlijke staat totaal;Jonger dan 25 jaar;Mannen en vrouwen;2004;32840.0;29860.0;23730.0;32980.0
35;Burgerlijke staat totaal;Jonger dan 25 jaar;Mannen;2000;12490.0;11670.0;12020.0;10020.0
36;Burgerlijke staat totaal;Jonger dan 25 jaar;Mannen;2001;10020.0;11150.0;9590.0;9820.0
37;Burgerlijke staat totaal;Jonger dan 25 jaar;Mannen;2002;9820.0;12420.0;9100.0;11290.0
38;Burgerlijke staat totaal;Jonger dan 25 jaar;Mannen;2003;11290.0;15210.0;10410.0;14010.0
39;Burgerlijke staat totaal;Jonger dan 25 jaar;Mannen;2004;14010.0;15050.0;12480.0;14030.0
40;Burgerlijke staat totaal;Jonger dan 25 jaar;Vrouwen;2000;17470.0;14130.0;12170.0;16270.0
41;Burgerlijke staat totaal;Jonger dan 25 jaar;Vrouwen;2001;16270.0;12870.0;10110.0;16160.0
42;Burgerlijke staat totaal;Jonger dan 25 jaar;Vrouwen;2002;16160.0;12920.0;9260.0;16890.0
43;Burgerlijke staat totaal;Jonger dan 25 jaar;Vrouwen;2003;16890.0;14610.0;9520.0;18830.0
44;Burgerlijke staat totaal;Jonger dan 25 jaar;Vrouwen;2004;18830.0;14810.0;11250.0;18950.0
45;Burgerlijke staat totaal;25 tot 35 jaar;Mannen en vrouwen;2000;92470.0;35210.0;44400.0;78900.0
46;Burgerlijke staat totaal;25 tot 35 jaar;Mannen en vrouwen;2001;78900.0;32090.0;34630.0;72420.0
47;Burgerlijke staat totaal;25 tot 35 jaar;Mannen en vrouwen;2002;72420.0;31360.0;30100.0;70600.0
48;Burgerlijke staat totaal;25 tot 35 jaar;Mannen en vrouwen;2003;70600.0;34380.0;27410.0;74490.0
49;Burgerlijke staat totaal;25 tot 35 jaar;Mannen en vrouwen;2004;74490.0;33620.0;31220.0;74030.0
50;Burgerlijke staat totaal;25 tot 35 jaar;Mannen;2000;39920.0;18060.0;23860.0;32150.0
51;Burgerlijke staat totaal;25 tot 35 jaar;Mannen;2001;32150.0;16620.0;17870.0;29050.0
52;Burgerlijke staat totaal;25 tot 35 jaar;Mannen;2002;29050.0;16730.0;15510.0;28910.0
53;Burgerlijke staat totaal;25 tot 35 jaar;Mannen;2003;28910.0;19140.0;14740.0;31860.0
54;Burgerlijke staat totaal;25 tot 35 jaar;Mannen;2004;31860.0;18940.0;17170.0;32400.0
55;Burgerlijke staat totaal;25 tot 35 jaar;Vrouwen;2000;52530.0;17140.0;20530.0;46740.0
56;Burgerlijke staat totaal;25 tot 35 jaar;Vrouwen;2001;46740.0;15450.0;16750.0;43360.0
57;Burgerlijke staat totaal;25 tot 35 jaar;Vrouwen;2002;43360.0;14620.0;14580.0;41690.0
58;Burgerlijke staat totaal;25 tot 35 jaar;Vrouwen;2003;41690.0;15230.0;12660.0;42630.0
59;Burgerlijke staat totaal;25 tot 35 jaar;Vrouwen;2004;42630.0;14680.0;14050.0;41630.0
60;Burgerlijke staat totaal;35 tot 45 jaar;Mannen en vrouwen;2000;98910.0;24940.0;34000.0;91670.0
61;Burgerlijke staat totaal;35 tot 45 jaar;Mannen en vrouwen;2001;91670.0;23750.0;28820.0;87350.0
62;Burgerlijke staat totaal;35 tot 45 jaar;Mannen en vrouwen;2002;87350.0;23580.0;25940.0;85360.0
63;Burgerlijke staat totaal;35 tot 45 jaar;Mannen en vrouwen;2003;85360.0;26160.0;23120.0;88990.0
64;Burgerlijke staat totaal;35 tot 45 jaar;Mannen en vrouwen;2004;88990.0;25660.0;25090.0;90370.0
65;Burgerlijke staat totaal;35 tot 45 jaar;Mannen;2000;42690.0;12950.0;17740.0;38610.0
66;Burgerlijke staat totaal;35 tot 45 jaar;Mannen;2001;38610.0;12660.0;14610.0;36820.0
