ID;Perioden;TotaalBegonnenZaken_1;Dagvaardingsformulier_2;Deurwaardersexploot_3;Verzetzaken_4;KortGedingen_5;TotaalBeeindigdeZaken_6;TotaalEindvonnissen_7;ArbeidszakenContradictoirVonnis_8;OverigeZakenContradictoirVonnis_9;Verstekvonnis_10;KortGedingen_11;BeeindigdDoorIntrekking_12;AndersBeeindigd_13;TotaalBegonnenZaken_14;Huurzaken_15;Ontslagzaken_16;Familiezaken_17;OverigeZaken_18;TotaalBeeindigdeZaken_19;TotaalEindbeschikkingen_20;Huurzaken_21;Bijstandszaken_22;Ontslagzaken_23;FamiliezakenVoogdij_24;FamiliezakenBewindMeerderjarigen_25;OverigeFamiliezaken_26;OverigeEindbeschikkingen_27;BeeindigdDoorIntrekking_28;AndersBeeindigd_29;TotaalBegonnenZaken_30;KortGedingen_31;OverigeZaken_32;TotaalBeeindigdeZaken_33;TotaalEindvonnissen_34;KortGedingenContradictoirVonnis_35;KortGedingenVerstekvonnissen_36;OverigeEindvonnissen_37;AndersBeeindigd_38;TotaalBegonnenZaken_39;Echtscheiding_40;OndertoezichtstellingMinderjarigenED_41;GezagOverMinderjarigen_42;Adoptie_43;WetBOPZ_44;Insolventie_45;OverigeZaken_46;TotaalBeeindigdeZaken_47;TotaalEindbeschikkingen_48;Echtscheiding_49;OndertoezichtstellingMinderjarigenED_50;GezagOverMinderjarigen_51;Adoptie_52;WetBOPZ_53;Insolventie_54;OverigeEindbeschikkingen_55;AndersBeeindigd_56;InDitJaarBegonnenZaken_57;TotaalBeeindigdeZaken_58;BeeindigdMetEindarrest_59;BeeindigdDoorIntrekking_60;AndersBeeindigd_61;InDitJaarBegonnenZaken_62;TotaalBeeindigdeZaken_63;BeeindigdMetEenEindbeschikking_64;BeeindigdDoorIntrekking_65;AndersBeeindigd_66;ZakenOp1JanuariAanhangig_67;InDitJaarBegonnenZaken_68;TotaalBeeindigdeZaken_69;BeeindigdDoorEindarrest_70;AndersBeeindigd_71;ZakenOp31DecemberAanhangig_72;ZakenOp1JanuariAanhangig_73;InDitJaarBegonnenZaken_74;TotaalBeeindigdeZaken_75;BeeindigdMetEenEindbeschikking_76;AndersBeeindigd_77;ZakenOp31DecemberAanhangig_78
0;2001;316.1;14.0;287.7;1.4;13.0;310.7;254.7;4.4;40.9;201.0;8.5;44.1;11.9;156.9;1.5;44.5;106.4;4.4;153.9;145.6;1.5;0.9;38.9;26.3;10.1;65.1;2.8;4.4;3.9;49.3;15.0;34.3;46.9;29.2;6.1;2.4;20.7;17.7;137.6;39.2;30.9;2.7;1.4;13.1;23.0;27.4;133.4;121.2;36.9;30.1;2.4;1.2;12.2;16.4;21.9;12.2;5281;4966;3368;78;1520;4057;3611;3042;567;2;618;360;379;339;40;599;133;145;162;150;12;113
1;2002;311.9;0.2;299.1;1.3;11.4;314.0;255.6;4.5;43.9;200.5;6.7;43.2;15.2;191.5;1.7;68.3;119.0;2.6;189.1;178.8;1.3;0.1;63.3;29.4;11.4;71.5;1.7;5.2;5.2;44.8;14.9;29.9;48.9;30.4;6.6;2.4;21.4;18.4;133.8;35.2;30.8;2.9;1.3;13.5;23.5;26.7;135.9;123.1;34.0;30.3;2.5;1.4;13.4;17.1;24.3;12.9;6494;5081;3514;120;1447;3961;4063;3520;539;4;599;340;400;373;27;539;113;100;118;115;3;95
2;2003;386.0;;371.7;1.2;13.0;380.9;318.8;4.5;52.0;254.3;8.1;47.4;14.8;211.1;1.7;78.5;128.7;2.3;209.7;201.8;1.3;0.0;74.8;29.2;13.0;81.7;1.7;2.5;5.5;46.6;14.0;32.6;50.1;32.0;6.4;2.0;23.6;18.2;140.9;33.4;31.6;2.9;1.3;15.1;28.9;27.8;138.1;126.4;31.9;30.5;2.5;1.4;14.4;20.5;25.2;11.7;7373;6616;3892;142;2582;4566;4385;3903;468;14;539;320;413;375;38;446;95;151;126;115;11;120
3;2004;460.0;;445.3;1.3;13.4;456.0;382.3;4.7;64.7;304.7;8.2;57.6;16.1;218.1;1.2;72.0;142.6;2.2;215.0;206.2;1.1;0.0;68.2;32.4;14.0;88.9;1.6;3.3;5.5;50.7;13.8;36.8;53.7;34.6;6.1;2.0;26.5;19.1;150.2;33.3;33.0;3.1;1.7;17.3;33.4;28.4;147.9;135.2;32.2;31.5;2.7;1.5;16.0;25.3;26.0;12.7;7588;7272;4331;146;2795;5283;4923;4466;447;10;446;355;379;344;35;422;120;145;131;122;9;134
4;2005;467.4;;453.6;1.3;12.5;471.2;398.3;4.8;69.0;317.0;7.5;56.6;16.3;224.9;1.3;67.6;153.5;2.5;224.0;213.4;1.0;0.0;64.6;34.1;16.0;95.9;1.9;4.5;6.1;49.2;13.9;35.3;52.0;32.7;6.3;1.9;24.5;19.3;154.6;34.0;36.2;3.2;1.5;17.7;33.4;28.4;153.3;140.2;32.6;34.0;2.9;1.7;17.2;25.7;26.2;13.1;7771;6969;4689;150;2130;6462;5903;5355;540;8;422;341;340;308;32;424;134;172;154;144;10;151
5;2006;455.7;;443.4;1.3;11.0;456.8;388.4;3.9;65.1;312.6;6.8;52.3;16.0;234.3;1.2;54.2;172.4;6.5;227.4;219.0;1.0;0.0;53.2;37.4;17.5;105.6;4.4;3.4;5.0;49.2;13.5;35.7;49.8;31.3;6.3;1.7;23.3;18.5;159.2;33.7;41.1;3.5;1.2;18.4;32.0;29.3;157.0;143.7;32.5;38.3;2.8;1.2;18.0;24.7;26.2;13.3;7195;7660;4659;143;2858;6810;6553;5985;559;9;424;353;344;314;30;440;152;189;160;149;11;173
6;2007;454.3;;443.3;1.4;9.7;451.4;386.1;3.3;61.8;315.4;5.7;49.7;15.5;235.6;1.3;30.0;192.7;11.6;225.4;215.7;1.0;0.0;28.2;38.2;20.2;121.8;6.2;3.2;6.5;46.2;13.8;32.6;47.3;29.7;6.4;1.7;21.8;17.7;165.7;33.5;46.5;5.3;1.0;19.5;29.7;30.2;163.7;150.7;32.6;44.1;3.9;1.0;18.4;23.5;27.1;13.0;6981;7996;4559;128;3344;6810;6428;6082;332;15;440;362;286;268;18;516;181;220;213;207;6;180
7;2008;522.4;;511.3;1.5;9.6;525.2;452.4;3.0;64.9;379.0;5.5;55.4;17.4;259.6;1.2;23.6;216.8;18.1;250.7;238.3;1.0;0.0;21.2;41.3;25.5;135.6;13.8;4.8;7.6;48.3;14.2;34.3;48.3;31.1;6.9;1.7;22.6;17.3;165.6;34.1;50.7;7.0;0.9;19.9;22.7;30.3;162.9;150.1;32.9;47.5;5.6;0.9;18.1;17.9;27.2;12.8;7201;7651;4736;132;2831;7065;6934;6767;116;51;553;343;351;314;37;545;188;242;228;216;12;195
8;2009;613.0;;600.8;1.7;10.4;599.9;519.8;3.1;68.7;442.3;5.8;62.6;17.4;291.4;1.2;29.9;243.8;16.6;284.9;269.2;0.9;0.0;26.1;44.1;28.1;153.4;16.6;7.3;8.4;53.4;15.3;38.4;53.0;35.5;7.1;2.0;26.5;17.6;173.4;32.7;52.7;8.1;0.9;20.9;29.3;28.7;171.6;157.7;31.7;51.3;7.0;0.9;19.3;21.6;25.9;13.8;7835;8190;4756;113;3348;7395;7539;7159;343;88;545;352;360;319;41;494;195;217;222;208;14;180
