ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;Indelingswijziging_4;AantalInwoners_5;TotaalVermogenVernielingEnGeweld_6;TotaalVermogensmisdrijven_7;TotaalDiefstal_8;Fietsendiefstal_9;DiefstalOverigeVervoermiddelen_10;DiefstalUitVanafVervoermiddelen_11;ZakkenrollerijStraatroofEnBeroving_12;TotaalDiefstalUitWoningSchuurED_13;DiefstalUitNietResidentieleGebouwen_14;OverigeDiefstalInbraak_15;OverigeVermogensmisdrijven_16;TotaalVernielingTegenOpenbareOrde_17;TotaalVernieling_18;VernielingAanAuto_19;OverigeVernieling_20;OverigeVernielingTegenOpenbareOrde_21;TotaalGeweldsEnSeksueleMisdrijven_22;Mishandeling_23;BedreigingEnStalking_24;OverigeGeweldsEnSeksueleMisdrijven_25;TotaalVermogenVernielingEnGeweld_26;TotaalVermogensmisdrijven_27;TotaalDiefstalUitWoningSchuurED_28;VernielingMisdrijfTegenOpenbareOrde_29;GeweldsEnSeksueleMisdrijven_30
0;Aa en Hunze;Aa en Hunze                   ;Gemeente;GM1680    ;;25243;507.0;326.0;237.0;34.0;3.0;19.0;2.0;69.0;28.0;82.0;89.0;115.0;107.0;42.0;65.0;8.0;66.0;28.0;20.0;18.0;20.0;13.0;3.0;4.0;3.0
1;Wijk 00 Annen;Aa en Hunze                   ;Wijk    ;WK168000  ;1.0;3557;60.0;37.0;29.0;7.0;0.0;0.0;0.0;7.0;8.0;7.0;8.0;18.0;18.0;10.0;8.0;0.0;5.0;1.0;2.0;2.0;17.0;10.0;2.0;5.0;1.0
2;Annen;Aa en Hunze                   ;Buurt   ;BU16800000;1.0;3406;57.0;34.0;27.0;7.0;0.0;0.0;0.0;7.0;8.0;5.0;7.0;18.0;18.0;10.0;8.0;0.0;5.0;1.0;2.0;2.0;17.0;10.0;2.0;5.0;1.0
3;Verspreide huizen Annen;Aa en Hunze                   ;Buurt   ;BU16800009;1.0;151;3.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;20.0;0.0;0.0;0.0
4;Wijk 01 Eext;Aa en Hunze                   ;Wijk    ;WK168001  ;1.0;1388;23.0;13.0;7.0;0.0;0.0;0.0;0.0;1.0;4.0;2.0;6.0;2.0;2.0;0.0;2.0;0.0;8.0;7.0;1.0;0.0;17.0;9.0;1.0;1.0;6.0
5;Eext;Aa en Hunze                   ;Buurt   ;BU16800100;1.0;1227;15.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;1.0;1.0;0.0;1.0;0.0;8.0;7.0;1.0;0.0;12.0;5.0;0.0;1.0;7.0
6;Verspreide huizen Eext;Aa en Hunze                   ;Buurt   ;BU16800109;1.0;161;8.0;7.0;6.0;0.0;0.0;0.0;0.0;1.0;4.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;50.0;43.0;6.0;6.0;0.0
7;Wijk 02 Anloo;Aa en Hunze                   ;Wijk    ;WK168002  ;1.0;448;14.0;10.0;9.0;0.0;0.0;0.0;0.0;5.0;0.0;4.0;1.0;1.0;1.0;0.0;1.0;0.0;3.0;0.0;2.0;1.0;31.0;22.0;11.0;2.0;7.0
8;Anloo;Aa en Hunze                   ;Buurt   ;BU16800200;1.0;329;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0
9;Verspreide huizen Anloo;Aa en Hunze                   ;Buurt   ;BU16800209;1.0;119;12.0;8.0;7.0;0.0;0.0;0.0;0.0;5.0;0.0;2.0;1.0;1.0;1.0;0.0;1.0;0.0;3.0;0.0;2.0;1.0;101.0;67.0;42.0;8.0;25.0
