ID;Stratum;Vlindersoort;Perioden;Index_1;TrendGehelePeriode_2;TrendLaatste10Jaar_3
0;Landelijk;12;1992;192.0;.                             ;.                             
1;Landelijk;12;1993;148.0;.                             ;.                             
2;Landelijk;12;1994;137.0;.                             ;.                             
3;Landelijk;12;1995;65.0;.                             ;.                             
4;Landelijk;12;1996;92.0;.                             ;.                             
5;Landelijk;12;1997;129.0;.                             ;.                             
6;Landelijk;12;1998;119.0;.                             ;.                             
7;Landelijk;12;1999;67.0;.                             ;.                             
8;Landelijk;12;2000;100.0;.                             ;.                             
9;Landelijk;12;2001;79.0;.                             ;.                             
10;Landelijk;12;2002;85.0;.                             ;.                             
11;Landelijk;12;2003;54.0;.                             ;.                             
12;Landelijk;12;2004;56.0;.                             ;.                             
13;Landelijk;12;2005;88.0;Matige afname                 ;Matige afname                 
14;Landelijk;92;1992;154.0;.                             ;.                             
15;Landelijk;92;1993;69.0;.                             ;.                             
16;Landelijk;92;1994;58.0;.                             ;.                             
17;Landelijk;92;1995;49.0;.                             ;.                             
18;Landelijk;92;1996;32.0;.                             ;.                             
19;Landelijk;92;1997;26.0;.                             ;.                             
20;Landelijk;92;1998;45.0;.                             ;.                             
21;Landelijk;92;1999;43.0;.                             ;.                             
22;Landelijk;92;2000;100.0;.                             ;.                             
23;Landelijk;92;2001;55.0;.                             ;.                             
24;Landelijk;92;2002;54.0;.                             ;.                             
25;Landelijk;92;2003;25.0;.                             ;.                             
26;Landelijk;92;2004;29.0;.                             ;.                             
27;Landelijk;92;2005;15.0;Matige afname                 ;Onzeker                       
28;Landelijk;2;1992;88.0;.                             ;.                             
29;Landelijk;2;1993;170.0;.                             ;.                             
30;Landelijk;2;1994;141.0;.                             ;.                             
31;Landelijk;2;1995;94.0;.                             ;.                             
32;Landelijk;2;1996;97.0;.                             ;.                             
33;Landelijk;2;1997;145.0;.                             ;.                             
34;Landelijk;2;1998;145.0;.                             ;.                             
35;Landelijk;2;1999;97.0;.                             ;.                             
36;Landelijk;2;2000;100.0;.                             ;.                             
37;Landelijk;2;2001;62.0;.                             ;.                             
38;Landelijk;2;2002;86.0;.                             ;.                             
39;Landelijk;2;2003;137.0;.                             ;.                             
40;Landelijk;2;2004;188.0;.                             ;.                             
41;Landelijk;2;2005;138.0;Stabiel                       ;Onzeker                       
42;Landelijk;91;1992;33.0;.                             ;.                             
43;Landelijk;91;1993;26.0;.                             ;.                             
44;Landelijk;91;1994;27.0;.                             ;.                             
45;Landelijk;91;1995;14.0;.                             ;.                             
46;Landelijk;91;1996;29.0;.                             ;.                             
47;Landelijk;91;1997;19.0;.                             ;.                             
48;Landelijk;91;1998;47.0;.                             ;.                             
49;Landelijk;91;1999;37.0;.                             ;.                             
50;Landelijk;91;2000;100.0;.                             ;.                             
51;Landelijk;91;2001;58.0;.                             ;.                             
52;Landelijk;91;2002;47.0;.                             ;.                             
53;Landelijk;91;2003;43.0;.                             ;.                             
54;Landelijk;91;2004;51.0;.                             ;.                             
55;Landelijk;91;2005;92.0;Sterke  toename               ;Sterke  toename               
56;Landelijk;56;1992;59.0;.                             ;.                             
57;Landelijk;56;1993;76.0;.                             ;.                             
58;Landelijk;56;1994;27.0;.                             ;.                             
59;Landelijk;56;1995;26.0;.                             ;.                             
60;Landelijk;56;1996;124.0;.                             ;.                             
61;Landelijk;56;1997;29.0;.                             ;.                             
62;Landelijk;56;1998;68.0;.                             ;.                             
63;Landelijk;56;1999;113.0;.                             ;.                             
64;Landelijk;56;2000;100.0;.                             ;.                             
65;Landelijk;56;2001;58.0;.                             ;.                             
66;Landelijk;56;2002;126.0;.                             ;.                             
67;Landelijk;56;2003;147.0;.                             ;.                             
68;Landelijk;56;2004;108.0;.                             ;.                             
69;Landelijk;56;2005;205.0;Sterke  toename               ;Sterke  toename               
70;Landelijk;90;1992;370.0;.                             ;.                             
71;Landelijk;90;1993;144.0;.                             ;.                             
72;Landelijk;90;1994;85.0;.                             ;.                             
73;Landelijk;90;1995;485.0;.                             ;.                             
74;Landelijk;90;1996;96.0;.                             ;.                             
75;Landelijk;90;1997;96.0;.                             ;.                             
76;Landelijk;90;1998;30.0;.                             ;.                             
77;Landelijk;90;1999;141.0;.                             ;.                             
78;Landelijk;90;2000;100.0;.                             ;.                             
79;Landelijk;90;2001;11.0;.                             ;.                             
80;Landelijk;90;2002;22.0;.                             ;.                             
81;Landelijk;90;2003;33.0;.                             ;.                             
82;Landelijk;90;2004;37.0;.                             ;.                             
83;Landelijk;90;2005;56.0;Matige afname                 ;Onzeker                       
84;Landelijk;21;1992;;.                             ;.                             
85;Landelijk;21;1993;6.0;.                             ;.                             
86;Landelijk;21;1994;4.0;.                             ;.                             
87;Landelijk;21;1995;0.0;.                             ;.                             
88;Landelijk;21;1996;22.0;.                             ;.                             
89;Landelijk;21;1997;43.0;.                             ;.                             
90;Landelijk;21;1998;121.0;.                             ;.                             
91;Landelijk;21;1999;82.0;.                             ;.                             
92;Landelijk;21;2000;100.0;.                             ;.                             
93;Landelijk;21;2001;69.0;.                             ;.                             
94;Landelijk;21;2002;87.0;.                             ;.                             
95;Landelijk;21;2003;86.0;.                             ;.                             
96;Landelijk;21;2004;67.0;.                             ;.                             
97;Landelijk;21;2005;102.0;Sterke  toename               ;Matige toename                
98;Landelijk;52;1992;213.0;.                             ;.                             
99;Landelijk;52;1993;96.0;.                             ;.                             
100;Landelijk;52;1994;168.0;.                             ;.                             
101;Landelijk;52;1995;466.0;.                             ;.                             
102;Landelijk;52;1996;409.0;.                             ;.                             
103;Landelijk;52;1997;194.0;.                             ;.                             
104;Landelijk;52;1998;119.0;.                             ;.                             
105;Landelijk;52;1999;247.0;.                             ;.                             
106;Landelijk;52;2000;100.0;.                             ;.                             
107;Landelijk;52;2001;117.0;.                             ;.                             
108;Landelijk;52;2002;155.0;.                             ;.                             
109;Landelijk;52;2003;134.0;.                             ;.                             
110;Landelijk;52;2004;168.0;.                             ;.                             
111;Landelijk;52;2005;157.0;Matige afname                 ;Matige afname                 
112;Landelijk;8;1992;40.0;.                             ;.                             
113;Landelijk;8;1993;141.0;.                             ;.                             
114;Landelijk;8;1994;112.0;.                             ;.                             
115;Landelijk;8;1995;73.0;.                             ;.                             
116;Landelijk;8;1996;26.0;.                             ;.                             
117;Landelijk;8;1997;100.0;.                             ;.                             
118;Landelijk;8;1998;81.0;.                             ;.                             
