ID;CaribischNederland;Perioden;BevolkingOp1JanuariBronCBS_1;BevolkingOp1JanuariBronCBSNA_2;Levendgeborenen_3;Overledenen_4;Geboorteoverschot_5;Immigratie_6;Emigratie_7;Migratiesaldo_8;SaldoVerhuizingenTussen3Eilanden_9;Bevolkingsgroei_10;BevolkingOp31DecemberBronCBS_11;BevolkingOp31DecemberBronCBSNA_12
0;Caribisch Nederland;2007;;15731.0;228;106;122;1835;1277;558;;638;;16369.0
1;Caribisch Nederland;2008;;16369.0;238;90;148;2148;1348;800;;877;;17246.0
2;Caribisch Nederland;2009;;17246.0;273;105;168;1931;1349;582;;750;;18012.0
3;Caribisch Nederland;2010;20882.0;18012.0;241;117;124;1768;1443;325;;449;21345.0;18461.0
4;Caribisch Nederland;2011;21345.0;;221;139;82;2234;1285;949;;958;22303.0;
5;Caribisch Nederland;2012;22303.0;;227;95;132;2261;1382;879;;993;23296.0;
6;Caribisch Nederland;2013;23296.0;;255;109;146;2184;1360;824;;983;24279.0;
7;Caribisch Nederland;2014;24279.0;;242;136;106;1737;1525;212;;314;24593.0;
8;Caribisch Nederland;2015;24593.0;;213;122;91;1740;1879;-139;;-45;24548.0;
9;Bonaire;2007;;11515.0;180;77;103;1275;800;475;;578;;12093.0
10;Bonaire;2008;;12093.0;194;67;127;1538;883;655;;784;;12877.0
11;Bonaire;2009;;12877.0;209;72;137;1209;837;372;;509;;13389.0
12;Bonaire;2010;15518.0;13389.0;183;84;99;1234;1035;199;;298;15823.0;13687.0
13;Bonaire;2011;15823.0;;181;109;72;1539;849;690;3.0;718;16541.0;
14;Bonaire;2012;16541.0;;191;70;121;1523;820;703;5.0;867;17408.0;
15;Bonaire;2013;17408.0;;194;79;115;1525;658;867;15.0;1005;18413.0;
16;Bonaire;2014;18413.0;;207;98;109;1213;824;389;19.0;492;18905.0;
17;Bonaire;2015;18905.0;;160;102;58;1245;826;419;20.0;503;19408.0;
18;Sint-Eustatius;2007;;2694.0;30;18;12;236;183;53;;45;;2739.0
19;Sint-Eustatius;2008;;2739.0;29;14;15;273;183;90;;29;;2768.0
20;Sint-Eustatius;2009;;2768.0;41;15;26;306;230;76;;102;;2886.0
21;Sint-Eustatius;2010;3583.0;2886.0;47;18;29;244;170;74;;103;3689.0;2989.0
22;Sint-Eustatius;2011;3689.0;;33;13;20;289;183;106;4.0;102;3791.0;
23;Sint-Eustatius;2012;3791.0;;21;12;9;270;140;130;0.0;106;3897.0;
24;Sint-Eustatius;2013;3897.0;;51;18;33;356;271;85;7.0;123;4020.0;
25;Sint-Eustatius;2014;4020.0;;24;22;2;171;310;-139;-14.0;-143;3877.0;
26;Sint-Eustatius;2015;3877.0;;36;11;25;170;849;-679;-25.0;-684;3193.0;
27;Saba;2007;;1522.0;18;11;7;324;294;30;;15;;1537.0
28;Saba;2008;;1537.0;15;9;6;337;282;55;;64;;1601.0
29;Saba;2009;;1601.0;23;18;5;416;282;134;;139;;1737.0
30;Saba;2010;1781.0;1737.0;11;15;-4;290;238;52;;48;1833.0;1785.0
31;Saba;2011;1833.0;;7;17;-10;406;253;153;-7.0;138;1971.0;
32;Saba;2012;1971.0;;15;13;2;468;422;46;-5.0;20;1991.0;
33;Saba;2013;1991.0;;10;12;-2;303;431;-128;-22.0;-145;1846.0;
34;Saba;2014;1846.0;;11;16;-5;353;391;-38;-5.0;-35;1811.0;
35;Saba;2015;1811.0;;17;9;8;325;204;121;5.0;136;1947.0;
