ID;BedrijfstakkenBrancheSBI93;Perioden;VerwachteGroeiInvesteringen_1
0;D Industrie;2000 (najaarsenquête 1999);5.0
1;D Industrie;2000 (voorjaarsenquête 2000);22.0
2;D Industrie;2000 (najaarsenquête 2000);13.0
3;D Industrie;2001 (voorjaarsenquête 2000);-10.0
4;D Industrie;2001 (najaarsenquête 2000);5.0
5;D Industrie;2001 (voorjaarsenquête 2001);16.0
6;D Industrie;2001 (najaarsenquête 2001);1.0
7;D Industrie;2002 (voorjaarsenquête 2001);-17.0
8;D Industrie;2002 (najaarsenquête 2001);12.0
9;D Industrie;2002 (voorjaarsenquête 2002);21.0
10;D Industrie;2002 (najaarsenquête 2002);5.0
11;D Industrie;2003 (voorjaarsenquête 2002);-17.0
12;D Industrie;2003 (najaarsenquête 2002);6.0
13;D Industrie;2003 (voorjaarsenquête 2003);8.0
14;D Industrie;2003 (najaarsenquête 2003);-1.0
15;D Industrie;2004 (voorjaarsenquête 2003);-19.0
16;D Industrie;2004 (najaarsenquête 2003);-8.0
17;D Industrie;2004 (voorjaarsenquête 2004);2.0
18;D Industrie;2004 (najaarsenquête 2004);-12.0
19;D Industrie;2005 (voorjaarsenquête 2004);-7.0
20;D Industrie;2005 (najaarsenquête 2004);5.0
21;D Industrie;2005 (voorjaarsenquête 2005);20.0
22;D Industrie;2005 (najaarsenquête 2005);13.0
23;D Industrie;2006 (voorjaarsenquête 2005);-17.0
24;D Industrie;2006 (najaarsenquête 2005);0.0
25;D Industrie;2006 (voorjaarsenquête 2006);14.0
26;D Industrie;2006 (najaarsenquête 2006);3.0
27;D Industrie;2007 (najaarsenquête 2006);9.0
28;D Industrie;2007 (voorjaarsenquête 2007);19.0
29;D Industrie;2007 (najaarsenquête 2007);10.0
30;D Industrie;2008 (najaarsenquête 2007);4.0
31;D Industrie;2008 (voorjaarsenquête 2008);11.0
32;D Industrie;2008 (najaarsenquête 2008);-2.0
33;D Industrie;2009 (najaarsenquête 2008);1.0
34;D Industrie;2009 (voorjaarsenquête 2009);-10.0
35;D Industrie;2009 (najaarsenquête 2009);-10.0
36;D Industrie;2010 (najaarsenquête 2009);-1.0
37;D Industrie;2010 (voorjaarsenquête 2010);-2.0
38;DA Voedings- en genotmiddelen;2000 (najaarsenquête 1999);22.0
39;DA Voedings- en genotmiddelen;2000 (voorjaarsenquête 2000);25.0
40;DA Voedings- en genotmiddelen;2000 (najaarsenquête 2000);12.0
41;DA Voedings- en genotmiddelen;2001 (voorjaarsenquête 2000);
42;DA Voedings- en genotmiddelen;2001 (najaarsenquête 2000);19.0
43;DA Voedings- en genotmiddelen;2001 (voorjaarsenquête 2001);28.0
44;DA Voedings- en genotmiddelen;2001 (najaarsenquête 2001);23.0
45;DA Voedings- en genotmiddelen;2002 (voorjaarsenquête 2001);
46;DA Voedings- en genotmiddelen;2002 (najaarsenquête 2001);8.0
47;DA Voedings- en genotmiddelen;2002 (voorjaarsenquête 2002);18.0
48;DA Voedings- en genotmiddelen;2002 (najaarsenquête 2002);-5.0
49;DA Voedings- en genotmiddelen;2003 (voorjaarsenquête 2002);
50;DA Voedings- en genotmiddelen;2003 (najaarsenquête 2002);28.0
51;DA Voedings- en genotmiddelen;2003 (voorjaarsenquête 2003);22.0
52;DA Voedings- en genotmiddelen;2003 (najaarsenquête 2003);2.0
53;DA Voedings- en genotmiddelen;2004 (voorjaarsenquête 2003);
54;DA Voedings- en genotmiddelen;2004 (najaarsenquête 2003);-10.0
55;DA Voedings- en genotmiddelen;2004 (voorjaarsenquête 2004);18.0
56;DA Voedings- en genotmiddelen;2004 (najaarsenquête 2004);11.0
57;DA Voedings- en genotmiddelen;2005 (voorjaarsenquête 2004);
58;DA Voedings- en genotmiddelen;2005 (najaarsenquête 2004);-6.0
59;DA Voedings- en genotmiddelen;2005 (voorjaarsenquête 2005);4.0
60;DA Voedings- en genotmiddelen;2005 (najaarsenquête 2005);-2.0
61;DA Voedings- en genotmiddelen;2006 (voorjaarsenquête 2005);
62;DA Voedings- en genotmiddelen;2006 (najaarsenquête 2005);-6.0
63;DA Voedings- en genotmiddelen;2006 (voorjaarsenquête 2006);9.0
64;DA Voedings- en genotmiddelen;2006 (najaarsenquête 2006);-11.0
65;DA Voedings- en genotmiddelen;2007 (najaarsenquête 2006);-8.0
66;DA Voedings- en genotmiddelen;2007 (voorjaarsenquête 2007);28.0
67;DA Voedings- en genotmiddelen;2007 (najaarsenquête 2007);18.0
68;DA Voedings- en genotmiddelen;2008 (najaarsenquête 2007);-6.0
69;DA Voedings- en genotmiddelen;2008 (voorjaarsenquête 2008);1.0
70;DA Voedings- en genotmiddelen;2008 (najaarsenquête 2008);-11.0
71;DA Voedings- en genotmiddelen;2009 (najaarsenquête 2008);-3.0
72;DA Voedings- en genotmiddelen;2009 (voorjaarsenquête 2009);-6.0
73;DA Voedings- en genotmiddelen;2009 (najaarsenquête 2009);-4.0
74;DA Voedings- en genotmiddelen;2010 (najaarsenquête 2009);12.0
75;DA Voedings- en genotmiddelen;2010 (voorjaarsenquête 2010);-2.0
76;DF Aardolie- en steenkoolverwerkende ..;2000 (najaarsenquête 1999);38.0
77;DF Aardolie- en steenkoolverwerkende ..;2000 (voorjaarsenquête 2000);23.0
78;DF Aardolie- en steenkoolverwerkende ..;2000 (najaarsenquête 2000);86.0
