ID;DecentraleOverheden;BegrootEMUSaldo2022_1;BegrootEMUSaldo_2;MacronormVoorHetEMUSaldo_3;Verschil_4;BegrootEMUSaldo2024_5
0;Totaal decentrale overheden;-7644;-6389;-3975.0;-2414.0;-3047
1;Provincies;-1456;-912;-795.0;-117.0;-440
2;Gemeenten;-5502;-4501;-2683.0;-1818.0;-1709
3;Gemeenten: minder dan 20 000 inwoners;-366;-220;;;-76
4;Gemeenten: 20 000 tot 50 000 inwoners;-1641;-1033;;;-322
5;Gemeenten: 50 000 tot 100 000 inwoners;-992;-754;;;-230
6;Gemeenten: 100 000 tot 150 000 inwoners;-476;-368;;;-195
7;Gemeenten: 150 000 tot 250 000 inwoners;-890;-787;;;-236
8;Gemeenten: 250 000 inwoners of meer;-1138;-1339;;;-650
9;Waterschappen;-517;-761;-497.0;-264.0;-783
10;Gemeenschappelijke regelingen;-169;-215;0.0;-215.0;-115
