ID;Geslacht;Leeftijd;Nationaliteit;RegioS;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;1995;15424122.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;1996;15493889.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;1997;15567107.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;1998;15654192.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;1999;15760225.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2000;15863950.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2001;15987075.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2002;16105285.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2003;16192572.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2004;16258032.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2005;16305526.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2006;16334210.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2007;16357992.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2008;16405399.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2009;16485787.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2010;16574989.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2011;16655799.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2012;16730348.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2013;16779575.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2014;16829289.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2015;16900726.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2016;16979120.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2017;17081507.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2018;17181084.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2019;17282163.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2020;17407585.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2021;17475415.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2022;17590672.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);1995;1622438.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);1996;1627457.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);1997;1633986.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);1998;1640804.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);1999;1648303.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2000;1656952.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2001;1671534.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2002;1685463.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2003;1694038.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2004;1698865.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2005;1701418.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2006;1700753.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2007;1702020.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2008;1704783.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2009;1708821.0
43;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2010;1713954.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2011;1717729.0
45;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2012;1718896.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2013;1718485.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2014;1718033.0
48;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2015;1718775.0
49;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2016;1718390.0
50;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2017;1722247.0
51;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2018;1722312.0
52;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2019;1723829.0
53;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2020;1729505.0
54;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2021;1733143.0
55;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2022;1741932.0
56;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);1995;3177446.0
57;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);1996;3203108.0
58;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);1997;3225525.0
59;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);1998;3252469.0
60;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);1999;3283690.0
61;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2000;3313989.0
62;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2001;3349530.0
63;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2002;3384986.0
64;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2003;3412779.0
65;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2004;3432345.0
66;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2005;3447301.0
67;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2006;3459889.0
68;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2007;3469857.0
69;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2008;3482551.0
70;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2009;3499946.0
71;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2010;3517162.0
72;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2011;3531103.0
73;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2012;3543938.0
