ID;PrognoseInterval;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3;TotaalMannenEnVrouwen_4;Mannen_5;Vrouwen_6;TotaalMannenEnVrouwen_7;Mannen_8;Vrouwen_9;TotaalMannenEnVrouwen_10;Mannen_11;Vrouwen_12;TotaalMannenEnVrouwen_13;Mannen_14;Vrouwen_15;TotaalMannenEnVrouwen_16;Mannen_17;Vrouwen_18;TotaalMannenEnVrouwen_19;Mannen_20;Vrouwen_21;TotaalHuishoudens_22;GemiddeldeHuishoudensgrootte_23
0;1;2009;16481307;8149242;8332065;2607426;1208471;1398955;8342279;4178897;4163382;4581532;2461744;2119788;473626;79172;394454;266445;137934;128511;209976;83013;126963;7302480;2.23
1;1;2010;16536426;8176091;8360335;2639631;1226316;1413315;8367958;4191728;4176230;4570173;2455061;2115112;480793;80266;400527;266738;138318;128420;211130;84424;126706;7354717;2.22
2;1;2011;16585431;8199872;8385559;2673525;1244262;1429263;8391083;4203273;4187810;4555183;2446822;2108361;486959;81091;405868;268269;139225;129044;210404;85205;125199;7406569;2.21
3;1;2012;16633678;8223580;8410098;2709668;1263031;1446637;8413190;4214338;4198852;4539564;2438501;2101063;492408;81608;410800;270554;140546;130008;208287;85570;122717;7459596;2.2
4;1;2013;16682055;8247768;8434287;2747495;1282625;1464870;8434825;4225137;4209688;4523536;2430153;2093383;497220;81935;415285;273275;142127;131148;205707;85810;119897;7513500;2.19
5;1;2014;16730836;8272489;8458347;2784943;1302394;1482549;8456335;4235893;4220442;4508382;2422333;2086049;501903;81998;419905;275858;143751;132107;203433;86155;117278;7566818;2.18
6;1;2015;16779270;8297223;8482047;2822316;1322286;1500030;8476927;4246168;4230759;4493658;2414716;2078942;505859;81913;423946;278509;145395;133114;201983;86756;115227;7618871;2.18
7;1;2016;16827607;8321859;8505748;2859706;1342234;1517472;8496349;4255863;4240486;4479746;2407516;2072230;509051;81549;427502;281193;147042;134151;201512;87662;113850;7669564;2.17
8;1;2017;16875564;8346109;8529455;2896958;1362076;1534882;8514554;4264969;4249585;4466301;2400586;2065715;511866;81004;430862;283897;148662;135235;201931;88826;113105;7719153;2.16
9;1;2018;16922595;8369709;8552886;2934322;1381837;1552485;8531109;4273217;4257892;4453238;2393917;2059321;514013;80205;433808;286710;150316;136394;203120;90221;112899;7767375;2.15
10;1;2019;16968691;8392628;8576063;2971802;1401452;1570350;8546075;4280683;4265392;4440437;2387521;2052916;515684;79156;436528;289665;152020;137645;204968;91817;113151;7814461;2.15
11;1;2020;17013802;8414854;8598948;3009204;1420821;1588383;8559423;4287324;4272099;4428205;2381505;2046700;516863;77928;438935;292669;153708;138961;207356;93572;113784;7860148;2.14
12;1;2021;17057990;8436413;8621577;3046285;1439861;1606424;8571120;4293159;4277961;4416854;2375955;2040899;517658;76544;441114;295722;155424;140298;210248;95494;114754;7904303;2.13
13;1;2022;17100937;8457123;8643814;3082718;1458609;1624109;8581134;4298143;4282991;4406424;2370856;2035568;518300;74846;443454;298677;157140;141537;213617;97569;116048;7946801;2.13
14;1;2023;17142635;8476991;8665644;3118534;1476868;1641666;8589044;4302072;4286972;4397374;2366383;2030991;518509;73088;445421;301631;158816;142815;217411;99775;117636;7987157;2.12
15;1;2024;17182786;8495870;8686916;3153269;1494551;1658718;8594551;4304788;4289763;4390063;2362608;2027455;518715;71412;447303;304451;160415;144036;221624;102120;119504;8025176;2.11
