ID;RegioS;Perioden;TotaalBedrijfsafvalstoffen_1;TotaalNietChemischAfval_2;Metaalafval_3;GlasPapierHoutKunststofRubberED_4;DierlijkPlantaardigAfval_5;GemengdAfval_6;Slib_7;MineralenSteenachtigAfval_8;OverigNietChemischAfval_9;ChemischAfval_10;TotaalBedrijfsafvalstoffen_11;NuttigeToepassing_12;Eindverwerking_13
0;Totaal Nederland;2004;22028;20759;881;1642;6635;1262;2316;8006;16;1268;22028;18496;3532
1;Totaal Nederland;2006;21523;20225;939;1693;6592;1288;2426;7258;28;1297;21522;18011;3511
2;Totaal Nederland;2008;21861;20445;989;1651;6489;995;2188;8120;10;1415;21860;18862;2999
3;Noord-Nederland;2004;2234;2130;97;146;696;159;284;741;7;105;2234;1876;358
4;Noord-Nederland;2006;2402;2324;85;198;863;193;296;686;4;77;2402;2022;379
5;Noord-Nederland;2008;2209;2111;81;218;617;122;296;778;0;98;2209;1928;281
6;Oost-Nederland;2004;3422;3268;164;452;772;263;805;810;1;154;3422;2570;853
7;Oost-Nederland;2006;3472;3297;193;465;828;219;764;825;3;175;3472;3043;429
8;Oost-Nederland;2008;3218;2967;217;450;657;214;497;931;1;251;3218;2725;493
9;West-Nederland;2004;11158;10379;285;405;3749;265;708;4959;6;779;11158;9815;1344
10;West-Nederland;2006;10608;9826;353;399;3591;323;906;4249;2;782;10608;8930;1677
11;West-Nederland;2008;11437;10596;402;377;3733;306;847;4929;1;841;11437;9999;1438
12;Zuid-Nederland;2004;5210;4979;334;637;1418;574;518;1496;2;230;5210;4231;980
13;Zuid-Nederland;2006;5039;4846;376;631;1309;550;460;1499;18;261;5039;4011;1027
14;Zuid-Nederland;2008;4992;4769;289;605;1483;353;548;1482;7;224;4992;4208;784
15;Groningen;2004;1564;1466;42;64;571;102;121;563;2;99;1564;1368;196
16;Groningen;2006;1619;1549;35;55;696;133;138;488;3;69;1619;1443;176
17;Groningen;2008;1289;1233;27;56;448;79;140;481;0;57;1289;1174;116
18;Friesland;2004;386;382;37;51;88;28;101;77;0;3;386;270;116
19;Friesland;2006;394;388;30;91;84;33;81;68;0;6;394;290;104
20;Friesland;2008;411;407;28;76;62;30;97;113;0;4;411;368;43
21;Drenthe;2004;284;281;18;31;37;28;61;100;5;3;284;238;46
22;Drenthe;2006;389;386;21;51;82;26;78;128;0;2;389;291;98
23;Drenthe;2008;509;471;25;86;105;12;58;184;0;38;509;386;123
24;Overijssel;2004;641;630;75;135;129;75;91;124;0;10;641;469;172
25;Overijssel;2006;804;789;79;160;180;60;134;175;0;15;804;651;152
26;Overijssel;2008;712;700;69;151;138;65;104;172;0;13;712;584;127
27;Flevoland;2004;269;263;8;11;113;19;53;59;0;4;269;217;52
28;Flevoland;2006;231;229;22;19;63;22;47;57;0;2;231;158;72
29;Flevoland;2008;172;170;10;18;31;12;49;51;0;1;172;123;49
30;Gelderland;2004;2513;2373;83;306;529;169;660;626;1;140;2513;1884;629
31;Gelderland;2006;2438;2279;92;286;586;138;582;592;3;159;2438;2233;204
32;Gelderland;2008;2335;2097;136;282;489;138;343;709;0;238;2335;2017;318
33;Utrecht;2004;676;667;118;111;34;61;71;272;0;8;676;359;317
34;Utrecht;2006;709;701;81;79;81;58;105;297;0;8;709;343;365
35;Utrecht;2008;946;943;96;83;49;61;115;539;0;3;946;667;279
36;Noord-Holland;2004;4953;4817;51;123;1575;81;184;2798;5;136;4953;4685;268
37;Noord-Holland;2006;4883;4728;124;134;1566;83;342;2478;1;156;4883;4403;479
38;Noord-Holland;2008;4972;4817;116;107;1701;88;216;2588;0;155;4972;4640;332
39;Zuid-Holland;2004;4339;3754;92;138;1989;107;389;1037;1;585;4339;3683;657
40;Zuid-Holland;2006;3880;3306;126;145;1789;157;382;705;1;575;3880;3145;734
41;Zuid-Holland;2008;4044;3479;123;146;1801;115;414;879;1;565;4044;3367;676
42;Zeeland;2004;1190;1142;24;33;151;16;65;852;0;50;1190;1088;102
43;Zeeland;2006;1137;1093;22;42;155;25;78;770;0;45;1137;1038;99
44;Zeeland;2008;1475;1357;66;41;182;42;101;923;0;118;1475;1326;150
45;Noord-Brabant;2004;3984;3834;193;460;1234;448;384;1113;2;151;3984;3186;798
46;Noord-Brabant;2006;3751;3597;203;479;1124;384;358;1038;10;154;3751;2920;830
47;Noord-Brabant;2008;3825;3701;215;441;1378;219;434;1009;5;124;3825;3188;637
48;Limburg;2004;1227;1147;142;177;184;126;133;383;1;80;1227;1046;181
49;Limburg;2006;1287;1180;105;151;185;167;102;460;8;108;1287;1092;197
50;Limburg;2008;1168;1068;74;164;106;133;114;473;2;100;1168;1019;148
