ID;EconomicActivityNCEA2008;Periods;TotalNumberOfEnterprises_1;k_1PersonEmployed_2;k_2PersonsEmployed_3;k_3To5PersonsEmployed_4;k_5To10PersonsEmployed_5;k_10To20PersonsEmployed_6;k_20To50PersonsEmployed_7;k_50To100PersonsEmployed_8;k_100PersonsEmployedOrMore_9;PrivateLegalForms_10;PublicLegalForms_11
0;A-U All economic activities;2006;725680;355575;164690;79860;58900;31540;21105;6705;7310;515165;210520
1;A-U All economic activities;2007;761320;382850;144415;92250;68725;35655;22920;6995;7515;538935;222385
2;A-U All economic activities;2008;797840;434720;146385;85775;61915;33750;21605;6730;6950;563895;233945
3;A-U All economic activities;2009;844450;471365;148935;85410;63950;36100;23365;7480;7850;600020;244435
4;A-U All economic activities;2010;863840;495215;150850;83555;62010;34850;22490;7200;7670;615780;248060
5;A Agriculture, forestry and fishing;2006;90820;55380;22560;8505;3125;940;265;30;15;85575;5250
6;A Agriculture, forestry and fishing;2007;88635;48535;25500;9260;3415;1385;425;75;40;83430;5210
7;A Agriculture, forestry and fishing;2008;86670;46140;25620;9530;3530;1305;440;70;30;81305;5365
8;A Agriculture, forestry and fishing;2009;86210;45975;25150;9575;3560;1390;440;90;25;80675;5535
9;A Agriculture, forestry and fishing;2010;84520;45340;24315;9445;3590;1285;430;80;25;78880;5640
10;01 Agriculture;2006;89640;54880;22090;8395;3070;915;250;25;10;84715;4925
11;01 Agriculture;2007;87500;48015;25185;9085;3340;1360;410;70;35;82640;4860
12;01 Agriculture;2008;85510;45555;25335;9360;3465;1270;430;70;25;80500;5010
13;01 Agriculture;2009;85015;45345;24860;9420;3490;1360;430;90;25;79845;5170
14;01 Agriculture;2010;83220;44610;24015;9290;3520;1260;420;80;25;77955;5265
15;011 Growing of non-perennial crops;2006;23815;13145;5125;3100;1865;480;95;5;0;21700;2115
16;011 Growing of non-perennial crops;2007;23170;12255;5245;2775;1855;780;205;40;15;21075;2095
17;011 Growing of non-perennial crops;2008;21525;10740;5115;2815;1870;705;220;45;15;19475;2050
18;011 Growing of non-perennial crops;2009;20800;10350;4920;2650;1830;755;225;55;15;18750;2050
19;011 Growing of non-perennial crops;2010;19985;9965;4715;2555;1790;680;225;40;15;17950;2035
20;0111 Growing cereals, leguminous crops;2006;1195;1080;95;15;5;0;0;0;0;1130;60
21;0111 Growing cereals, leguminous crops;2007;1470;1300;135;25;5;5;0;0;0;1390;80
22;0111 Growing cereals, leguminous crops;2008;1155;1000;125;20;5;0;0;0;0;1095;60
23;0111 Growing cereals, leguminous crops;2009;1435;1235;160;35;5;5;0;0;0;1360;75
24;0111 Growing cereals, leguminous crops;2010;1245;1070;140;25;10;0;0;0;0;1170;75
25;0113 Growing of vegetables and roots;2006;11250;6450;2560;1295;715;195;35;5;0;10550;700
26;0113 Growing of vegetables and roots;2007;10510;5535;2660;1205;735;280;70;15;5;9825;685
27;0113 Growing of vegetables and roots;2008;10160;5150;2675;1230;735;265;90;10;10;9440;720
28;0113 Growing of vegetables and roots;2009;9425;4555;2550;1190;730;280;95;15;10;8720;705
29;0113 Growing of vegetables and roots;2010;9160;4475;2445;1160;715;250;95;15;5;8425;735
30;0116 Growing of fibre crops;2006;0;0;0;0;0;0;0;0;0;0;0
31;0116 Growing of fibre crops;2007;0;0;0;0;0;0;0;0;0;0;0
32;0116 Growing of fibre crops;2008;0;0;0;0;0;0;0;0;0;0;0
33;0116 Growing of fibre crops;2009;0;0;0;0;0;0;0;0;0;0;0
34;0116 Growing of fibre crops;2010;0;0;0;0;0;0;0;0;0;0;0
35;0119 Growing other non-perennial crops;2006;11370;5615;2475;1790;1145;285;60;5;0;10015;1350
36;0119 Growing other non-perennial crops;2007;11190;5420;2445;1545;1115;495;130;25;10;9865;1325
37;0119 Growing other non-perennial crops;2008;10215;4590;2310;1565;1130;440;135;35;5;8945;1270
38;0119 Growing other non-perennial crops;2009;9935;4560;2210;1425;1095;470;130;40;5;8665;1270
39;0119 Growing other non-perennial crops;2010;9580;4425;2130;1370;1065;425;130;30;10;8355;1225
40;012 Growing of perennial crops;2006;1810;1115;430;205;55;5;0;0;0;1750;60
41;012 Growing of perennial crops;2007;1760;920;500;250;80;10;0;0;0;1705;55
42;012 Growing of perennial crops;2008;1795;875;550;275;70;20;5;0;0;1735;55
43;012 Growing of perennial crops;2009;1745;795;530;300;90;25;5;0;0;1690;55
44;012 Growing of perennial crops;2010;1715;790;500;285;115;25;5;0;0;1650;65
45;0121 Growing of grapes;2006;0;0;0;0;0;0;0;0;0;0;0
46;0121 Growing of grapes;2007;0;0;0;0;0;0;0;0;0;0;0
47;0121 Growing of grapes;2008;0;0;0;0;0;0;0;0;0;0;0
48;0121 Growing of grapes;2009;0;0;0;0;0;0;0;0;0;0;0
49;0121 Growing of grapes;2010;0;0;0;0;0;0;0;0;0;0;0
50;0124 Growing of pome and stone fruits;2006;1810;1115;430;205;55;5;0;0;0;1750;60
51;0124 Growing of pome and stone fruits;2007;1760;920;500;250;80;10;0;0;0;1705;55
52;0124 Growing of pome and stone fruits;2008;1795;875;550;275;70;20;5;0;0;1735;55
53;0124 Growing of pome and stone fruits;2009;1745;795;530;300;90;25;5;0;0;1690;55
54;0124 Growing of pome and stone fruits;2010;1715;790;500;285;115;25;5;0;0;1650;65
55;0125 Growing of other fruits and nuts;2006;0;0;0;0;0;0;0;0;0;0;0
56;0125 Growing of other fruits and nuts;2007;0;0;0;0;0;0;0;0;0;0;0
57;0125 Growing of other fruits and nuts;2008;0;0;0;0;0;0;0;0;0;0;0
58;0125 Growing of other fruits and nuts;2009;0;0;0;0;0;0;0;0;0;0;0
59;0125 Growing of other fruits and nuts;2010;0;0;0;0;0;0;0;0;0;0;0
60;0127 Growing of beverage crops;2006;0;0;0;0;0;0;0;0;0;0;0
61;0127 Growing of beverage crops;2007;0;0;0;0;0;0;0;0;0;0;0
62;0127 Growing of beverage crops;2008;0;0;0;0;0;0;0;0;0;0;0
