ID;BalanceSheetItemsProvinces;Regions;Periods;BalanceSheetItemsYearEndInMlnEuro_1;BalanceSheetYearEndInEuroInhabit_2
0;A - Assets;The Netherlands;2004;5775.0;355.0
1;A - Assets;The Netherlands;2005;6306.0;387.0
2;A - Assets;The Netherlands;2006;7155.0;438.0
3;A - Assets;The Netherlands;2007;9045.0;553.0
4;A - Assets;The Netherlands;2008;9938.0;606.0
5;A - Assets;The Netherlands;2009;23017.0;1396.0
6;A - Assets;The Netherlands;2010;23053.0;1391.0
7;A - Assets;The Netherlands;2011;23929.0;1437.0
8;A - Assets;The Netherlands;2012;23548.0;1407.0
9;A - Assets;The Netherlands;2013;22923.0;1366.0
10;A - Assets;The Netherlands;2014;22072.0;1311.0
11;A - Assets;The Netherlands;2015;21658.0;1281.0
12;A - Assets;The Netherlands;2016;20846.0;1228.0
13;A - Assets;The Netherlands;2017;21357.0;1250.0
14;A - Assets;The Netherlands;2018;21299.0;1240.0
15;A - Assets;The Netherlands;2019;21192.0;1226.0
16;A - Assets;The Netherlands;2020;21389.0;1229.0
17;A - Assets;The Netherlands;2021;22300.0;1276.0
18;A - Assets;The Netherlands;2022;22763.0;1294.0
19;A - Assets;The Netherlands;2023;23821.0;1337.0
20;A - Assets;Noord-Nederland (LD);2004;719.0;423.0
21;A - Assets;Noord-Nederland (LD);2005;794.0;467.0
22;A - Assets;Noord-Nederland (LD);2006;1055.0;620.0
23;A - Assets;Noord-Nederland (LD);2007;1293.0;759.0
24;A - Assets;Noord-Nederland (LD);2008;1507.0;884.0
25;A - Assets;Noord-Nederland (LD);2009;3419.0;2001.0
26;A - Assets;Noord-Nederland (LD);2010;3483.0;2032.0
27;A - Assets;Noord-Nederland (LD);2011;3934.0;2290.0
28;A - Assets;Noord-Nederland (LD);2012;3920.0;2281.0
29;A - Assets;Noord-Nederland (LD);2013;3912.0;2277.0
30;A - Assets;Noord-Nederland (LD);2014;3780.0;2200.0
31;A - Assets;Noord-Nederland (LD);2015;3651.0;2124.0
32;A - Assets;Noord-Nederland (LD);2016;3159.0;1838.0
33;A - Assets;Noord-Nederland (LD);2017;3328.0;1932.0
34;A - Assets;Noord-Nederland (LD);2018;3246.0;1885.0
35;A - Assets;Noord-Nederland (LD);2019;3176.0;1842.0
36;A - Assets;Noord-Nederland (LD);2020;3162.0;1828.0
37;A - Assets;Noord-Nederland (LD);2021;3520.0;2031.0
38;A - Assets;Noord-Nederland (LD);2022;3443.0;1977.0
39;A - Assets;Noord-Nederland (LD);2023;3768.0;2144.0
40;A - Assets;Oost-Nederland (LD);2004;1096.0;319.0
41;A - Assets;Oost-Nederland (LD);2005;1265.0;367.0
42;A - Assets;Oost-Nederland (LD);2006;1614.0;466.0
43;A - Assets;Oost-Nederland (LD);2007;2105.0;607.0
