ID;Margins;Regions;Periods;BusinessConfidence_1
0;Value;Groningen (PV);2014 1st quarter;-19.1
1;Value;Groningen (PV);2014 2nd quarter;-17.3
2;Value;Groningen (PV);2014 3rd quarter;-12.6
3;Value;Groningen (PV);2014 4th quarter;6.1
4;Value;Groningen (PV);2015 1st quarter;-8.9
5;Value;Groningen (PV);2015 2nd quarter;-5.0
6;Value;Groningen (PV);2015 3rd quarter;8.5
7;Value;Groningen (PV);2015 4th quarter;8.9
8;Value;Groningen (PV);2016 1st quarter;4.0
9;Value;Groningen (PV);2016 2nd quarter;-2.2
10;Value;Groningen (PV);2016 3rd quarter;-7.4
11;Value;Groningen (PV);2016 4th quarter;0.5
12;Value;Groningen (PV);2017 1st quarter;2.0
13;Value;Groningen (PV);2017 2nd quarter;9.9
14;Value;Groningen (PV);2017 3rd quarter;7.1
15;Value;Groningen (PV);2017 4th quarter;6.4
16;Value;Groningen (PV);2018 1st quarter;13.8
17;Value;Groningen (PV);2018 2nd quarter;2.7
18;Value;Groningen (PV);2018 3rd quarter;-5.8
19;Value;Groningen (PV);2018 4th quarter;9.7
20;Value;Groningen (PV);2019 1st quarter;6.3
21;Value;Groningen (PV);2019 2nd quarter;3.9
22;Value;Groningen (PV);2019 3rd quarter;5.3
23;Value;Groningen (PV);2019 4th quarter;4.2
24;Value;Groningen (PV);2020 1st quarter;-5.7
25;Value;Groningen (PV);2020 2nd quarter;-25.7
26;Value;Groningen (PV);2020 3rd quarter;-16.1
27;Value;Groningen (PV);2020 4th quarter;-12.9
28;Value;Groningen (PV);2021 1st quarter;-12.1
29;Value;Groningen (PV);2021 2nd quarter;9.0
30;Value;Groningen (PV);2021 3rd quarter;19.0
31;Value;Groningen (PV);2021 4th quarter;14.8
32;Value;Groningen (PV);2022 1st quarter;5.3
33;Value;Groningen (PV);2022 2nd quarter;7.3
34;Value;Groningen (PV);2022 3rd quarter;1.6
35;Value;Groningen (PV);2022 4th quarter;-7.1
36;Value;Groningen (PV);2023 1st quarter;-4.2
37;Value;Groningen (PV);2023 2nd quarter;-3.2
38;Value;Fryslân (PV);2014 1st quarter;1.6
39;Value;Fryslân (PV);2014 2nd quarter;-0.5
40;Value;Fryslân (PV);2014 3rd quarter;0.1
41;Value;Fryslân (PV);2014 4th quarter;2.2
42;Value;Fryslân (PV);2015 1st quarter;2.7
43;Value;Fryslân (PV);2015 2nd quarter;5.6
44;Value;Fryslân (PV);2015 3rd quarter;8.0
45;Value;Fryslân (PV);2015 4th quarter;13.7
46;Value;Fryslân (PV);2016 1st quarter;4.4
47;Value;Fryslân (PV);2016 2nd quarter;7.0
48;Value;Fryslân (PV);2016 3rd quarter;6.8
49;Value;Fryslân (PV);2016 4th quarter;7.7
50;Value;Fryslân (PV);2017 1st quarter;11.4
51;Value;Fryslân (PV);2017 2nd quarter;14.2
52;Value;Fryslân (PV);2017 3rd quarter;14.6
53;Value;Fryslân (PV);2017 4th quarter;14.2
54;Value;Fryslân (PV);2018 1st quarter;16.4
55;Value;Fryslân (PV);2018 2nd quarter;20.0
56;Value;Fryslân (PV);2018 3rd quarter;13.6
57;Value;Fryslân (PV);2018 4th quarter;13.2
58;Value;Fryslân (PV);2019 1st quarter;10.6
59;Value;Fryslân (PV);2019 2nd quarter;11.9
60;Value;Fryslân (PV);2019 3rd quarter;8.2
61;Value;Fryslân (PV);2019 4th quarter;3.8
62;Value;Fryslân (PV);2020 1st quarter;6.5
63;Value;Fryslân (PV);2020 2nd quarter;-24.8
64;Value;Fryslân (PV);2020 3rd quarter;-15.3
65;Value;Fryslân (PV);2020 4th quarter;-3.8
66;Value;Fryslân (PV);2021 1st quarter;-3.2
67;Value;Fryslân (PV);2021 2nd quarter;0.7
68;Value;Fryslân (PV);2021 3rd quarter;10.4
69;Value;Fryslân (PV);2021 4th quarter;9.0
70;Value;Fryslân (PV);2022 1st quarter;3.1
71;Value;Fryslân (PV);2022 2nd quarter;11.3
72;Value;Fryslân (PV);2022 3rd quarter;0.3
73;Value;Fryslân (PV);2022 4th quarter;-3.5
74;Value;Fryslân (PV);2023 1st quarter;4.4
75;Value;Fryslân (PV);2023 2nd quarter;0.9
76;Value;Drenthe (PV);2014 1st quarter;-2.9
77;Value;Drenthe (PV);2014 2nd quarter;-3.3
78;Value;Drenthe (PV);2014 3rd quarter;-2.2
79;Value;Drenthe (PV);2014 4th quarter;1.0
80;Value;Drenthe (PV);2015 1st quarter;2.7
81;Value;Drenthe (PV);2015 2nd quarter;-0.8
82;Value;Drenthe (PV);2015 3rd quarter;7.1
83;Value;Drenthe (PV);2015 4th quarter;4.2
84;Value;Drenthe (PV);2016 1st quarter;3.2
85;Value;Drenthe (PV);2016 2nd quarter;4.8
86;Value;Drenthe (PV);2016 3rd quarter;2.8
87;Value;Drenthe (PV);2016 4th quarter;7.4
88;Value;Drenthe (PV);2017 1st quarter;6.4
89;Value;Drenthe (PV);2017 2nd quarter;14.3
90;Value;Drenthe (PV);2017 3rd quarter;11.8
91;Value;Drenthe (PV);2017 4th quarter;10.5
92;Value;Drenthe (PV);2018 1st quarter;16.4
93;Value;Drenthe (PV);2018 2nd quarter;12.1
94;Value;Drenthe (PV);2018 3rd quarter;7.9
95;Value;Drenthe (PV);2018 4th quarter;8.7
96;Value;Drenthe (PV);2019 1st quarter;8.1
97;Value;Drenthe (PV);2019 2nd quarter;6.3
98;Value;Drenthe (PV);2019 3rd quarter;7.9
99;Value;Drenthe (PV);2019 4th quarter;1.2
100;Value;Drenthe (PV);2020 1st quarter;-1.5
101;Value;Drenthe (PV);2020 2nd quarter;-37.3
102;Value;Drenthe (PV);2020 3rd quarter;-23.5
103;Value;Drenthe (PV);2020 4th quarter;-12.0
104;Value;Drenthe (PV);2021 1st quarter;-14.0
105;Value;Drenthe (PV);2021 2nd quarter;-5.4
106;Value;Drenthe (PV);2021 3rd quarter;9.5
107;Value;Drenthe (PV);2021 4th quarter;11.7
108;Value;Drenthe (PV);2022 1st quarter;5.4
109;Value;Drenthe (PV);2022 2nd quarter;5.9
110;Value;Drenthe (PV);2022 3rd quarter;1.8
111;Value;Drenthe (PV);2022 4th quarter;-1.8
112;Value;Drenthe (PV);2023 1st quarter;0.5
113;Value;Drenthe (PV);2023 2nd quarter;0.2
114;Value;Overijssel (PV);2014 1st quarter;-4.4
115;Value;Overijssel (PV);2014 2nd quarter;-2.5
116;Value;Overijssel (PV);2014 3rd quarter;-1.4
117;Value;Overijssel (PV);2014 4th quarter;4.1
118;Value;Overijssel (PV);2015 1st quarter;1.1
119;Value;Overijssel (PV);2015 2nd quarter;2.8
120;Value;Overijssel (PV);2015 3rd quarter;5.6
121;Value;Overijssel (PV);2015 4th quarter;9.7
122;Value;Overijssel (PV);2016 1st quarter;8.3
123;Value;Overijssel (PV);2016 2nd quarter;6.8
124;Value;Overijssel (PV);2016 3rd quarter;7.2
125;Value;Overijssel (PV);2016 4th quarter;8.8
126;Value;Overijssel (PV);2017 1st quarter;11.6
127;Value;Overijssel (PV);2017 2nd quarter;14.3
128;Value;Overijssel (PV);2017 3rd quarter;15.1
129;Value;Overijssel (PV);2017 4th quarter;15.3
130;Value;Overijssel (PV);2018 1st quarter;17.8
131;Value;Overijssel (PV);2018 2nd quarter;12.8
132;Value;Overijssel (PV);2018 3rd quarter;12.9
133;Value;Overijssel (PV);2018 4th quarter;12.5
134;Value;Overijssel (PV);2019 1st quarter;14.0
135;Value;Overijssel (PV);2019 2nd quarter;10.0
136;Value;Overijssel (PV);2019 3rd quarter;9.3
137;Value;Overijssel (PV);2019 4th quarter;5.9
138;Value;Overijssel (PV);2020 1st quarter;4.9
139;Value;Overijssel (PV);2020 2nd quarter;-31.5
140;Value;Overijssel (PV);2020 3rd quarter;-15.8
141;Value;Overijssel (PV);2020 4th quarter;-8.7
142;Value;Overijssel (PV);2021 1st quarter;-2.8
143;Value;Overijssel (PV);2021 2nd quarter;8.1
144;Value;Overijssel (PV);2021 3rd quarter;14.9
145;Value;Overijssel (PV);2021 4th quarter;11.6
146;Value;Overijssel (PV);2022 1st quarter;9.4
147;Value;Overijssel (PV);2022 2nd quarter;12.7
148;Value;Overijssel (PV);2022 3rd quarter;6.3
149;Value;Overijssel (PV);2022 4th quarter;0.6
150;Value;Overijssel (PV);2023 1st quarter;0.8
151;Value;Overijssel (PV);2023 2nd quarter;0.4
152;Value;Flevoland (PV);2014 1st quarter;-1.5
153;Value;Flevoland (PV);2014 2nd quarter;-0.6
154;Value;Flevoland (PV);2014 3rd quarter;-1.4
155;Value;Flevoland (PV);2014 4th quarter;4.7
156;Value;Flevoland (PV);2015 1st quarter;5.1
157;Value;Flevoland (PV);2015 2nd quarter;7.0
158;Value;Flevoland (PV);2015 3rd quarter;7.2
159;Value;Flevoland (PV);2015 4th quarter;8.3
160;Value;Flevoland (PV);2016 1st quarter;11.5
161;Value;Flevoland (PV);2016 2nd quarter;4.0
162;Value;Flevoland (PV);2016 3rd quarter;10.9
163;Value;Flevoland (PV);2016 4th quarter;12.0
164;Value;Flevoland (PV);2017 1st quarter;14.3
165;Value;Flevoland (PV);2017 2nd quarter;14.1
166;Value;Flevoland (PV);2017 3rd quarter;15.3
167;Value;Flevoland (PV);2017 4th quarter;13.4
168;Value;Flevoland (PV);2018 1st quarter;9.1
169;Value;Flevoland (PV);2018 2nd quarter;5.4
170;Value;Flevoland (PV);2018 3rd quarter;7.0
171;Value;Flevoland (PV);2018 4th quarter;7.4
172;Value;Flevoland (PV);2019 1st quarter;5.8
173;Value;Flevoland (PV);2019 2nd quarter;2.5
174;Value;Flevoland (PV);2019 3rd quarter;7.0
175;Value;Flevoland (PV);2019 4th quarter;4.6
176;Value;Flevoland (PV);2020 1st quarter;2.8
177;Value;Flevoland (PV);2020 2nd quarter;-28.8
178;Value;Flevoland (PV);2020 3rd quarter;-16.7
179;Value;Flevoland (PV);2020 4th quarter;-11.1
180;Value;Flevoland (PV);2021 1st quarter;-11.1
181;Value;Flevoland (PV);2021 2nd quarter;-2.8
182;Value;Flevoland (PV);2021 3rd quarter;14.5
183;Value;Flevoland (PV);2021 4th quarter;11.9
184;Value;Flevoland (PV);2022 1st quarter;1.5
185;Value;Flevoland (PV);2022 2nd quarter;15.0
186;Value;Flevoland (PV);2022 3rd quarter;8.3
187;Value;Flevoland (PV);2022 4th quarter;-4.8
188;Value;Flevoland (PV);2023 1st quarter;5.0
189;Value;Flevoland (PV);2023 2nd quarter;-1.4
190;Value;Gelderland (PV);2014 1st quarter;-2.3
191;Value;Gelderland (PV);2014 2nd quarter;0.4
192;Value;Gelderland (PV);2014 3rd quarter;2.7
193;Value;Gelderland (PV);2014 4th quarter;3.9
194;Value;Gelderland (PV);2015 1st quarter;3.8
195;Value;Gelderland (PV);2015 2nd quarter;4.7
196;Value;Gelderland (PV);2015 3rd quarter;10.9
197;Value;Gelderland (PV);2015 4th quarter;8.7
198;Value;Gelderland (PV);2016 1st quarter;9.7
199;Value;Gelderland (PV);2016 2nd quarter;9.7
200;Value;Gelderland (PV);2016 3rd quarter;10.0
201;Value;Gelderland (PV);2016 4th quarter;11.7
202;Value;Gelderland (PV);2017 1st quarter;15.1
203;Value;Gelderland (PV);2017 2nd quarter;16.8
204;Value;Gelderland (PV);2017 3rd quarter;17.3
205;Value;Gelderland (PV);2017 4th quarter;17.0
206;Value;Gelderland (PV);2018 1st quarter;17.4
207;Value;Gelderland (PV);2018 2nd quarter;14.3
208;Value;Gelderland (PV);2018 3rd quarter;19.1
209;Value;Gelderland (PV);2018 4th quarter;14.7
210;Value;Gelderland (PV);2019 1st quarter;10.1
211;Value;Gelderland (PV);2019 2nd quarter;11.2
212;Value;Gelderland (PV);2019 3rd quarter;10.1
213;Value;Gelderland (PV);2019 4th quarter;7.6
214;Value;Gelderland (PV);2020 1st quarter;7.5
215;Value;Gelderland (PV);2020 2nd quarter;-34.1
216;Value;Gelderland (PV);2020 3rd quarter;-18.6
217;Value;Gelderland (PV);2020 4th quarter;-8.1
218;Value;Gelderland (PV);2021 1st quarter;-7.7
219;Value;Gelderland (PV);2021 2nd quarter;5.7
220;Value;Gelderland (PV);2021 3rd quarter;18.8
221;Value;Gelderland (PV);2021 4th quarter;12.4
222;Value;Gelderland (PV);2022 1st quarter;0.7
223;Value;Gelderland (PV);2022 2nd quarter;8.7
224;Value;Gelderland (PV);2022 3rd quarter;6.3
225;Value;Gelderland (PV);2022 4th quarter;0.2
226;Value;Gelderland (PV);2023 1st quarter;3.2
227;Value;Gelderland (PV);2023 2nd quarter;2.6
228;Value;Utrecht (PV);2014 1st quarter;-6.6
229;Value;Utrecht (PV);2014 2nd quarter;4.6
230;Value;Utrecht (PV);2014 3rd quarter;-0.7
231;Value;Utrecht (PV);2014 4th quarter;3.4
232;Value;Utrecht (PV);2015 1st quarter;6.6
233;Value;Utrecht (PV);2015 2nd quarter;4.3
234;Value;Utrecht (PV);2015 3rd quarter;4.7
235;Value;Utrecht (PV);2015 4th quarter;7.6
236;Value;Utrecht (PV);2016 1st quarter;7.1
237;Value;Utrecht (PV);2016 2nd quarter;6.7
238;Value;Utrecht (PV);2016 3rd quarter;11.5
239;Value;Utrecht (PV);2016 4th quarter;9.4
240;Value;Utrecht (PV);2017 1st quarter;11.4
241;Value;Utrecht (PV);2017 2nd quarter;14.9
242;Value;Utrecht (PV);2017 3rd quarter;11.5
243;Value;Utrecht (PV);2017 4th quarter;8.9
244;Value;Utrecht (PV);2018 1st quarter;7.0
245;Value;Utrecht (PV);2018 2nd quarter;10.0
246;Value;Utrecht (PV);2018 3rd quarter;13.2
247;Value;Utrecht (PV);2018 4th quarter;14.4
248;Value;Utrecht (PV);2019 1st quarter;9.8
249;Value;Utrecht (PV);2019 2nd quarter;9.7
250;Value;Utrecht (PV);2019 3rd quarter;10.6
251;Value;Utrecht (PV);2019 4th quarter;5.7
252;Value;Utrecht (PV);2020 1st quarter;1.6
253;Value;Utrecht (PV);2020 2nd quarter;-34.6
254;Value;Utrecht (PV);2020 3rd quarter;-23.1
255;Value;Utrecht (PV);2020 4th quarter;-8.9
256;Value;Utrecht (PV);2021 1st quarter;-7.9
257;Value;Utrecht (PV);2021 2nd quarter;4.4
258;Value;Utrecht (PV);2021 3rd quarter;20.0
259;Value;Utrecht (PV);2021 4th quarter;15.2
260;Value;Utrecht (PV);2022 1st quarter;3.5
261;Value;Utrecht (PV);2022 2nd quarter;13.8
262;Value;Utrecht (PV);2022 3rd quarter;6.9
263;Value;Utrecht (PV);2022 4th quarter;-1.9
264;Value;Utrecht (PV);2023 1st quarter;6.2
265;Value;Utrecht (PV);2023 2nd quarter;8.9
266;Value;Noord-Holland (PV);2014 1st quarter;-3.1
267;Value;Noord-Holland (PV);2014 2nd quarter;-0.5
268;Value;Noord-Holland (PV);2014 3rd quarter;4.8
269;Value;Noord-Holland (PV);2014 4th quarter;5.8
270;Value;Noord-Holland (PV);2015 1st quarter;5.3
271;Value;Noord-Holland (PV);2015 2nd quarter;7.5
272;Value;Noord-Holland (PV);2015 3rd quarter;9.5
273;Value;Noord-Holland (PV);2015 4th quarter;11.1
274;Value;Noord-Holland (PV);2016 1st quarter;9.0
275;Value;Noord-Holland (PV);2016 2nd quarter;8.1
276;Value;Noord-Holland (PV);2016 3rd quarter;9.5
277;Value;Noord-Holland (PV);2016 4th quarter;8.9
278;Value;Noord-Holland (PV);2017 1st quarter;14.9
279;Value;Noord-Holland (PV);2017 2nd quarter;15.5
280;Value;Noord-Holland (PV);2017 3rd quarter;14.7
281;Value;Noord-Holland (PV);2017 4th quarter;15.3
282;Value;Noord-Holland (PV);2018 1st quarter;18.7
283;Value;Noord-Holland (PV);2018 2nd quarter;15.4
284;Value;Noord-Holland (PV);2018 3rd quarter;18.0
285;Value;Noord-Holland (PV);2018 4th quarter;14.9
286;Value;Noord-Holland (PV);2019 1st quarter;6.9
287;Value;Noord-Holland (PV);2019 2nd quarter;10.6
288;Value;Noord-Holland (PV);2019 3rd quarter;12.8
289;Value;Noord-Holland (PV);2019 4th quarter;7.0
290;Value;Noord-Holland (PV);2020 1st quarter;5.5
291;Value;Noord-Holland (PV);2020 2nd quarter;-38.0
292;Value;Noord-Holland (PV);2020 3rd quarter;-23.1
293;Value;Noord-Holland (PV);2020 4th quarter;-7.7
294;Value;Noord-Holland (PV);2021 1st quarter;-7.6
295;Value;Noord-Holland (PV);2021 2nd quarter;2.5
296;Value;Noord-Holland (PV);2021 3rd quarter;19.8
297;Value;Noord-Holland (PV);2021 4th quarter;17.2
298;Value;Noord-Holland (PV);2022 1st quarter;6.8
299;Value;Noord-Holland (PV);2022 2nd quarter;16.3
300;Value;Noord-Holland (PV);2022 3rd quarter;8.3
301;Value;Noord-Holland (PV);2022 4th quarter;4.2
302;Value;Noord-Holland (PV);2023 1st quarter;5.2
303;Value;Noord-Holland (PV);2023 2nd quarter;8.8
304;Value;Zuid-Holland (PV);2014 1st quarter;-0.8
305;Value;Zuid-Holland (PV);2014 2nd quarter;2.5
306;Value;Zuid-Holland (PV);2014 3rd quarter;3.0
307;Value;Zuid-Holland (PV);2014 4th quarter;2.6
308;Value;Zuid-Holland (PV);2015 1st quarter;2.3
309;Value;Zuid-Holland (PV);2015 2nd quarter;2.9
310;Value;Zuid-Holland (PV);2015 3rd quarter;6.5
311;Value;Zuid-Holland (PV);2015 4th quarter;9.0
312;Value;Zuid-Holland (PV);2016 1st quarter;6.6
313;Value;Zuid-Holland (PV);2016 2nd quarter;8.1
314;Value;Zuid-Holland (PV);2016 3rd quarter;5.2
315;Value;Zuid-Holland (PV);2016 4th quarter;8.7
316;Value;Zuid-Holland (PV);2017 1st quarter;10.8
317;Value;Zuid-Holland (PV);2017 2nd quarter;12.0
318;Value;Zuid-Holland (PV);2017 3rd quarter;14.0
319;Value;Zuid-Holland (PV);2017 4th quarter;11.9
320;Value;Zuid-Holland (PV);2018 1st quarter;16.1
321;Value;Zuid-Holland (PV);2018 2nd quarter;11.9
322;Value;Zuid-Holland (PV);2018 3rd quarter;12.3
323;Value;Zuid-Holland (PV);2018 4th quarter;9.4
324;Value;Zuid-Holland (PV);2019 1st quarter;9.0
325;Value;Zuid-Holland (PV);2019 2nd quarter;11.0
