ID;BedrijfstakkenBranchesSBI2008;CaribischNederland;Perioden;WerkzBeroepsbevolkingInternatDef_1;WerkzBeroepsbevolkingNatDef_2
0;A-U Alle economische activiteiten;Bonaire;2012;8837.0;8559.0
1;A-U Alle economische activiteiten;Sint-Eustatius;2012;2099.0;1940.0
2;A-U Alle economische activiteiten;Saba;2012;1045.0;971.0
3;A Landbouw, bosbouw en visserij;Bonaire;2012;55.0;55.0
4;A Landbouw, bosbouw en visserij;Sint-Eustatius;2012;26.0;19.0
5;A Landbouw, bosbouw en visserij;Saba;2012;20.0;17.0
6;B-E Nijverheid (geen bouw) en energie;Bonaire;2012;534.0;534.0
7;B-E Nijverheid (geen bouw) en energie;Sint-Eustatius;2012;99.0;87.0
8;B-E Nijverheid (geen bouw) en energie;Saba;2012;36.0;36.0
9;F Bouwnijverheid;Bonaire;2012;1364.0;1330.0
10;F Bouwnijverheid;Sint-Eustatius;2012;270.0;215.0
11;F Bouwnijverheid;Saba;2012;113.0;105.0
12;G-I Handel, vervoer en horeca;Bonaire;2012;2710.0;2620.0
13;G-I Handel, vervoer en horeca;Sint-Eustatius;2012;736.0;714.0
14;G-I Handel, vervoer en horeca;Saba;2012;212.0;196.0
15;J Informatie en communicatie;Bonaire;2012;268.0;268.0
16;J Informatie en communicatie;Sint-Eustatius;2012;32.0;32.0
17;J Informatie en communicatie;Saba;2012;32.0;26.0
18;K Financiële dienstverlening;Bonaire;2012;224.0;211.0
19;K Financiële dienstverlening;Sint-Eustatius;2012;29.0;29.0
20;K Financiële dienstverlening;Saba;2012;23.0;23.0
21;L Verhuur en handel van onroerend goed;Bonaire;2012;154.0;154.0
22;L Verhuur en handel van onroerend goed;Sint-Eustatius;2012;;
23;L Verhuur en handel van onroerend goed;Saba;2012;;
24;M-N Zakelijke dienstverlening;Bonaire;2012;671.0;570.0
25;M-N Zakelijke dienstverlening;Sint-Eustatius;2012;95.0;79.0
26;M-N Zakelijke dienstverlening;Saba;2012;65.0;58.0
27;O-Q Overheid en zorg;Bonaire;2012;2270.0;2261.0
28;O-Q Overheid en zorg;Sint-Eustatius;2012;643.0;609.0
29;O-Q Overheid en zorg;Saba;2012;431.0;415.0
30;R-U Cultuur, recreatie, overige diensten;Bonaire;2012;442.0;425.0
31;R-U Cultuur, recreatie, overige diensten;Sint-Eustatius;2012;99.0;90.0
32;R-U Cultuur, recreatie, overige diensten;Saba;2012;91.0;75.0
33;SBI-code onbekend;Bonaire;2012;145.0;130.0
34;SBI-code onbekend;Sint-Eustatius;2012;61.0;61.0
35;SBI-code onbekend;Saba;2012;18.0;18.0
