ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
0;Totaal mannen en vrouwen;Totaal;2023;169333
1;Totaal mannen en vrouwen;Totaal;2024;169521
2;Totaal mannen en vrouwen;Totaal;2025;169943
3;Totaal mannen en vrouwen;Totaal;2026;170574
4;Totaal mannen en vrouwen;Totaal;2027;171409
5;Totaal mannen en vrouwen;Totaal;2028;172427
6;Totaal mannen en vrouwen;Totaal;2029;173621
7;Totaal mannen en vrouwen;Totaal;2030;176136
8;Totaal mannen en vrouwen;Totaal;2031;178680
9;Totaal mannen en vrouwen;Totaal;2032;181222
10;Totaal mannen en vrouwen;Totaal;2033;183735
11;Totaal mannen en vrouwen;Totaal;2034;186189
12;Totaal mannen en vrouwen;Totaal;2035;188565
13;Totaal mannen en vrouwen;Totaal;2036;190834
14;Totaal mannen en vrouwen;Totaal;2037;192977
15;Totaal mannen en vrouwen;Totaal;2038;194975
16;Totaal mannen en vrouwen;Totaal;2039;196809
17;Totaal mannen en vrouwen;Totaal;2040;198463
18;Totaal mannen en vrouwen;Totaal;2041;199954
19;Totaal mannen en vrouwen;Totaal;2042;201293
20;Totaal mannen en vrouwen;Totaal;2043;202493
21;Totaal mannen en vrouwen;Totaal;2044;203560
22;Totaal mannen en vrouwen;Totaal;2045;204579
23;Totaal mannen en vrouwen;Totaal;2046;205474
24;Totaal mannen en vrouwen;Totaal;2047;206336
25;Totaal mannen en vrouwen;Totaal;2048;207212
26;Totaal mannen en vrouwen;Totaal;2049;208088
27;Totaal mannen en vrouwen;Totaal;2050;208929
28;Totaal mannen en vrouwen;Totaal;2051;209704
29;Totaal mannen en vrouwen;Totaal;2052;210355
30;Totaal mannen en vrouwen;Totaal;2053;210854
31;Totaal mannen en vrouwen;Totaal;2054;211169
32;Totaal mannen en vrouwen;Totaal;2055;211269
33;Totaal mannen en vrouwen;Totaal;2056;211125
34;Totaal mannen en vrouwen;Totaal;2057;210724
35;Totaal mannen en vrouwen;Totaal;2058;210063
36;Totaal mannen en vrouwen;Totaal;2059;209140
37;Totaal mannen en vrouwen;Totaal;2060;207979
38;Totaal mannen en vrouwen;Totaal;2061;206590
39;Totaal mannen en vrouwen;Totaal;2062;205014
40;Totaal mannen en vrouwen;Totaal;2063;203292
41;Totaal mannen en vrouwen;Totaal;2064;201483
42;Totaal mannen en vrouwen;Totaal;2065;199663
43;Totaal mannen en vrouwen;Totaal;2066;197902
44;Totaal mannen en vrouwen;Totaal;2067;196250
45;Totaal mannen en vrouwen;Totaal;2068;194775
46;Totaal mannen en vrouwen;Totaal;2069;193520
47;Totaal mannen en vrouwen;Totaal;2070;192570
48;Totaal mannen en vrouwen;0 jaar;2023;497
49;Totaal mannen en vrouwen;0 jaar;2024;476
50;Totaal mannen en vrouwen;0 jaar;2025;458
51;Totaal mannen en vrouwen;0 jaar;2026;443
52;Totaal mannen en vrouwen;0 jaar;2027;432
53;Totaal mannen en vrouwen;0 jaar;2028;421
54;Totaal mannen en vrouwen;0 jaar;2029;412
55;Totaal mannen en vrouwen;0 jaar;2030;406
56;Totaal mannen en vrouwen;0 jaar;2031;399
57;Totaal mannen en vrouwen;0 jaar;2032;391
58;Totaal mannen en vrouwen;0 jaar;2033;382
59;Totaal mannen en vrouwen;0 jaar;2034;372
60;Totaal mannen en vrouwen;0 jaar;2035;361
61;Totaal mannen en vrouwen;0 jaar;2036;351
62;Totaal mannen en vrouwen;0 jaar;2037;339
63;Totaal mannen en vrouwen;0 jaar;2038;326
64;Totaal mannen en vrouwen;0 jaar;2039;314
65;Totaal mannen en vrouwen;0 jaar;2040;301
66;Totaal mannen en vrouwen;0 jaar;2041;289
67;Totaal mannen en vrouwen;0 jaar;2042;278
68;Totaal mannen en vrouwen;0 jaar;2043;266
69;Totaal mannen en vrouwen;0 jaar;2044;255
70;Totaal mannen en vrouwen;0 jaar;2045;245
71;Totaal mannen en vrouwen;0 jaar;2046;234
72;Totaal mannen en vrouwen;0 jaar;2047;225
73;Totaal mannen en vrouwen;0 jaar;2048;216
74;Totaal mannen en vrouwen;0 jaar;2049;208
75;Totaal mannen en vrouwen;0 jaar;2050;199
76;Totaal mannen en vrouwen;0 jaar;2051;192
77;Totaal mannen en vrouwen;0 jaar;2052;185
78;Totaal mannen en vrouwen;0 jaar;2053;176
79;Totaal mannen en vrouwen;0 jaar;2054;171
80;Totaal mannen en vrouwen;0 jaar;2055;164
81;Totaal mannen en vrouwen;0 jaar;2056;159
82;Totaal mannen en vrouwen;0 jaar;2057;153
83;Totaal mannen en vrouwen;0 jaar;2058;148
84;Totaal mannen en vrouwen;0 jaar;2059;143
85;Totaal mannen en vrouwen;0 jaar;2060;139
86;Totaal mannen en vrouwen;0 jaar;2061;134
87;Totaal mannen en vrouwen;0 jaar;2062;131
88;Totaal mannen en vrouwen;0 jaar;2063;127
89;Totaal mannen en vrouwen;0 jaar;2064;123
90;Totaal mannen en vrouwen;0 jaar;2065;120
91;Totaal mannen en vrouwen;0 jaar;2066;116
92;Totaal mannen en vrouwen;0 jaar;2067;113
93;Totaal mannen en vrouwen;0 jaar;2068;109
94;Totaal mannen en vrouwen;0 jaar;2069;106
95;Totaal mannen en vrouwen;0 jaar;2070;102
96;Totaal mannen en vrouwen;1 jaar;2023;59
97;Totaal mannen en vrouwen;1 jaar;2024;56
98;Totaal mannen en vrouwen;1 jaar;2025;54
99;Totaal mannen en vrouwen;1 jaar;2026;52
100;Totaal mannen en vrouwen;1 jaar;2027;50
101;Totaal mannen en vrouwen;1 jaar;2028;49
102;Totaal mannen en vrouwen;1 jaar;2029;48
103;Totaal mannen en vrouwen;1 jaar;2030;47
104;Totaal mannen en vrouwen;1 jaar;2031;46
105;Totaal mannen en vrouwen;1 jaar;2032;45
106;Totaal mannen en vrouwen;1 jaar;2033;45
107;Totaal mannen en vrouwen;1 jaar;2034;43
108;Totaal mannen en vrouwen;1 jaar;2035;43
