ID;Vogelsoorten;Perioden;Index_1;TrendGehelePeriode_2;TrendLaatste10Jaar_3
131;5120;1986;54.0;.                             ;.                             
132;5120;1987;60.0;.                             ;.                             
133;5120;1988;65.0;.                             ;.                             
134;5120;1989;75.0;.                             ;.                             
135;5120;1990;71.0;.                             ;.                             
136;5120;1991;77.0;.                             ;.                             
137;5120;1992;77.0;.                             ;.                             
138;5120;1993;82.0;.                             ;.                             
139;5120;1994;81.0;.                             ;.                             
140;5120;1995;86.0;.                             ;.                             
141;5120;1996;76.0;.                             ;.                             
142;5120;1997;87.0;.                             ;.                             
143;5120;1998;71.0;.                             ;.                             
144;5120;1999;94.0;.                             ;.                             
145;5120;2000;100.0;.                             ;.                             
146;5120;2001;111.0;.                             ;.                             
147;5120;2002;84.0;.                             ;.                             
148;5120;2003;110.0;.                             ;.                             
149;5120;2004;89.0;Stabiel                       ;Stabiel                       
150;1670;1975;21.0;.                             ;.                             
151;1670;1976;10.0;.                             ;.                             
152;1670;1977;23.0;.                             ;.                             
153;1670;1978;19.0;.                             ;.                             
154;1670;1979;19.0;.                             ;.                             
155;1670;1980;19.0;.                             ;.                             
156;1670;1981;16.0;.                             ;.                             
157;1670;1982;21.0;.                             ;.                             
158;1670;1983;20.0;.                             ;.                             
159;1670;1984;22.0;.                             ;.                             
160;1670;1985;34.0;.                             ;.                             
161;1670;1986;29.0;.                             ;.                             
162;1670;1987;32.0;.                             ;.                             
163;1670;1988;39.0;.                             ;.                             
164;1670;1989;32.0;.                             ;.                             
165;1670;1990;36.0;.                             ;.                             
166;1670;1991;53.0;.                             ;.                             
167;1670;1992;48.0;.                             ;.                             
168;1670;1993;49.0;.                             ;.                             
169;1670;1994;67.0;.                             ;.                             
170;1670;1995;73.0;.                             ;.                             
171;1670;1996;74.0;.                             ;.                             
172;1670;1997;80.0;.                             ;.                             
173;1670;1998;89.0;.                             ;.                             
174;1670;1999;99.0;.                             ;.                             
175;1670;2000;100.0;.                             ;.                             
176;1670;2001;121.0;.                             ;.                             
177;1670;2002;127.0;.                             ;.                             
178;1670;2003;122.0;.                             ;.                             
179;1670;2004;142.0;Sterke toename                ;Sterke toename                
180;2180;1975;223.0;.                             ;.                             
181;2180;1976;215.0;.                             ;.                             
182;2180;1977;171.0;.                             ;.                             
183;2180;1978;111.0;.                             ;.                             
184;2180;1979;130.0;.                             ;.                             
185;2180;1980;134.0;.                             ;.                             
186;2180;1981;99.0;.                             ;.                             
187;2180;1982;92.0;.                             ;.                             
188;2180;1983;115.0;.                             ;.                             
189;2180;1984;84.0;.                             ;.                             
190;2180;1985;112.0;.                             ;.                             
191;2180;1986;114.0;.                             ;.                             
192;2180;1987;111.0;.                             ;.                             
193;2180;1988;110.0;.                             ;.                             
194;2180;1989;134.0;.                             ;.                             
195;2180;1990;123.0;.                             ;.                             
196;2180;1991;123.0;.                             ;.                             
197;2180;1992;114.0;.                             ;.                             
198;2180;1993;138.0;.                             ;.                             
199;2180;1994;123.0;.                             ;.                             
200;2180;1995;191.0;.                             ;.                             
201;2180;1996;125.0;.                             ;.                             
202;2180;1997;130.0;.                             ;.                             
203;2180;1998;147.0;.                             ;.                             
204;2180;1999;129.0;.                             ;.                             
205;2180;2000;100.0;.                             ;.                             
206;2180;2001;100.0;.                             ;.                             
207;2180;2002;129.0;.                             ;.                             
208;2180;2003;130.0;.                             ;.                             
209;2180;2004;110.0;Matige afname                 ;Stabiel                       
210;70;1975;107.0;.                             ;.                             
211;70;1976;58.0;.                             ;.                             
212;70;1977;71.0;.                             ;.                             
213;70;1978;93.0;.                             ;.                             
214;70;1979;84.0;.                             ;.                             
215;70;1980;87.0;.                             ;.                             
216;70;1981;105.0;.                             ;.                             
217;70;1982;113.0;.                             ;.                             
218;70;1983;101.0;.                             ;.                             
219;70;1984;65.0;.                             ;.                             
220;70;1985;58.0;.                             ;.                             
221;70;1986;34.0;.                             ;.                             
222;70;1987;33.0;.                             ;.                             
223;70;1988;51.0;.                             ;.                             
224;70;1989;77.0;.                             ;.                             
225;70;1990;67.0;.                             ;.                             
226;70;1991;43.0;.                             ;.                             
227;70;1992;40.0;.                             ;.                             
228;70;1993;54.0;.                             ;.                             
229;70;1994;66.0;.                             ;.                             
230;70;1995;87.0;.                             ;.                             
231;70;1996;34.0;.                             ;.                             
232;70;1997;30.0;.                             ;.                             
233;70;1998;42.0;.                             ;.                             
234;70;1999;87.0;.                             ;.                             
235;70;2000;100.0;.                             ;.                             
236;70;2001;101.0;.                             ;.                             
237;70;2002;116.0;.                             ;.                             
238;70;2003;103.0;.                             ;.                             
239;70;2004;100.0;Stabiel                       ;Onzeker                       
240;4970;1975;39.0;.                             ;.                             
241;4970;1976;38.0;.                             ;.                             
242;4970;1977;67.0;.                             ;.                             
243;4970;1978;69.0;.                             ;.                             
244;4970;1979;66.0;.                             ;.                             
245;4970;1980;61.0;.                             ;.                             
246;4970;1981;52.0;.                             ;.                             
247;4970;1982;45.0;.                             ;.                             
248;4970;1983;64.0;.                             ;.                             
249;4970;1984;38.0;.                             ;.                             
250;4970;1985;37.0;.                             ;.                             
251;4970;1986;33.0;.                             ;.                             
252;4970;1987;44.0;.                             ;.                             
253;4970;1988;45.0;.                             ;.                             
254;4970;1989;53.0;.                             ;.                             
255;4970;1990;49.0;.                             ;.                             
256;4970;1991;46.0;.                             ;.                             
257;4970;1992;45.0;.                             ;.                             
258;4970;1993;53.0;.                             ;.                             
259;4970;1994;57.0;.                             ;.                             
260;4970;1995;78.0;.                             ;.                             
261;4970;1996;75.0;.                             ;.                             
262;4970;1997;68.0;.                             ;.                             
263;4970;1998;82.0;.                             ;.                             
264;4970;1999;100.0;.                             ;.                             
265;4970;2000;100.0;.                             ;.                             
266;4970;2001;100.0;.                             ;.                             
267;4970;2002;145.0;.                             ;.                             
268;4970;2003;145.0;.                             ;.                             
269;4970;2004;179.0;Matige toename                ;Sterke toename                
270;1600;1975;4.0;.                             ;.                             
271;1600;1976;4.0;.                             ;.                             
272;1600;1977;1.0;.                             ;.                             
273;1600;1978;1.0;.                             ;.                             
274;1600;1979;1.0;.                             ;.                             
275;1600;1980;2.0;.                             ;.                             
276;1600;1981;3.0;.                             ;.                             
277;1600;1982;7.0;.                             ;.                             
278;1600;1983;9.0;.                             ;.                             
279;1600;1984;9.0;.                             ;.                             
280;1600;1985;10.0;.                             ;.                             
281;1600;1986;4.0;.                             ;.                             
282;1600;1987;1.0;.                             ;.                             
283;1600;1988;2.0;.                             ;.                             
284;1600;1989;10.0;.                             ;.                             
285;1600;1990;4.0;.                             ;.                             
286;1600;1991;2.0;.                             ;.                             
287;1600;1992;1.0;.                             ;.                             
288;1600;1993;8.0;.                             ;.                             
289;1600;1994;31.0;.                             ;.                             
290;1600;1995;60.0;.                             ;.                             
291;1600;1996;30.0;.                             ;.                             
292;1600;1997;123.0;.                             ;.                             
293;1600;1998;107.0;.                             ;.                             
294;1600;1999;77.0;.                             ;.                             
295;1600;2000;100.0;.                             ;.                             
296;1600;2001;114.0;.                             ;.                             
297;1600;2002;123.0;.                             ;.                             
298;1600;2003;244.0;.                             ;.                             
299;1600;2004;270.0;Sterke toename                ;Sterke toename                
300;2060;1975;;.                             ;.                             
301;2060;1976;;.                             ;.                             
302;2060;1977;93.0;.                             ;.                             
303;2060;1978;;.                             ;.                             
304;2060;1979;80.0;.                             ;.                             
305;2060;1980;;.                             ;.                             
306;2060;1981;;.                             ;.                             
307;2060;1982;122.0;.                             ;.                             
308;2060;1983;114.0;.                             ;.                             
309;2060;1984;;.                             ;.                             
310;2060;1985;;.                             ;.                             
311;2060;1986;141.0;.                             ;.                             
312;2060;1987;;.                             ;.                             
313;2060;1988;;.                             ;.                             
314;2060;1989;;.                             ;.                             
315;2060;1990;81.0;.                             ;.                             
316;2060;1991;;.                             ;.                             
