ID;Geslacht;Leeftijd;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal leeftijd;2017;17089794
1;Totaal mannen en vrouwen;Totaal leeftijd;2018;17191931
2;Totaal mannen en vrouwen;Totaal leeftijd;2019;17271386
3;Totaal mannen en vrouwen;Totaal leeftijd;2020;17342426
4;Totaal mannen en vrouwen;Totaal leeftijd;2021;17405655
5;Totaal mannen en vrouwen;Totaal leeftijd;2022;17461878
6;Totaal mannen en vrouwen;Totaal leeftijd;2023;17511336
7;Totaal mannen en vrouwen;Totaal leeftijd;2024;17559702
8;Totaal mannen en vrouwen;Totaal leeftijd;2025;17607942
9;Totaal mannen en vrouwen;Totaal leeftijd;2026;17655921
10;Totaal mannen en vrouwen;Totaal leeftijd;2027;17703034
11;Totaal mannen en vrouwen;Totaal leeftijd;2028;17749122
12;Totaal mannen en vrouwen;Totaal leeftijd;2029;17793902
13;Totaal mannen en vrouwen;Totaal leeftijd;2030;17837096
14;Totaal mannen en vrouwen;Totaal leeftijd;2031;17878008
15;Totaal mannen en vrouwen;Totaal leeftijd;2032;17916395
16;Totaal mannen en vrouwen;Totaal leeftijd;2033;17952030
17;Totaal mannen en vrouwen;Totaal leeftijd;2034;17984658
18;Totaal mannen en vrouwen;Totaal leeftijd;2035;18014134
19;Totaal mannen en vrouwen;Totaal leeftijd;2036;18040282
20;Totaal mannen en vrouwen;Totaal leeftijd;2037;18063049
21;Totaal mannen en vrouwen;Totaal leeftijd;2038;18082415
22;Totaal mannen en vrouwen;Totaal leeftijd;2039;18098450
23;Totaal mannen en vrouwen;Totaal leeftijd;2040;18111373
24;Totaal mannen en vrouwen;Totaal leeftijd;2041;18121455
25;Totaal mannen en vrouwen;Totaal leeftijd;2042;18128889
26;Totaal mannen en vrouwen;Totaal leeftijd;2043;18133999
27;Totaal mannen en vrouwen;Totaal leeftijd;2044;18137058
28;Totaal mannen en vrouwen;Totaal leeftijd;2045;18138503
29;Totaal mannen en vrouwen;Totaal leeftijd;2046;18138687
30;Totaal mannen en vrouwen;Totaal leeftijd;2047;18138113
31;Totaal mannen en vrouwen;Totaal leeftijd;2048;18137059
32;Totaal mannen en vrouwen;Totaal leeftijd;2049;18135861
33;Totaal mannen en vrouwen;Totaal leeftijd;2050;18134708
34;Totaal mannen en vrouwen;Totaal leeftijd;2051;18133760
35;Totaal mannen en vrouwen;Totaal leeftijd;2052;18133178
36;Totaal mannen en vrouwen;Totaal leeftijd;2053;18133107
37;Totaal mannen en vrouwen;Totaal leeftijd;2054;18133727
38;Totaal mannen en vrouwen;Totaal leeftijd;2055;18135194
39;Totaal mannen en vrouwen;Totaal leeftijd;2056;18137642
40;Totaal mannen en vrouwen;Totaal leeftijd;2057;18141192
41;Totaal mannen en vrouwen;Totaal leeftijd;2058;18145962
42;Totaal mannen en vrouwen;Totaal leeftijd;2059;18152086
43;Totaal mannen en vrouwen;Totaal leeftijd;2060;18159662
44;Totaal mannen en vrouwen;0 jaar;2017;172780
45;Totaal mannen en vrouwen;0 jaar;2018;175960
46;Totaal mannen en vrouwen;0 jaar;2019;178097
47;Totaal mannen en vrouwen;0 jaar;2020;181104
48;Totaal mannen en vrouwen;0 jaar;2021;183489
49;Totaal mannen en vrouwen;0 jaar;2022;185796
50;Totaal mannen en vrouwen;0 jaar;2023;188243
51;Totaal mannen en vrouwen;0 jaar;2024;190480
