ID;Perioden;TotaalSocialePremies_1;AlgemeenArbeidsongeschiktheidsfonds_2;Arbeidsongeschiktheidsfonds_3;ArbeidsongeschiktheidsfondsZelfst_4;Werkhervattingskas_5;Arbeidsongeschiktheidskas_6;AlgemeenWerkloosheidsfonds_7;Sectorfondsen_8;UitvoeringsfondsVoorDeOverheid_9;WetKinderopvang_10;Ziekengeldkassen_11;AlgemeneKas_12;Zorgverzekeringsfonds_13;AlgemeenOuderdomsfonds_14;AlgemeenNabestaandenfonds_15;AlgemeenKinderbijslagfonds_16;AlgemeenFondsBijzondereZiektekosten_17;TotaalSocialePremiesTLVWerkgevers_18;AlgemeenArbeidsongeschiktheidsfonds_19;Arbeidsongeschiktheidsfonds_20;Werkhervattingskas_21;Arbeidsongeschiktheidskas_22;AlgemeenWerkloosheidsfonds_23;Sectorfondsen_24;UitvoeringsfondsVoorDeOverheid_25;WetKinderopvang_26;Ziekengeldkassen_27;AlgemeneKas_28;Zorgverzekeringsfonds_29;AlgemeenKinderbijslagfonds_30;AlgemeenFondsBijzondereZiektekosten_31;TotaalSocPremiesNietTLVWerkg_32;AlgemeenArbeidsongeschiktheidsfonds_33;Arbeidsongeschiktheidsfonds_34;ArbeidsongeschiktheidsfondsZelfst_35;AlgemeenWerkloosheidsfonds_36;Sectorfondsen_37;Ziekengeldkassen_38;AlgemeneKas_39;Zorgverzekeringsfonds_40;AlgemeenOuderdomsfonds_41;AlgemeenNabestaandenfonds_42;AlgemeenKinderbijslagfonds_43;AlgemeenFondsBijzondereZiektekosten_44
0;1987;38782;5472.0;3722;;;;878;733;;;3155.0;5705.0;;11595;1235;2334.0;3953;15668;4654.0;;;;419;337;;;2311.0;2526.0;;1998.0;3423.0;23114;818.0;3722.0;;459.0;396.0;844.0;3179.0;;11595;1235;336.0;530
1;1988;40084;5708.0;3591;;;;1681;761;;;3241.0;5816.0;;11957;1351;1801.0;4177;15380;4639.0;;;;794;341;;;2452.0;2271.0;;1473.0;3410.0;24704;1069.0;3591.0;;887.0;420.0;789.0;3545.0;;11957;1351;328.0;767
2;1989;38706;5845.0;3214;;;;2382;784;;;3508.0;5325.0;;11482;1276;;4890;14888;4814.0;;;;645;357;;;2710.0;2368.0;;;3994.0;23818;1031.0;3214.0;;1737.0;427.0;798.0;2957.0;;11482;1276;;896
3;1990;36937;939.0;3900;;;;1477;781;;;4064.0;5638.0;;13191;1148;;5799;6904;0.0;;;;966;354;;;3100.0;2484.0;;;;30033;939.0;3900.0;;511.0;427.0;964.0;3154.0;;13191;1148;;5799
4;1991;41005;1870.0;4100;;;;1230;685;;;4854.0;5895.0;;14366;1129;;6876;7470;0.0;;;;724;305;;;3774.0;2667.0;;;;33535;1870.0;4100.0;;506.0;380.0;1080.0;3228.0;;14366;1129;;6876
5;1992;44107;2763.0;4550;;;;1402;626;;;4827.0;4877.0;;14577;1168;;9317;7650;-5.0;;;;647;280;;;3743.0;2985.0;;;;36457;2768.0;4550.0;;755.0;346.0;1084.0;1892.0;;14577;1168;;9317
6;1993;45063;2896.0;4469;;;;2437;694;;;3995.0;5021.0;;14553;1244;;9754;7404;65.0;;;;1118;317;;;3023.0;2881.0;;;;37659;2831.0;4469.0;;1319.0;377.0;972.0;2140.0;;14553;1244;;9754
7;1994;49871;6534.0;4127;;;;2894;641;;;2222.0;5314.0;;15019;2084;;11036;5943;93.0;;;;1067;292;;;1418.0;3073.0;;;;43928;6441.0;4127.0;;1827.0;349.0;804.0;2241.0;;15019;2084;;11036
8;1995;48443;6286.0;3661;;;;3873;689;;;1610.0;4922.0;;14625;2085;;10692;6096;-53.0;;;;1806;322;;;1072.0;2949.0;;;;42347;6339.0;3661.0;;2067.0;367.0;538.0;1973.0;;14625;2085;;10692
9;1996;48723;6794.0;3201;;;;4144;1165;;;252.0;6986.0;;15441;2013;;8727;6124;-36.0;-2.0;;;2067;544;;;247.0;3304.0;;;;42599;6830.0;3203.0;;2077.0;621.0;5.0;3682.0;;15441;2013;;8727
