ID;Inkomensbestanddelen;KenmerkenVanHuishoudens;Perioden;ParticuliereHuishoudens_1;ParticuliereHuishoudensRelatief_2;TotaalInkomen_3;GemiddeldInkomen_4;MediaanInkomen_5;AandeelVanBrutoInkomen_6
0;1 Inkomen als werknemer;Particuliere huishoudens;2011;4847.2;66.0;290670.0;60.0;51.7;65.5
1;1 Inkomen als werknemer;Particuliere huishoudens;2012;4850.8;65.4;295084.0;60.8;52.2;65.2
2;1 Inkomen als werknemer;Particuliere huishoudens;2013;4817.2;64.5;296314.0;61.5;52.4;64.3
3;1 Inkomen als werknemer;Particuliere huishoudens;2014;4819.7;64.3;300571.0;62.4;52.8;62.5
4;1 Inkomen als werknemer;Particuliere huishoudens;2015;4839.3;63.9;300893.0;62.2;52.7;63.3
5;1 Inkomen als werknemer;Particuliere huishoudens;2016;4867.6;63.9;308302.0;63.3;53.6;62.5
6;1 Inkomen als werknemer;Particuliere huishoudens;2017;4925.3;64.0;319506.0;64.9;54.9;61.5
7;1 Inkomen als werknemer;Particuliere huishoudens;2018;5001.3;64.4;333698.0;66.7;56.4;62.2
8;1 Inkomen als werknemer;Particuliere huishoudens;2019;5065.0;64.7;352092.0;69.5;58.6;61.0
9;1 Inkomen als werknemer;Particuliere huishoudens;2020;5071.4;64.2;366104.0;72.2;60.8;62.1
10;1 Inkomen als werknemer;Particuliere huishoudens;2021;5113.1;64.3;381300.0;74.6;62.3;62.0
11;1 Inkomen als werknemer;Particuliere huishoudens;2022;5209.2;64.8;412409.0;79.2;66.0;62.1
12;1 Inkomen als werknemer;Particuliere huishoudens;2023;5283.8;64.8;444486.0;84.1;69.8;61.6
13;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2011;1294.2;49.3;46210.0;35.7;33.4;54.2
14;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2012;1304.6;48.8;47236.0;36.2;33.5;53.7
15;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2013;1291.9;47.6;47441.0;36.7;33.8;52.7
16;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2014;1293.9;47.5;48188.0;37.2;34.0;51.6
17;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2015;1315.3;47.3;48516.0;36.9;33.6;51.4
18;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2016;1328.7;47.1;49850.0;37.5;34.1;51.0
19;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2017;1354.9;47.2;52036.0;38.4;34.9;50.6
20;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2018;1391.0;47.8;54710.0;39.3;35.9;51.4
21;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2019;1418.9;48.1;58213.0;41.0;37.5;51.3
22;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2020;1417.0;47.5;60680.0;42.8;39.5;51.6
23;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2021;1429.2;47.4;63068.0;44.1;40.3;51.4
24;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2022;1490.4;48.3;69675.0;46.7;42.7;52.0
25;1 Inkomen als werknemer;Type: Eenpersoonshuishouden;2023;1537.3;48.6;76040.0;49.5;45.2;51.8
26;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2011;1271.5;70.6;46017.0;36.2;34.0;72.5
27;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2012;1278.3;70.2;47020.0;36.8;34.2;72.4
28;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2013;1266.5;69.0;47208.0;37.3;34.5;71.5
29;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2014;1269.4;69.0;47957.0;37.8;34.6;70.5
30;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2015;1292.1;69.0;48280.0;37.4;34.2;70.5
31;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2016;1306.7;69.1;49606.0;38.0;34.7;70.1
32;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2017;1333.0;69.3;51661.0;38.8;35.5;69.6
33;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2018;1368.9;70.0;54458.0;39.8;36.4;70.2
34;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2019;1395.6;70.4;57929.0;41.5;38.1;69.9
35;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2020;1394.7;69.4;60411.0;43.3;40.0;70.0
36;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2021;1406.0;69.7;62754.0;44.6;40.8;69.7
37;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2022;1463.0;70.9;69292.0;47.4;43.3;70.3
38;1 Inkomen als werknemer;Type: Alleenstaande onder AOW-lft;2023;1508.4;70.8;75611.0;50.1;45.8;70.2
39;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2011;22.7;2.8;194.0;8.5;4.1;0.9
40;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2012;26.3;3.1;216.0;8.2;3.4;0.9
41;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2013;25.4;2.9;233.0;9.2;4.3;1.0
42;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2014;24.5;2.8;231.0;9.4;4.3;0.9
43;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2015;23.2;2.5;235.0;10.2;4.6;0.9
44;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2016;22.0;2.4;244.0;11.1;5.4;0.9
45;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2017;21.9;2.3;375.0;17.1;5.3;1.3
46;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2018;22.0;2.3;252.0;11.4;5.9;0.9
47;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2019;23.3;2.4;284.0;12.2;6.4;0.9
48;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2020;22.4;2.3;268.0;12.0;6.0;0.9
49;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2021;23.2;2.3;314.0;13.5;7.4;1.0
50;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2022;27.4;2.7;383.0;14.0;7.8;1.1
51;1 Inkomen als werknemer;Type: Alleenstaande vanaf AOW-lft;2023;28.9;2.8;429.0;14.8;8.7;1.1
52;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2011;3553.1;75.2;244460.0;68.8;62.6;68.1
53;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2012;3546.2;74.8;247848.0;69.9;63.4;67.9
54;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2013;3525.4;74.1;248873.0;70.6;63.6;67.2
55;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2014;3525.8;73.8;252383.0;71.6;64.1;65.1
56;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2015;3524.0;73.6;252377.0;71.6;64.2;66.2
57;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2016;3539.0;73.7;258453.0;73.0;65.6;65.4
58;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2017;3570.4;74.0;267470.0;74.9;67.5;64.2
59;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2018;3610.3;74.4;278988.0;77.3;69.9;64.9
60;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2019;3646.1;74.8;293879.0;80.6;72.9;63.4
61;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2020;3654.4;74.4;305424.0;83.6;75.5;64.7
62;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2021;3683.9;74.6;318232.0;86.4;77.5;64.6
63;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2022;3718.7;75.0;342734.0;92.2;83.0;64.7
64;1 Inkomen als werknemer;Type: Meerpersoonshuishouden;2023;3746.5;75.0;368446.0;98.3;88.5;64.1
65;1 Inkomen als werknemer;Type: Eenoudergezin;2011;375.8;79.6;13511.0;36.0;30.5;62.6
66;1 Inkomen als werknemer;Type: Eenoudergezin;2012;383.2;78.9;14174.0;37.0;30.9;63.0
67;1 Inkomen als werknemer;Type: Eenoudergezin;2013;384.8;77.4;14371.0;37.3;31.4;61.8
68;1 Inkomen als werknemer;Type: Eenoudergezin;2014;393.3;77.0;14879.0;37.8;31.5;60.6
69;1 Inkomen als werknemer;Type: Eenoudergezin;2015;400.4;77.3;15127.0;37.8;31.5;60.0
70;1 Inkomen als werknemer;Type: Eenoudergezin;2016;415.3;78.2;15994.0;38.5;32.0;60.2
71;1 Inkomen als werknemer;Type: Eenoudergezin;2017;424.9;79.5;16883.0;39.7;33.1;60.4
72;1 Inkomen als werknemer;Type: Eenoudergezin;2018;441.1;81.0;18232.0;41.3;34.4;61.7
73;1 Inkomen als werknemer;Type: Eenoudergezin;2019;453.8;81.8;19811.0;43.7;36.3;61.9
74;1 Inkomen als werknemer;Type: Eenoudergezin;2020;454.2;80.8;20922.0;46.1;38.5;62.5
75;1 Inkomen als werknemer;Type: Eenoudergezin;2021;462.1;81.6;22078.0;47.8;39.8;62.9
76;1 Inkomen als werknemer;Type: Eenoudergezin;2022;471.8;82.9;24261.0;51.4;43.4;63.7
77;1 Inkomen als werknemer;Type: Eenoudergezin;2023;481.2;82.7;26615.0;55.3;46.6;63.5
78;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2011;191.6;73.6;5788.0;30.2;25.3;61.0
79;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2012;193.8;72.5;6148.0;31.7;25.8;61.7
80;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2013;193.6;70.8;6253.0;32.3;26.8;60.4
81;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2014;197.9;70.2;6541.0;33.0;27.2;59.2
82;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2015;201.8;70.4;6627.0;32.8;27.1;57.3
83;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2016;209.0;71.4;6922.0;33.1;27.2;57.2
84;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2017;211.3;72.8;7114.0;33.7;27.7;57.1
85;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2018;218.0;74.6;7510.0;34.4;28.5;58.0
86;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2019;221.4;75.6;7978.0;36.0;29.7;58.2
87;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2020;216.7;74.2;8301.0;38.3;31.7;59.2
88;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2021;218.8;75.2;8649.0;39.5;32.4;59.5
89;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2022;221.4;76.9;9196.0;41.5;34.7;59.8
90;1 Inkomen als werknemer;Type: Eenouder, alle kinderen < 18 jr;2023;222.7;76.5;9812.0;44.1;37.0;59.1
91;1 Inkomen als werknemer;Type: Eenouder, minst. één kind >= 18 jr;2011;184.2;87.0;7723.0;41.9;37.4;63.9
92;1 Inkomen als werknemer;Type: Eenouder, minst. één kind >= 18 jr;2012;189.4;86.7;8026.0;42.4;37.5;64.0
93;1 Inkomen als werknemer;Type: Eenouder, minst. één kind >= 18 jr;2013;191.2;85.6;8118.0;42.5;37.5;62.9
94;1 Inkomen als werknemer;Type: Eenouder, minst. één kind >= 18 jr;2014;195.4;85.4;8337.0;42.7;37.3;61.7
95;1 Inkomen als werknemer;Type: Eenouder, minst. één kind >= 18 jr;2015;198.6;85.7;8500.0;42.8;37.3;62.3
