ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;8317612;100.0;150;130;20
1;1;69914;0.8;1;1;0
2;2;2652278;31.9;49;45;4
3;3;143481;1.7;2;2;0
4;4;452423;5.4;8;6;2
5;5;2150;0.0;0;0;0
6;6;59487;0.7;1;1;0
7;7;197;0.0;0;0;0
8;8;4379;0.1;0;0;0
9;9;79421;1.0;1;1;0
10;GRIEK;67;0.0;0;0;0
11;JUSIA;91;0.0;0;0;0
12;KEN;2649;0.0;0;0;0
13;NMP;89;0.0;0;0;0
14;NVU;33434;0.4;0;0;0
15;PPR;140910;1.7;3;2;1
16;PSP;77972;0.9;1;1;0
17;PvdA;2813793;33.8;53;45;8
18;PvdB;201;0.0;0;0;0
19;RKPN;33227;0.4;0;0;0
20;RPF;53220;0.6;0;0;0
21;SGP;177010;2.1;3;3;0
22;SP;24420;0.3;0;0;0
23;VAW;4110;0.0;0;0;0
24;VVD;1492689;17.9;28;23;5
