ID;Geslacht;LeeftijdPersoon;Persoonskenmerken;HemelsbredeAfstandTotOuder;GeslachtInNederlandWonendeOuder;RegioS;PersonenVan18JaarOfOuder_1
0;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Nederland;13386880
1;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Noord-Nederland (LD);1372980
2;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Oost-Nederland (LD);2788370
3;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;West-Nederland (LD);6317080
4;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zuid-Nederland (LD);2908450
5;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Groningen (PV);475420
6;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Friesland (PV);509560
7;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Drenthe (PV);388000
8;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Overijssel (PV);889660
9;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Flevoland (PV);301490
10;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Gelderland (PV);1597220
11;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Utrecht (PV);980450
12;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Noord-Holland (PV);2191710
13;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zuid-Holland (PV);2840420
14;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zeeland (PV);304500
15;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Noord-Brabant (PV);1983280
16;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Limburg (PV);925160
17;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Oost-Groningen (CR);120620
18;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Delfzijl en omgeving (CR);38820
19;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Overig Groningen (CR);315980
20;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Noord-Friesland (CR);256850
21;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zuidwest-Friesland (CR);105730
22;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zuidoost-Friesland (CR);146990
23;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Noord-Drenthe (CR);149850
24;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zuidoost-Drenthe (CR);135700
25;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zuidwest-Drenthe (CR);102440
26;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Noord-Overijssel (CR);277120
27;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zuidwest-Overijssel (CR);119940
28;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Twente (CR);492600
29;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Veluwe (CR);518880
30;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Achterhoek (CR);317760
31;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Arnhem/Nijmegen (CR);577630
32;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zuidwest-Gelderland (CR);182960
33;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Utrecht (CR);980450
34;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Kop van Noord-Holland (CR);293410
35;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Alkmaar en omgeving (CR);185240
36;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;IJmond (CR);154590
37;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Agglomeratie Haarlem (CR);180440
38;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zaanstreek (CR);131840
39;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Groot-Amsterdam (CR);1052340
40;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Het Gooi en Vechtstreek (CR);193850
41;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Agglomeratie Leiden en Bollenstreek (CR);329890
42;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Agglomeratie 's-Gravenhage (CR);657630
43;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Delft en Westland (CR);180390
44;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Oost-Zuid-Holland (CR);230420
45;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Groot-Rijnmond (CR);1130310
46;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zuidoost-Zuid-Holland (CR);311790
