ID;SBI93;Perioden;Bedrijven_1;AantalWerkzamePersonenEindSeptember_2;TotWerkzamePersonenFTEEindSeptember_3;AantalWerknemersVanDeEigenLoonlijst_4;AantalFTEWerknemersOpEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaalNettoOmzet_7;TotaalDetailhandelsomzet_8;VerkoopInWinkel_9;VerkoopNietInWinkel_10;OverigeNettoOmzet_11;OverigeBedrijfsopbrengsten_12;TotaleBedrijfslasten_13;InkoopwaardeOmzet_14;TotaalArbeidskosten_15;BrutoLonenEnSalarissen_16;PensioenLasten_17;SocialeLasten_18;AfschrijvingenOpVasteActiva_19;TotaalOverigeKosten_20;AnderePersoneelskosten_21;Verkoopkosten_22;HuisvestingskostenInclEnergieverbruik_23;KostenVanDienstverleningDoorDerden_24;KostenInventaris_25;KostenVervoermiddelen_26;OverigeBedrijfslastenNEG_27;Bedrijfsresultaat_28;FinancieleBaten_29;FinancieleLasten_30;FinancieelResultaat_31;OnttrekkingenVrijvalVanVoorzieningen_32;ToevoegingenAanVoorzieningen_33;SaldoVoorzieningen_34;BuitengewoneBaten_35;BuitengewoneLasten_36;SaldoBuitengewoneBatenMinusLasten_37;ResultaatVoorBelastingen_38;Brutowinst_39
0;5210a Detailhandel (geen apotheken);2000;80900;704.4;436.7;618.0;361.2;68409.0;67851.0;65372.0;60694.0;4677.0;2480.0;557.0;64228.0;45366.0;8203.0;6794.0;278.0;1131.0;1757.0;8904.0;671.0;1981.0;3354.0;587.0;329.0;559.0;1424.0;4181.0;208.0;617.0;-407.0;81.0;177.0;-96.0;316.0;187.0;129.0;3806.0;22485.0
1;5210a Detailhandel (geen apotheken);2001;80940;723.4;457.2;625.9;368.7;71778.0;71048.0;68885.0;64162.0;4722.0;2163.0;729.0;67433.0;47322.0;8784.0;7252.0;335.0;1198.0;1875.0;9450.0;710.0;2077.0;3596.0;675.0;342.0;551.0;1498.0;4345.0;259.0;710.0;-450.0;104.0;82.0;20.0;248.0;239.0;9.0;3924.0;23727.0
2;5210a Detailhandel (geen apotheken);2002;76325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;5210b Detailhandel;2000;82335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;5210b Detailhandel;2001;82360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5210b Detailhandel;2002;77575;754.2;474.4;647.8;377.5;78856.0;78099.0;75484.0;66311.0;5225.0;2616.0;757.0;74073.0;51750.0;9770.0;7982.0;440.0;1348.0;2066.0;10486.0;773.0;2242.0;3931.0;761.0;393.0;633.0;1752.0;4784.0;262.0;752.0;-490.0;82.0;162.0;-79.0;254.0;173.0;80.0;4295.0;26349.0
6;5210d Winkels (geen apotheken);2000;64920;672.6;410.7;604.9;352.7;65099.0;64594.0;62231.0;60560.0;1672.0;2364.0;503.0;61325.0;43308.0;7993.0;6615.0;272.0;1106.0;1669.0;8354.0;642.0;1757.0;3295.0;550.0;309.0;500.0;1300.0;3775.0;200.0;579.0;-378.0;77.0;169.0;-91.0;308.0;168.0;140.0;3443.0;21287.0
7;5210d Winkels (geen apotheken);2001;65065;687.6;428.7;610.2;358.9;68301.0;67635.0;65642.0;63990.0;1652.0;1993.0;666.0;64381.0;45271.0;8541.0;7048.0;326.0;1168.0;1784.0;8786.0;677.0;1778.0;3517.0;623.0;323.0;495.0;1373.0;3920.0;248.0;675.0;-426.0;102.0;71.0;30.0;234.0;214.0;20.0;3544.0;22364.0
8;5210d Winkels (geen apotheken);2002;61015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;5210c Detailhandel in winkel;2000;66355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
