ID;RegioS;Marges;SectorBranchesSBI2008;Seizoencorrectie;Perioden;Ondernemersvertrouwen_1;OntwikkelingEconomischKlimaat_2;VerwachtingEconomischKlimaat_3;OnzekerheidsindicatorEconomischKlimaat_4
0;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2012 januari;-25.2;-28.7;-21.7;
1;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2012 februari;;;;
2;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2012 maart;;;;
3;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2012 april;-22.8;-29.1;-16.5;
4;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2012 mei;;;;
5;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2012 juni;;;;
6;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2012 juli;-24.8;-28.6;-20.9;
7;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2012 augustus;;;;
8;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2012 september;;;;
9;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2012 oktober;-24.1;-27.8;-20.4;
10;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2012 november;;;;
11;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2012 december;;;;
12;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2013 januari;-27.5;-31.9;-23.2;
13;Nederland;Waarde;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2013 februari;;;;
