ID;TypeZwembad;Perioden;TotaalZwembaden_1;Tot250M2_2;k_250Tot500M2_3;k_500Tot750M2_4;k_750Tot1000M2_5;k_1000Tot1500M2_6;k_1500Tot2500M2_7;k_2500M2EnMeer_8;Whirlpools_9;Jetstreams_10;Wildwaterbanen_11;Golfslagbassins_12;Zonnebanken_13;SaunaS_14;Waterglijbanen_15;PeuterOfKleuterbaden_16;k_1MeterSpringplank_17;k_3MeterSpringplank_18
0;Alle typen zwembaden;2000;740;8;29;20;14;14;12;4;36;30;20;5;41;20;52;88;;
1;Alle typen zwembaden;2003;740;9;28;20;15;14;11;5;37;32;21;5;43;21;50;87;;
2;Alle typen zwembaden;2006;695;10;26;20;15;14;11;4;39;32;22;5;45;24;51;89;;
3;Alle typen zwembaden;2009;690;10;28;21;12;14;11;4;37;32;20;5;40;26;51;89;44.0;20.0
4;Overdekte zwembaden;2000;320;14;51;21;9;4;1;0;51;40;23;6;62;30;54;75;;
5;Overdekte zwembaden;2003;340;16;47;21;10;4;2;0;50;43;23;5;62;30;52;73;;
6;Overdekte zwembaden;2006;340;18;40;24;11;5;2;0;55;47;24;4;66;34;54;78;;
7;Overdekte zwembaden;2009;340;18;44;23;8;5;2;0;50;46;22;5;57;39;49;78;34.0;7.0
8;Openluchtbaden;2000;265;4;14;24;16;24;14;5;0;1;2;0;2;0;33;97;;
9;Openluchtbaden;2003;250;4;14;24;20;22;13;4;0;3;2;0;2;0;33;99;;
10;Openluchtbaden;2006;225;4;15;24;20;21;13;3;0;1;2;0;1;1;33;99;;
11;Openluchtbaden;2009;225;3;16;25;17;23;12;3;1;2;2;0;0;1;39;99;52.0;33.0
12;Combibaden;2000;155;0;7;12;19;18;29;14;64;56;45;13;67;34;78;99;;
13;Combibaden;2003;150;0;6;12;18;20;28;16;67;55;47;13;70;33;76;97;;
14;Combibaden;2006;130;0;8;7;14;24;32;15;71;53;50;18;72;40;75;96;;
15;Combibaden;2009;125;0;7;6;12;24;34;17;68;53;47;14;68;39;76;95;55.0;30.0
