ID;ArbeidsmarktpositieSchoolverlaters;InkomstenSchoolverlaters;Onderwijssoorten;Leeftijd;RegioS;Perioden;SchoolverlatersOnderzoekspopulatie_1;VoortijdigSchoolverlaters_2;SchoolverlatersMetStartkwalificatie_3;PercentageVoortijdigSchoolverlaters_4
0;Totaal schoolverlaters;Totaal schoolverlaters;Totaal populatie;Totaal leeftijd;Nederland;2005, vrijdag 30 september;146300.0;76150.0;70150.0;52.0
1;Totaal schoolverlaters;Totaal schoolverlaters;Totaal populatie;Totaal leeftijd;Nederland;2006, vrijdag 29 september;159210.0;74510.0;84700.0;46.8
2;Totaal schoolverlaters;Totaal schoolverlaters;Totaal populatie;Totaal leeftijd;Nederland;2007, vrijdag 28 september;163030.0;72610.0;90430.0;44.5
3;Totaal schoolverlaters;Totaal schoolverlaters;Totaal populatie;Totaal leeftijd;Nederland;2008, vrijdag 26 september;172800.0;71480.0;101320.0;41.4
4;Totaal schoolverlaters;Totaal schoolverlaters;Totaal populatie;Totaal leeftijd;Vier grote gemeenten (G4);2005, vrijdag 30 september;19020.0;12260.0;6760.0;64.5
5;Totaal schoolverlaters;Totaal schoolverlaters;Totaal populatie;Totaal leeftijd;Vier grote gemeenten (G4);2006, vrijdag 29 september;21660.0;12530.0;9130.0;57.8
6;Totaal schoolverlaters;Totaal schoolverlaters;Totaal populatie;Totaal leeftijd;Vier grote gemeenten (G4);2007, vrijdag 28 september;22470.0;12570.0;9910.0;55.9
7;Totaal schoolverlaters;Totaal schoolverlaters;Totaal populatie;Totaal leeftijd;Vier grote gemeenten (G4);2008, vrijdag 26 september;23710.0;12250.0;11460.0;51.7
8;Totaal schoolverlaters;Totaal schoolverlaters;Totaal populatie;Totaal leeftijd;Gemeenten >= 100 000 inwoners (excl. G4);2005, vrijdag 30 september;27680.0;15390.0;12290.0;55.6
9;Totaal schoolverlaters;Totaal schoolverlaters;Totaal populatie;Totaal leeftijd;Gemeenten >= 100 000 inwoners (excl. G4);2006, vrijdag 29 september;30370.0;15260.0;15110.0;50.3
