ID;LeeftijdReferentiepersoon;BurgerlijkeStaatReferentiepersoon;Perioden;Huishoudens_1;Eenpersoonshuishoudens_2;Paren_3;Eenouders_4;OverigeHuishoudens_5
0;Totaal over alle leeftijden;Referentiepersonen;2009;7302480;2607426;4171137;473626;50291
1;Totaal over alle leeftijden;Referentiepersonen;2010;7354717;2639631;4183981;480793;50312
2;Totaal over alle leeftijden;Referentiepersonen;2011;7406569;2673525;4195544;486959;50541
3;Totaal over alle leeftijden;Referentiepersonen;2012;7459596;2709668;4206598;492408;50922
4;Totaal over alle leeftijden;Referentiepersonen;2013;7513500;2747495;4217411;497220;51374
5;Totaal over alle leeftijden;Referentiepersonen;2014;7566818;2784943;4228168;501903;51804
6;Totaal over alle leeftijden;Referentiepersonen;2015;7618871;2822316;4238465;505859;52231
7;Totaal over alle leeftijden;Referentiepersonen;2016;7669564;2859706;4248176;509051;52631
8;Totaal over alle leeftijden;Referentiepersonen;2017;7719153;2896958;4257278;511866;53051
9;Totaal over alle leeftijden;Referentiepersonen;2018;7767375;2934322;4265556;514013;53484
10;Totaal over alle leeftijden;Referentiepersonen;2019;7814461;2971802;4273041;515684;53934
11;Totaal over alle leeftijden;Referentiepersonen;2020;7860148;3009204;4279708;516863;54373
12;Totaal over alle leeftijden;Referentiepersonen;2021;7904303;3046285;4285562;517658;54798
13;Totaal over alle leeftijden;Referentiepersonen;2022;7946801;3082718;4290567;518300;55216
14;Totaal over alle leeftijden;Referentiepersonen;2023;7987157;3118534;4294519;518509;55595
15;Totaal over alle leeftijden;Referentiepersonen;2024;8025176;3153269;4297275;518715;55917
16;Totaal over alle leeftijden;Referentiepersonen;2025;8060527;3187236;4298620;518455;56216
17;Totaal over alle leeftijden;Referentiepersonen;2026;8093116;3220102;4298389;518170;56455
18;Totaal over alle leeftijden;Referentiepersonen;2027;8123180;3252134;4296531;517825;56690
19;Totaal over alle leeftijden;Referentiepersonen;2028;8150417;3283034;4292932;517531;56920
20;Totaal over alle leeftijden;Referentiepersonen;2029;8174584;3312431;4287646;517371;57136
21;Totaal over alle leeftijden;Referentiepersonen;2030;8195690;3340254;4280708;517395;57333
22;Totaal over alle leeftijden;Referentiepersonen;2031;8213740;3366674;4272213;517305;57548
23;Totaal over alle leeftijden;Referentiepersonen;2032;8229047;3391339;4262324;517638;57746
24;Totaal over alle leeftijden;Referentiepersonen;2033;8241634;3414686;4251126;517853;57969
25;Totaal over alle leeftijden;Referentiepersonen;2034;8251755;3436505;4238868;518202;58180
26;Totaal over alle leeftijden;Referentiepersonen;2035;8259580;3456765;4225734;518658;58423
27;Totaal over alle leeftijden;Referentiepersonen;2036;8265351;3475512;4211914;519263;58662
28;Totaal over alle leeftijden;Referentiepersonen;2037;8269215;3492699;4197626;519996;58894
29;Totaal over alle leeftijden;Referentiepersonen;2038;8271498;3508488;4183083;520782;59145
30;Totaal over alle leeftijden;Referentiepersonen;2039;8272337;3522924;4168428;521590;59395
31;Totaal over alle leeftijden;Referentiepersonen;2040;8271999;3536076;4153848;522422;59653
32;Totaal over alle leeftijden;Referentiepersonen;2041;8270649;3548058;4139461;523213;59917
33;Totaal over alle leeftijden;Referentiepersonen;2042;8268415;3558909;4125414;523939;60153
