ID;RegioS;Perioden;AUAlleEconomischeActiviteiten_1;ALandbouwBosbouwEnVisserij_2;BENijverheidGeenBouwEnEnergie_3;BDelfstoffenwinning_4;CIndustrie_5;DEnergievoorziening_6;EWaterbedrijvenEnAfvalbeheer_7;FBouwnijverheid_8;GIHandelVervoerEnHoreca_9;JInformatieEnCommunicatie_10;KFinancieleDienstverlening_11;LVerhuurEnHandelVanOnroerendGoed_12;MNZakelijkeDienstverlening_13;OQOverheidEnZorg_14;RUCultuurRecreatieOverigeDiensten_15
0;Nederland;2008;124191;4519;15324;2074;9447;1827.0;1976.0;2465;15658;3944;5815;41230;10412;23340;1484
1;Nederland;2009;111123;4168;14433;1976;8551;1934.0;1972.0;2027;12689;3361;4934;36299;7291;24633;1288
2;Nederland;2010;104492;4667;14031;2016;7298;2575.0;2142.0;1718;12787;3350;4005;31037;7352;24233;1312
3;Nederland;2011;109531;5084;16622;4073;8117;2313.0;2119.0;2030;14086;3323;5754;29799;8530;22988;1315
4;Noord-Nederland (LD);2008;10934;557;1798;81;1025;202.0;489.0;198;1061;176;707;3659;437;2222;119
5;Noord-Nederland (LD);2009;9762;524;1604;130;851;429.0;194.0;163;849;408;532;2998;332;2244;108
6;Noord-Nederland (LD);2010;8372;568;1714;448;669;230.0;366.0;111;756;267;273;2291;309;1974;108
7;Noord-Nederland (LD);2011;7919;607;1649;577;754;185.0;132.0;137;700;118;277;2255;305;1771;100
8;Oost-Nederland (LD);2008;23515;1233;2782;29;1937;560.0;255.0;439;2271;359;952;8878;1618;4700;283
9;Oost-Nederland (LD);2009;22133;1215;2676;14;1649;388.0;625.0;425;1928;282;1395;7791;1580;4605;237
10;Oost-Nederland (LD);2010;21309;1270;2797;11;1374;960.0;451.0;312;1751;420;840;6599;2293;4782;248
11;Oost-Nederland (LD);2011;23073;1460;2805;17;1580;703.0;505.0;380;2494;555;1233;6818;2506;4581;242
12;West-Nederland (LD);2008;62364;1522;4860;25;3438;644.0;753.0;1295;9579;2861;3249;19663;6634;11913;788
13;West-Nederland (LD);2009;56220;1186;5879;1054;3433;815.0;577.0;1026;7761;2355;2376;17583;4342;13021;691
14;West-Nederland (LD);2010;53573;1235;5532;712;2795;1182.0;844.0;1035;8416;2277;2186;15465;3907;12816;703
15;West-Nederland (LD);2011;54273;1319;5835;896;3119;789.0;1030.0;1154;8633;2278;3352;14453;4164;12377;709
16;Zuid-Nederland (LD);2008;25423;1208;3968;21;3047;421.0;478.0;533;2747;547;907;9030;1723;4467;294
17;Zuid-Nederland (LD);2009;22202;1243;3507;11;2618;301.0;576.0;413;2151;316;631;7927;1038;4724;252
18;Zuid-Nederland (LD);2010;20374;1594;3157;14;2460;203.0;481.0;259;1864;386;706;6683;843;4628;253
19;Zuid-Nederland (LD);2011;21665;1698;3765;15;2664;635.0;451.0;360;2258;373;892;6273;1555;4227;265
20;Extra-Regio (LD);2008;1955;0;1917;1917;0;0.0;0.0;0;0;0;0;0;0;38;0
21;Extra-Regio (LD);2009;806;0;767;767;0;0.0;0.0;0;0;0;0;0;0;39;0
22;Extra-Regio (LD);2010;864;0;831;831;0;0.0;0.0;0;0;0;0;0;0;33;0
23;Extra-Regio (LD);2011;2600;0;2568;2568;0;0.0;0.0;0;0;0;0;0;0;32;0
24;Groningen (PV);2008;4018;132;964;17;409;111.0;427.0;67;422;72;183;1237;130;778;34
25;Groningen (PV);2009;3647;131;736;32;408;242.0;54.0;50;361;348;87;1013;97;792;31
26;Groningen (PV);2010;3095;143;772;99;272;87.0;314.0;40;307;192;72;775;67;696;31
27;Groningen (PV);2011;2644;164;492;115;265;66.0;46.0;37;235;70;71;798;87;660;30
28;Friesland (PV);2008;3975;265;329;1;257;33.0;38.0;89;397;81;400;1455;124;785;50
29;Friesland (PV);2009;3656;244;450;7;254;83.0;106.0;66;272;42;365;1178;136;854;50
30;Friesland (PV);2010;3105;268;506;212;223;44.0;26.0;42;279;52;143;885;117;766;48
