ID;Vakantiekenmerken;Perioden;TotaalAantalLangeVakantiesNederland_1;AutoKampeerauto_2;Trein_3;OverigeVervoermiddelen_4
0;Totaal;2002;9200.0;8158.0;391.0;650.0
1;Totaal;2003;9029.0;8190.0;365.0;474.0
2;Totaal;2004;9069.0;8239.0;353.0;477.0
3;Totaal;2005;8451.0;7758.0;307.0;385.0
4;Totaal;2006;8843.0;8052.0;367.0;423.0
5;Totaal;2007;8458.0;7703.0;323.0;432.0
6;Totaal;2008;8532.0;7727.0;365.0;441.0
7;Totaal;2009;8695.0;7988.0;332.0;375.0
8;Totaal;2010;8476.0;7759.0;277.0;440.0
9;Totaal;2011;8263.0;7635.0;272.0;356.0
10;Totaal;2012;8036.0;7482.0;224.0;330.0
11;Totaal;2013;8310.0;7658.0;317.0;335.0
12;Totaal;2014;7694.0;7065.0;278.0;352.0
13;Totaal;2015;7877.0;7333.0;210.0;334.0
14;Totaal;2016;8065.0;7404.0;249.0;412.0
15;Waddeneilanden (TR);2002;624.0;483.0;56.0;86.0
16;Waddeneilanden (TR);2003;660.0;552.0;51.0;58.0
17;Waddeneilanden (TR);2004;620.0;510.0;29.0;81.0
18;Waddeneilanden (TR);2005;623.0;525.0;59.0;40.0
19;Waddeneilanden (TR);2006;604.0;518.0;59.0;28.0
20;Waddeneilanden (TR);2007;648.0;536.0;53.0;58.0
21;Waddeneilanden (TR);2008;602.0;513.0;53.0;37.0
22;Waddeneilanden (TR);2009;609.0;522.0;44.0;43.0
23;Waddeneilanden (TR);2010;634.0;500.0;52.0;81.0
24;Waddeneilanden (TR);2011;575.0;487.0;38.0;50.0
25;Waddeneilanden (TR);2012;569.0;480.0;28.0;61.0
26;Waddeneilanden (TR);2013;603.0;473.0;66.0;65.0
27;Waddeneilanden (TR);2014;554.0;441.0;45.0;68.0
28;Waddeneilanden (TR);2015;538.0;449.0;35.0;54.0
29;Waddeneilanden (TR);2016;616.0;515.0;45.0;56.0
30;Noordzeebadplaatsen (TR);2002;1180.0;1082.0;34.0;63.0
31;Noordzeebadplaatsen (TR);2003;1269.0;1177.0;42.0;51.0
32;Noordzeebadplaatsen (TR);2004;1169.0;1091.0;25.0;53.0
33;Noordzeebadplaatsen (TR);2005;1106.0;1051.0;18.0;38.0
34;Noordzeebadplaatsen (TR);2006;1179.0;1136.0;18.0;25.0
35;Noordzeebadplaatsen (TR);2007;1068.0;1003.0;31.0;35.0
36;Noordzeebadplaatsen (TR);2008;972.0;892.0;54.0;26.0
37;Noordzeebadplaatsen (TR);2009;1080.0;993.0;62.0;24.0
38;Noordzeebadplaatsen (TR);2010;1061.0;987.0;17.0;57.0
39;Noordzeebadplaatsen (TR);2011;1069.0;1007.0;28.0;35.0
40;Noordzeebadplaatsen (TR);2012;1008.0;941.0;23.0;44.0
41;Noordzeebadplaatsen (TR);2013;1121.0;1059.0;47.0;15.0
42;Noordzeebadplaatsen (TR);2014;1000.0;931.0;43.0;25.0
43;Noordzeebadplaatsen (TR);2015;1064.0;1004.0;41.0;19.0
44;Noordzeebadplaatsen (TR);2016;1006.0;950.0;38.0;18.0
45;IJsselmeerkust (TR);2002;290.0;215.0;10.0;64.0
46;IJsselmeerkust (TR);2003;367.0;324.0;9.0;34.0
47;IJsselmeerkust (TR);2004;331.0;293.0;10.0;29.0
48;IJsselmeerkust (TR);2005;282.0;249.0;15.0;18.0
49;IJsselmeerkust (TR);2006;330.0;306.0;11.0;13.0
50;IJsselmeerkust (TR);2007;333.0;278.0;7.0;48.0
51;IJsselmeerkust (TR);2008;375.0;307.0;17.0;51.0
52;IJsselmeerkust (TR);2009;441.0;392.0;10.0;39.0
53;IJsselmeerkust (TR);2010;369.0;316.0;22.0;32.0
54;IJsselmeerkust (TR);2011;393.0;350.0;6.0;38.0
55;IJsselmeerkust (TR);2012;347.0;310.0;6.0;31.0
56;IJsselmeerkust (TR);2013;443.0;399.0;12.0;32.0
57;IJsselmeerkust (TR);2014;424.0;372.0;19.0;33.0
58;IJsselmeerkust (TR);2015;424.0;391.0;7.0;26.0
59;IJsselmeerkust (TR);2016;481.0;439.0;9.0;34.0
60;Deltagebied (TR);2002;466.0;443.0;7.0;17.0
61;Deltagebied (TR);2003;541.0;500.0;13.0;28.0
62;Deltagebied (TR);2004;488.0;474.0;0.0;14.0
63;Deltagebied (TR);2005;346.0;331.0;0.0;15.0
64;Deltagebied (TR);2006;363.0;321.0;25.0;17.0
65;Deltagebied (TR);2007;376.0;324.0;25.0;27.0
66;Deltagebied (TR);2008;359.0;336.0;12.0;11.0
67;Deltagebied (TR);2009;423.0;402.0;6.0;15.0
68;Deltagebied (TR);2010;376.0;349.0;12.0;16.0
69;Deltagebied (TR);2011;307.0;266.0;19.0;22.0
70;Deltagebied (TR);2012;305.0;289.0;3.0;13.0
71;Deltagebied (TR);2013;267.0;246.0;;21.0
72;Deltagebied (TR);2014;249.0;234.0;9.0;6.0
73;Deltagebied (TR);2015;261.0;237.0;3.0;21.0
74;Deltagebied (TR);2016;278.0;253.0;2.0;23.0
75;Meren in Gron., Friesl., N.W.-Overijssel;2002;278.0;223.0;21.0;34.0
76;Meren in Gron., Friesl., N.W.-Overijssel;2003;243.0;225.0;6.0;12.0
77;Meren in Gron., Friesl., N.W.-Overijssel;2004;215.0;190.0;3.0;22.0
78;Meren in Gron., Friesl., N.W.-Overijssel;2005;281.0;241.0;9.0;31.0
79;Meren in Gron., Friesl., N.W.-Overijssel;2006;350.0;294.0;12.0;44.0
80;Meren in Gron., Friesl., N.W.-Overijssel;2007;300.0;245.0;15.0;39.0
81;Meren in Gron., Friesl., N.W.-Overijssel;2008;278.0;224.0;5.0;49.0
82;Meren in Gron., Friesl., N.W.-Overijssel;2009;264.0;222.0;11.0;31.0
83;Meren in Gron., Friesl., N.W.-Overijssel;2010;245.0;233.0;2.0;10.0
84;Meren in Gron., Friesl., N.W.-Overijssel;2011;209.0;176.0;2.0;31.0
85;Meren in Gron., Friesl., N.W.-Overijssel;2012;196.0;;;
86;Meren in Gron., Friesl., N.W.-Overijssel;2013;;;;
87;Meren in Gron., Friesl., N.W.-Overijssel;2014;277.0;236.0;4.0;36.0
88;Meren in Gron., Friesl., N.W.-Overijssel;2015;;;;
89;Meren in Gron., Friesl., N.W.-Overijssel;2016;;;;
90;Hollands-Utrechtse meren (TR);2002;92.0;81.0;0.0;11.0
91;Hollands-Utrechtse meren (TR);2003;84.0;74.0;5.0;6.0
92;Hollands-Utrechtse meren (TR);2004;74.0;47.0;13.0;14.0
93;Hollands-Utrechtse meren (TR);2005;65.0;58.0;0.0;7.0
94;Hollands-Utrechtse meren (TR);2006;76.0;69.0;0.0;7.0
95;Hollands-Utrechtse meren (TR);2007;31.0;31.0;0.0;0.0
96;Hollands-Utrechtse meren (TR);2008;26.0;26.0;0.0;0.0
