ID;Tenaamstelling;Brandstofsoort;GewichtsklasseLeeggewichtVoertuig;LeeftijdVoertuig;Perioden;GemiddeldeJaarkilometrage_1
0;Totaal;Alle brandstofsoorten;Totaal;Totaal;2018;13198.0
1;Totaal;Alle brandstofsoorten;Totaal;Totaal;2019;13060.0
2;Totaal;Alle brandstofsoorten;Totaal;Totaal;2020;10660.0
3;Totaal;Alle brandstofsoorten;Totaal;Totaal;2021;11115.0
4;Totaal;Alle brandstofsoorten;Totaal;Totaal;2022;12024.0
5;Totaal;Alle brandstofsoorten;Totaal;Totaal;2023;12353.0
6;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2018;12296.0
7;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2019;11884.0
8;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2020;8013.0
9;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2021;9548.0
10;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2022;10099.0
11;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2023;11664.0
12;Totaal;Alle brandstofsoorten;Totaal;1 of 2 jaar;2018;19352.0
13;Totaal;Alle brandstofsoorten;Totaal;1 of 2 jaar;2019;19565.0
14;Totaal;Alle brandstofsoorten;Totaal;1 of 2 jaar;2020;15409.0
15;Totaal;Alle brandstofsoorten;Totaal;1 of 2 jaar;2021;16343.0
16;Totaal;Alle brandstofsoorten;Totaal;1 of 2 jaar;2022;18159.0
17;Totaal;Alle brandstofsoorten;Totaal;1 of 2 jaar;2023;18712.0
18;Totaal;Alle brandstofsoorten;Totaal;3 of 4 jaar;2018;18511.0
19;Totaal;Alle brandstofsoorten;Totaal;3 of 4 jaar;2019;17707.0
20;Totaal;Alle brandstofsoorten;Totaal;3 of 4 jaar;2020;13316.0
21;Totaal;Alle brandstofsoorten;Totaal;3 of 4 jaar;2021;14014.0
22;Totaal;Alle brandstofsoorten;Totaal;3 of 4 jaar;2022;16040.0
23;Totaal;Alle brandstofsoorten;Totaal;3 of 4 jaar;2023;16702.0
24;Totaal;Alle brandstofsoorten;Totaal;5 of 6 jaar;2018;14969.0
25;Totaal;Alle brandstofsoorten;Totaal;5 of 6 jaar;2019;14866.0
26;Totaal;Alle brandstofsoorten;Totaal;5 of 6 jaar;2020;12399.0
27;Totaal;Alle brandstofsoorten;Totaal;5 of 6 jaar;2021;12520.0
28;Totaal;Alle brandstofsoorten;Totaal;5 of 6 jaar;2022;13461.0
29;Totaal;Alle brandstofsoorten;Totaal;5 of 6 jaar;2023;13730.0
30;Totaal;Alle brandstofsoorten;Totaal;7 of 8 jaar;2018;13558.0
31;Totaal;Alle brandstofsoorten;Totaal;7 of 8 jaar;2019;13879.0
32;Totaal;Alle brandstofsoorten;Totaal;7 of 8 jaar;2020;11525.0
33;Totaal;Alle brandstofsoorten;Totaal;7 of 8 jaar;2021;12053.0
34;Totaal;Alle brandstofsoorten;Totaal;7 of 8 jaar;2022;13256.0
35;Totaal;Alle brandstofsoorten;Totaal;7 of 8 jaar;2023;13458.0
36;Totaal;Alle brandstofsoorten;Totaal;9 of 10 jaar;2018;12447.0
37;Totaal;Alle brandstofsoorten;Totaal;9 of 10 jaar;2019;12393.0
38;Totaal;Alle brandstofsoorten;Totaal;9 of 10 jaar;2020;10536.0
39;Totaal;Alle brandstofsoorten;Totaal;9 of 10 jaar;2021;11163.0
40;Totaal;Alle brandstofsoorten;Totaal;9 of 10 jaar;2022;12240.0
41;Totaal;Alle brandstofsoorten;Totaal;9 of 10 jaar;2023;12711.0
42;Totaal;Alle brandstofsoorten;Totaal;11 jaar of ouder;2018;10238.0
43;Totaal;Alle brandstofsoorten;Totaal;11 jaar of ouder;2019;10041.0
44;Totaal;Alle brandstofsoorten;Totaal;11 jaar of ouder;2020;8514.0
45;Totaal;Alle brandstofsoorten;Totaal;11 jaar of ouder;2021;8845.0
46;Totaal;Alle brandstofsoorten;Totaal;11 jaar of ouder;2022;9432.0
47;Totaal;Alle brandstofsoorten;Totaal;11 jaar of ouder;2023;9773.0
48;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;Totaal;2018;9366.0
49;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;Totaal;2019;9326.0
50;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;Totaal;2020;8029.0
51;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;Totaal;2021;8379.0
52;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;Totaal;2022;8795.0
53;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;Totaal;2023;8873.0
54;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;0 jaar;2018;8160.0
55;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;0 jaar;2019;8889.0
56;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;0 jaar;2020;6636.0
57;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;0 jaar;2021;7252.0
58;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;0 jaar;2022;10608.0
59;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;0 jaar;2023;7985.0
60;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;1 of 2 jaar;2018;13225.0
61;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;1 of 2 jaar;2019;13180.0
62;Totaal;Alle brandstofsoorten;1 tot en met 850 kg;1 of 2 jaar;2020;10801.0
