ID;Leeftijd;Kenmerken;Perioden;PersonenMetStartkwalificatieAantal_1;PersonenMetStartkwalificatie_2
0;1;10;2001;6665.0;62.0
1;1;10;2002;6802.0;63.0
2;1;10;2003;6967.0;64.0
3;1;10;2004;7130.0;65.0
4;1;10;2005;7229.0;66.0
5;1;10;2006;7270.0;66.0
6;1;11;2001;3504.0;64.0
7;1;11;2002;3577.0;65.0
8;1;11;2003;3649.0;66.0
9;1;11;2004;3707.0;67.0
10;1;11;2005;3750.0;68.0
11;1;11;2006;3729.0;68.0
12;1;12;2001;3161.0;59.0
13;1;12;2002;3225.0;60.0
14;1;12;2003;3318.0;62.0
15;1;12;2004;3423.0;63.0
16;1;12;2005;3479.0;64.0
17;1;12;2006;3541.0;65.0
18;1;13;2001;5629.0;64.0
19;1;13;2002;5717.0;65.0
20;1;13;2003;5819.0;66.0
21;1;13;2004;5817.0;66.0
22;1;13;2005;5868.0;67.0
23;1;13;2006;5924.0;67.0
24;1;14;2001;648.0;64.0
25;1;14;2002;659.0;65.0
26;1;14;2003;681.0;67.0
27;1;14;2004;728.0;71.0
28;1;14;2005;748.0;73.0
29;1;14;2006;748.0;73.0
30;1;15;2001;387.0;39.0
31;1;15;2002;425.0;41.0
32;1;15;2003;467.0;43.0
33;1;15;2004;584.0;52.0
34;1;15;2005;611.0;53.0
35;1;15;2006;597.0;52.0
36;1;16;2001;;
37;1;16;2002;;
38;1;16;2003;;
39;1;16;2004;;
40;1;16;2005;;
41;1;16;2006;;
42;1;17;2001;868.0;61.0
43;1;17;2002;910.0;63.0
44;1;17;2003;942.0;65.0
45;1;17;2004;986.0;67.0
46;1;17;2005;1015.0;69.0
47;1;17;2006;1009.0;68.0
48;1;18;2001;1241.0;64.0
49;1;18;2002;1271.0;65.0
50;1;18;2003;1295.0;66.0
51;1;18;2004;1369.0;69.0
52;1;18;2005;1360.0;68.0
53;1;18;2006;1391.0;70.0
54;1;19;2001;4556.0;61.0
55;1;19;2002;4622.0;62.0
56;1;19;2003;4730.0;63.0
57;1;19;2004;4776.0;64.0
58;1;19;2005;4853.0;65.0
59;1;19;2006;4870.0;65.0
60;2;10;2001;871.0;46.0
61;2;10;2002;880.0;46.0
62;2;10;2003;889.0;46.0
63;2;10;2004;904.0;47.0
64;2;10;2005;904.0;47.0
65;2;10;2006;901.0;46.0
66;2;11;2001;408.0;43.0
67;2;11;2002;425.0;44.0
68;2;11;2003;431.0;44.0
69;2;11;2004;422.0;43.0
70;2;11;2005;424.0;43.0
71;2;11;2006;425.0;43.0
72;2;12;2001;463.0;50.0
73;2;12;2002;454.0;48.0
74;2;12;2003;458.0;48.0
75;2;12;2004;481.0;51.0
76;2;12;2005;480.0;50.0
77;2;12;2006;476.0;50.0
78;2;13;2001;733.0;49.0
79;2;13;2002;729.0;49.0
80;2;13;2003;739.0;49.0
81;2;13;2004;723.0;48.0
82;2;13;2005;730.0;49.0
83;2;13;2006;744.0;49.0
84;2;14;2001;64.0;45.0
85;2;14;2002;72.0;46.0
86;2;14;2003;70.0;47.0
87;2;14;2004;76.0;51.0
88;2;14;2005;73.0;49.0
89;2;14;2006;67.0;49.0
90;2;15;2001;74.0;30.0
91;2;15;2002;79.0;30.0
92;2;15;2003;81.0;31.0
93;2;15;2004;106.0;37.0
94;2;15;2005;101.0;36.0
95;2;15;2006;89.0;32.0
96;2;16;2001;;
97;2;16;2002;;
98;2;16;2003;;
99;2;16;2004;;
100;2;16;2005;;
101;2;16;2006;;
102;2;17;2001;115.0;45.0
103;2;17;2002;129.0;50.0
104;2;17;2003;136.0;52.0
105;2;17;2004;132.0;50.0
106;2;17;2005;149.0;55.0
107;2;17;2006;140.0;51.0
108;2;18;2001;194.0;54.0
109;2;18;2002;194.0;52.0
110;2;18;2003;205.0;54.0
111;2;18;2004;205.0;55.0
112;2;18;2005;200.0;52.0
113;2;18;2006;208.0;54.0
114;2;19;2001;563.0;44.0
115;2;19;2002;557.0;43.0
116;2;19;2003;548.0;43.0
117;2;19;2004;567.0;44.0
118;2;19;2005;555.0;43.0
119;2;19;2006;553.0;43.0
120;3;10;2001;5794.0;65.0
121;3;10;2002;5922.0;66.0
122;3;10;2003;6078.0;68.0
123;3;10;2004;6227.0;69.0
124;3;10;2005;6324.0;70.0
125;3;10;2006;6369.0;71.0
126;3;11;2001;3096.0;69.0
127;3;11;2002;3151.0;70.0
128;3;11;2003;3218.0;71.0
129;3;11;2004;3285.0;72.0
130;3;11;2005;3326.0;73.0
131;3;11;2006;3304.0;73.0
132;3;12;2001;2698.0;61.0
133;3;12;2002;2771.0;63.0
134;3;12;2003;2860.0;64.0
135;3;12;2004;2942.0;66.0
136;3;12;2005;2999.0;67.0
137;3;12;2006;3065.0;68.0
138;3;13;2001;4895.0;67.0
139;3;13;2002;4988.0;68.0
140;3;13;2003;5080.0;70.0
141;3;13;2004;5095.0;70.0
142;3;13;2005;5139.0;71.0
143;3;13;2006;5180.0;71.0
144;3;14;2001;584.0;67.0
145;3;14;2002;587.0;68.0
146;3;14;2003;611.0;70.0
147;3;14;2004;653.0;75.0
148;3;14;2005;675.0;78.0
149;3;14;2006;681.0;77.0
150;3;15;2001;313.0;42.0
151;3;15;2002;347.0;44.0
152;3;15;2003;386.0;46.0
153;3;15;2004;478.0;56.0
154;3;15;2005;510.0;58.0
155;3;15;2006;508.0;58.0
156;3;16;2001;;
157;3;16;2002;;
158;3;16;2003;;
159;3;16;2004;;
160;3;16;2005;;
161;3;16;2006;;
162;3;17;2001;753.0;65.0
163;3;17;2002;781.0;66.0
164;3;17;2003;806.0;68.0
165;3;17;2004;853.0;71.0
166;3;17;2005;866.0;72.0
167;3;17;2006;870.0;72.0
168;3;18;2001;1048.0;67.0
169;3;18;2002;1077.0;68.0
170;3;18;2003;1090.0;69.0
171;3;18;2004;1165.0;72.0
172;3;18;2005;1160.0;72.0
173;3;18;2006;1183.0;73.0
174;3;19;2001;3993.0;65.0
175;3;19;2002;4065.0;66.0
176;3;19;2003;4182.0;67.0
177;3;19;2004;4209.0;68.0
178;3;19;2005;4298.0;69.0
179;3;19;2006;4316.0;70.0
