ID;RegioS;Perioden;AantalNieuweWoninghypotheken_1;BedragNieuweWoninghypotheken_2
0;Nederland;1993 januari;12302;834
1;Nederland;1993 februari;16779;1128
2;Nederland;1993 maart;20746;1390
3;Nederland;1993 1e kwartaal;49827;3352
4;Nederland;1993 april;22838;1540
5;Nederland;1993 mei;21172;1434
6;Nederland;1993 juni;26363;1812
7;Nederland;1993 2e kwartaal;70373;4786
8;Nederland;1993 juli;29263;2103
9;Nederland;1993 augustus;25733;1804
10;Nederland;1993 september;25546;1787
11;Nederland;1993 3e kwartaal;80542;5694
12;Nederland;1993 oktober;26987;1912
13;Nederland;1993 november;29878;2117
14;Nederland;1993 december;43725;3117
15;Nederland;1993 4e kwartaal;100590;7146
16;Nederland;1993;301332;20978
17;Nederland;1994 januari;20838;1438
18;Nederland;1994 februari;27081;1909
19;Nederland;1994 maart;40050;2719
20;Nederland;1994 1e kwartaal;87969;6066
21;Nederland;1994 april;35934;2418
22;Nederland;1994 mei;40004;2774
23;Nederland;1994 juni;37987;2628
24;Nederland;1994 2e kwartaal;113925;7820
25;Nederland;1994 juli;35490;2612
26;Nederland;1994 augustus;29559;2172
27;Nederland;1994 september;27457;2045
28;Nederland;1994 3e kwartaal;92506;6829
29;Nederland;1994 oktober;26337;1893
30;Nederland;1994 november;27633;1994
31;Nederland;1994 december;35863;2640
32;Nederland;1994 4e kwartaal;89833;6527
33;Nederland;1994;384233;27242
34;Nederland;1995 januari;19859;1454
35;Nederland;1995 februari;21216;1498
36;Nederland;1995 maart;27171;1928
37;Nederland;1995 1e kwartaal;68246;4880
38;Nederland;1995 april;23234;1609
39;Nederland;1995 mei;28694;2010
40;Nederland;1995 juni;29837;2192
41;Nederland;1995 2e kwartaal;81765;5811
42;Nederland;1995 juli;29882;2288
43;Nederland;1995 augustus;28554;2184
44;Nederland;1995 september;27618;2114
45;Nederland;1995 3e kwartaal;86054;6586
46;Nederland;1995 oktober;31951;2381
47;Nederland;1995 november;34456;2541
48;Nederland;1995 december;47522;3686
49;Nederland;1995 4e kwartaal;113929;8608
50;Nederland;1995;349994;25885
51;Nederland;1996 januari;26428;2024
52;Nederland;1996 februari;33373;2466
53;Nederland;1996 maart;41401;3012
54;Nederland;1996 1e kwartaal;101202;7502
55;Nederland;1996 april;42949;3224
56;Nederland;1996 mei;42875;3289
57;Nederland;1996 juni;35977;2826
58;Nederland;1996 2e kwartaal;121801;9339
59;Nederland;1996 juli;41500;3430
60;Nederland;1996 augustus;34813;2920
61;Nederland;1996 september;34126;2823
62;Nederland;1996 3e kwartaal;110439;9173
63;Nederland;1996 oktober;38587;3149
64;Nederland;1996 november;39461;3281
65;Nederland;1996 december;58688;5161
66;Nederland;1996 4e kwartaal;136736;11591
67;Nederland;1996;470178;37605
68;Nederland;1997 januari;30719;2615
69;Nederland;1997 februari;35253;2977
70;Nederland;1997 maart;40425;3431
71;Nederland;1997 1e kwartaal;106397;9023
72;Nederland;1997 april;50884;4233
73;Nederland;1997 mei;51356;4377
74;Nederland;1997 juni;49627;4362
75;Nederland;1997 2e kwartaal;151867;12972
76;Nederland;1997 juli;48651;4492
77;Nederland;1997 augustus;38762;3601
78;Nederland;1997 september;41748;3937
79;Nederland;1997 3e kwartaal;129161;12030
80;Nederland;1997 oktober;46106;4353
81;Nederland;1997 november;41410;3835
82;Nederland;1997 december;62124;6110
83;Nederland;1997 4e kwartaal;149640;14298
84;Nederland;1997;537065;48323
