ID;Geslacht;Leeftijd;BurgerlijkeStaat;Perioden;OverledenenLeeftijdBijOverlijden_1;OverledenenLeeftijdOp31December_2
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1950;75929.0;75929.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1951;77560.0;77560.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1952;76346.0;76346.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1953;80901.0;80901.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1954;79623.0;79623.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1955;81708.0;81708.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1956;84809.0;84809.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1957;82961.0;82961.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1958;84491.0;84491.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1959;86072.0;86072.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1960;87825.0;87825.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1961;88321.0;88321.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1962;93969.0;93969.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1963;95734.0;95734.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1964;93437.0;93437.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1965;98026.0;98026.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1966;100516.0;100516.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1967;99792.0;99792.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1968;104989.0;104989.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1969;107615.0;107615.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1970;109619.0;109619.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1971;110243.0;110243.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1972;113576.0;113576.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1973;110682.0;110682.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1974;109250.0;109250.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1975;113737.0;113737.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1976;114454.0;114454.0
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1977;110093.0;110093.0
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1978;114415.0;114415.0
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1979;112565.0;112565.0
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1980;114279.0;114279.0
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1981;115515.0;115515.0
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1982;117264.0;117264.0
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1983;117761.0;117761.0
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1984;119812.0;119812.0
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1985;122704.0;122704.0
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1986;125307.0;125307.0
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1987;122199.0;122199.0
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1988;124163.0;124163.0
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1989;128905.0;128905.0
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1990;128824.0;128824.0
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1991;129958.0;129958.0
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1992;129887.0;129887.0
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1993;137795.0;137795.0
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1994;133471.0;133471.0
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1995;135675.0;135675.0
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1996;137561.0;137561.0
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1997;135783.0;135783.0
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1998;137482.0;137482.0
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1999;140487.0;140487.0
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2000;140527.0;140527.0
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2001;140377.0;140377.0
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2002;142355.0;142355.0
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2003;141936.0;141936.0
