ID;PrognoseInterval;Generatie;Perioden;Allochtonen_1;TotaalNietWesters_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;TotaalWesters_10;k_24EULanden_11;OverigEuropa_12;Indonesie_13;OverigBuitenEuropa_14
0;Prognose;Totaal 1e en 2e generatie;2005;3118004;1695575;194421;302469;67963;314283;129690;328448;358330;1422435;822270;135285;395401;69470
1;Prognose;Totaal 1e en 2e generatie;2006;3147886;1721685;193487;309992;70662;322227;129021;331454;364853;1426199;824488;139144;392325;70250
2;Prognose;Totaal 1e en 2e generatie;2007;3179879;1748196;192811;317544;73391;330013;128949;334283;371216;1431677;827760;143204;389283;71432
3;Prognose;Totaal 1e en 2e generatie;2008;3214698;1775185;192405;325184;76125;337590;129534;336969;377402;1439506;832565;147482;386298;73180
4;Prognose;Totaal 1e en 2e generatie;2009;3252685;1802720;192297;332951;78844;344931;130766;339516;383424;1449973;839080;152017;383358;75526
5;Prognose;Totaal 1e en 2e generatie;2010;3293761;1830620;192470;340871;81555;352027;132468;341955;389282;1463140;847332;156812;380475;78521
6;Prognose;Totaal 1e en 2e generatie;2011;3337329;1858548;192829;348978;84279;358838;134391;344278;394962;1478779;857164;161846;377630;82160
7;Prognose;Totaal 1e en 2e generatie;2012;3382766;1886298;193350;357279;86981;365348;136352;346531;400480;1496465;868253;167075;374830;86325
8;Prognose;Totaal 1e en 2e generatie;2013;3429407;1913936;194003;365795;89692;371551;138347;348694;405849;1515478;880072;172439;372078;90889
9;Prognose;Totaal 1e en 2e generatie;2014;3476380;1941433;194804;374508;92393;377469;140397;350795;411074;1534950;892003;177887;369367;95703
10;Prognose;Totaal 1e en 2e generatie;2015;3523024;1968803;195713;383406;95120;383056;142488;352858;416180;1554228;903690;183304;366690;100540
11;Prognose;Totaal 1e en 2e generatie;2016;3569123;1996044;196744;392502;97855;388325;144645;354834;421156;1573068;915240;188639;364030;105164
12;Prognose;Totaal 1e en 2e generatie;2017;3614621;2023170;197863;401758;100599;393294;146835;356771;426026;1591451;926726;193919;361402;109415
13;Prognose;Totaal 1e en 2e generatie;2018;3659563;2050128;199094;411144;103383;397975;149092;358651;430802;1609435;938224;199114;358785;113318
14;Prognose;Totaal 1e en 2e generatie;2019;3703972;2076892;200411;420611;106173;402347;151405;360454;435490;1627086;949793;204244;356164;116905
15;Prognose;Totaal 1e en 2e generatie;2020;3747861;2103407;201811;430136;108981;406447;153777;362197;440076;1644447;961479;209298;353518;120159
16;Prognose;Totaal 1e en 2e generatie;2021;3791230;2129648;203281;439648;111808;410297;156193;363830;444586;1661580;973345;214284;350826;123128
17;Prognose;Totaal 1e en 2e generatie;2022;3834070;2155557;204847;449138;114661;413903;158694;365368;448958;1678498;985408;219201;348081;125799
18;Prognose;Totaal 1e en 2e generatie;2023;3876437;2181154;206497;458620;117531;417280;161238;366793;453193;1695289;997763;224031;345296;128213
19;Prognose;Totaal 1e en 2e generatie;2024;3918473;2206501;208237;468098;120427;420447;163853;368118;457317;1711963;1010407;228768;342439;130360
20;Prognose;Totaal 1e en 2e generatie;2025;3960183;2231587;210068;477566;123337;423428;166533;369353;461318;1728595;1023400;233433;339498;132269
21;Prognose;Totaal 1e en 2e generatie;2026;4001674;2256481;211996;487036;126273;426235;169289;370464;465204;1745187;1036785;238007;336466;133953
22;Prognose;Totaal 1e en 2e generatie;2027;4042990;2281184;214040;496508;129232;428881;172087;371480;468960;1761801;1050590;242460;333325;135418
23;Prognose;Totaal 1e en 2e generatie;2028;4084223;2305742;216180;506005;132221;431402;174956;372392;472582;1778480;1064885;246832;330095;136687
24;Prognose;Totaal 1e en 2e generatie;2029;4125454;2330175;218449;515524;135231;433794;177880;373211;476090;1795292;1079677;251090;326734;137756
25;Prognose;Totaal 1e en 2e generatie;2030;4166751;2354490;220829;525077;138249;436074;180851;373931;479477;1812247;1095060;255254;323267;138677
26;Prognose;Totaal 1e en 2e generatie;2031;4208150;2378731;223323;534658;141294;438257;183906;374555;482747;1829435;1111031;259319;319650;139441
27;Prognose;Totaal 1e en 2e generatie;2032;4249734;2402874;225943;544276;144376;440338;186992;375065;485885;1846852;1127628;263283;315889;140060
28;Prognose;Totaal 1e en 2e generatie;2033;4291478;2426916;228690;553921;147463;442327;190133;375489;488895;1864573;1144892;267156;311974;140566
29;Prognose;Totaal 1e en 2e generatie;2034;4333478;2450858;231552;563620;150572;444220;193336;375800;491768;1882629;1162851;270920;307903;140960
30;Prognose;Totaal 1e en 2e generatie;2035;4375767;2474710;234538;573358;153699;446018;196588;376009;494507;1901064;1181518;274607;303661;141267
31;Prognose;Totaal 1e en 2e generatie;2036;4418312;2498430;237627;583126;156845;447725;199884;376122;497103;1919884;1200906;278202;299274;141501
32;Prognose;Totaal 1e en 2e generatie;2037;4461152;2522016;240843;592928;159989;449337;203230;376130;499555;1939136;1221027;281701;294736;141681
33;Prognose;Totaal 1e en 2e generatie;2038;4504253;2545418;244156;602761;163144;450861;206615;376025;501848;1958829;1241868;285128;290052;141790
34;Prognose;Totaal 1e en 2e generatie;2039;4547621;2568620;247589;612617;166308;452272;210040;375837;503963;1979006;1263411;288471;285245;141867
35;Prognose;Totaal 1e en 2e generatie;2040;4591214;2591604;251098;622501;169471;453575;213500;375539;505905;1999618;1285629;291744;280331;141900
36;Prognose;Totaal 1e en 2e generatie;2041;4634982;2614295;254699;632375;172642;454767;216995;375143;507683;2020687;1308490;294954;275320;141916
37;Prognose;Totaal 1e en 2e generatie;2042;4678865;2636678;258373;642256;175811;455830;220505;374651;509263;2042202;1331963;298100;270238;141910
38;Prognose;Totaal 1e en 2e generatie;2043;4722830;2658701;262106;652114;178973;456770;224047;374071;510634;2064139;1355975;301162;265094;141889
39;Prognose;Totaal 1e en 2e generatie;2044;4766796;2680337;265903;661963;182110;457583;227580;373392;511804;2086450;1380498;304185;259922;141861
40;Prognose;Totaal 1e en 2e generatie;2045;4810651;2701519;269714;671777;185264;458257;231124;372638;512754;2109129;1405434;307138;254730;141838
41;Prognose;Totaal 1e en 2e generatie;2046;4854342;2722222;273558;681543;188397;458796;234677;371795;513469;2132115;1430716;310041;249559;141822
42;Prognose;Totaal 1e en 2e generatie;2047;4897800;2742431;277419;691238;191504;459208;238208;370886;513978;2155377;1456265;312882;244406;141821
43;Prognose;Totaal 1e en 2e generatie;2048;4940918;2762083;281283;700870;194584;459463;241726;369910;514268;2178839;1481984;315682;239323;141855
44;Prognose;Totaal 1e en 2e generatie;2049;4983586;2781151;285143;710401;197640;459590;245214;368858;514298;2202438;1507784;318427;234298;141925
45;Prognose;Totaal 1e en 2e generatie;2050;5025654;2799594;288956;719842;200661;459569;248688;367766;514112;2226067;1533552;321122;229368;142023
46;Prognose;1e Generatie;2005;1600062;1018228;125121;218676;43110;167163;81462;187543;195157;581833;304038;110033;130679;37080
47;Prognose;1e Generatie;2006;1598404;1016265;120821;220743;44252;167889;79359;187140;196067;582136;305462;111416;127913;37348
48;Prognose;1e Generatie;2007;1599817;1015552;116995;222795;45389;168627;77921;186789;197049;584265;308023;112987;125231;38024
49;Prognose;1e Generatie;2008;1605023;1016201;113641;224879;46517;169387;77209;186499;198082;588823;312160;114784;122628;39255
50;Prognose;1e Generatie;2009;1614265;1018231;110780;227071;47619;170155;77170;186261;199175;596039;318023;116834;120097;41093
51;Prognose;1e Generatie;2010;1627362;1021430;108358;229392;48722;170936;77617;186105;200311;605928;325592;119147;117650;43539
52;Prognose;1e Generatie;2011;1643646;1025454;106279;231874;49818;171732;78276;185993;201478;618190;334665;121696;115272;46572
53;Prognose;1e Generatie;2012;1662422;1030070;104492;234540;50903;172540;78960;185970;202678;632350;344878;124438;112964;50080
54;Prognose;1e Generatie;2013;1682924;1035269;102982;237407;51984;173346;79668;185989;203894;647654;355696;127319;110736;53905
55;Prognose;1e Generatie;2014;1704227;1041017;101718;240472;53055;174169;80398;186076;205127;663215;366481;130276;108569;57891
56;Prognose;1e Generatie;2015;1725616;1047252;100682;243725;54141;174973;81157;186212;206370;678367;376891;133202;106465;61804
