ID;Kenmerken;Perioden;TotaalParen_1;TotaalFulltimeFulltime_2;TotaalFulltimeParttime_3;Man35UurOfMeerPartner20Tot35Uur_4;Man35UurOfMeerPartner12Tot20Uur_5;Vrouw35UurOfMeerPartner20Tot35U_6;Vrouw35UurOfMeerPartner12Tot20U_7;TotaalParttimeParttime_8;Beiden20Tot35Uur_9;Beiden12Tot20Uur_10;Man20Tot35UurPartner12Tot20Uur_11;Vrouw20Tot35UurPartner12Tot20U_12;TotaalFulltime_13;Man35UurOfMeer_14;Vrouw35UurOfMeer_15;Man35UurOfMeerPartner0Tot12Uur_16;Vrouw35UurOfMeerPartner0Tot12U_17;TotaalParttime_18;Man20Tot35UurPartnerWerktNiet_19;Man12Tot20UurPartnerWerktNiet_20;Vrouw20Tot35UurPartnerWerktNiet_21;Vrouw12Tot20UurPartnerWerktNiet_22;Man20Tot35UurPartner0Tot12Uur_23;Man12Tot20UurPartner0Tot12Uur_24;Vrouw20Tot35UurPartner0Tot12Uur_25;Vrouw12Tot20UurPartner0Tot12Uur_26;TotaalGeenWerkenden_27;Man0Tot12UurPartnerWerktNiet_28;Vrouw0Tot12UurPartnerWerktNiet_29;BeidenGeenWerk_30;Beiden0Tot12Uur_31
0;Totaal aantal paren;1992;3357.0;477.0;782.0;532.0;220.0;26.0;4.0;63.0;46.0;2.0;11.0;4.0;1415.0;1099.0;45.0;264.0;6.0;160.0;59.0;10.0;47.0;21.0;12.0;6.0;3.0;3.0;460.0;21.0;26.0;407.0;6.0
1;Totaal aantal paren;1993;3391.0;470.0;831.0;559.0;235.0;33.0;5.0;69.0;51.0;2.0;12.0;5.0;1372.0;1042.0;51.0;272.0;7.0;167.0;63.0;11.0;52.0;22.0;10.0;5.0;2.0;2.0;481.0;17.0;32.0;427.0;5.0
2;Totaal aantal paren;1994;3430.0;460.0;841.0;579.0;229.0;28.0;6.0;74.0;55.0;2.0;12.0;6.0;1368.0;1017.0;56.0;289.0;6.0;192.0;68.0;10.0;62.0;24.0;14.0;7.0;4.0;3.0;494.0;22.0;34.0;434.0;5.0
3;Totaal aantal paren;1995;3443.0;463.0;905.0;623.0;244.0;32.0;6.0;85.0;60.0;3.0;15.0;6.0;1326.0;979.0;55.0;285.0;6.0;191.0;72.0;11.0;56.0;26.0;15.0;7.0;2.0;2.0;472.0;17.0;33.0;417.0;5.0
4;Totaal aantal paren;1996;3458.0;481.0;934.0;642.0;250.0;38.0;5.0;87.0;65.0;2.0;15.0;5.0;1317.0;968.0;55.0;288.0;6.0;188.0;61.0;10.0;64.0;25.0;15.0;7.0;3.0;4.0;452.0;18.0;30.0;399.0;5.0
5;Totaal aantal paren;1997;3461.0;506.0;990.0;678.0;269.0;37.0;6.0;96.0;72.0;2.0;17.0;5.0;1261.0;917.0;53.0;283.0;8.0;181.0;64.0;9.0;57.0;22.0;16.0;7.0;3.0;3.0;426.0;16.0;32.0;374.0;4.0
6;Totaal aantal paren;1998;3500.0;534.0;1075.0;724.0;305.0;40.0;6.0;110.0;79.0;3.0;22.0;5.0;1214.0;888.0;49.0;271.0;6.0;173.0;63.0;9.0;54.0;20.0;16.0;6.0;3.0;2.0;394.0;18.0;25.0;347.0;4.0
7;Totaal aantal paren;1999;3516.0;545.0;1116.0;753.0;319.0;37.0;7.0;119.0;88.0;2.0;21.0;7.0;1177.0;851.0;48.0;273.0;4.0;180.0;60.0;10.0;59.0;22.0;17.0;7.0;2.0;2.0;379.0;17.0;24.0;334.0;5.0
8;Totaal aantal paren;2000;3524.0;524.0;1183.0;799.0;332.0;46.0;7.0;134.0;95.0;4.0;28.0;7.0;1130.0;796.0;49.0;280.0;5.0;179.0;67.0;9.0;58.0;23.0;18.0;6.0;2.0;3.0;369.0;15.0;28.0;322.0;4.0
9;Totaal aantal paren;2001;3513.0;525.0;1199.0;803.0;350.0;39.0;6.0;134.0;99.0;3.0;25.0;7.0;1092.0;768.0;50.0;266.0;8.0;202.0;73.0;11.0;65.0;27.0;20.0;7.0;2.0;2.0;354.0;15.0;26.0;310.0;3.0
10;Totaal aantal paren;2002;3499.0;472.0;1238.0;827.0;362.0;43.0;5.0;161.0;118.0;3.0;31.0;9.0;1055.0;748.0;51.0;250.0;6.0;207.0;66.0;14.0;73.0;29.0;19.0;7.0;3.0;4.0;360.0;19.0;26.0;309.0;6.0
11;Totaal aantal paren;2003;3513.0;480.0;1254.0;837.0;366.0;44.0;6.0;165.0;122.0;2.0;32.0;9.0;1012.0;703.0;58.0;245.0;7.0;216.0;72.0;13.0;81.0;26.0;18.0;9.0;2.0;4.0;378.0;19.0;31.0;321.0;7.0
12;Totaal aantal paren;2004;3492.0;445.0;1263.0;845.0;369.0;44.0;5.0;159.0;118.0;3.0;27.0;12.0;1005.0;684.0;65.0;249.0;7.0;228.0;66.0;14.0;93.0;31.0;18.0;10.0;3.0;2.0;382.0;20.0;29.0;328.0;6.0
13;Totaal aantal paren;2005;3459.0;444.0;1264.0;861.0;352.0;43.0;7.0;176.0;124.0;5.0;37.0;11.0;960.0;645.0;60.0;245.0;10.0;230.0;64.0;13.0;91.0;36.0;18.0;11.0;4.0;4.0;373.0;19.0;32.0;318.0;5.0
14;Totaal aantal paren;2006;3441.0;465.0;1303.0;871.0;375.0;47.0;10.0;180.0;131.0;5.0;34.0;10.0;913.0;617.0;57.0;230.0;9.0;234.0;64.0;12.0;93.0;29.0;18.0;12.0;4.0;3.0;345.0;19.0;26.0;296.0;4.0
15;Paren met minderjarige kinderen;1992;1604.0;82.0;411.0;252.0;151.0;6.0;2.0;34.0;25.0;;7.0;2.0;908.0;704.0;14.0;189.0;;60.0;26.0;2.0;15.0;5.0;8.0;2.0;;;109.0;6.0;7.0;95.0;2.0
16;Paren met minderjarige kinderen;1993;1606.0;78.0;450.0;274.0;167.0;7.0;2.0;36.0;27.0;;7.0;;868.0;656.0;14.0;196.0;2.0;60.0;26.0;2.0;15.0;7.0;7.0;;;;113.0;5.0;9.0;98.0;
17;Paren met minderjarige kinderen;1994;1616.0;79.0;453.0;285.0;160.0;6.0;2.0;39.0;29.0;;7.0;2.0;860.0;633.0;17.0;208.0;2.0;66.0;30.0;3.0;16.0;6.0;8.0;2.0;;;120.0;6.0;10.0;104.0;
18;Paren met minderjarige kinderen;1995;1616.0;80.0;483.0;302.0;171.0;8.0;2.0;43.0;30.0;;9.0;3.0;831.0;610.0;15.0;205.0;2.0;71.0;30.0;3.0;18.0;8.0;8.0;2.0;;;109.0;5.0;8.0;96.0;
19;Paren met minderjarige kinderen;1996;1618.0;80.0;508.0;322.0;175.0;10.0;;44.0;34.0;;8.0;2.0;817.0;599.0;15.0;201.0;2.0;67.0;27.0;3.0;19.0;6.0;7.0;3.0;;2.0;102.0;4.0;7.0;90.0;
20;Paren met minderjarige kinderen;1997;1615.0;89.0;545.0;345.0;187.0;12.0;2.0;53.0;39.0;;11.0;2.0;779.0;560.0;15.0;202.0;3.0;61.0;25.0;3.0;17.0;5.0;7.0;2.0;;;88.0;4.0;6.0;77.0;
21;Paren met minderjarige kinderen;1998;1626.0;99.0;601.0;372.0;215.0;12.0;2.0;63.0;48.0;;12.0;2.0;733.0;527.0;15.0;190.0;;55.0;24.0;3.0;13.0;5.0;8.0;2.0;;;75.0;4.0;4.0;65.0;
22;Paren met minderjarige kinderen;1999;1638.0;102.0;639.0;393.0;232.0;12.0;2.0;69.0;54.0;;12.0;3.0;700.0;493.0;14.0;191.0;2.0;57.0;25.0;3.0;16.0;3.0;8.0;2.0;;;71.0;3.0;5.0;62.0;
23;Paren met minderjarige kinderen;2000;1663.0;99.0;687.0;429.0;240.0;14.0;3.0;78.0;56.0;;17.0;3.0;670.0;457.0;16.0;196.0;;52.0;22.0;3.0;15.0;6.0;6.0;2.0;;;76.0;2.0;5.0;67.0;
24;Paren met minderjarige kinderen;2001;1665.0;109.0;713.0;444.0;254.0;14.0;2.0;74.0;55.0;;15.0;3.0;636.0;433.0;15.0;186.0;2.0;65.0;28.0;;20.0;6.0;10.0;2.0;;;66.0;2.0;4.0;60.0;
25;Paren met minderjarige kinderen;2002;1682.0;99.0;734.0;451.0;267.0;14.0;2.0;93.0;70.0;;18.0;4.0;608.0;418.0;17.0;171.0;;70.0;28.0;4.0;20.0;6.0;9.0;3.0;;;75.0;3.0;6.0;66.0;
26;Paren met minderjarige kinderen;2003;1686.0;106.0;743.0;462.0;266.0;12.0;3.0;96.0;71.0;;20.0;3.0;582.0;395.0;18.0;168.0;;74.0;25.0;2.0;27.0;7.0;10.0;3.0;;;82.0;3.0;6.0;72.0;
27;Paren met minderjarige kinderen;2004;1680.0;96.0;754.0;469.0;268.0;15.0;2.0;92.0;70.0;;17.0;4.0;563.0;378.0;18.0;166.0;2.0;82.0;28.0;3.0;33.0;10.0;7.0;3.0;;;90.0;4.0;7.0;78.0;
28;Paren met minderjarige kinderen;2005;1672.0;102.0;764.0;487.0;257.0;16.0;3.0;102.0;76.0;2.0;21.0;3.0;542.0;363.0;18.0;158.0;3.0;78.0;24.0;3.0;29.0;11.0;9.0;3.0;;;80.0;4.0;7.0;69.0;
29;Paren met minderjarige kinderen;2006;1666.0;109.0;797.0;499.0;278.0;17.0;4.0;102.0;79.0;;19.0;3.0;518.0;347.0;18.0;150.0;3.0;69.0;21.0;;27.0;7.0;7.0;5.0;;2.0;72.0;5.0;4.0;62.0;
30;Paren met jongste kind 0-5 jaar;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Paren met jongste kind 0-5 jaar;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paren met jongste kind 0-5 jaar;1994;789.0;31.0;211.0;127.0;80.0;4.0;;22.0;17.0;;4.0;;436.0;333.0;7.0;95.0;;29.0;14.0;;7.0;3.0;3.0;;;;59.0;3.0;3.0;52.0;
33;Paren met jongste kind 0-5 jaar;1995;798.0;32.0;228.0;143.0;81.0;3.0;;27.0;20.0;;4.0;2.0;424.0;324.0;7.0;92.0;;33.0;14.0;;9.0;3.0;4.0;;;;54.0;2.0;2.0;48.0;
34;Paren met jongste kind 0-5 jaar;1996;790.0;33.0;248.0;156.0;86.0;5.0;;27.0;22.0;;5.0;;403.0;305.0;7.0;90.0;;30.0;15.0;;7.0;2.0;3.0;2.0;;;49.0;2.0;2.0;45.0;
35;Paren met jongste kind 0-5 jaar;1997;787.0;34.0;273.0;173.0;94.0;5.0;;32.0;25.0;;5.0;;379.0;284.0;7.0;87.0;;27.0;12.0;;7.0;;4.0;;;;42.0;2.0;2.0;37.0;
