ID;Geslacht;Leeftijd;Geboorteland;CaribischNederland;Perioden;Immigratie_1;EmigratieInclusiefAdministratieveC_2;MigratiesaldoInclusiefAdministratie_3
0;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2011;2234;1285;949
1;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2012;2261;1382;879
2;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2013;2184;1360;824
3;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2014;1737;1523;214
4;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2015;1740;1879;-139
5;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2016;1799;2034;-235
6;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2017;1901;1406;495
7;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2018;1681;1737;-56
8;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2019;1904;1214;690
9;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2020;1667;999;668
10;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2021;1961;1152;809
11;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2022;2675;1101;1574
12;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2023;2288;1388;900
13;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2011;1539;849;690
14;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2012;1523;820;703
15;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2013;1525;658;867
16;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2014;1213;822;391
17;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2015;1245;826;419
18;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2016;1291;1649;-358
19;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2017;1381;1115;266
20;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2018;1283;879;404
21;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2019;1475;758;717
22;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2020;1418;699;719
23;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2021;1586;857;729
24;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2022;2261;848;1413
25;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2023;1874;933;941
26;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2011;289;183;106
27;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2012;270;140;130
28;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2013;356;271;85
29;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2014;171;310;-139
