ID;SectorBranchesSIC2008;Periods;Value_1;Volume_2;Value_3;Volume_4;Value_5;Volume_6;Value_7;Volume_8
0;Hotels, restaurants and bars;2005 1st quarter;67.8;87.9;;;79.5;101.4;;
1;Hotels, restaurants and bars;2005 2nd quarter;85.1;108.7;;;80.1;102.5;0.8;1.0
2;Hotels, restaurants and bars;2005 3rd quarter;88.7;112.2;;;82.3;105.2;2.7;2.7
3;Hotels, restaurants and bars;2005 4th quarter;83.2;106.4;;;82.9;105.8;0.7;0.5
4;Hotels, restaurants and bars;2005;81.2;103.8;;;81.2;103.7;;
5;Hotels, restaurants and bars;2006 1st quarter;70.5;90.0;4.0;2.4;83.0;103.8;0.1;-1.9
6;Hotels, restaurants and bars;2006 2nd quarter;89.7;112.0;5.3;3.1;85.0;105.6;2.5;1.8
7;Hotels, restaurants and bars;2006 3rd quarter;93.2;115.0;5.1;2.5;86.0;107.9;1.1;2.1
8;Hotels, restaurants and bars;2006 4th quarter;87.6;108.7;5.2;2.2;86.9;108.2;1.1;0.3
9;Hotels, restaurants and bars;2006;85.2;106.4;5.0;2.6;85.2;106.4;5.0;2.5
10;Hotels, restaurants and bars;2007 1st quarter;76.6;94.3;8.7;4.8;88.2;108.7;1.5;0.5
11;Hotels, restaurants and bars;2007 2nd quarter;95.7;115.6;6.7;3.2;89.9;109.0;1.9;0.3
12;Hotels, restaurants and bars;2007 3rd quarter;95.6;113.9;2.5;-0.9;89.4;106.9;-0.6;-1.9
13;Hotels, restaurants and bars;2007 4th quarter;90.2;108.4;3.1;-0.3;90.5;107.8;1.3;0.8
14;Hotels, restaurants and bars;2007;89.5;108.0;5.0;1.5;89.5;108.1;5.0;1.6
15;Hotels, restaurants and bars;2008 1st quarter;78.6;93.7;2.7;-0.6;90.9;107.7;0.4;-0.1
16;Hotels, restaurants and bars;2008 2nd quarter;96.0;111.8;0.4;-3.3;90.0;105.4;-1.0;-2.1
17;Hotels, restaurants and bars;2008 3rd quarter;94.8;108.1;-0.8;-5.1;88.3;101.3;-1.9;-3.9
18;Hotels, restaurants and bars;2008 4th quarter;87.5;101.1;-3.0;-6.7;87.9;100.6;-0.5;-0.7
19;Hotels, restaurants and bars;2008;89.3;103.7;-0.3;-4.0;89.3;103.7;-0.3;-4.0
20;Hotels, restaurants and bars;2009 1st quarter;74.1;85.1;-5.8;-9.2;86.3;98.3;-1.7;-2.2
21;Hotels, restaurants and bars;2009 2nd quarter;90.6;101.3;-5.7;-9.4;85.2;95.6;-1.4;-2.8
22;Hotels, restaurants and bars;2009 3rd quarter;91.0;99.8;-4.0;-7.7;84.5;93.1;-0.8;-2.6
23;Hotels, restaurants and bars;2009 4th quarter;82.6;92.5;-5.7;-8.5;82.3;92.2;-2.6;-1.0
24;Hotels, restaurants and bars;2009;84.6;94.7;-5.3;-8.7;84.6;94.8;-5.3;-8.6
25;Hotels, restaurants and bars;2010 1st quarter;70.0;78.2;-5.6;-8.2;82.4;90.6;0.1;-1.8
26;Hotels, restaurants and bars;2010 2nd quarter;87.5;96.8;-3.4;-4.4;82.1;91.3;-0.4;0.8
27;Hotels, restaurants and bars;2010 3rd quarter;91.7;101.6;0.7;1.9;84.3;94.6;2.7;3.6
28;Hotels, restaurants and bars;2010 4th quarter;85.4;93.9;3.4;1.5;85.8;93.8;1.8;-0.9
29;Hotels, restaurants and bars;2010;83.6;92.6;-1.1;-2.2;83.6;92.6;-1.1;-2.4
30;Hotels, restaurants and bars;2011 1st quarter;74.3;81.0;6.2;3.7;86.8;94.2;1.2;0.4
31;Hotels, restaurants and bars;2011 2nd quarter;93.6;100.7;7.0;4.0;87.6;94.9;0.9;0.8
32;Hotels, restaurants and bars;2011 3rd quarter;94.4;101.8;3.0;0.2;87.8;94.5;0.2;-0.4
33;Hotels, restaurants and bars;2011 4th quarter;88.2;94.5;3.3;0.7;88.4;94.7;0.7;0.2
34;Hotels, restaurants and bars;2011;87.6;94.5;4.8;2.1;87.6;94.6;4.8;2.2
35;Hotels, restaurants and bars;2012 1st quarter;76.9;82.4;3.4;1.7;88.9;95.6;0.6;0.9
36;Hotels, restaurants and bars;2012 2nd quarter;94.9;100.3;1.4;-0.4;89.0;94.3;0.2;-1.3
37;Hotels, restaurants and bars;2012 3rd quarter;95.1;100.5;0.7;-1.3;88.3;93.2;-0.8;-1.2
