ID;RegioS;Perioden;TotaalUitgesprokenFaillissementen_1;FaillissementenVanRechtspersonen_2;TotaalNatuurlijkePersonen_3;ZonderEenmanszaak_4;MetEenmanszaak_5
0;Nederland;1993 januari;454.0;221.0;233.0;74.0;159.0
1;Nederland;1993 februari;461.0;233.0;228.0;90.0;138.0
2;Nederland;1993 maart;639.0;354.0;285.0;67.0;218.0
3;Nederland;1993 1e kwartaal;1554.0;808.0;746.0;231.0;515.0
4;Nederland;1993 april;507.0;258.0;249.0;67.0;182.0
5;Nederland;1993 mei;496.0;283.0;213.0;78.0;135.0
6;Nederland;1993 juni;557.0;302.0;255.0;72.0;183.0
7;Nederland;1993 2e kwartaal;1560.0;843.0;717.0;217.0;500.0
8;Nederland;1993 juli;569.0;316.0;253.0;70.0;183.0
9;Nederland;1993 augustus;508.0;271.0;237.0;74.0;163.0
10;Nederland;1993 september;586.0;322.0;264.0;79.0;185.0
11;Nederland;1993 3e kwartaal;1663.0;909.0;754.0;223.0;531.0
12;Nederland;1993 oktober;504.0;236.0;268.0;78.0;190.0
13;Nederland;1993 november;596.0;282.0;314.0;90.0;224.0
14;Nederland;1993 december;551.0;286.0;265.0;77.0;188.0
15;Nederland;1993 4e kwartaal;1651.0;804.0;847.0;245.0;602.0
16;Nederland;1993;6428.0;3364.0;3064.0;916.0;2148.0
17;Nederland;1994 januari;535.0;263.0;272.0;92.0;180.0
18;Nederland;1994 februari;534.0;262.0;272.0;101.0;171.0
19;Nederland;1994 maart;686.0;324.0;362.0;135.0;227.0
20;Nederland;1994 1e kwartaal;1755.0;849.0;906.0;328.0;578.0
21;Nederland;1994 april;497.0;239.0;258.0;91.0;167.0
22;Nederland;1994 mei;432.0;214.0;218.0;56.0;162.0
23;Nederland;1994 juni;621.0;341.0;280.0;108.0;172.0
24;Nederland;1994 2e kwartaal;1550.0;794.0;756.0;255.0;501.0
25;Nederland;1994 juli;463.0;233.0;230.0;83.0;147.0
26;Nederland;1994 augustus;602.0;287.0;315.0;96.0;219.0
27;Nederland;1994 september;548.0;259.0;289.0;97.0;192.0
28;Nederland;1994 3e kwartaal;1613.0;779.0;834.0;276.0;558.0
29;Nederland;1994 oktober;473.0;233.0;240.0;76.0;164.0
30;Nederland;1994 november;622.0;298.0;324.0;117.0;207.0
31;Nederland;1994 december;451.0;207.0;244.0;79.0;165.0
32;Nederland;1994 4e kwartaal;1546.0;738.0;808.0;272.0;536.0
33;Nederland;1994;6464.0;3160.0;3304.0;1131.0;2173.0
34;Nederland;1995 januari;514.0;224.0;290.0;98.0;192.0
35;Nederland;1995 februari;453.0;204.0;249.0;75.0;174.0
36;Nederland;1995 maart;565.0;246.0;319.0;107.0;212.0
37;Nederland;1995 1e kwartaal;1532.0;674.0;858.0;280.0;578.0
38;Nederland;1995 april;478.0;213.0;265.0;99.0;166.0
39;Nederland;1995 mei;443.0;226.0;217.0;67.0;150.0
40;Nederland;1995 juni;455.0;236.0;219.0;58.0;161.0
41;Nederland;1995 2e kwartaal;1376.0;675.0;701.0;224.0;477.0
42;Nederland;1995 juli;476.0;240.0;236.0;83.0;153.0
43;Nederland;1995 augustus;506.0;237.0;269.0;105.0;164.0
44;Nederland;1995 september;510.0;262.0;248.0;103.0;145.0
45;Nederland;1995 3e kwartaal;1492.0;739.0;753.0;291.0;462.0
46;Nederland;1995 oktober;528.0;258.0;270.0;87.0;183.0
47;Nederland;1995 november;515.0;239.0;276.0;108.0;168.0
48;Nederland;1995 december;404.0;187.0;217.0;74.0;143.0
49;Nederland;1995 4e kwartaal;1447.0;684.0;763.0;269.0;494.0
50;Nederland;1995;5847.0;2772.0;3075.0;1064.0;2011.0
51;Nederland;1996 januari;494.0;217.0;277.0;79.0;198.0
52;Nederland;1996 februari;440.0;204.0;236.0;74.0;162.0
53;Nederland;1996 maart;477.0;228.0;249.0;87.0;162.0
54;Nederland;1996 1e kwartaal;1411.0;649.0;762.0;240.0;522.0
55;Nederland;1996 april;437.0;207.0;230.0;71.0;159.0
56;Nederland;1996 mei;482.0;228.0;254.0;84.0;170.0
57;Nederland;1996 juni;454.0;222.0;232.0;86.0;146.0
58;Nederland;1996 2e kwartaal;1373.0;657.0;716.0;241.0;475.0
59;Nederland;1996 juli;450.0;216.0;234.0;77.0;157.0
60;Nederland;1996 augustus;438.0;206.0;232.0;91.0;141.0
61;Nederland;1996 september;454.0;227.0;227.0;84.0;143.0
62;Nederland;1996 3e kwartaal;1342.0;649.0;693.0;252.0;441.0
63;Nederland;1996 oktober;550.0;277.0;273.0;105.0;168.0
64;Nederland;1996 november;455.0;187.0;268.0;107.0;161.0
65;Nederland;1996 december;446.0;216.0;230.0;98.0;132.0
66;Nederland;1996 4e kwartaal;1451.0;680.0;771.0;310.0;461.0
67;Nederland;1996;5577.0;2635.0;2942.0;1043.0;1899.0
68;Nederland;1997 januari;536.0;250.0;286.0;104.0;182.0
69;Nederland;1997 februari;477.0;225.0;252.0;95.0;157.0
70;Nederland;1997 maart;437.0;207.0;230.0;98.0;132.0
71;Nederland;1997 1e kwartaal;1450.0;682.0;768.0;297.0;471.0
72;Nederland;1997 april;470.0;223.0;247.0;108.0;139.0
73;Nederland;1997 mei;481.0;232.0;249.0;103.0;146.0
74;Nederland;1997 juni;418.0;216.0;202.0;85.0;117.0
75;Nederland;1997 2e kwartaal;1369.0;671.0;698.0;296.0;402.0
76;Nederland;1997 juli;492.0;251.0;241.0;95.0;146.0
77;Nederland;1997 augustus;364.0;177.0;187.0;79.0;108.0
78;Nederland;1997 september;475.0;212.0;263.0;89.0;174.0
79;Nederland;1997 3e kwartaal;1331.0;640.0;691.0;263.0;428.0
80;Nederland;1997 oktober;497.0;250.0;247.0;100.0;147.0
81;Nederland;1997 november;471.0;240.0;231.0;90.0;141.0
82;Nederland;1997 december;429.0;198.0;231.0;92.0;139.0
83;Nederland;1997 4e kwartaal;1397.0;688.0;709.0;282.0;427.0
84;Nederland;1997;5547.0;2681.0;2866.0;1138.0;1728.0
85;Nederland;1998 januari;415.0;189.0;226.0;93.0;133.0
86;Nederland;1998 februari;423.0;201.0;222.0;92.0;130.0
87;Nederland;1998 maart;538.0;253.0;285.0;110.0;175.0
88;Nederland;1998 1e kwartaal;1376.0;643.0;733.0;295.0;438.0
89;Nederland;1998 april;502.0;248.0;254.0;109.0;145.0
90;Nederland;1998 mei;356.0;164.0;192.0;78.0;114.0
91;Nederland;1998 juni;439.0;205.0;234.0;86.0;148.0
