ID;NederlandEnHerkomstgroeperingen;Perioden;TotaalImmigratie_1;ImmigratieMannen_2;ImmigratieVrouwen_3;TotaalEmigratie_4;EmigratieMannen_5;EmigratieVrouwen_6;TotaalMigratiesaldo_7;MigratieSaldoMannen_8;MigratieSaldoVrouwen_9
0;Totaal herkomstgroeperingen;2004;92089;46623;45466;111151;64626;46525;-19062;-18003;-1059
1;Totaal herkomstgroeperingen;2005;92687;46976;45711;109461;63457;46004;-16774;-16481;-293
2;Totaal herkomstgroeperingen;2006;94748;48091;46657;107962;62393;45569;-13214;-14302;1088
3;Totaal herkomstgroeperingen;2007;97843;49744;48099;106816;61561;45255;-8973;-11817;2844
4;Totaal herkomstgroeperingen;2008;101489;51689;49800;105983;60909;45074;-4494;-9220;4726
5;Totaal herkomstgroeperingen;2009;105266;53693;51573;105500;60483;45017;-234;-6790;6556
6;Totaal herkomstgroeperingen;2010;108655;55501;53154;105303;60231;45072;3352;-4730;8082
7;Totaal herkomstgroeperingen;2011;111512;57043;54469;105307;60105;45203;6205;-3062;9266
8;Totaal herkomstgroeperingen;2012;113732;58222;55510;105437;60061;45376;8295;-1839;10134
9;Totaal herkomstgroeperingen;2013;115061;58925;56136;105585;60031;45554;9476;-1106;10582
10;Totaal herkomstgroeperingen;2014;115646;59210;56436;105705;59998;45708;9941;-788;10728
11;Totaal herkomstgroeperingen;2015;115906;59323;56583;105743;59916;45827;10163;-593;10756
12;Totaal herkomstgroeperingen;2016;116045;59371;56674;105694;59789;45905;10351;-418;10769
13;Totaal herkomstgroeperingen;2017;116162;59410;56752;105567;59621;45946;10595;-211;10806
14;Totaal herkomstgroeperingen;2018;116230;59427;56803;105359;59407;45952;10871;20;10851
15;Totaal herkomstgroeperingen;2019;116284;59443;56841;105087;59166;45921;11197;277;10920
16;Totaal herkomstgroeperingen;2020;116312;59456;56856;104765;58912;45853;11547;544;11003
17;Totaal herkomstgroeperingen;2021;116265;59437;56828;104374;58608;45766;11891;829;11062
18;Totaal herkomstgroeperingen;2022;116217;59413;56804;103940;58299;45642;12277;1114;11162
19;Totaal herkomstgroeperingen;2023;116185;59393;56792;103445;57954;45491;12740;1439;11301
20;Totaal herkomstgroeperingen;2024;116134;59365;56769;102912;57606;45306;13222;1759;11463
21;Totaal herkomstgroeperingen;2025;116102;59350;56752;102311;57219;45092;13791;2131;11660
22;Totaal herkomstgroeperingen;2026;116050;59325;56725;101640;56797;44843;14410;2528;11882
23;Totaal herkomstgroeperingen;2027;116011;59305;56706;100928;56355;44573;15083;2950;12133
24;Totaal herkomstgroeperingen;2028;115968;59283;56685;100151;55885;44266;15817;3398;12419
25;Totaal herkomstgroeperingen;2029;115919;59258;56661;99332;55399;43934;16587;3859;12727
26;Totaal herkomstgroeperingen;2030;115878;59238;56640;98474;54891;43583;17404;4347;13057
27;Totaal herkomstgroeperingen;2031;115832;59218;56614;97566;54359;43207;18266;4859;13407
28;Totaal herkomstgroeperingen;2032;115789;59193;56596;96654;53831;42823;19135;5362;13773
29;Totaal herkomstgroeperingen;2033;115735;59165;56570;95696;53274;42422;20039;5891;14148
30;Totaal herkomstgroeperingen;2034;115704;59149;56555;94752;52738;42015;20952;6411;14540
31;Totaal herkomstgroeperingen;2035;115665;59134;56531;93796;52195;41602;21869;6939;14929
32;Totaal herkomstgroeperingen;2036;115612;59109;56503;92843;51642;41200;22769;7467;15303
33;Totaal herkomstgroeperingen;2037;115569;59085;56484;91917;51124;40793;23652;7961;15691
34;Totaal herkomstgroeperingen;2038;115519;59059;56460;90997;50597;40400;24522;8462;16060
35;Totaal herkomstgroeperingen;2039;115483;59039;56444;90136;50113;40023;25347;8926;16421
36;Totaal herkomstgroeperingen;2040;115442;59019;56423;89295;49638;39657;26147;9381;16766
37;Totaal herkomstgroeperingen;2041;115397;58995;56402;88514;49197;39318;26883;9798;17084
38;Totaal herkomstgroeperingen;2042;115354;58970;56384;87786;48787;38999;27568;10183;17385
39;Totaal herkomstgroeperingen;2043;115309;58948;56361;87115;48413;38703;28194;10535;17658
40;Totaal herkomstgroeperingen;2044;115258;58923;56335;86536;48089;38446;28722;10834;17889
41;Totaal herkomstgroeperingen;2045;115213;58905;56308;86024;47801;38223;29189;11104;18085
42;Totaal herkomstgroeperingen;2046;115179;58894;56285;85600;47563;38038;29579;11331;18247
43;Totaal herkomstgroeperingen;2047;115138;58868;56270;85290;47391;37899;29848;11477;18371
44;Totaal herkomstgroeperingen;2048;115093;58847;56246;85068;47269;37799;30025;11578;18447
45;Totaal herkomstgroeperingen;2049;115048;58819;56229;84960;47204;37756;30088;11615;18473
46;Nederland (incl. 2e generatie);2004;23554;13002;10552;48461;28743;19718;-24907;-15741;-9166
47;Nederland (incl. 2e generatie);2005;23524;12982;10542;48016;28459;19557;-24492;-15477;-9015
48;Nederland (incl. 2e generatie);2006;23434;12932;10502;47571;28170;19401;-24137;-15238;-8899
49;Nederland (incl. 2e generatie);2007;23314;12861;10453;47138;27889;19249;-23824;-15028;-8796
50;Nederland (incl. 2e generatie);2008;23154;12767;10387;46709;27609;19100;-23555;-14842;-8713
51;Nederland (incl. 2e generatie);2009;22961;12651;10310;46294;27340;18955;-23333;-14689;-8645
52;Nederland (incl. 2e generatie);2010;22747;12527;10220;45904;27083;18820;-23157;-14556;-8600
53;Nederland (incl. 2e generatie);2011;22513;12389;10124;45537;26842;18695;-23024;-14453;-8571
54;Nederland (incl. 2e generatie);2012;22275;12251;10024;45187;26610;18577;-22912;-14359;-8553
55;Nederland (incl. 2e generatie);2013;22038;12110;9928;44856;26392;18464;-22818;-14282;-8536
56;Nederland (incl. 2e generatie);2014;21806;11973;9833;44535;26181;18355;-22729;-14208;-8522
57;Nederland (incl. 2e generatie);2015;21592;11852;9740;44237;25982;18255;-22645;-14130;-8515
58;Nederland (incl. 2e generatie);2016;21396;11734;9662;43960;25797;18162;-22564;-14063;-8500
59;Nederland (incl. 2e generatie);2017;21243;11643;9600;43696;25618;18078;-22453;-13975;-8478
60;Nederland (incl. 2e generatie);2018;21104;11558;9546;43446;25445;18002;-22342;-13887;-8456
61;Nederland (incl. 2e generatie);2019;21028;11514;9514;43211;25285;17926;-22183;-13771;-8412
62;Nederland (incl. 2e generatie);2020;21003;11500;9503;42977;25129;17848;-21974;-13629;-8345
