ID;BedrijfstakkenBranchesSBI93;Perioden;Totaal_1;GrondEnTerreinen_2;Bedrijfsruimten_3;GrondWaterEnWegenbouwkundigeWerken_4;Vervoermiddelen_5;ComputersEnRandapparatuur_6;MachinesEnInstallaties_7;OverigeMaterieleVasteActiva_8;NieuweVasteActiva_9;TweedehandseVasteActiva_10;FinancialLease_11;InvesteringenViaOperationalLeaseHuur_12;OpbrengstenVerkoopVasteActiva_13
0;C Delfstoffenwinning;2000;778.6;14.8;9.7;484.7;9.9;11.0;242.3;6.2;758.8;19.8;1.6;1.0;3.5
1;C Delfstoffenwinning;2001;841.3;10.6;8.6;248.5;4.6;13.8;545.9;9.3;829.8;11.6;0.3;22.2;7.1
2;C Delfstoffenwinning;2002;1264.3;8.4;4.3;538.3;9.0;42.2;648.9;13.2;1249.1;15.2;0.6;4.1;7.1
3;C Delfstoffenwinning;2003;1479.3;7.5;15.1;540.4;2.8;28.1;820.5;64.9;1468.6;10.7;0.1;2.6;94.7
4;C Delfstoffenwinning;2004;847.6;10.7;6.3;249.3;5.2;35.9;531.4;8.8;835.5;12.1;0.6;2.4;14.1
5;C Delfstoffenwinning;2005;1052.9;4.8;7.9;342.6;5.0;3.3;671.5;17.8;1044.9;8.0;0.1;15.5;30.1
6;C Delfstoffenwinning;2006;1895.7;6.9;36.3;749.6;5.0;4.4;995.8;97.7;1881.0;14.7;0.1;19.7;6.9
7;C Delfstoffenwinning;2007;1099.7;8.2;4.2;455.8;4.5;5.7;606.0;15.3;1089.1;10.6;0.0;5.1;3.3
8;C Delfstoffenwinning;2008;1313.0;6.5;30.2;617.1;8.3;4.2;624.6;22.0;1297.2;15.7;;;988.1
9;CA Energiehoudende delfstoffenwinning;2000;717.8;0.2;5.1;482.2;1.8;10.5;213.9;4.1;716.8;1.0;0.6;0.1;1.7
10;CA Energiehoudende delfstoffenwinning;2001;779.3;0.1;5.5;245.6;0.1;13.2;509.2;5.6;779.1;0.2;0.0;9.3;4.6
11;CA Energiehoudende delfstoffenwinning;2002;;;;;;;;;;;;;
12;CA Energiehoudende delfstoffenwinning;2003;;;;;;;;;;;;;
13;CA Energiehoudende delfstoffenwinning;2004;;;;;;;;;;;;;
14;CA Energiehoudende delfstoffenwinning;2005;;;;;;;;;;;;;
15;CA Energiehoudende delfstoffenwinning;2006;;;;;;;;;;;;;
16;CA Energiehoudende delfstoffenwinning;2007;;;;;;;;;;;;;
17;CA Energiehoudende delfstoffenwinning;2008;;;;;;;;;;;;;
18;10 Turfwinning;2000;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.5
19;10 Turfwinning;2001;0.2;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0
20;10 Turfwinning;2002;;;;;;;;;;;;;
21;10 Turfwinning;2003;;;;;;;;;;;;;
22;10 Turfwinning;2004;;;;;;;;;;;;;
23;10 Turfwinning;2005;;;;;;;;;;;;;
24;10 Turfwinning;2006;;;;;;;;;;;;;
25;10 Turfwinning;2007;;;;;;;;;;;;;
26;10 Turfwinning;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0
27;11 Aardolie- en aardgaswinning;2000;717.7;0.2;5.1;482.2;1.8;10.5;213.9;4.0;716.7;1.0;0.6;0.1;1.2
28;11 Aardolie- en aardgaswinning;2001;779.1;0.1;5.5;245.6;0.1;13.2;509.1;5.6;778.9;0.2;0.0;9.3;4.6
29;11 Aardolie- en aardgaswinning;2002;1212.2;0.6;2.5;536.3;0.1;41.2;622.8;8.8;1211.4;0.8;0.0;1.4;4.4
30;11 Aardolie- en aardgaswinning;2003;;;;;;;;;;;;;
31;11 Aardolie- en aardgaswinning;2004;;;;;;;;;;;;;
32;11 Aardolie- en aardgaswinning;2005;;;;;;;;;;;;;
33;11 Aardolie- en aardgaswinning;2006;;;;;;;;;;;;;
34;11 Aardolie- en aardgaswinning;2007;;;;;;;;;;;;;
35;11 Aardolie- en aardgaswinning;2008;;;;;;;;;;;;;
36;111 Aardolie- en aardgaswinning;2000;434.7;0.2;3.9;234.7;1.2;9.8;183.7;1.1;434.5;0.2;0.0;0.0;0.9
37;111 Aardolie- en aardgaswinning;2001;566.1;0.1;5.5;207.9;0.0;13.0;337.0;2.7;566.0;0.1;0.0;7.4;0.0
38;111 Aardolie- en aardgaswinning;2002;962.0;0.6;2.3;378.5;0.0;29.2;545.8;5.7;961.4;0.6;0.0;0.0;0.1
39;111 Aardolie- en aardgaswinning;2003;;;;;;;;;;;;;
40;111 Aardolie- en aardgaswinning;2004;648.8;0.2;2.0;180.7;0.0;33.7;425.6;6.5;648.6;0.2;0.0;0.0;6.7
41;111 Aardolie- en aardgaswinning;2005;;;;;;;;;;;;;
42;111 Aardolie- en aardgaswinning;2006;;;;;;;;;;;;;
43;111 Aardolie- en aardgaswinning;2007;845.3;0.0;1.2;285.9;0.1;2.0;551.2;4.8;845.3;0.0;0.0;0.0;0.0
44;111 Aardolie- en aardgaswinning;2008;;;;;;;;;;;;;
45;1110 Aardolie- en aardgaswinning;2000;434.7;0.2;3.9;234.7;1.2;9.8;183.7;1.1;434.5;0.2;0.0;0.0;0.9
46;1110 Aardolie- en aardgaswinning;2001;566.1;0.1;5.5;207.9;0.0;13.0;337.0;2.7;566.0;0.1;0.0;7.4;0.0
47;1110 Aardolie- en aardgaswinning;2002;962.0;0.6;2.3;378.5;0.0;29.2;545.8;5.7;961.4;0.6;0.0;0.0;0.1
48;1110 Aardolie- en aardgaswinning;2003;;;;;;;;;;;;;
49;1110 Aardolie- en aardgaswinning;2004;648.8;0.2;2.0;180.7;0.0;33.7;425.6;6.5;648.6;0.2;0.0;0.0;6.7
50;1110 Aardolie- en aardgaswinning;2005;;;;;;;;;;;;;
51;1110 Aardolie- en aardgaswinning;2006;;;;;;;;;;;;;
52;1110 Aardolie- en aardgaswinning;2007;845.3;0.0;1.2;285.9;0.1;2.0;551.2;4.8;845.3;0.0;0.0;0.0;0.0
53;1110 Aardolie- en aardgaswinning;2008;;;;;;;;;;;;;
54;112 Dienstverl. vd olie- en gaswinning;2000;283.0;0.0;1.2;247.4;0.6;0.7;30.2;2.8;282.2;0.8;0.6;0.1;0.4
55;112 Dienstverl. vd olie- en gaswinning;2001;213.1;0.0;0.0;37.7;0.1;0.2;172.1;3.0;212.9;0.1;0.0;1.9;4.6
56;112 Dienstverl. vd olie- en gaswinning;2002;250.2;0.0;0.1;157.8;0.1;12.0;77.0;3.2;249.9;0.2;0.0;1.4;4.3
57;112 Dienstverl. vd olie- en gaswinning;2003;209.5;0.0;0.0;84.5;0.0;5.0;119.6;0.4;209.2;0.4;0.0;1.3;1.3
58;112 Dienstverl. vd olie- en gaswinning;2004;;;;;;;;;;;;;
59;112 Dienstverl. vd olie- en gaswinning;2005;121.0;0.0;0.0;60.2;0.1;0.9;59.5;0.2;119.3;1.7;0.0;1.6;0.4
60;112 Dienstverl. vd olie- en gaswinning;2006;606.3;0.0;12.8;146.8;0.3;1.2;431.1;14.1;605.5;0.7;0.0;18.9;2.4
61;112 Dienstverl. vd olie- en gaswinning;2007;;;;;;;;;;;;;
62;112 Dienstverl. vd olie- en gaswinning;2008;77.3;0.0;0.1;0.8;0.7;0.9;69.0;5.7;74.5;2.8;;;1.8
63;1120 Dienstverl. vd olie- en gaswinning;2000;283.0;0.0;1.2;247.4;0.6;0.7;30.2;2.8;282.2;0.8;0.6;0.1;0.4
64;1120 Dienstverl. vd olie- en gaswinning;2001;213.1;0.0;0.0;37.7;0.1;0.2;172.1;3.0;212.9;0.1;0.0;1.9;4.6
65;1120 Dienstverl. vd olie- en gaswinning;2002;250.2;0.0;0.1;157.8;0.1;12.0;77.0;3.2;249.9;0.2;0.0;1.4;4.3
66;1120 Dienstverl. vd olie- en gaswinning;2003;209.5;0.0;0.0;84.5;0.0;5.0;119.6;0.4;209.2;0.4;0.0;1.3;1.3
67;1120 Dienstverl. vd olie- en gaswinning;2004;;;;;;;;;;;;;
68;1120 Dienstverl. vd olie- en gaswinning;2005;121.0;0.0;0.0;60.2;0.1;0.9;59.5;0.2;119.3;1.7;0.0;1.6;0.4
69;1120 Dienstverl. vd olie- en gaswinning;2006;606.3;0.0;12.8;146.8;0.3;1.2;431.1;14.1;605.5;0.7;0.0;18.9;2.4
70;1120 Dienstverl. vd olie- en gaswinning;2007;;;;;;;;;;;;;
71;1120 Dienstverl. vd olie- en gaswinning;2008;77.3;0.0;0.1;0.8;0.7;0.9;69.0;5.7;74.5;2.8;;;1.8
72;CB Zand-, grind-, klei-, zoutwinning;2000;60.7;14.6;4.6;2.6;8.0;0.4;28.4;2.1;42.0;18.8;1.0;0.8;1.9
73;CB Zand-, grind-, klei-, zoutwinning;2001;62.0;10.6;3.1;3.0;4.5;0.5;36.7;3.7;50.7;11.4;0.3;13.0;2.5
74;CB Zand-, grind-, klei-, zoutwinning;2002;;;;;;;;;;;;;
75;CB Zand-, grind-, klei-, zoutwinning;2003;;;;;;;;;;;;;
76;CB Zand-, grind-, klei-, zoutwinning;2004;;;;;;;;;;;;;
77;CB Zand-, grind-, klei-, zoutwinning;2005;;;;;;;;;;;;;
78;CB Zand-, grind-, klei-, zoutwinning;2006;;;;;;;;;;;;;
79;CB Zand-, grind-, klei-, zoutwinning;2007;;;;;;;;;;;;;
80;CB Zand-, grind-, klei-, zoutwinning;2008;;;;;;;;;;;;;
81;14 Zand-, grind-, klei-, zoutwinning;2000;60.7;14.6;4.6;2.6;8.0;0.4;28.4;2.1;42.0;18.8;1.0;0.8;1.9
82;14 Zand-, grind-, klei-, zoutwinning;2001;62.0;10.6;3.1;3.0;4.5;0.5;36.7;3.7;50.7;11.4;0.3;13.0;2.5
83;14 Zand-, grind-, klei-, zoutwinning;2002;;;;;;;;;;;;;
84;14 Zand-, grind-, klei-, zoutwinning;2003;;;;;;;;;;;;;
85;14 Zand-, grind-, klei-, zoutwinning;2004;;;;;;;;;;;;;
86;14 Zand-, grind-, klei-, zoutwinning;2005;;;;;;;;;;;;;
87;14 Zand-, grind-, klei-, zoutwinning;2006;;;;;;;;;;;;;
88;14 Zand-, grind-, klei-, zoutwinning;2007;;;;;;;;;;;;;
89;14 Zand-, grind-, klei-, zoutwinning;2008;;;;;;;;;;;;;
90;145 Overige delfstoffenwinning;2000;;;;;;;;;;;;;
91;145 Overige delfstoffenwinning;2001;16.1;1.5;0.9;1.9;1.2;0.3;10.0;0.3;14.5;1.6;0.0;0.5;0.8
92;145 Overige delfstoffenwinning;2002;15.0;0.0;0.5;1.3;0.9;0.9;10.9;0.5;14.8;0.2;0.6;2.1;0.8
93;145 Overige delfstoffenwinning;2003;18.2;0.1;0.6;0.4;0.7;1.3;14.8;0.4;18.0;0.2;0.0;0.0;0.1
94;145 Overige delfstoffenwinning;2004;18.3;0.1;2.9;3.5;1.9;0.3;9.0;0.6;18.1;0.2;0.6;0.0;0.5
95;145 Overige delfstoffenwinning;2005;17.4;0.2;2.6;0.5;1.4;1.5;10.6;0.6;17.1;0.4;0.0;0.0;0.6
96;145 Overige delfstoffenwinning;2006;17.7;0.1;2.3;0.6;2.4;0.5;10.0;1.7;17.5;0.2;0.0;0.2;0.6
97;145 Overige delfstoffenwinning;2007;22.4;0.1;2.2;0.1;0.9;0.8;11.8;6.6;22.1;0.3;0.0;0.2;0.3
98;145 Overige delfstoffenwinning;2008;12.7;0.1;0.8;0.3;1.3;0.3;7.5;2.3;12.6;0.1;;;0.4
99;1450 Overige delfstoffenwinning;2000;;;;;;;;;;;;;
100;1450 Overige delfstoffenwinning;2001;16.1;1.5;0.9;1.9;1.2;0.3;10.0;0.3;14.5;1.6;0.0;0.5;0.8
101;1450 Overige delfstoffenwinning;2002;15.0;0.0;0.5;1.3;0.9;0.9;10.9;0.5;14.8;0.2;0.6;2.1;0.8
102;1450 Overige delfstoffenwinning;2003;18.2;0.1;0.6;0.4;0.7;1.3;14.8;0.4;18.0;0.2;0.0;0.0;0.1
103;1450 Overige delfstoffenwinning;2004;18.3;0.1;2.9;3.5;1.9;0.3;9.0;0.6;18.1;0.2;0.6;0.0;0.5
104;1450 Overige delfstoffenwinning;2005;17.4;0.2;2.6;0.5;1.4;1.5;10.6;0.6;17.1;0.4;0.0;0.0;0.6
105;1450 Overige delfstoffenwinning;2006;17.7;0.1;2.3;0.6;2.4;0.5;10.0;1.7;17.5;0.2;0.0;0.2;0.6
106;1450 Overige delfstoffenwinning;2007;22.4;0.1;2.2;0.1;0.9;0.8;11.8;6.6;22.1;0.3;0.0;0.2;0.3
107;1450 Overige delfstoffenwinning;2008;12.7;0.1;0.8;0.3;1.3;0.3;7.5;2.3;12.6;0.1;;;0.4
108;D Industrie;2000;8094.2;116.2;1301.2;80.5;318.5;472.9;5249.2;555.6;7758.5;335.6;154.0;506.3;680.1
109;D Industrie;2001;7368.7;84.5;1029.8;156.9;271.3;472.8;4778.1;575.3;7101.7;267.0;176.1;642.4;620.8
110;D Industrie;2002;7862.2;83.2;1244.8;93.6;237.7;382.4;5369.1;451.3;7553.7;308.6;204.8;811.5;595.2
111;D Industrie;2003;7237.6;59.3;974.3;73.7;248.8;344.0;5094.4;443.2;6968.4;269.2;116.1;552.5;495.2
112;D Industrie;2004;6532.9;100.4;1114.0;101.3;242.0;310.4;4113.3;551.5;6265.5;267.4;139.5;460.8;525.5
113;D Industrie;2005;6697.4;47.3;894.7;63.8;244.5;305.4;4579.0;562.8;6459.4;238.0;138.7;478.9;453.2
114;D Industrie;2006;7198.3;68.4;1149.8;70.9;274.5;274.6;4721.3;638.7;6941.8;256.4;127.0;426.3;442.4
115;D Industrie;2007;7916.3;92.3;1210.7;103.0;307.7;297.6;5244.4;660.6;7509.7;406.7;212.9;582.5;603.0
116;D Industrie;2008;8054.7;102.1;1128.8;89.6;359.7;241.9;5426.6;705.9;7692.0;362.6;;;472.4
