ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
0;46 Wholesale trade (no motor vehicles);2005 1st quarter;75.1;
1;46 Wholesale trade (no motor vehicles);2005 2nd quarter;77.3;
2;46 Wholesale trade (no motor vehicles);2005 3rd quarter;75.5;
3;46 Wholesale trade (no motor vehicles);2005 4th quarter;83.5;
4;46 Wholesale trade (no motor vehicles);2005;77.9;
5;46 Wholesale trade (no motor vehicles);2006 1st quarter;80.3;6.9
6;46 Wholesale trade (no motor vehicles);2006 2nd quarter;83.5;8.0
7;46 Wholesale trade (no motor vehicles);2006 3rd quarter;80.4;6.6
8;46 Wholesale trade (no motor vehicles);2006 4th quarter;88.1;5.4
9;46 Wholesale trade (no motor vehicles);2006;83.1;6.7
10;46 Wholesale trade (no motor vehicles);2007 1st quarter;87.7;9.2
11;46 Wholesale trade (no motor vehicles);2007 2nd quarter;91.4;9.5
12;46 Wholesale trade (no motor vehicles);2007 3rd quarter;89.1;10.8
13;46 Wholesale trade (no motor vehicles);2007 4th quarter;101.2;14.9
14;46 Wholesale trade (no motor vehicles);2007;92.4;11.2
15;46 Wholesale trade (no motor vehicles);2008 1st quarter;98.0;11.8
16;46 Wholesale trade (no motor vehicles);2008 2nd quarter;103.7;13.5
17;46 Wholesale trade (no motor vehicles);2008 3rd quarter;101.2;13.6
18;46 Wholesale trade (no motor vehicles);2008 4th quarter;99.0;-2.2
19;46 Wholesale trade (no motor vehicles);2008;100.5;8.8
20;46 Wholesale trade (no motor vehicles);2009 1st quarter;89.2;-9.0
21;46 Wholesale trade (no motor vehicles);2009 2nd quarter;90.9;-12.4
22;46 Wholesale trade (no motor vehicles);2009 3rd quarter;88.7;-12.3
23;46 Wholesale trade (no motor vehicles);2009 4th quarter;96.3;-2.8
24;46 Wholesale trade (no motor vehicles);2009;91.3;-9.2
25;46 Wholesale trade (no motor vehicles);2010 1st quarter;93.7;5.0
26;46 Wholesale trade (no motor vehicles);2010 2nd quarter;100.4;10.4
27;46 Wholesale trade (no motor vehicles);2010 3rd quarter;97.1;9.4
28;46 Wholesale trade (no motor vehicles);2010 4th quarter;107.7;11.9
29;46 Wholesale trade (no motor vehicles);2010;99.7;9.2
30;46 Wholesale trade (no motor vehicles);2011 1st quarter;106.6;13.8
31;46 Wholesale trade (no motor vehicles);2011 2nd quarter;109.2;8.8
32;46 Wholesale trade (no motor vehicles);2011 3rd quarter;106.2;9.4
33;46 Wholesale trade (no motor vehicles);2011 4th quarter;108.0;0.2
34;46 Wholesale trade (no motor vehicles);2011;107.5;7.8
35;46 Wholesale trade (no motor vehicles);2012 1st quarter;106.3;-0.3
36;46 Wholesale trade (no motor vehicles);2012 2nd quarter;107.2;-1.8
37;46 Wholesale trade (no motor vehicles);2012 3rd quarter;106.8;0.6
38;46 Wholesale trade (no motor vehicles);2012 4th quarter;108.4;0.4
39;46 Wholesale trade (no motor vehicles);2012;107.2;-0.3
40;46 Wholesale trade (no motor vehicles);2013 1st quarter;102.3;-3.8
41;46 Wholesale trade (no motor vehicles);2013 2nd quarter;104.3;-2.7
42;46 Wholesale trade (no motor vehicles);2013 3rd quarter;102.7;-3.8
43;46 Wholesale trade (no motor vehicles);2013 4th quarter;103.6;-4.4
44;46 Wholesale trade (no motor vehicles);2013;103.2;-3.7
45;46 Wholesale trade (no motor vehicles);2014 1st quarter;99.4;-2.8
46;46 Wholesale trade (no motor vehicles);2014 2nd quarter;102.5;-1.7
47;46 Wholesale trade (no motor vehicles);2014 3rd quarter;99.6;-3.0
48;46 Wholesale trade (no motor vehicles);2014 4th quarter;100.2;-3.3
49;46 Wholesale trade (no motor vehicles);2014;100.4;-2.7
50;46 Wholesale trade (no motor vehicles);2015 1st quarter;96.3;-3.2
51;46 Wholesale trade (no motor vehicles);2015 2nd quarter;100.9;-1.5
52;46 Wholesale trade (no motor vehicles);2015 3rd quarter;100.0;0.4
53;46 Wholesale trade (no motor vehicles);2015 4th quarter;102.8;2.5
54;46 Wholesale trade (no motor vehicles);2015;100.0;-0.4
55;46 Wholesale trade (no motor vehicles);2016 1st quarter;97.0;0.8
56;46 Wholesale trade (no motor vehicles);2016 2nd quarter;103.1;2.2
57;46 Wholesale trade (no motor vehicles);2016 3rd quarter;102.9;2.9
58;46 Wholesale trade (no motor vehicles);2016 4th quarter;109.7;6.8
59;46 Wholesale trade (no motor vehicles);2016;103.2;3.2
60;46 Wholesale trade (no motor vehicles);2017 1st quarter;109.1;12.5
61;46 Wholesale trade (no motor vehicles);2017 2nd quarter;110.4;7.1
62;46 Wholesale trade (no motor vehicles);2017 3rd quarter;107.4;4.4
63;46 Wholesale trade (no motor vehicles);2017 4th quarter;114.1;4.0
64;46 Wholesale trade (no motor vehicles);2017;110.3;6.8
65;46 Wholesale trade (no motor vehicles);2018 1st quarter;111.5;2.2
66;46 Wholesale trade (no motor vehicles);2018 2nd quarter;116.7;5.7
67;46 Wholesale trade (no motor vehicles);2018 3rd quarter;114.4;6.5
68;46 Wholesale trade (no motor vehicles);2018 4th quarter;120.2;5.4
69;46 Wholesale trade (no motor vehicles);2018;115.7;5.0
70;46 Wholesale trade (no motor vehicles);2019 1st quarter;115.0;3.1
71;46 Wholesale trade (no motor vehicles);2019 2nd quarter;119.5;2.4
72;46 Wholesale trade (no motor vehicles);2019 3rd quarter;118.5;3.5
73;46 Wholesale trade (no motor vehicles);2019 4th quarter;122.3;1.7
74;46 Wholesale trade (no motor vehicles);2019;118.8;2.7
75;46 Wholesale trade (no motor vehicles);2020 1st quarter;118.2;2.8
76;46 Wholesale trade (no motor vehicles);2020 2nd quarter;108.7;-9.0
77;46 Wholesale trade (no motor vehicles);2020 3rd quarter;116.7;-1.5
78;46 Wholesale trade (no motor vehicles);2020 4th quarter;120.4;-1.6
79;46 Wholesale trade (no motor vehicles);2020;116.0;-2.4
80;46 Wholesale trade (no motor vehicles);2021 1st quarter;122.7;3.8
81;46 Wholesale trade (no motor vehicles);2021 2nd quarter;138.0;27.0
82;46 Wholesale trade (no motor vehicles);2021 3rd quarter;137.1;17.4
83;46 Wholesale trade (no motor vehicles);2021 4th quarter;148.3;23.2
84;46 Wholesale trade (no motor vehicles);2021;136.5;17.7
85;46 Wholesale trade (no motor vehicles);2022 1st quarter;149.6;21.9
86;46 Wholesale trade (no motor vehicles);2022 2nd quarter;168.0;21.7
87;46 Wholesale trade (no motor vehicles);2022 3rd quarter;165.1;20.5
88;46 Wholesale trade (no motor vehicles);2022 4th quarter;168.7;13.8
89;46 Wholesale trade (no motor vehicles);2022;162.8;19.3
90;46 Wholesale trade (no motor vehicles);2023 1st quarter;161.7;8.1
91;46 Wholesale trade (no motor vehicles);2023 2nd quarter;160.4;-4.5
92;46 Wholesale trade (no motor vehicles);2023 3rd quarter;154.5;-6.4
93;46 Wholesale trade (no motor vehicles);2023;158.5;-2.7
94;46 Wholesale trade (no motor vehicles);2023 4th quarter;157.2;-6.8
95;462-469 Wholesale;2005 1st quarter;75.6;
96;462-469 Wholesale;2005 2nd quarter;77.9;
97;462-469 Wholesale;2005 3rd quarter;76.1;
98;462-469 Wholesale;2005 4th quarter;84.3;
99;462-469 Wholesale;2005;78.5;
100;462-469 Wholesale;2006 1st quarter;81.0;7.0
101;462-469 Wholesale;2006 2nd quarter;84.2;8.0
102;462-469 Wholesale;2006 3rd quarter;81.0;6.5
103;462-469 Wholesale;2006 4th quarter;88.7;5.2
104;462-469 Wholesale;2006;83.7;6.7
105;462-469 Wholesale;2007 1st quarter;88.2;8.9
106;462-469 Wholesale;2007 2nd quarter;91.9;9.2
107;462-469 Wholesale;2007 3rd quarter;89.7;10.8
108;462-469 Wholesale;2007 4th quarter;102.0;15.0
109;462-469 Wholesale;2007;92.9;11.0
110;462-469 Wholesale;2008 1st quarter;98.7;12.0
111;462-469 Wholesale;2008 2nd quarter;104.6;13.8
112;462-469 Wholesale;2008 3rd quarter;101.9;13.5
113;462-469 Wholesale;2008 4th quarter;99.8;-2.2
114;462-469 Wholesale;2008;101.2;8.9
115;462-469 Wholesale;2009 1st quarter;89.6;-9.3
116;462-469 Wholesale;2009 2nd quarter;91.3;-12.7
117;462-469 Wholesale;2009 3rd quarter;89.2;-12.5
118;462-469 Wholesale;2009 4th quarter;96.8;-2.9
