ID;Vervoerwijzen;Perioden;AlleVervoermiddelen_1;NederlandseVervoermiddelen_2;BuitenlandseVervoermiddelen_3;BinnenlandsGoederenvervoer_4;AlleVervoermiddelen_5;NederlandseVervoermiddelen_6;BuitenlandseVervoermiddelen_7;AlleVervoermiddelen_8;NederlandseVervoermiddelen_9;BuitenlandseVervoermiddelen_10;AlleVervoermiddelen_11;NederlandseVervoermiddelen_12;BuitenlandseVervoermiddelen_13;Cabotage_14;DerdeLandenVervoer_15;AlleVervoermiddelen_16;NederlandseVervoermiddelen_17;BuitenlandseVervoermiddelen_18;TotaalGoedVervoerNaarHoofdstukNSTR_19;LandbouwproductenEnLevendeDieren_20;VoedingsproductenEnVeevoeder_21;VasteMineraleBrandstoffen_22;AardolieEnAardolieproducten_23;ErtsenEnMetaalresiduen_24;MetalenEnMetalenHalffabrikaten_25;RuweMineralenBouwmaterialen_26;Meststoffen_27;ChemischeProducten_28;OverigeGoederenEnFabrikaten_29;TotaalGeladen_30;Europa_31;Afrika_32;Amerika_33;Azie_34;Oceanie_35;Onbekend_36;TotaalGelost_37;Europa_38;Afrika_39;Amerika_40;Azie_41;Oceanie_42;Onbekend_43;TotaleVervoersprestatie_44;TotaalAlleVervoermiddelen_45;NederlandseVervoermiddelen_46;BuitenlandseVervoermiddelen_47;BinnenlandsVervoer_48;TotaalIntBilateraalVervoer_49;OpNederlandsGrondgebied_50;Cabotage_51;DerdeLandenVervoer_52;TotaalDoorvoerZonderOverlading_53;OpNederlandsGrondgebied_54;AlleVervoermiddelen_55;NederlandseVervoermiddelen_56;BuitenlandseVervoermiddelen_57;BinnenlandsGoederenvervoer_58;AlleVervoermiddelen_59;NederlandseVervoermiddelen_60;BuitenlandseVervoermiddelen_61;AlleVervoermiddelen_62;NederlandseVervoermiddelen_63;BuitenlandseVervoermiddelen_64;AlleVervoermiddelen_65;NederlandseVervoermiddelen_66;BuitenlandseVervoermiddelen_67;Cabotage_68;DerdeLandenVervoer_69;AlleVervoermiddelen_70;NederlandseVervoermiddelen_71;BuitenlandseVervoermiddelen_72
0;Totaal modaliteiten;1998;1447842;;;530279.0;861131;;;464911;;;396220;;;8543.0;12283.0;35606.0;19712.0;15894.0;1404578;;;;;;;;;;;1404578;1209843;44220.0;80272.0;53822;15596.0;825.0;1404578;1373120;3425.0;13717.0;13517;746.0;51.0;177138.0;88449.0;71773.0;16676.0;38870.0;108854.0;42683.0;1468.0;8125.0;19820.0;6896.0;126210.0;125962.0;248.0;117320.0;7541.0;7317.0;224.0;3364.0;3258.0;106.0;4178;4059.0;119.0;612.0;693.0;44.0;24.0;20.0
1;Totaal modaliteiten;1999;1496613;;;584998.0;851807;;;455836;;;395971;;;9885.0;12911.0;37012.0;20575.0;16437.0;1451961;83967.0;146031.0;63092.0;302903.0;93338.0;35409.0;279257.0;27816.0;100983.0;317942.0;1451961;1277793;37096.0;74376.0;47678;13730.0;1287.0;1451961;1417012;3475.0;12952.0;17658;798.0;65.0;182571.0;93801.0;77635.0;16167.0;43882.0;108055.0;42754.0;1639.0;8258.0;20738.0;7166.0;122607.0;122358.0;249.0;113478.0;7710.0;7484.0;226.0;3426.0;3320.0;106.0;4284;4164.0;120.0;653.0;719.0;47.0;25.0;22.0
2;Totaal modaliteiten;2000;1511649;;;571994.0;877488;;;470539;;;406950;;;9566.0;12719.0;39882.0;21351.0;18531.0;1457481;80650.0;137840.0;70179.0;311164.0;99945.0;34826.0;275750.0;25613.0;110739.0;309505.0;1457481;1268772;47797.0;78282.0;44549;16557.0;1524.0;1457481;1419444;4006.0;13702.0;19578;718.0;32.0;180677.0;93312.0;75327.0;17985.0;42161.0;105912.0;43278.0;1691.0;8480.0;22433.0;7873.0;123584.0;123333.0;252.0;114775.0;7346.0;7123.0;223.0;3149.0;3041.0;108.0;4198;4082.0;115.0;686.0;731.0;45.0;24.0;21.0
3;Totaal modaliteiten;2001;1554150;;;583730.0;907989;;;488516;;;419474;;;11603.0;12392.0;38436.0;19378.0;19058.0;1496259;75778.0;149061.0;79519.0;332882.0;96334.0;36057.0;282614.0;24344.0;114822.0;303629.0;1496259;1309202;50027.0;76669.0;44292;14580.0;1489.0;1496259;1459101;4445.0;14494.0;17517;656.0;44.0;186795.0;93719.0;74797.0;18923.0;41762.0;114258.0;45119.0;2004.0;8037.0;20734.0;6838.0;133253.0;132980.0;272.0;124385.0;7335.0;7095.0;241.0;3322.0;3208.0;114.0;4014;3887.0;127.0;765.0;724.0;44.0;22.0;22.0
4;Totaal modaliteiten;2002;1521358;;;554942.0;907689;;;484929;;;422760;;;9910.0;13422.0;35395.0;18508.0;16887.0;1466332;75089.0;145316.0;78001.0;337995.0;98340.0;34259.0;247550.0;24358.0;111595.0;312547.0;1466332;1285798;48508.0;78361.0;39044;13305.0;1315.0;1466332;1424062;4344.0;16216.0;20912;744.0;51.0;177586.0;91498.0;73550.0;17948.0;41482.0;106968.0;43846.0;1805.0;8576.0;18754.0;6169.0;121393.0;121142.0;251.0;113121.0;6903.0;6683.0;220.0;3046.0;2940.0;106.0;3857;3743.0;114.0;577.0;751.0;40.0;20.0;20.0
5;Totaal modaliteiten;2003;1582563;;;614612.0;900255;;;485029;;;415225;;;13851.0;13682.0;40162.0;20533.0;19630.0;1527031;69948.0;129749.0;70966.0;331998.0;91536.0;36929.0;243519.0;24394.0;122792.0;403863.0;1527031;1344014;52616.0;75292.0;39342;13571.0;2194.0;1527031;1485030;5066.0;16098.0;19220;767.0;850.0;174542.0;93161.0;74953.0;18208.0;43380.0;99542.0;42378.0;2332.0;8139.0;21149.0;7402.0;530175.0;529911.0;262.0;507017.0;8701.0;8483.0;216.0;4129.0;4023.0;106.0;4570;4460.0;111.0;13553.0;855.0;49.0;25.0;24.0
6;Zeevaart;1998;405740;18226.0;387514.0;;405740;18226.0;387514.0;320011;8649.0;311362.0;85729;9577.0;76152.0;;;;;;405740;;;;;;;;;;;405740;213351;42350.0;80084.0;53547;15594.0;814.0;405740;374852;3360.0;13480.0;13275;738.0;34.0;;;;;;;;;;;;83.0;13.0;70.0;;83.0;13.0;70.0;42.0;7.0;35.0;42;7.0;35.0;;;;;
7;Zeevaart;1999;397169;19527.0;377641.0;;397168;19527.0;377641.0;305241;9197.0;296044.0;91927;10330.0;81597.0;;;;;;397169;7482.0;25322.0;36423.0;138049.0;46894.0;7733.0;15502.0;6205.0;23564.0;89994.0;397169;225353;35208.0;74201.0;47397;13728.0;1281.0;397169;362792;3413.0;12724.0;17413;791.0;35.0;;;;;;;;;;;;85.0;14.0;71.0;;85.0;14.0;71.0;42.0;7.0;35.0;42;7.0;35.0;;;;;
8;Zeevaart;2000;424479;20617.0;403862.0;;424479;20617.0;403862.0;325081;9442.0;315639.0;99398;11175.0;88223.0;;;;;;424479;7853.0;24002.0;42836.0;146552.0;54330.0;7642.0;16127.0;5519.0;27894.0;91725.0;424479;238281;45760.0;78114.0;44246;16555.0;1524.0;424479;387033;3945.0;13472.0;19290;708.0;32.0;;;;;;;;;;;;85.0;14.0;71.0;;85.0;14.0;71.0;43.0;7.0;36.0;42;7.0;35.0;;;;;
9;Zeevaart;2001;424251;22050.0;402201.0;;424251;22050.0;402201.0;326499;9783.0;316716.0;97752;12267.0;85485.0;;;;;;424251;6479.0;27571.0;47582.0;150213.0;48848.0;7861.0;15955.0;4762.0;25578.0;89404.0;424251;239657;48006.0;76515.0;44006;14578.0;1489.0;424251;387697;4372.0;14279.0;17211;647.0;44.0;;;;;;;;;;;;85.0;15.0;70.0;;85.0;15.0;70.0;42.0;7.0;35.0;43;8.0;35.0;;;;;
