ID;BedrijfstakkenBranchesSBI2008;KenmerkenBedrijfsbestelautoS;Perioden;BedrijfsbestelautoS_1
135;A-U Alle economische activiteiten;Gewicht volle wagen: 3 000 tot 3 500 kg;2016;250330
136;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2009;82
137;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2010;75
138;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2011;94
139;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2012;80
140;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2013;79
141;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2014;72
142;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2015;82
143;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2016;75
144;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 175 cm;2009;192803
145;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 175 cm;2010;178376
146;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 175 cm;2011;165073
147;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 175 cm;2012;150079
148;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 175 cm;2013;137110
149;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 175 cm;2014;125635
150;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 175 cm;2015;127609
151;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 175 cm;2016;118986
152;A-U Alle economische activiteiten;Voertuigbreedte: 175 tot 185 cm;2009;164330
153;A-U Alle economische activiteiten;Voertuigbreedte: 175 tot 185 cm;2010;165847
154;A-U Alle economische activiteiten;Voertuigbreedte: 175 tot 185 cm;2011;168555
155;A-U Alle economische activiteiten;Voertuigbreedte: 175 tot 185 cm;2012;170567
156;A-U Alle economische activiteiten;Voertuigbreedte: 175 tot 185 cm;2013;175849
157;A-U Alle economische activiteiten;Voertuigbreedte: 175 tot 185 cm;2014;183587
158;A-U Alle economische activiteiten;Voertuigbreedte: 175 tot 185 cm;2015;203120
159;A-U Alle economische activiteiten;Voertuigbreedte: 175 tot 185 cm;2016;218620
160;A-U Alle economische activiteiten;Voertuigbreedte: 185 tot 195 cm;2009;244287
161;A-U Alle economische activiteiten;Voertuigbreedte: 185 tot 195 cm;2010;245458
162;A-U Alle economische activiteiten;Voertuigbreedte: 185 tot 195 cm;2011;246823
163;A-U Alle economische activiteiten;Voertuigbreedte: 185 tot 195 cm;2012;245103
164;A-U Alle economische activiteiten;Voertuigbreedte: 185 tot 195 cm;2013;241606
165;A-U Alle economische activiteiten;Voertuigbreedte: 185 tot 195 cm;2014;240484
166;A-U Alle economische activiteiten;Voertuigbreedte: 185 tot 195 cm;2015;253089
167;A-U Alle economische activiteiten;Voertuigbreedte: 185 tot 195 cm;2016;255679
168;A-U Alle economische activiteiten;Voertuigbreedte: 195 tot 205 cm;2009;113717
169;A-U Alle economische activiteiten;Voertuigbreedte: 195 tot 205 cm;2010;116779
170;A-U Alle economische activiteiten;Voertuigbreedte: 195 tot 205 cm;2011;120955
171;A-U Alle economische activiteiten;Voertuigbreedte: 195 tot 205 cm;2012;123488
172;A-U Alle economische activiteiten;Voertuigbreedte: 195 tot 205 cm;2013;124849
173;A-U Alle economische activiteiten;Voertuigbreedte: 195 tot 205 cm;2014;128844
174;A-U Alle economische activiteiten;Voertuigbreedte: 195 tot 205 cm;2015;147388
175;A-U Alle economische activiteiten;Voertuigbreedte: 195 tot 205 cm;2016;163890
176;A-U Alle economische activiteiten;Voertuigbreedte: 205 cm of meer;2009;50493
177;A-U Alle economische activiteiten;Voertuigbreedte: 205 cm of meer;2010;53305
178;A-U Alle economische activiteiten;Voertuigbreedte: 205 cm of meer;2011;58606
179;A-U Alle economische activiteiten;Voertuigbreedte: 205 cm of meer;2012;63803
180;A-U Alle economische activiteiten;Voertuigbreedte: 205 cm of meer;2013;67736
181;A-U Alle economische activiteiten;Voertuigbreedte: 205 cm of meer;2014;72817
182;A-U Alle economische activiteiten;Voertuigbreedte: 205 cm of meer;2015;84143
183;A-U Alle economische activiteiten;Voertuigbreedte: 205 cm of meer;2016;93416
184;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2009;48814
185;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2010;57515
186;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2011;65712
187;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2012;67801
188;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2013;61152
189;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2014;52717
190;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2015;16
191;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2016;15
192;B-E Nijverheid (geen bouw) en energie;Totaal;2009;73035
193;B-E Nijverheid (geen bouw) en energie;Totaal;2010;73538
194;B-E Nijverheid (geen bouw) en energie;Totaal;2011;76435
195;B-E Nijverheid (geen bouw) en energie;Totaal;2012;72747
196;B-E Nijverheid (geen bouw) en energie;Totaal;2013;73245
197;B-E Nijverheid (geen bouw) en energie;Totaal;2014;72452
198;B-E Nijverheid (geen bouw) en energie;Totaal;2015;72131
199;B-E Nijverheid (geen bouw) en energie;Totaal;2016;76939
200;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: benzine;2009;1711
201;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: benzine;2010;1464
202;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: benzine;2011;1524
203;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: benzine;2012;1191
204;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: benzine;2013;1108
205;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: benzine;2014;1022
206;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: benzine;2015;1024
207;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: benzine;2016;1146
208;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: diesel;2009;70181
209;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: diesel;2010;70837
210;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: diesel;2011;73578
211;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: diesel;2012;70115
212;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: diesel;2013;70604
213;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: diesel;2014;69858
214;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: diesel;2015;69491
215;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: diesel;2016;73962
216;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: overige;2009;1143
217;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: overige;2010;1237
218;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: overige;2011;1333
219;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: overige;2012;1441
220;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: overige;2013;1533
221;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: overige;2014;1571
222;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: overige;2015;1616
223;B-E Nijverheid (geen bouw) en energie;Brandstofsoort: overige;2016;1831
224;B-E Nijverheid (geen bouw) en energie;Leeftijd: 0 tot 4 jaar;2009;28779
225;B-E Nijverheid (geen bouw) en energie;Leeftijd: 0 tot 4 jaar;2010;27021
226;B-E Nijverheid (geen bouw) en energie;Leeftijd: 0 tot 4 jaar;2011;25757
227;B-E Nijverheid (geen bouw) en energie;Leeftijd: 0 tot 4 jaar;2012;21343
228;B-E Nijverheid (geen bouw) en energie;Leeftijd: 0 tot 4 jaar;2013;21525
229;B-E Nijverheid (geen bouw) en energie;Leeftijd: 0 tot 4 jaar;2014;21633
230;B-E Nijverheid (geen bouw) en energie;Leeftijd: 0 tot 4 jaar;2015;20517
231;B-E Nijverheid (geen bouw) en energie;Leeftijd: 0 tot 4 jaar;2016;23140
232;B-E Nijverheid (geen bouw) en energie;Leeftijd: 4 tot 10 jaar;2009;30477
233;B-E Nijverheid (geen bouw) en energie;Leeftijd: 4 tot 10 jaar;2010;31029
234;B-E Nijverheid (geen bouw) en energie;Leeftijd: 4 tot 10 jaar;2011;33719
235;B-E Nijverheid (geen bouw) en energie;Leeftijd: 4 tot 10 jaar;2012;33673
236;B-E Nijverheid (geen bouw) en energie;Leeftijd: 4 tot 10 jaar;2013;33312
237;B-E Nijverheid (geen bouw) en energie;Leeftijd: 4 tot 10 jaar;2014;31205
238;B-E Nijverheid (geen bouw) en energie;Leeftijd: 4 tot 10 jaar;2015;31019
239;B-E Nijverheid (geen bouw) en energie;Leeftijd: 4 tot 10 jaar;2016;32001
240;B-E Nijverheid (geen bouw) en energie;Leeftijd: 10 jaar of ouder;2009;13779
241;B-E Nijverheid (geen bouw) en energie;Leeftijd: 10 jaar of ouder;2010;15488
242;B-E Nijverheid (geen bouw) en energie;Leeftijd: 10 jaar of ouder;2011;16959
243;B-E Nijverheid (geen bouw) en energie;Leeftijd: 10 jaar of ouder;2012;17731
244;B-E Nijverheid (geen bouw) en energie;Leeftijd: 10 jaar of ouder;2013;18408
245;B-E Nijverheid (geen bouw) en energie;Leeftijd: 10 jaar of ouder;2014;19614
246;B-E Nijverheid (geen bouw) en energie;Leeftijd: 10 jaar of ouder;2015;20595
247;B-E Nijverheid (geen bouw) en energie;Leeftijd: 10 jaar of ouder;2016;21798
248;B-E Nijverheid (geen bouw) en energie;Leeftijd: onbekend;2009;0
249;B-E Nijverheid (geen bouw) en energie;Leeftijd: onbekend;2010;0
250;B-E Nijverheid (geen bouw) en energie;Leeftijd: onbekend;2011;0
251;B-E Nijverheid (geen bouw) en energie;Leeftijd: onbekend;2012;0
252;B-E Nijverheid (geen bouw) en energie;Leeftijd: onbekend;2013;0
253;B-E Nijverheid (geen bouw) en energie;Leeftijd: onbekend;2014;0
254;B-E Nijverheid (geen bouw) en energie;Leeftijd: onbekend;2015;0
255;B-E Nijverheid (geen bouw) en energie;Leeftijd: onbekend;2016;0
256;B-E Nijverheid (geen bouw) en energie;Laadvermogen: minder dan 600 kg;2009;9348
257;B-E Nijverheid (geen bouw) en energie;Laadvermogen: minder dan 600 kg;2010;9229
258;B-E Nijverheid (geen bouw) en energie;Laadvermogen: minder dan 600 kg;2011;9150
259;B-E Nijverheid (geen bouw) en energie;Laadvermogen: minder dan 600 kg;2012;8423
260;B-E Nijverheid (geen bouw) en energie;Laadvermogen: minder dan 600 kg;2013;8121
261;B-E Nijverheid (geen bouw) en energie;Laadvermogen: minder dan 600 kg;2014;7678
262;B-E Nijverheid (geen bouw) en energie;Laadvermogen: minder dan 600 kg;2015;7325
263;B-E Nijverheid (geen bouw) en energie;Laadvermogen: minder dan 600 kg;2016;7107
264;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 600 tot 1 000 kg;2009;31379
265;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 600 tot 1 000 kg;2010;31952
266;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 600 tot 1 000 kg;2011;33152
267;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 600 tot 1 000 kg;2012;32350
268;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 600 tot 1 000 kg;2013;32970
269;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 600 tot 1 000 kg;2014;33165
270;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 600 tot 1 000 kg;2015;33495
271;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 600 tot 1 000 kg;2016;36040
272;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 000 tot 1 500 kg;2009;25690
273;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 000 tot 1 500 kg;2010;25732
274;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 000 tot 1 500 kg;2011;26640
275;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 000 tot 1 500 kg;2012;25794
276;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 000 tot 1 500 kg;2013;26222
277;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 000 tot 1 500 kg;2014;25991
278;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 000 tot 1 500 kg;2015;25941
279;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 000 tot 1 500 kg;2016;28229
280;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 500 kg of meer;2009;6610
281;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 500 kg of meer;2010;6616
282;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 500 kg of meer;2011;7483
283;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 500 kg of meer;2012;6170
284;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 500 kg of meer;2013;5923
285;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 500 kg of meer;2014;5608
286;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 500 kg of meer;2015;5360
287;B-E Nijverheid (geen bouw) en energie;Laadvermogen: 1 500 kg of meer;2016;5555
288;B-E Nijverheid (geen bouw) en energie;Laadvermogen: onbekend;2009;8
289;B-E Nijverheid (geen bouw) en energie;Laadvermogen: onbekend;2010;9
290;B-E Nijverheid (geen bouw) en energie;Laadvermogen: onbekend;2011;10
291;B-E Nijverheid (geen bouw) en energie;Laadvermogen: onbekend;2012;10
292;B-E Nijverheid (geen bouw) en energie;Laadvermogen: onbekend;2013;9
293;B-E Nijverheid (geen bouw) en energie;Laadvermogen: onbekend;2014;10
294;B-E Nijverheid (geen bouw) en energie;Laadvermogen: onbekend;2015;10
295;B-E Nijverheid (geen bouw) en energie;Laadvermogen: onbekend;2016;8
296;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: tot 2 000 kg;2009;14158
297;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: tot 2 000 kg;2010;13745
298;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: tot 2 000 kg;2011;13709
299;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: tot 2 000 kg;2012;12452
300;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: tot 2 000 kg;2013;12128
301;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: tot 2 000 kg;2014;11634
302;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: tot 2 000 kg;2015;11182
303;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: tot 2 000 kg;2016;11271
304;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 000 tot 2 500 kg;2009;10652
305;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 000 tot 2 500 kg;2010;11125
306;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 000 tot 2 500 kg;2011;11894
307;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 000 tot 2 500 kg;2012;11509
308;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 000 tot 2 500 kg;2013;11628
309;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 000 tot 2 500 kg;2014;11671
310;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 000 tot 2 500 kg;2015;11667
311;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 000 tot 2 500 kg;2016;12746
312;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 500 tot 3 000 kg;2009;25255
313;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 500 tot 3 000 kg;2010;25052
314;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 500 tot 3 000 kg;2011;25169
315;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 500 tot 3 000 kg;2012;23637
316;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 500 tot 3 000 kg;2013;23506
317;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 500 tot 3 000 kg;2014;22910
318;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 500 tot 3 000 kg;2015;22738
319;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 2 500 tot 3 000 kg;2016;23654
320;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 3 000 tot 3 500 kg;2009;22964
321;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 3 000 tot 3 500 kg;2010;23610
322;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 3 000 tot 3 500 kg;2011;25655
323;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 3 000 tot 3 500 kg;2012;25141
324;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 3 000 tot 3 500 kg;2013;25974
325;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 3 000 tot 3 500 kg;2014;26228
326;B-E Nijverheid (geen bouw) en energie;Gewicht volle wagen: 3 000 tot 3 500 kg;2015;26533
