ID;BedrijfstakkenBranchesSBI2008;KenmerkenBedrijfsbestelautoS;Perioden;BedrijfsbestelautoS_1
0;A-U Alle economische activiteiten;Totaal;2009;814444
1;A-U Alle economische activiteiten;Totaal;2010;817280
2;A-U Alle economische activiteiten;Totaal;2011;825724
3;A-U Alle economische activiteiten;Totaal;2012;820841
4;A-U Alle economische activiteiten;Totaal;2013;808302
5;A-U Alle economische activiteiten;Totaal;2014;804084
6;A-U Alle economische activiteiten;Totaal;2015;815365
7;A-U Alle economische activiteiten;Totaal;2016;850606
8;A-U Alle economische activiteiten;Brandstofsoort: benzine;2009;19308
9;A-U Alle economische activiteiten;Brandstofsoort: benzine;2010;17912
10;A-U Alle economische activiteiten;Brandstofsoort: benzine;2011;17089
11;A-U Alle economische activiteiten;Brandstofsoort: benzine;2012;15794
12;A-U Alle economische activiteiten;Brandstofsoort: benzine;2013;14854
13;A-U Alle economische activiteiten;Brandstofsoort: benzine;2014;14142
14;A-U Alle economische activiteiten;Brandstofsoort: benzine;2015;13560
15;A-U Alle economische activiteiten;Brandstofsoort: benzine;2016;13736
16;A-U Alle economische activiteiten;Brandstofsoort: diesel;2009;781533
17;A-U Alle economische activiteiten;Brandstofsoort: diesel;2010;785255
18;A-U Alle economische activiteiten;Brandstofsoort: diesel;2011;793870
19;A-U Alle economische activiteiten;Brandstofsoort: diesel;2012;789414
20;A-U Alle economische activiteiten;Brandstofsoort: diesel;2013;777319
21;A-U Alle economische activiteiten;Brandstofsoort: diesel;2014;772452
22;A-U Alle economische activiteiten;Brandstofsoort: diesel;2015;783714
23;A-U Alle economische activiteiten;Brandstofsoort: diesel;2016;817949
24;A-U Alle economische activiteiten;Brandstofsoort: overige;2009;13603
25;A-U Alle economische activiteiten;Brandstofsoort: overige;2010;14113
26;A-U Alle economische activiteiten;Brandstofsoort: overige;2011;14765
27;A-U Alle economische activiteiten;Brandstofsoort: overige;2012;15633
28;A-U Alle economische activiteiten;Brandstofsoort: overige;2013;16128
29;A-U Alle economische activiteiten;Brandstofsoort: overige;2014;17484
30;A-U Alle economische activiteiten;Brandstofsoort: overige;2015;18091
31;A-U Alle economische activiteiten;Brandstofsoort: overige;2016;18921
32;A-U Alle economische activiteiten;Leeftijd: 0 tot 4 jaar;2009;280725
33;A-U Alle economische activiteiten;Leeftijd: 0 tot 4 jaar;2010;265002
34;A-U Alle economische activiteiten;Leeftijd: 0 tot 4 jaar;2011;242603
35;A-U Alle economische activiteiten;Leeftijd: 0 tot 4 jaar;2012;214628
36;A-U Alle economische activiteiten;Leeftijd: 0 tot 4 jaar;2013;214099
37;A-U Alle economische activiteiten;Leeftijd: 0 tot 4 jaar;2014;215805
38;A-U Alle economische activiteiten;Leeftijd: 0 tot 4 jaar;2015;216008
39;A-U Alle economische activiteiten;Leeftijd: 0 tot 4 jaar;2016;232279
40;A-U Alle economische activiteiten;Leeftijd: 4 tot 10 jaar;2009;340320
41;A-U Alle economische activiteiten;Leeftijd: 4 tot 10 jaar;2010;335659
42;A-U Alle economische activiteiten;Leeftijd: 4 tot 10 jaar;2011;350417
43;A-U Alle economische activiteiten;Leeftijd: 4 tot 10 jaar;2012;361649
44;A-U Alle economische activiteiten;Leeftijd: 4 tot 10 jaar;2013;340405
45;A-U Alle economische activiteiten;Leeftijd: 4 tot 10 jaar;2014;316227
46;A-U Alle economische activiteiten;Leeftijd: 4 tot 10 jaar;2015;317916
47;A-U Alle economische activiteiten;Leeftijd: 4 tot 10 jaar;2016;323944
48;A-U Alle economische activiteiten;Leeftijd: 10 jaar of ouder;2009;193399
49;A-U Alle economische activiteiten;Leeftijd: 10 jaar of ouder;2010;216619
50;A-U Alle economische activiteiten;Leeftijd: 10 jaar of ouder;2011;232704
51;A-U Alle economische activiteiten;Leeftijd: 10 jaar of ouder;2012;244564
52;A-U Alle economische activiteiten;Leeftijd: 10 jaar of ouder;2013;253798
53;A-U Alle economische activiteiten;Leeftijd: 10 jaar of ouder;2014;272052
54;A-U Alle economische activiteiten;Leeftijd: 10 jaar of ouder;2015;281441
55;A-U Alle economische activiteiten;Leeftijd: 10 jaar of ouder;2016;294383
56;A-U Alle economische activiteiten;Leeftijd: onbekend;2009;0
57;A-U Alle economische activiteiten;Leeftijd: onbekend;2010;0
58;A-U Alle economische activiteiten;Leeftijd: onbekend;2011;0
59;A-U Alle economische activiteiten;Leeftijd: onbekend;2012;0
60;A-U Alle economische activiteiten;Leeftijd: onbekend;2013;0
61;A-U Alle economische activiteiten;Leeftijd: onbekend;2014;0
62;A-U Alle economische activiteiten;Leeftijd: onbekend;2015;0
63;A-U Alle economische activiteiten;Leeftijd: onbekend;2016;0
64;A-U Alle economische activiteiten;Laadvermogen: minder dan 600 kg;2009;130022
65;A-U Alle economische activiteiten;Laadvermogen: minder dan 600 kg;2010;127676
66;A-U Alle economische activiteiten;Laadvermogen: minder dan 600 kg;2011;123342
67;A-U Alle economische activiteiten;Laadvermogen: minder dan 600 kg;2012;118211
68;A-U Alle economische activiteiten;Laadvermogen: minder dan 600 kg;2013;112965
69;A-U Alle economische activiteiten;Laadvermogen: minder dan 600 kg;2014;106802
70;A-U Alle economische activiteiten;Laadvermogen: minder dan 600 kg;2015;101126
71;A-U Alle economische activiteiten;Laadvermogen: minder dan 600 kg;2016;97603
72;A-U Alle economische activiteiten;Laadvermogen: 600 tot 1 000 kg;2009;378781
73;A-U Alle economische activiteiten;Laadvermogen: 600 tot 1 000 kg;2010;381561
74;A-U Alle economische activiteiten;Laadvermogen: 600 tot 1 000 kg;2011;391140
75;A-U Alle economische activiteiten;Laadvermogen: 600 tot 1 000 kg;2012;394161
76;A-U Alle economische activiteiten;Laadvermogen: 600 tot 1 000 kg;2013;394525
77;A-U Alle economische activiteiten;Laadvermogen: 600 tot 1 000 kg;2014;399746
78;A-U Alle economische activiteiten;Laadvermogen: 600 tot 1 000 kg;2015;411390
79;A-U Alle economische activiteiten;Laadvermogen: 600 tot 1 000 kg;2016;434449
80;A-U Alle economische activiteiten;Laadvermogen: 1 000 tot 1 500 kg;2009;262834
81;A-U Alle economische activiteiten;Laadvermogen: 1 000 tot 1 500 kg;2010;264376
82;A-U Alle economische activiteiten;Laadvermogen: 1 000 tot 1 500 kg;2011;266620
83;A-U Alle economische activiteiten;Laadvermogen: 1 000 tot 1 500 kg;2012;265700
84;A-U Alle economische activiteiten;Laadvermogen: 1 000 tot 1 500 kg;2013;260588
85;A-U Alle economische activiteiten;Laadvermogen: 1 000 tot 1 500 kg;2014;259177
86;A-U Alle economische activiteiten;Laadvermogen: 1 000 tot 1 500 kg;2015;265568
87;A-U Alle economische activiteiten;Laadvermogen: 1 000 tot 1 500 kg;2016;280813
88;A-U Alle economische activiteiten;Laadvermogen: 1 500 kg of meer;2009;42695
89;A-U Alle economische activiteiten;Laadvermogen: 1 500 kg of meer;2010;43556
90;A-U Alle economische activiteiten;Laadvermogen: 1 500 kg of meer;2011;44499
91;A-U Alle economische activiteiten;Laadvermogen: 1 500 kg of meer;2012;42663
92;A-U Alle economische activiteiten;Laadvermogen: 1 500 kg of meer;2013;40134
93;A-U Alle economische activiteiten;Laadvermogen: 1 500 kg of meer;2014;38275
94;A-U Alle economische activiteiten;Laadvermogen: 1 500 kg of meer;2015;37194
95;A-U Alle economische activiteiten;Laadvermogen: 1 500 kg of meer;2016;37659
96;A-U Alle economische activiteiten;Laadvermogen: onbekend;2009;112
97;A-U Alle economische activiteiten;Laadvermogen: onbekend;2010;111
98;A-U Alle economische activiteiten;Laadvermogen: onbekend;2011;123
99;A-U Alle economische activiteiten;Laadvermogen: onbekend;2012;106
100;A-U Alle economische activiteiten;Laadvermogen: onbekend;2013;90
101;A-U Alle economische activiteiten;Laadvermogen: onbekend;2014;84
102;A-U Alle economische activiteiten;Laadvermogen: onbekend;2015;87
103;A-U Alle economische activiteiten;Laadvermogen: onbekend;2016;82
104;A-U Alle economische activiteiten;Gewicht volle wagen: tot 2 000 kg;2009;191524
105;A-U Alle economische activiteiten;Gewicht volle wagen: tot 2 000 kg;2010;185332
106;A-U Alle economische activiteiten;Gewicht volle wagen: tot 2 000 kg;2011;181046
107;A-U Alle economische activiteiten;Gewicht volle wagen: tot 2 000 kg;2012;173989
108;A-U Alle economische activiteiten;Gewicht volle wagen: tot 2 000 kg;2013;167296
109;A-U Alle economische activiteiten;Gewicht volle wagen: tot 2 000 kg;2014;161834
110;A-U Alle economische activiteiten;Gewicht volle wagen: tot 2 000 kg;2015;157943
111;A-U Alle economische activiteiten;Gewicht volle wagen: tot 2 000 kg;2016;158655
112;A-U Alle economische activiteiten;Gewicht volle wagen: 2 000 tot 2 500 kg;2009;129468
113;A-U Alle economische activiteiten;Gewicht volle wagen: 2 000 tot 2 500 kg;2010;132181
114;A-U Alle economische activiteiten;Gewicht volle wagen: 2 000 tot 2 500 kg;2011;135426
115;A-U Alle economische activiteiten;Gewicht volle wagen: 2 000 tot 2 500 kg;2012;135287
116;A-U Alle economische activiteiten;Gewicht volle wagen: 2 000 tot 2 500 kg;2013;134696
117;A-U Alle economische activiteiten;Gewicht volle wagen: 2 000 tot 2 500 kg;2014;137032
118;A-U Alle economische activiteiten;Gewicht volle wagen: 2 000 tot 2 500 kg;2015;140664
119;A-U Alle economische activiteiten;Gewicht volle wagen: 2 000 tot 2 500 kg;2016;149782
120;A-U Alle economische activiteiten;Gewicht volle wagen: 2 500 tot 3 000 kg;2009;302416
121;A-U Alle economische activiteiten;Gewicht volle wagen: 2 500 tot 3 000 kg;2010;301689
122;A-U Alle economische activiteiten;Gewicht volle wagen: 2 500 tot 3 000 kg;2011;301624
123;A-U Alle economische activiteiten;Gewicht volle wagen: 2 500 tot 3 000 kg;2012;296442
124;A-U Alle economische activiteiten;Gewicht volle wagen: 2 500 tot 3 000 kg;2013;287911
125;A-U Alle economische activiteiten;Gewicht volle wagen: 2 500 tot 3 000 kg;2014;281523
126;A-U Alle economische activiteiten;Gewicht volle wagen: 2 500 tot 3 000 kg;2015;283809
127;A-U Alle economische activiteiten;Gewicht volle wagen: 2 500 tot 3 000 kg;2016;291764
128;A-U Alle economische activiteiten;Gewicht volle wagen: 3 000 tot 3 500 kg;2009;190954
129;A-U Alle economische activiteiten;Gewicht volle wagen: 3 000 tot 3 500 kg;2010;198003
130;A-U Alle economische activiteiten;Gewicht volle wagen: 3 000 tot 3 500 kg;2011;207534
131;A-U Alle economische activiteiten;Gewicht volle wagen: 3 000 tot 3 500 kg;2012;215043
132;A-U Alle economische activiteiten;Gewicht volle wagen: 3 000 tot 3 500 kg;2013;218320
133;A-U Alle economische activiteiten;Gewicht volle wagen: 3 000 tot 3 500 kg;2014;223623
134;A-U Alle economische activiteiten;Gewicht volle wagen: 3 000 tot 3 500 kg;2015;232867
