ID;EnergyCommoditiesTechniques;Periods;ExtractionOfGeothermalHeat_1;ExtractionOfGeothermalCold_2
0;Total geothermal energy;1990;;8.0
1;Total geothermal energy;1991;;8.0
2;Total geothermal energy;1992;;13.0
3;Total geothermal energy;1993;;19.0
4;Total geothermal energy;1994;33.0;23.0
5;Total geothermal energy;1995;38.0;47.0
6;Total geothermal energy;1996;47.0;81.0
7;Total geothermal energy;1997;73.0;123.0
8;Total geothermal energy;1998;115.0;179.0
9;Total geothermal energy;1999;151.0;238.0
10;Total geothermal energy;2000;200.0;292.0
11;Total geothermal energy;2001;244.0;371.0
12;Total geothermal energy;2002;310.0;485.0
13;Total geothermal energy;2003;389.0;579.0
14;Total geothermal energy;2004;539.0;645.0
15;Total geothermal energy;2005;736.0;780.0
16;Total geothermal energy;2006;973.0;944.0
17;Total geothermal energy;2007;1280.0;1011.0
18;Total geothermal energy;2008;1748.0;1200.0
19;Total geothermal energy;2009;2162.0;1389.0
20;Total geothermal energy;2010;2703.0;1660.0
21;Total geothermal energy;2011;3026.0;1646.0
22;Total geothermal energy;2012;3527.0;1830.0
23;Total geothermal energy;2013;4325.0;1909.0
24;Total geothermal energy;2014;5075.0;1850.0
25;Total geothermal energy;2015;6244.0;1793.0
26;Total geothermal energy;2016;6879.0;1998.0
27;Total geothermal energy;2017;7303.0;2163.0
28;Total geothermal energy;2018;8299.0;2275.0
29;Total geothermal energy;2019;10450.0;2026.0
30;Total geothermal energy;2020;11477.0;2374.0
31;Total geothermal energy;2021;12041.0;2403.0
32;Total geothermal energy;2022;12980.0;2491.0
33;Total geothermal energy;2023;13653.0;2507.0
34;Deep geothermal heat;1990;;
35;Deep geothermal heat;1991;;
36;Deep geothermal heat;1992;;
37;Deep geothermal heat;1993;;
38;Deep geothermal heat;1994;;
39;Deep geothermal heat;1995;;
40;Deep geothermal heat;1996;;
41;Deep geothermal heat;1997;;
42;Deep geothermal heat;1998;;
43;Deep geothermal heat;1999;;
44;Deep geothermal heat;2000;;
45;Deep geothermal heat;2001;;
46;Deep geothermal heat;2002;;
47;Deep geothermal heat;2003;;
48;Deep geothermal heat;2004;;
49;Deep geothermal heat;2005;;
50;Deep geothermal heat;2006;;
51;Deep geothermal heat;2007;;
52;Deep geothermal heat;2008;96.0;
53;Deep geothermal heat;2009;142.0;
54;Deep geothermal heat;2010;318.0;
55;Deep geothermal heat;2011;316.0;
56;Deep geothermal heat;2012;495.0;
57;Deep geothermal heat;2013;993.0;
58;Deep geothermal heat;2014;1502.0;
59;Deep geothermal heat;2015;2448.0;
60;Deep geothermal heat;2016;2844.0;
61;Deep geothermal heat;2017;3047.0;
62;Deep geothermal heat;2018;3731.0;
63;Deep geothermal heat;2019;5564.0;
64;Deep geothermal heat;2020;6185.0;
65;Deep geothermal heat;2021;6327.0;
66;Deep geothermal heat;2022;6798.0;
67;Deep geothermal heat;2023;6798.0;
68;Total shallow geothermal energy;1990;;8.0
69;Total shallow geothermal energy;1991;;8.0
70;Total shallow geothermal energy;1992;;13.0
71;Total shallow geothermal energy;1993;;19.0
72;Total shallow geothermal energy;1994;33.0;23.0
73;Total shallow geothermal energy;1995;38.0;47.0
74;Total shallow geothermal energy;1996;47.0;81.0
75;Total shallow geothermal energy;1997;73.0;123.0
76;Total shallow geothermal energy;1998;115.0;179.0
77;Total shallow geothermal energy;1999;151.0;238.0
78;Total shallow geothermal energy;2000;200.0;292.0
